business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,plus_code,rating,reference,types,user_ratings_total,photos,url
OPERATIONAL,"Jl. Merdeka No.105, Kepanjen Kidul, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66117, Indonesia","{'location': {'lat': -8.0988181, 'lng': 112.164515}, 'viewport': {'northeast': {'lat': -8.097561870107278, 'lng': 112.1658627298927}, 'southwest': {'lat': -8.100261529892721, 'lng': 112.1631630701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Blitar Nol Kilometer Landmark,{'open_now': True},ChIJIX-J5EXteC4Rdm9ZYs7-z-4,"{'compound_code': 'W527+FR Kepanjen Kidul, Blitar City, East Java, Indonesia', 'global_code': '6P3JW527+FR'}",0.0,ChIJIX-J5EXteC4Rdm9ZYs7-z-4,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,https://www.google.com/maps/place/?q=place_id:ChIJIX-J5EXteC4Rdm9ZYs7-z-4
OPERATIONAL,"V5X7+G4P, Kepanjen Kidul, Kepanjenkidul, Blitar City, East Java 66117, Indonesia","{'location': {'lat': -8.101172199999999, 'lng': 112.1628162}, 'viewport': {'northeast': {'lat': -8.099787120107276, 'lng': 112.1641504298927}, 'southwest': {'lat': -8.10248677989272, 'lng': 112.1614507701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Patung Bung Karno,,ChIJeUsjjzzteC4R05snhswqWKA,,5.0,ChIJeUsjjzzteC4R05snhswqWKA,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,"[{'height': 466, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101002355053223413470"">A Google User</a>'], 'photo_reference': 'AUGGfZmxnate5E8UfKJYeMofBTzXtdt23fMMUDJD_kybpPxGrAeTILX7nWEIE6jnBdTC_rhgV7vOH7tlaEdT1JChHNFRqxn6nvTsZRuT7VCkL8mjL0IDOAZHE3yEbtZ1wsG9S1WJswjpsYhvqI52WC6tqkzHm6_leHbFX8caAPAna1DPmTqg', 'width': 639}]",https://www.google.com/maps/place/?q=place_id:ChIJeUsjjzzteC4R05snhswqWKA
OPERATIONAL,"Jl. Merdeka, Kepanjen Lor, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66117, Indonesia","{'location': {'lat': -8.0992905, 'lng': 112.165198}, 'viewport': {'northeast': {'lat': -8.097809920107277, 'lng': 112.1665557798927}, 'southwest': {'lat': -8.100509579892721, 'lng': 112.1638561201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Taman Pecut Kota Blitar,{'open_now': False},ChIJgw_-lRLseC4Rqjtr0VDm_GA,"{'compound_code': 'W528+73 Kepanjen Lor, Blitar City, East Java, Indonesia', 'global_code': '6P3JW528+73'}",4.4,ChIJgw_-lRLseC4Rqjtr0VDm_GA,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",1194.0,"[{'height': 1546, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102458286970896109727"">Info Seputaran Blitar</a>'], 'photo_reference': 'AUGGfZkxUAh4c8-oBp0HILYYs69tY4X0VvUDe60THoEzoeef6PcmEotzC64ZbBEMl6VRwWKRzKWYjcLss9dY3exUmjFaZ-UvA8gjexuywFWrhTYC3GXjgpLzwvmrpwrHUqaMrXhaubtOFay8LZEdoAWKD7FX7-4KlptyjS9s8Qa5Sz7oz9Bx', 'width': 1932}]",https://www.google.com/maps/place/?q=place_id:ChIJgw_-lRLseC4Rqjtr0VDm_GA
OPERATIONAL,"Jl. Jenderal Sudirman No.16, Kepanjen Lor, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66112, Indonesia","{'location': {'lat': -8.0971142, 'lng': 112.1717017}, 'viewport': {'northeast': {'lat': -8.095773570107278, 'lng': 112.1731026798927}, 'southwest': {'lat': -8.098473229892722, 'lng': 112.1704030201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Travel Bongares 3D Blitar,{'open_now': False},ChIJy5kzMWzseC4Rqyt1FEbT-Ds,"{'compound_code': 'W53C+5M Kepanjen Lor, Blitar City, East Java, Indonesia', 'global_code': '6P3JW53C+5M'}",3.9,ChIJy5kzMWzseC4Rqyt1FEbT-Ds,"['tourist_attraction', 'point_of_interest', 'establishment']",119.0,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113438453070957098186"">A Google User</a>'], 'photo_reference': 'AUGGfZnWnxP70nUVACl-g0kjXanf-iEO9xnlFupPfCsZ6weTgSKYqK1RE1eSv-BO75iPKDIrpNJoOxC5nvnCtFp8iZqpD3hts9AUYtCzMtH5RryLan8vA_waC-34pUwNpkMokPOWzCtLWfpjG6x2VJFW0PRW6M3Ox1ZYsqGvgfcO9CeceJ0-', 'width': 1080}]",https://www.google.com/maps/place/?q=place_id:ChIJy5kzMWzseC4Rqyt1FEbT-Ds
OPERATIONAL,"Jl. Merdeka, Kepanjen Lor, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66117, Indonesia","{'location': {'lat': -8.0981595, 'lng': 112.1651847}, 'viewport': {'northeast': {'lat': -8.096430450000001, 'lng': 112.1665731298927}, 'southwest': {'lat': -8.09988345, 'lng': 112.1638734701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Alun-Alun Kota Blitar,,ChIJKTRU5hLseC4RF-TcIIovLcE,"{'compound_code': 'W528+P3 Kepanjen Lor, Blitar City, East Java, Indonesia', 'global_code': '6P3JW528+P3'}",4.5,ChIJKTRU5hLseC4RF-TcIIovLcE,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",21035.0,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114151121336022832634"">Pranowo Handy</a>'], 'photo_reference': 'AUGGfZmHsh3h88QV2DLVTmxVKlD1lc_f7-vE8zoxwyPri_ND_xIHNStEi62XKHgIR_qzPTtAhbo74sjcoyK9ik7BI1Iq7OJfyfgBRRr0eIX3Q0GIOmZPgZkpGX2vgNCAC2EJ_xjFNjN_puwMOOugDAdRIRDjsMPNKdqEDWud1JHlXxVzrYXr', 'width': 4032}]",https://www.google.com/maps/place/?q=place_id:ChIJKTRU5hLseC4RF-TcIIovLcE
OPERATIONAL,"W536+R96, Kauman, Kepanjenkidul, Blitar City, East Java, Indonesia","{'location': {'lat': -8.095462699999999, 'lng': 112.1609056}, 'viewport': {'northeast': {'lat': -8.094046370107279, 'lng': 112.1620855798927}, 'southwest': {'lat': -8.096746029892723, 'lng': 112.1593859201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Blitar park,,ChIJp0YmaQDteC4R2ZqhQ_vjUJM,,5.0,ChIJp0YmaQDteC4R2ZqhQ_vjUJM,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,https://www.google.com/maps/place/?q=place_id:ChIJp0YmaQDteC4R2ZqhQ_vjUJM
OPERATIONAL,"V5P4+QQ3, Jl. Jeruk, RT.002/RW.006, Karangsari, Kec. Sukorejo, Kota Blitar, Jawa Timur 67125, Indonesia","{'location': {'lat': -8.1128915, 'lng': 112.1570206}, 'viewport': {'northeast': {'lat': -8.111528220107278, 'lng': 112.1583309798927}, 'southwest': {'lat': -8.114227879892722, 'lng': 112.1556313201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PETIK BELIMBING KARANGSARI,{'open_now': False},ChIJn8D4uvfreC4R5t8igY-fW7c,,4.4,ChIJn8D4uvfreC4R5t8igY-fW7c,"['tourist_attraction', 'point_of_interest', 'establishment']",1291.0,"[{'height': 1310, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105290645798622912205"">novi nurhayati</a>'], 'photo_reference': 'AUGGfZkquKxj8JF5T2UYx-9Ys_m_XxGzpFpcE4-JrQormkTk4HSQ9y7xpMMuYAYdefxzz6ztzac1Yn_6SLmxFuTlFq7TXCqCie6xhMzxaqAkL-oT6Mdnjzb8uhl__pkKBR0XxTVg1NL_yvnSsHu6Xtrq-WHGFvQiXdKhFv-aAtMl5zKdP5qA', 'width': 1600}]",https://www.google.com/maps/place/?q=place_id:ChIJn8D4uvfreC4R5t8igY-fW7c
OPERATIONAL,"V5X4+3C6, Sukorejo, Blitar City, East Java, Indonesia","{'location': {'lat': -8.1023357, 'lng': 112.1560029}, 'viewport': {'northeast': {'lat': -8.101018170107277, 'lng': 112.1573597298927}, 'southwest': {'lat': -8.103717829892721, 'lng': 112.1546600701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Simpang 3 Cempaka,,ChIJQ-_9TADteC4Rvz-G5Qh7axA,,0.0,ChIJQ-_9TADteC4Rvz-G5Qh7axA,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117304210656013208307"">A Google User</a>'], 'photo_reference': 'AUGGfZlw169cK4pftKOcKKpUjthV-yN7_g45165NmB9lA98go8HH8wwJiM0q4oX-mP9FRp5puHZ1K70H-DGHWD15JoqAFhqlrHCzsi08bpH5halNQDLW1pkYc16Oewd5JgwakYKHpqxRsr5_lL2npZ9M3dNdxJhYWOwZQu1jUklmHmXkh2Y9', 'width': 4032}]",https://www.google.com/maps/place/?q=place_id:ChIJQ-_9TADteC4Rvz-G5Qh7axA
OPERATIONAL,"V5Q4+2P6, Jl. Jeruk, Karangsari, Kec. Sukorejo, Kota Blitar, Jawa Timur, Indonesia","{'location': {'lat': -8.1124542, 'lng': 112.1567644}, 'viewport': {'northeast': {'lat': -8.11110437010728, 'lng': 112.1581142298927}, 'southwest': {'lat': -8.113804029892723, 'lng': 112.1554145701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Agrowisata karangasri,,ChIJCRFiZADreC4RO7hOQhfkc_E,,0.0,ChIJCRFiZADreC4RO7hOQhfkc_E,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,https://www.google.com/maps/place/?q=place_id:ChIJCRFiZADreC4RO7hOQhfkc_E
OPERATIONAL,"W55F+W9C, Jl. Ir. Soekarno, Sentul, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66113, Indonesia","{'location': {'lat': -8.0901868, 'lng': 112.1733924}, 'viewport': {'northeast': {'lat': -8.088845820107279, 'lng': 112.1747760298927}, 'southwest': {'lat': -8.091545479892723, 'lng': 112.1720763701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pos Tiket Kendaraan Wisata,,ChIJ2XN1zXPteC4RG6mcSYw0nr0,,5.0,ChIJ2XN1zXPteC4RG6mcSYw0nr0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,https://www.google.com/maps/place/?q=place_id:ChIJ2XN1zXPteC4RG6mcSYw0nr0
