business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,permanently_closed,opening_hours,photos,url
OPERATIONAL,"2CPW+26, Bungo Antoi, Tabir Selatan, Merangin Regency, Jambi, Indonesia","{'location': {'lat': -1.9649631, 'lng': 102.4456175}, 'viewport': {'northeast': {'lat': -1.963613270107278, 'lng': 102.4469673298927}, 'southwest': {'lat': -1.966312929892722, 'lng': 102.4442676701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spot ke 2,ChIJx-0XeQBDLi4RMMMvzelR6P0,0.0,ChIJx-0XeQBDLi4RMMMvzelR6P0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJx-0XeQBDLi4RMMMvzelR6P0
CLOSED_TEMPORARILY,"38Q7+FJM, Sido Harjo, Tabir Lintas, Merangin Regency, Jambi 37353, Indonesia","{'location': {'lat': -1.9112977, 'lng': 102.3140407}, 'viewport': {'northeast': {'lat': -1.910286920107277, 'lng': 102.3152734798927}, 'southwest': {'lat': -1.912986579892722, 'lng': 102.3125738201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spot foto,ChIJK4eaweplLi4RU4OxjDUPVHQ,0.0,ChIJK4eaweplLi4RU4OxjDUPVHQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJK4eaweplLi4RU4OxjDUPVHQ
OPERATIONAL,"379M+995, Tambang Baru, Tabir Lintas, Merangin Regency, Jambi 37353, Indonesia","{'location': {'lat': -1.9316089, 'lng': 102.2834934}, 'viewport': {'northeast': {'lat': -1.930112820107278, 'lng': 102.28674705}, 'southwest': {'lat': -1.932812479892722, 'lng': 102.28240885}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Objek Wisata Dam Betuk,ChIJAc9fM29lLi4Rh1mO_B6_J0I,3.9,ChIJAc9fM29lLi4Rh1mO_B6_J0I,"['tourist_attraction', 'point_of_interest', 'establishment']",53,,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112424083705183473744"">Anggi LUGA Studio</a>'], 'photo_reference': 'AUGGfZkNp3m6cHLloqHusfAE7ADJ3dG7rRzcGIeXDsYCfNqBK2nkN8Iry1LgyLNDpEO88J8J9nMqveP2MfTA0HupHJHOA3JRdN46AZwzxA2vKA1EVHzk1_Z3DfPCxJiyrDZ53s0ce1vq81FgYqqW8SqnUD1Aw2EkEpkkLNFRIK3MBRYaxtr4', 'width': 4608}]",https://www.google.com/maps/place/?q=place_id:ChIJAc9fM29lLi4Rh1mO_B6_J0I
CLOSED_TEMPORARILY,"359X+CW7, Aro Island, Tabir Ulu, Merangin Regency, Jambi 37356, Indonesia","{'location': {'lat': -1.9314625, 'lng': 102.1997969}, 'viewport': {'northeast': {'lat': -1.930537520107277, 'lng': 102.2011136298927}, 'southwest': {'lat': -1.933237179892722, 'lng': 102.1984139701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sarolangun,ChIJCa62H8N7Li4Rsm79FfJ9dmY,5.0,ChIJCa62H8N7Li4Rsm79FfJ9dmY,"['tourist_attraction', 'point_of_interest', 'establishment']",1,True,,,https://www.google.com/maps/place/?q=place_id:ChIJCa62H8N7Li4Rsm79FfJ9dmY
OPERATIONAL,"WFXC+4G, Karang Berahi, Pamenang, Merangin Regency, Jambi 37352, Indonesia","{'location': {'lat': -2.0522264, 'lng': 102.4713261}, 'viewport': {'northeast': {'lat': -2.050876570107278, 'lng': 102.4726759298927}, 'southwest': {'lat': -2.053576229892722, 'lng': 102.4699762701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau tamalam,ChIJRw-5bxRBLi4RK9bMu4uG9jA,4.5,ChIJRw-5bxRBLi4RK9bMu4uG9jA,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,"[{'height': 1872, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109318111676380567588"">A Google User</a>'], 'photo_reference': 'AUGGfZlV8z1ZinmRp7oKrP0Z1CT8hVy7MCYAQbHKKt5_c-LoI05nwxUrkbx60Mg7q5Ym_WS9sEJMayEKGAk8cmWKe_60uNKPVPWkhYuOCySprnUSBpKLDlVPlCyeqkRCNTq-g8Wz5TFM59bqUvJOWCM8DZmN5gYlIN7G_mN_PZzwLJ80o4H2', 'width': 4160}]",https://www.google.com/maps/place/?q=place_id:ChIJRw-5bxRBLi4RK9bMu4uG9jA
OPERATIONAL,"348H+8H5, Rantau Ngaro, Tabir Ulu, Merangin Regency, Jambi 37356, Indonesia","{'location': {'lat': -1.9342377, 'lng': 102.1289715}, 'viewport': {'northeast': {'lat': -1.932887870107277, 'lng': 102.1303213298927}, 'southwest': {'lat': -1.935587529892722, 'lng': 102.1276216701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Puncak Seribu tangga Ngarau,ChIJQ4LCY5Z5Li4RwLZo_SxVo5M,4.0,ChIJQ4LCY5Z5Li4RwLZo_SxVo5M,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113516728631001187349"">A Google User</a>'], 'photo_reference': 'AUGGfZnviqdUnUsK1WfES2hfOEjsSVRdra1szx-earE81F3SJOnguYZjKD2cIPJEE4h9LzOTF59SckoESDjY3xnocmjCyPpMiEER7IU2QiV3rUMKXh9n5IjsCjRG2WI45fP_5O-C2G26LUfIzFJ6WkhgJSspJH11k8DwuuG-Jf8eZ6GT8jJ3', 'width': 960}]",https://www.google.com/maps/place/?q=place_id:ChIJQ4LCY5Z5Li4RwLZo_SxVo5M
OPERATIONAL,"W8R9+4WM, Jl. Raya Lintas Utama Sumatera, Langling, Kec. Bangko, Kabupaten Merangin, Jambi 37311, Indonesia","{'location': {'lat': -2.0596658, 'lng': 102.3198085}, 'viewport': {'northeast': {'lat': -2.058576720107278, 'lng': 102.3215288298927}, 'southwest': {'lat': -2.061276379892722, 'lng': 102.3188291701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Batu Dusun Mudo,ChIJC3y5VvRsLi4RihyFndG1wuw,3.7,ChIJC3y5VvRsLi4RihyFndG1wuw,"['tourist_attraction', 'point_of_interest', 'establishment']",117,,{'open_now': True},"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115628895546664482677"">Linda Usmayati</a>'], 'photo_reference': 'AUGGfZlhkRcSiJNS-wz2kcCiXAsxgepFCTfYEu8a6gGcfIVoq3StQmhoiQTzNcv-KQgnw48h0n_sLdyHQJYGpAnZZjYSRgpyb_Ki6zFFKaHI1Pe8lysaKYWw-AMXBy5pAFQPXppnxpi_KUBfpZIYxiKSRM0sP83LdBnuEUfd7WvaP6Uh8lmo', 'width': 4128}]",https://www.google.com/maps/place/?q=place_id:ChIJC3y5VvRsLi4RihyFndG1wuw
OPERATIONAL,"279M+26Q, Mentawak, Nalo Tantan, Merangin Regency, Jambi, Indonesia","{'location': {'lat': -1.9824056, 'lng': 102.2831209}, 'viewport': {'northeast': {'lat': -1.981188570107278, 'lng': 102.2843663798927}, 'southwest': {'lat': -1.983888229892722, 'lng': 102.2816667201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dompeng slamet,ChIJ5dEgPABvLi4RfHL2jnjticQ,0.0,ChIJ5dEgPABvLi4RfHL2jnjticQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ5dEgPABvLi4RfHL2jnjticQ
OPERATIONAL,"W7GG+F6C, Pasar Bawah,, Ps. Atas Bangko, Kec. Bangko, Kabupaten Merangin, Jambi 37313, Indonesia","{'location': {'lat': -2.0738182, 'lng': 102.2755095}, 'viewport': {'northeast': {'lat': -2.072447470107277, 'lng': 102.2768715798927}, 'southwest': {'lat': -2.075147129892722, 'lng': 102.2741719201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Tiung,ChIJ6YwtMG1tLi4RX0rXqpGlPh8,4.0,ChIJ6YwtMG1tLi4RX0rXqpGlPh8,"['zoo', 'tourist_attraction', 'point_of_interest', 'establishment']",118,,{'open_now': True},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105563733394048815450"">Khoirul Fadilah</a>'], 'photo_reference': 'AUGGfZmjeBJ9PDE8bTG1yVhM0EsosLdXjTz6EvDEfW0BNPkdgUputAvOZ7SbQHMEGE-GoDuHDG6YYii7E9xBrLZfGSgQy1y51wx5eJMw27T80eZkNMfYtI4_1vjKkmfw8vqxxfPBc7f47sVo0MPRPF8NBHslu5qnPCk_1zobVEiW47S2Zq1_', 'width': 4032}]",https://www.google.com/maps/place/?q=place_id:ChIJ6YwtMG1tLi4RX0rXqpGlPh8
OPERATIONAL,"V6RV+XMR, Kungkai, Bangko, Merangin Regency, Jambi 37311, Indonesia","{'location': {'lat': -2.1075072, 'lng': 102.2441547}, 'viewport': {'northeast': {'lat': -2.106425220107278, 'lng': 102.2448943798927}, 'southwest': {'lat': -2.109124879892722, 'lng': 102.2421947201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PULOA TENGEAH,ChIJRc9sN2INLi4Rb_bkngSUQcU,5.0,ChIJRc9sN2INLi4Rb_bkngSUQcU,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJRc9sN2INLi4Rb_bkngSUQcU
