formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,reference,types,business_status,opening_hours,photos,rating,user_ratings_total,plus_code,permanently_closed,url
"Puncak Regency, Papua, Indonesia","{'location': {'lat': -3.8649098, 'lng': 137.6061625}, 'viewport': {'northeast': {'lat': -2.9639389, 'lng': 137.951955}, 'southwest': {'lat': -4.221461, 'lng': 136.881591}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Puncak Regency,ChIJ2xzZUyIdGGgRBQBHo1NVKGA,ChIJ2xzZUyIdGGgRBQBHo1NVKGA,"['administrative_area_level_2', 'political']",,,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ2xzZUyIdGGgRBQBHo1NVKGA
"7XX6+FJQ, Wuyukwi, Mulia, Puncak Jaya Regency, Papua 98973, Indonesia","{'location': {'lat': -3.7012975, 'lng': 137.9616037}, 'viewport': {'northeast': {'lat': -3.699943670107278, 'lng': 137.9629428798928}, 'southwest': {'lat': -3.702643329892722, 'lng': 137.9602432201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tugu Salib bandara,ChIJB5BEuqLXF2gRTRjal70ZKJA,ChIJB5BEuqLXF2gRTRjal70ZKJA,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},"[{'height': 473, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101133400787634982265"">Alex Pinibo</a>'], 'photo_reference': 'AUGGfZk7sHxVtz-O_3iOjFN31E-NGAstRXQx8E1Yo5iSQYrOw2i0AETODoFZnLmXKwPwKLpIEo2gR_rJ1j502yDxbbXTOkhs_j2V9cjv9RpMp1ALnZVNgCZB3pznKC6Cr8Wj8jx5rBi-XPOF8paoHAJfg0bV9rabsrO2YKCWQfIex3Dc64WP', 'width': 684}]",5.0,1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJB5BEuqLXF2gRTRjal70ZKJA
"X465+G46, Arwandop, Tembagapura, Mimika Regency, Papua 98972, Indonesia","{'location': {'lat': -4.0387078, 'lng': 137.1077783}, 'viewport': {'northeast': {'lat': -4.037270320107279, 'lng': 137.1090314298927}, 'southwest': {'lat': -4.039969979892723, 'lng': 137.1063317701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Museum Tambang PT Freeport Indonesia,ChIJIaAnBz3oImgR131oHm8p0-o,ChIJIaAnBz3oImgR131oHm8p0-o,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110934582936818970853"">Marchellinus Demas</a>'], 'photo_reference': 'AUGGfZnlwNJrY5675HdwqwYY_93Zf0MWjeaPYXoVBcou9qcaXIRtsGJk4apUieUtHBSjJOV7BmFkDpaWe4LtKh5HgXmVjv6DLdBt_dod1h_0Yd62g9-SLboWiScmJP3N06gjOjzxsTviukCkvbX8IuJtoRkF2O_XllXZBRA2JWF6REXodgfi', 'width': 4032}]",4.6,218.0,,,https://www.google.com/maps/place/?q=place_id:ChIJIaAnBz3oImgR131oHm8p0-o
"65JM+3XG, Misimaga, Gome, Puncak Regency, Papua 98971, Indonesia","{'location': {'lat': -3.7698162, 'lng': 137.1849668}, 'viewport': {'northeast': {'lat': -3.768466370107278, 'lng': 137.1863166298927}, 'southwest': {'lat': -3.771166029892722, 'lng': 137.1836169701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Iabong,ChIJxXIomA2hImgRnEn2r41hwPk,ChIJxXIomA2hImgRnEn2r41hwPk,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},,0.0,0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJxXIomA2hImgRnEn2r41hwPk
"Karang Senang, Kuala Kencana, Mimika Regency, Papua 99910, Indonesia","{'location': {'lat': -4.4755482, 'lng': 136.852084}, 'viewport': {'northeast': {'lat': -4.474192770107278, 'lng': 136.8533154798927}, 'southwest': {'lat': -4.476892429892722, 'lng': 136.8506158201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Agro Minalestari,ChIJ6xXzPDV1I2gRfGf5Kzq7wUk,ChIJ6xXzPDV1I2gRfGf5Kzq7wUk,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111859609006643479309"">A Google User</a>'], 'photo_reference': 'AUGGfZlUZJG5ddUoMcs7pxySHUFY5cY9nyQF6mJxjynTsq5xV4Q1GiHlj9ahSUZ4GYlbUOmETIcF1XeVdj1tEY7KvYAiz3IpNIcXvq5v2dl2xjUV241YmwuZML17SvUXq2udN5s1ydtGVYxfuZRkckDIWOOfU0fT5Qpr5q3kqpitzI48hie7', 'width': 3000}]",4.3,31.0,"{'compound_code': 'GVF2+QR Karang Senang, Mimika Regency, Papua, Indonesia', 'global_code': '6Q7RGVF2+QR'}",,https://www.google.com/maps/place/?q=place_id:ChIJ6xXzPDV1I2gRfGf5Kzq7wUk
"W5P2+HCJ, Tembagapura, Arwandop, Tembagapura, Kec. Tembagapura, Kabupaten Mimika, Papua 98972, Indonesia","{'location': {'lat': -4.0635325, 'lng': 137.1510304}, 'viewport': {'northeast': {'lat': -4.062182670107278, 'lng': 137.1523802298927}, 'southwest': {'lat': -4.064882329892723, 'lng': 137.1496805701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau 2 Grasberg,ChIJmUS645PCImgRr8P_M5vz3Xk,ChIJmUS645PCImgRr8P_M5vz3Xk,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101551746360350933239"">Kades Asmat</a>'], 'photo_reference': 'AUGGfZnl-Cd1qCVY7FDlzna3axgQ2KxEM-FELe6hT1EZJFZTETsyRaHrKC1ZPet0HfW2B3yG_AtDj8Dm47bqi_Q6Fe8ZV9J-SHns3MnKOPT5JZ6VtqfYzWlP420juXAq_8sKb8pU-4P_8mZ9hOIwSbDCGb7BIK5dBKHNYy9RTlgHNCsq2ELc', 'width': 2048}]",5.0,3.0,,,https://www.google.com/maps/place/?q=place_id:ChIJmUS645PCImgRr8P_M5vz3Xk
"W4QQ+QVR, Arwandop, Tembagapura, Mimika Regency, Papua 98972, Indonesia","{'location': {'lat': -4.0605223, 'lng': 137.1396407}, 'viewport': {'northeast': {'lat': -4.059172470107279, 'lng': 137.1409905298927}, 'southwest': {'lat': -4.061872129892723, 'lng': 137.1382908701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Zebra Wall Grasberg,ChIJey_ewZzCImgRAJSPJc9gn0U,ChIJey_ewZzCImgRAJSPJc9gn0U,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106304515768482184164"">Edwit Surachmat</a>'], 'photo_reference': 'AUGGfZk5_JMPIy07w1YlNVRt1mZ3JtcG4sdvS5gimS1qI5EfHv4jveeVi2k-hcqDVp3AVay5RwwAlq86YoF72j_kdq20bM8si_Mo66-H1FOeyw2sK-ukuRx0ggOFM7RE-0TjltNpl1F_DXrqWr7hdC2_k1jfCddNEme5oOohQMLBkupeqQwD', 'width': 4032}]",3.0,2.0,,,https://www.google.com/maps/place/?q=place_id:ChIJey_ewZzCImgRAJSPJc9gn0U
"W5H8+HMH, Tembagapura, Mimika Regency, Papua 98972, Indonesia","{'location': {'lat': -4.071062299999999, 'lng': 137.1667265}, 'viewport': {'northeast': {'lat': -4.069712470107278, 'lng': 137.1680763298927}, 'southwest': {'lat': -4.072412129892722, 'lng': 137.1653766701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/camping-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/camping_pinlet,Carstensz Pyramid Base Camp,ChIJIVEyRd3CImgRsroUHGmpYu8,ChIJIVEyRd3CImgRsroUHGmpYu8,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",OPERATIONAL,,"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103590658125631917614"">Katan Lee</a>'], 'photo_reference': 'AUGGfZkbjDnme9xOLgAUst22qAzJIA2w6uidmLpt4WHxCxVB2qmjAKlT5tjgl3vG-LkfzVMV_HplfvK7T7IL8G0x1N0ShGJLvKbHKJxGrPa3uyo6oymwZHN8yvh0B6x2uhBg0LKmcsUPjV5V0qLUnZjVkVgsp56__qwbzINkzKx7bxwHOnV3', 'width': 1152}]",4.5,31.0,,,https://www.google.com/maps/place/?q=place_id:ChIJIVEyRd3CImgRsroUHGmpYu8
"Jl. Trans Nabire, Utikini Baru, Kec. Kuala Kencana, Kabupaten Mimika, Papua 99910, Indonesia","{'location': {'lat': -4.4503312, 'lng': 136.8363792}, 'viewport': {'northeast': {'lat': -4.448672670107278, 'lng': 136.8377276798927}, 'southwest': {'lat': -4.451372329892722, 'lng': 136.8350280201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Baliem Waga Waga,ChIJCe9NhX51I2gRZKMuCbXpDDc,ChIJCe9NhX51I2gRZKMuCbXpDDc,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},"[{'height': 3088, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113356247567135833497"">Maya Rumpaisum</a>'], 'photo_reference': 'AUGGfZn0gOxmydeka4m-OfmvF6Dc5_D_KjuD3SWIV4RhERWRu6-fMKeqYkSF_SWX7ydQw_iqpwj0jT6R_LniD1iF9tXzQf2XxZ78fGYJ4O5xmGHvN8-6H7rqGn9efRgE0u7u-NvtzlFZKwOvXD9ANNswjEzPpYQLaHA1RbcngQ0FfuirQslU', 'width': 3088}]",4.6,23.0,"{'compound_code': 'GRXP+VH Utikini Baru, Mimika Regency, Papua, Indonesia', 'global_code': '6Q7RGRXP+VH'}",,https://www.google.com/maps/place/?q=place_id:ChIJCe9NhX51I2gRZKMuCbXpDDc
"Ilaga, Puncak Regency, Papua, Indonesia","{'location': {'lat': -4.0460389, 'lng': 137.5275422}, 'viewport': {'northeast': {'lat': -3.842675, 'lng': 137.77041}, 'southwest': {'lat': -4.221461, 'lng': 137.2913811}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ilaga,ChIJPztnCaE2PWgRNSmxWQKo9w8,ChIJPztnCaE2PWgRNSmxWQKo9w8,"['administrative_area_level_3', 'political']",,,"[{'height': 1356, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116548849033309178919"">gde sugianyar dwi putra</a>'], 'photo_reference': 'AUGGfZn_6OT4llzJth-Hlpnd7IsUpHTOkU1EVtV5D_dxZ4s5fW-6i3eYg_PdgTYwS5uSdhwYoFzqxqPxp-Ru8g2YU8aCBSsR7NVv2YnNwKjYhZtS80poiw5KbXe8DAeDMWrM4Ki8w4GlYko7neZPlQ-ZVapQZB86uU_dnyHqHkSTdVaWKWgF', 'width': 2048}]",,,,,https://www.google.com/maps/place/?q=place_id:ChIJPztnCaE2PWgRNSmxWQKo9w8
