business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,rating,reference,types,user_ratings_total,photos,permanently_closed,url
OPERATIONAL,"65JM+3XG, Misimaga, Gome, Puncak Regency, Papua 98971, Indonesia","{'location': {'lat': -3.7698162, 'lng': 137.1849668}, 'viewport': {'northeast': {'lat': -3.768466370107278, 'lng': 137.1863166298927}, 'southwest': {'lat': -3.771166029892722, 'lng': 137.1836169701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Iabong,{'open_now': True},ChIJxXIomA2hImgRnEn2r41hwPk,0.0,ChIJxXIomA2hImgRnEn2r41hwPk,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJxXIomA2hImgRnEn2r41hwPk
,"Ilaga, Puncak Regency, Papua, Indonesia","{'location': {'lat': -4.0460389, 'lng': 137.5275422}, 'viewport': {'northeast': {'lat': -3.842675, 'lng': 137.77041}, 'southwest': {'lat': -4.221461, 'lng': 137.2913811}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ilaga,,ChIJPztnCaE2PWgRNSmxWQKo9w8,,ChIJPztnCaE2PWgRNSmxWQKo9w8,"['administrative_area_level_3', 'political']",,"[{'height': 1356, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116548849033309178919"">gde sugianyar dwi putra</a>'], 'photo_reference': 'AUGGfZlMVKfnypm-mjWHtO50sjGx6Sr-Phad0O6s0VKMrHdzIP-ImMEHH8JA8AeHNjWktJ9yFdRRCbGPq_ylQPRzrDMsOuPKHrSUMQtpSYB24lNdxQTbaeCuzTlpEygWMHCmR-6ZpKr1s_c17FwmApi_64YRQZzL9iNp7qnlIGpMVR2ZRKp-', 'width': 2048}]",,https://www.google.com/maps/place/?q=place_id:ChIJPztnCaE2PWgRNSmxWQKo9w8
OPERATIONAL,"2JGR+W6W, Kimak, Ilaga, Puncak Regency, Papua 98972, Indonesia","{'location': {'lat': -3.9725979, 'lng': 137.6405398}, 'viewport': {'northeast': {'lat': -3.971213170107278, 'lng': 137.6418555798927}, 'southwest': {'lat': -3.973912829892722, 'lng': 137.6391559201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,ISTANA KUNING,,ChIJHRVuTiFHPWgRCfkI7EWOGgE,3.0,ChIJHRVuTiFHPWgRCfkI7EWOGgE,"['lodging', 'point_of_interest', 'establishment']",1.0,"[{'height': 2076, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101112721042934361799"">Fred Yanggo</a>'], 'photo_reference': 'AUGGfZlo-_Ng4oTWolvy4fhLal_zJcX_B7-MTrSgso3bhPILCqCYNDgoISr9fLxv27ePkyoDkmAquEt8FjYDEuxiSN-OvRBmcTrOVhnNNsNKqYU_sF6aJ--IgvqsKBXkGoIP2DP4_bEstz9qa1lgz6qWb2UXc9Q9_111y-Zvi96qFsWde3AU', 'width': 4608}]",,https://www.google.com/maps/place/?q=place_id:ChIJHRVuTiFHPWgRCfkI7EWOGgE
OPERATIONAL,"4J7X+V3, Pologak, Ilaga, Puncak Regency, Papua, Indonesia","{'location': {'lat': -3.8852926, 'lng': 137.6475675}, 'viewport': {'northeast': {'lat': -3.883942770107278, 'lng': 137.6489173298927}, 'southwest': {'lat': -3.886642429892722, 'lng': 137.6462176701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Dang me muara en pabulume,,ChIJj9ozIgBFPWgRZKCHGovSac0,0.0,ChIJj9ozIgBFPWgRZKCHGovSac0,"['lodging', 'point_of_interest', 'establishment']",0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJj9ozIgBFPWgRZKCHGovSac0
OPERATIONAL,"W5P2+HCJ, Tembagapura, Arwandop, Tembagapura, Kec. Tembagapura, Kabupaten Mimika, Papua 98972, Indonesia","{'location': {'lat': -4.0635325, 'lng': 137.1510304}, 'viewport': {'northeast': {'lat': -4.062182670107278, 'lng': 137.1523802298927}, 'southwest': {'lat': -4.064882329892723, 'lng': 137.1496805701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau 2 Grasberg,,ChIJmUS645PCImgRr8P_M5vz3Xk,5.0,ChIJmUS645PCImgRr8P_M5vz3Xk,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101551746360350933239"">Kades Asmat</a>'], 'photo_reference': 'AUGGfZnLu0wF8zzd4Y1olH0Am4-6qogw4rAek2kALzrr4az_VVoWodONEGwyVJT9biH6pEZV-AyJ_gArJUSOHHI8VpBtYCyejgCm_qRzUKPiiA49LPmckRmaqosnl-6FhRMdmQlM2UTGdQALEn92ryPHesO2KV-d_q4Xm3LTo4zSAwoXJiIM', 'width': 2048}]",,https://www.google.com/maps/place/?q=place_id:ChIJmUS645PCImgRr8P_M5vz3Xk
OPERATIONAL,"W4QQ+QVR, Arwandop, Tembagapura, Mimika Regency, Papua 98972, Indonesia","{'location': {'lat': -4.0605223, 'lng': 137.1396407}, 'viewport': {'northeast': {'lat': -4.059172470107279, 'lng': 137.1409905298927}, 'southwest': {'lat': -4.061872129892723, 'lng': 137.1382908701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Zebra Wall Grasberg,,ChIJey_ewZzCImgRAJSPJc9gn0U,3.0,ChIJey_ewZzCImgRAJSPJc9gn0U,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106304515768482184164"">Edwit Surachmat</a>'], 'photo_reference': 'AUGGfZkOKcmLO8CBBEWin1jn21_ePVDU4tGGKH2qf1mk0CzoNEzRFshmlh2NwFhT8tVMr2q0Pd3NXW_XrwhJUAKnfjgAExR30zNHPJ5MeY_GvJ-tEipJURMpJidMFhUivnvBI96FrdSF7iuw9mtyZExeMPWhbCayd7-BOGAXOxnOMK7bffmo', 'width': 4032}]",,https://www.google.com/maps/place/?q=place_id:ChIJey_ewZzCImgRAJSPJc9gn0U
OPERATIONAL,"W5P3+GJG, Arwandop, Tembagapura, Mimika Regency, Papua 98972, Indonesia","{'location': {'lat': -4.0636937, 'lng': 137.154079}, 'viewport': {'northeast': {'lat': -4.062343870107278, 'lng': 137.1554288298927}, 'southwest': {'lat': -4.065043529892722, 'lng': 137.1527291701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau 3 Grasberg,,ChIJp5TLbpPCImgRV92sAb0mSrk,5.0,ChIJp5TLbpPCImgRV92sAb0mSrk,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103465198371003958017"">Petrus Permana</a>'], 'photo_reference': 'AUGGfZk7K3uUnxBElkP1kj6waj8cwdhn-wKHQw3_sIoDJVK1E9calkxf3m2fKtCet_sc-zAXoRY5KO3AmajqGQIzBMs2Nute59LdEGkRnJTvMEOFBFLfHELVKBRG76tu9BUKmE13HKhRbbLD3c5uQTVgVGdB6s3WjCB_JhpN83z-3sOOIuFP', 'width': 1080}]",,https://www.google.com/maps/place/?q=place_id:ChIJp5TLbpPCImgRV92sAb0mSrk
OPERATIONAL,"2JFR+5GH, Kimak, Ilaga, Puncak Regency, Papua 98972, Indonesia","{'location': {'lat': -3.977099, 'lng': 137.641295}, 'viewport': {'northeast': {'lat': -3.975764920107278, 'lng': 137.6426193298927}, 'southwest': {'lat': -3.978464579892722, 'lng': 137.6399196701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kost Panjang Kago,,ChIJ843pVO1HPWgR7BoyfwNwir4,0.0,ChIJ843pVO1HPWgR7BoyfwNwir4,"['lodging', 'point_of_interest', 'establishment']",0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ843pVO1HPWgR7BoyfwNwir4
CLOSED_TEMPORARILY,"58GJ+GP, Dambet, Beoga, Puncak Regency, Papua 98971, Indonesia","{'location': {'lat': -3.8236279, 'lng': 137.3318579}, 'viewport': {'northeast': {'lat': -3.822278070107278, 'lng': 137.3332077298927}, 'southwest': {'lat': -3.824977729892722, 'lng': 137.3305080701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,FIN TSKA,,ChIJe25kw6yvImgRA4dVXvZsndI,0.0,ChIJe25kw6yvImgRA4dVXvZsndI,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,True,https://www.google.com/maps/place/?q=place_id:ChIJe25kw6yvImgRA4dVXvZsndI
CLOSED_TEMPORARILY,"R68W+J5, Tsinga, Tembagapura, Mimika Regency, Papua, Indonesia","{'location': {'lat': -4.183444, 'lng': 137.245379}, 'viewport': {'northeast': {'lat': -4.182094170107278, 'lng': 137.2467288298927}, 'southwest': {'lat': -4.184793829892722, 'lng': 137.2440291701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Yuwalia,,ChIJ05NcvGDZImgRhzc5Dm9nUnw,0.0,ChIJ05NcvGDZImgRhzc5Dm9nUnw,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,True,https://www.google.com/maps/place/?q=place_id:ChIJ05NcvGDZImgRhzc5Dm9nUnw
