business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,url
OPERATIONAL,"V8M7+XMH, Undurara, Naikere, Teluk Wondama Regency, West Papua, Indonesia","{'location': {'lat': -3.1150734, 'lng': 134.3142212}, 'viewport': {'northeast': {'lat': -3.113723570107277, 'lng': 134.3155710298927}, 'southwest': {'lat': -3.116423229892722, 'lng': 134.3128713701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Undurara Torowar,ChIJ_zuUxYitSy0RQneYwDKvf7w,0.0,ChIJ_zuUxYitSy0RQneYwDKvf7w,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,https://www.google.com/maps/place/?q=place_id:ChIJ_zuUxYitSy0RQneYwDKvf7w
OPERATIONAL,"XF99+Q4, Sararti, Naikere, Teluk Wondama Regency, West Papua, Indonesia","{'location': {'lat': -3.0305801, 'lng': 134.4677847}, 'viewport': {'northeast': {'lat': -3.029229920107277, 'lng': 134.4691526798927}, 'southwest': {'lat': -3.031929579892722, 'lng': 134.4664530201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Pertigaan Undurara,ChIJVS7-NQAHSy0RZ8oEgHmM7qo,0.0,ChIJVS7-NQAHSy0RZ8oEgHmM7qo,"['park', 'point_of_interest', 'establishment']",0.0,,https://www.google.com/maps/place/?q=place_id:ChIJVS7-NQAHSy0RZ8oEgHmM7qo
OPERATIONAL,"WF48+VF9, Unnamed Road, Sararti, Naikere, Kabupaten Teluk Wondama, Papua Bar. 98362, Indonesia","{'location': {'lat': -3.0928333, 'lng': 134.4662222}, 'viewport': {'northeast': {'lat': -3.091482920107278, 'lng': 134.4675726798928}, 'southwest': {'lat': -3.094182579892722, 'lng': 134.4648730201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Sarati Naikere,Teluk Wondama",ChIJkweMkcgBSy0RtFsRPXQicxI,4.0,ChIJkweMkcgBSy0RtFsRPXQicxI,"['point_of_interest', 'establishment']",1.0,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114685926204756267804"">Anton P</a>'], 'photo_reference': 'AUGGfZm75BrhGFt2pcQxIbMfjRyR0AKb0HtR0s8l0Nc_nGUeVjO5nczs--2QHp12vgsGpT1E3CbsLd2FIJX4V81Rvvpaka_Ka_HkjrIOVKycgCwCI7atttkKAywD04wrcloNsnUN17AKbeBATesvIapgtnJCq44BWgW3sa2y-9OAcIN1D-ZZ', 'width': 4000}]",https://www.google.com/maps/place/?q=place_id:ChIJkweMkcgBSy0RtFsRPXQicxI
,"Naikere, Teluk Wondama Regency, West Papua, Indonesia","{'location': {'lat': -3.199925, 'lng': 134.4748018}, 'viewport': {'northeast': {'lat': -2.939074, 'lng': 134.726801}, 'southwest': {'lat': -3.542639, 'lng': 134.2050849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Naikere,ChIJ3eQrBo75Si0RxZE0BEw2Duo,,ChIJ3eQrBo75Si0RxZE0BEw2Duo,"['administrative_area_level_3', 'political']",,"[{'height': 641, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106193763205944206008"">A Google User</a>'], 'photo_reference': 'AUGGfZkrZAJV_u0M8dpuF5ZaR5SOwJ0-TECU0PcKX_oeuRPqCspzWR9iQebxNKnjK5u_MPKh-QQO8xKrjjJVdcGJMfS8OR63GXJiGQUqpeGlFIGY8XPDSdep4FqVQ6y1ajuJcvsAo0HaOqF-T_LF_sarvS_PUOBmjLxTYXL48H6I1UaBHbJ1', 'width': 1280}]",https://www.google.com/maps/place/?q=place_id:ChIJ3eQrBo75Si0RxZE0BEw2Duo
OPERATIONAL,"7G77+J45, Maniwak, Wasior, Teluk Wondama Regency, West Papua 98362, Indonesia","{'location': {'lat': -2.7360945, 'lng': 134.5122993}, 'viewport': {'northeast': {'lat': -2.734812470107277, 'lng': 134.5136729798927}, 'southwest': {'lat': -2.737512129892722, 'lng': 134.5109733201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Miei,ChIJ63wN-jB7Sy0RkoU5gyuP1x8,5.0,ChIJ63wN-jB7Sy0RkoU5gyuP1x8,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103764612697003397026"">A Google User</a>'], 'photo_reference': 'AUGGfZm9di6JixoeBkUMTu0X_duEtb7ty4r58VQqU5k6vhI9vogD8iFTH0FJ43BwFN0HjwAkWHcCefcMjN4RFvb_U9COZC9u-T_s4GCILziXcdT4kHZT_Xhr7ALS_4pcMjulK-Ek9bjlOuM5jMV8qeLxcaKVTxXjM_duSd7RcWcJ3Np5ij0d', 'width': 3024}]",https://www.google.com/maps/place/?q=place_id:ChIJ63wN-jB7Sy0RkoU5gyuP1x8
OPERATIONAL,"PH9Q+44X, Yabore, Naikere, Teluk Wondama Regency, West Papua, Indonesia","{'location': {'lat': -3.2821358, 'lng': 134.5878439}, 'viewport': {'northeast': {'lat': -3.280785970107277, 'lng': 134.5891937298927}, 'southwest': {'lat': -3.283485629892722, 'lng': 134.5864940701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampung Yabore,ChIJvf75HQDvSi0RrmnyQBbPZ3Q,0.0,ChIJvf75HQDvSi0RrmnyQBbPZ3Q,"['point_of_interest', 'establishment']",0.0,,https://www.google.com/maps/place/?q=place_id:ChIJvf75HQDvSi0RrmnyQBbPZ3Q
OPERATIONAL,"5GPC+9C, Rasiei, Teluk Wondama Regency, West Papua 98362, Indonesia","{'location': {'lat': -2.8140583, 'lng': 134.5210967}, 'viewport': {'northeast': {'lat': -2.8130669, 'lng': 134.5223105298927}, 'southwest': {'lat': -2.8170325, 'lng': 134.5196108701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Wisata Kampung Rasiei,ChIJm3eDPo1xSy0RKAlMr5hUMJw,5.0,ChIJm3eDPo1xSy0RKAlMr5hUMJw,"['tourist_attraction', 'point_of_interest', 'establishment']",6.0,"[{'height': 6944, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107976156051140782936"">andries B. Worisio</a>'], 'photo_reference': 'AUGGfZmJUYC9BxFMOpgm4SwKoxiv1w1wsk1sXtRUSDj4CGmGK1dsxhONDuVOTLDy9DFrRcX9NSp5gYsAfBS1Sv2F8EhZXQkfShjfP5Uf4cgETH50yUQDX6ivbmZbHIkBDqSH1RvkE3ySp9CisPMuHEWtf8P7yYuOeDconpwejVBnQQF6GGON', 'width': 9248}]",https://www.google.com/maps/place/?q=place_id:ChIJm3eDPo1xSy0RKAlMr5hUMJw
OPERATIONAL,"7GJ6+3R, Wasior II, Wasior, Teluk Wondama Regency, West Papua, Indonesia","{'location': {'lat': -2.7198439, 'lng': 134.5121038}, 'viewport': {'northeast': {'lat': -2.718562420107278, 'lng': 134.5130676}, 'southwest': {'lat': -2.721262079892722, 'lng': 134.5092124}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air terjun remoek,ChIJI3XfGRF9Sy0Ro0rXpHXlW8E,0.0,ChIJI3XfGRF9Sy0Ro0rXpHXlW8E,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108805204063608738781"">A Google User</a>'], 'photo_reference': 'AUGGfZk3SSzhw0h0DpmWaqQO8JgihlT5DEW-HT32WSj0STywomfExNCPQO5rrMSgtmA9xvukdLrbFbp5TTUj7UKc8qom1cYv4LJLZoNfl0JLwqyecOnnf7-Q_Raa6GiiaVeK_HbRlEV5H4msI1pAn80Ek13SpgRgec-8yPx2G2dOewUmAK9e', 'width': 3024}]",https://www.google.com/maps/place/?q=place_id:ChIJI3XfGRF9Sy0Ro0rXpHXlW8E
OPERATIONAL,"7GF4+HM9, Wasior I, Wasior, Teluk Wondama Regency, West Papua 98362, Indonesia","{'location': {'lat': -2.726099, 'lng': 134.506737}, 'viewport': {'northeast': {'lat': -2.724717320107278, 'lng': 134.5080753298927}, 'southwest': {'lat': -2.727416979892722, 'lng': 134.5053756701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Teluk wondama,ChIJr-xNTQB9Sy0RLlSUE9C01tM,5.0,ChIJr-xNTQB9Sy0RLlSUE9C01tM,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111098279312008199183"">PELIPUS SAMUEL MAGAI</a>'], 'photo_reference': 'AUGGfZnKDlhwAzNM6N_p_Ib0eqjZ2kK8hmZt-5EyLUnV4Ycodxm5hi_xMuUZUa-FBDipotVQjnV9vz4wv02amUwpBC9EL7dO2DlhEO37ta4CFMX0tdM0OFABbdH55sXDX1AZxK1eQIC3gg76GvD9LbU-Rm9cCnwQkfTlXcjywOLur9QGtxBD', 'width': 1200}]",https://www.google.com/maps/place/?q=place_id:ChIJr-xNTQB9Sy0RLlSUE9C01tM
OPERATIONAL,"5GVP+487, Wondiboi, Wondiboy, Teluk Wondama Regency, West Papua 98362, Indonesia","{'location': {'lat': -2.8072114, 'lng': 134.5358055}, 'viewport': {'northeast': {'lat': -2.806199470107277, 'lng': 134.53705225}, 'southwest': {'lat': -2.808899129892722, 'lng': 134.53206525}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Wondiboi Village,ChIJvWct53JxSy0RSYEnKXiqOi4,5.0,ChIJvWct53JxSy0RSYEnKXiqOi4,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106655711083046558639"">arif mail</a>'], 'photo_reference': 'AUGGfZlbeoB4EXdx5q7Jp5S-bvvi0G0I9VQjgp_jSJ-7hdT-M6BUYpuLFpyhQ43k_FTbY4GhG1LPX8d-QuUBbSiG91CNEJG_jtn23s-qx9hKYFldSALWRsa3RFcDrudavkO25j0Y9rs_9YLwkrzKl0NFgQe9W6guuoBOrurMO1NMm2Angpxm', 'width': 1536}]",https://www.google.com/maps/place/?q=place_id:ChIJvWct53JxSy0RSYEnKXiqOi4
