business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,rating,reference,types,user_ratings_total,plus_code,photos,permanently_closed,url
OPERATIONAL,"89GH+FHG, Dusner, Kuri Wamesa, Teluk Wondama Regency, West Papua, Indonesia","{'location': {'lat': -2.673815, 'lng': 134.3789657}, 'viewport': {'northeast': {'lat': -2.672465170107277, 'lng': 134.3803155298927}, 'southwest': {'lat': -2.675164829892722, 'lng': 134.3776158701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanjung Waterei,{'open_now': False},ChIJY9pSWul_TC0RFCPOcdnwN5E,0.0,ChIJY9pSWul_TC0RFCPOcdnwN5E,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJY9pSWul_TC0RFCPOcdnwN5E
OPERATIONAL,"Ambumi, Kuri Wamesa, Teluk Wondama Regency, West Papua 98346, Indonesia","{'location': {'lat': -2.8551699, 'lng': 134.3236557}, 'viewport': {'northeast': {'lat': -2.853820070107278, 'lng': 134.3250055298927}, 'southwest': {'lat': -2.856519729892722, 'lng': 134.3223058701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wondiwoi Tour,,ChIJpYy8GrCdSy0RZAouXPGl-nQ,0.0,ChIJpYy8GrCdSy0RZAouXPGl-nQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"{'compound_code': '48VF+WF Ambumi, Teluk Wondama Regency, West Papua, Indonesia', 'global_code': '6Q9P48VF+WF'}",,,https://www.google.com/maps/place/?q=place_id:ChIJpYy8GrCdSy0RZAouXPGl-nQ
OPERATIONAL,"7G25+H8Q, Maniwak, Wasior, Teluk Wondama Regency, West Papua, Indonesia","{'location': {'lat': -2.7485404, 'lng': 134.5083625}, 'viewport': {'northeast': {'lat': -2.747212220107278, 'lng': 134.5097797298928}, 'southwest': {'lat': -2.749911879892722, 'lng': 134.5070800701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lorong ketapang,,ChIJzUknf_h7Sy0RFLfFWq_pdCA,4.0,ChIJzUknf_h7Sy0RFLfFWq_pdCA,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,"[{'height': 5333, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110689609234186224299"">Imam Basori</a>'], 'photo_reference': 'AUGGfZkOcr7Yxam0_EKcbfQaPuW7DhClH-nnfCmmYr5qDeAwWCF_AjkXpwfxJeK0xg-7TWAdSEps2u_VqC0JP_t-fFLL5Q7n_tAGWne70gtBXPHjkSPUJnn75BYrzuOwSwwoZQhZgzzseHZymQ8HL1BEGnRS-h54lGyuXExXw46rUyGYxDaH', 'width': 3000}]",,https://www.google.com/maps/place/?q=place_id:ChIJzUknf_h7Sy0RFLfFWq_pdCA
OPERATIONAL,"7GJ6+3R, Wasior II, Wasior, Teluk Wondama Regency, West Papua, Indonesia","{'location': {'lat': -2.7198439, 'lng': 134.5121038}, 'viewport': {'northeast': {'lat': -2.718562420107278, 'lng': 134.5130676}, 'southwest': {'lat': -2.721262079892722, 'lng': 134.5092124}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air terjun remoek,,ChIJI3XfGRF9Sy0Ro0rXpHXlW8E,0.0,ChIJI3XfGRF9Sy0Ro0rXpHXlW8E,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108805204063608738781"">A Google User</a>'], 'photo_reference': 'AUGGfZn7XmtzADXpzXPwY9mKGaqvMsIbV319VsJselhvRR_TdCIzZeN72dnGulrRjhi4HRHTnurt3btvvZBxweBTc1L5MEMRzEwe3c-LiFcAnzesmUHEyCHf_jF9KeDbFEoYGnm6Ap64u4O7YcEeaOM-pVcQ2Lyk2ZQpdVAT-HOoAR3m7sl0', 'width': 3024}]",,https://www.google.com/maps/place/?q=place_id:ChIJI3XfGRF9Sy0Ro0rXpHXlW8E
OPERATIONAL,"7GV6+FM, Moru, Wasior, Teluk Wondama Regency, West Papua, Indonesia","{'location': {'lat': -2.7063183, 'lng': 134.5116891}, 'viewport': {'northeast': {'lat': -2.704968470107278, 'lng': 134.5130389298927}, 'southwest': {'lat': -2.707668129892723, 'lng': 134.5103392701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam remoeks,,ChIJ3cmIC9J9Sy0RHLCkwX4MWss,0.0,ChIJ3cmIC9J9Sy0RHLCkwX4MWss,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108805204063608738781"">A Google User</a>'], 'photo_reference': 'AUGGfZkWM9DGOLjPTH_xFbGFDbAN9hvmTDGflBLigeyPimzCtiP1c9pWTBi0XFvBqXauuJusiD5DHS1O3fjmVqIa-bnm62DtBfeQ9p-p1v-cjS7jX10g75Wf9VJFDup9-_WEZPj1qlAHaEk38WztNm14PMkbGg4SeX-x-EMdBkFEwSvwBWaz', 'width': 3456}]",,https://www.google.com/maps/place/?q=place_id:ChIJ3cmIC9J9Sy0RHLCkwX4MWss
OPERATIONAL,"7GF4+HM9, Wasior I, Wasior, Teluk Wondama Regency, West Papua 98362, Indonesia","{'location': {'lat': -2.726099, 'lng': 134.506737}, 'viewport': {'northeast': {'lat': -2.724717320107278, 'lng': 134.5080753298927}, 'southwest': {'lat': -2.727416979892722, 'lng': 134.5053756701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Teluk wondama,,ChIJr-xNTQB9Sy0RLlSUE9C01tM,5.0,ChIJr-xNTQB9Sy0RLlSUE9C01tM,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111098279312008199183"">PELIPUS SAMUEL MAGAI</a>'], 'photo_reference': 'AUGGfZm_uUWgVzhdRunBzT15nAiDOGXGx123omTf8DaSGuEjbYIDaaHsFZITQwAcnMnDHUKr4SNl9ZDa3qgVuMVTy-J6M35C1TbYVsFd0GX7kEGk1VAttrWs3s_66KJa2yuXunvBIqWBCv6Q2hEm6xc7wIrcuTQLLUF_WoFeHwc2d0Yzy4aL', 'width': 1200}]",,https://www.google.com/maps/place/?q=place_id:ChIJr-xNTQB9Sy0RLlSUE9C01tM
OPERATIONAL,"7G77+J45, Maniwak, Wasior, Teluk Wondama Regency, West Papua 98362, Indonesia","{'location': {'lat': -2.7360945, 'lng': 134.5122993}, 'viewport': {'northeast': {'lat': -2.734812470107277, 'lng': 134.5136729798927}, 'southwest': {'lat': -2.737512129892722, 'lng': 134.5109733201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Miei,,ChIJ63wN-jB7Sy0RkoU5gyuP1x8,5.0,ChIJ63wN-jB7Sy0RkoU5gyuP1x8,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103764612697003397026"">A Google User</a>'], 'photo_reference': 'AUGGfZl7N2Pt6JGjvsCBWxKT7FraD7ZJiRduTptmiZGw0Cg6LgdoEBa0Aa_efkyJbDiUKhAcfVizy-iR54eZabMA9VoLa65q7FU1BEyYPJLFRwopX2A9F_hKeXGMKbL5q4-0PpGTu717CkZExN1Q-gBgMmzJgZXa3wUm9xYWVGEfacpc_mFJ', 'width': 3024}]",,https://www.google.com/maps/place/?q=place_id:ChIJ63wN-jB7Sy0RkoU5gyuP1x8
OPERATIONAL,"7G24+RGQ, Unnamed Road, Maniwak, Distrik Wasior, Kabupaten Teluk Wondama, Papua Bar. 98362, Indonesia","{'location': {'lat': -2.7479085, 'lng': 134.5063719}, 'viewport': {'northeast': {'lat': -2.746899870107278, 'lng': 134.5095564}, 'southwest': {'lat': -2.749599529892722, 'lng': 134.5053104}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PANTAI KETAPANG 5 KABUPATEN TELUK WONDAMA,{'open_now': False},ChIJM0ddhgl7Sy0RokZKDCa4PMk,4.3,ChIJM0ddhgl7Sy0RokZKDCa4PMk,"['tourist_attraction', 'point_of_interest', 'establishment']",13,,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104278908514353842936"">Suci Utari</a>'], 'photo_reference': 'AUGGfZkrTJGUIQzyL_YD6G2tNjrCwkkZra5s8_3wvTefoYfjncbaRfTV2UYLF2PyZLbxfGw-7_esx0yKIeuAaJj-gaeTyloALmQX65smlJe3BA0ZbPHOASBepQsrbMyboMGpxG2L-QODG83Ac3PpOofyLKEc5p0-D0hclJOf0LbjeCtwbwky', 'width': 3264}]",,https://www.google.com/maps/place/?q=place_id:ChIJM0ddhgl7Sy0RokZKDCa4PMk
OPERATIONAL,"6GHC+W39, Iriati, 6GHC+X3IriatiDistrik WasiorKabupaten, Teluk Wondama Regency, West Papua 98362, Indonesia","{'location': {'lat': -2.7702156, 'lng': 134.5202266}, 'viewport': {'northeast': {'lat': -2.769074570107278, 'lng': 134.5210982298927}, 'southwest': {'lat': -2.771774229892722, 'lng': 134.5183985701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bendung wanggar,,ChIJqdSmbwB7Sy0RWhlBJ7mSazQ,0.0,ChIJqdSmbwB7Sy0RWhlBJ7mSazQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJqdSmbwB7Sy0RWhlBJ7mSazQ
OPERATIONAL,"5GPC+9C, Rasiei, Teluk Wondama Regency, West Papua 98362, Indonesia","{'location': {'lat': -2.8140583, 'lng': 134.5210967}, 'viewport': {'northeast': {'lat': -2.8130669, 'lng': 134.5223105298927}, 'southwest': {'lat': -2.8170325, 'lng': 134.5196108701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Wisata Kampung Rasiei,,ChIJm3eDPo1xSy0RKAlMr5hUMJw,5.0,ChIJm3eDPo1xSy0RKAlMr5hUMJw,"['tourist_attraction', 'point_of_interest', 'establishment']",6,,"[{'height': 2296, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110008975446793278459"">Andri Kuncoro</a>'], 'photo_reference': 'AUGGfZlG5PYWji45AJF36v7JPkdKNbznDlmkm23Ck5-GmDe-1baURiA6DMPBgLhgel5uSWjyEi0zJNcLyhm7JdiDkFPy048Y6JZQMAuBVSnZpSjBUGSWwlu_v4ngSleWGa28Epx6wcb6MYij8-yTFxypyHpqOf8cLyDnV0-_CkCN3yB3yCNc', 'width': 4080}]",,https://www.google.com/maps/place/?q=place_id:ChIJm3eDPo1xSy0RKAlMr5hUMJw
