name,reviews,main_category,categories,rating,address,link,coordinates
D'Kandang Amazing Farm,7095,Tujuan Wisata,"[""Tujuan Wisata"", ""Wahana Taman Hiburan"", ""Dinas Pariwisata Kota"", ""Area Rekreasi Alam"", ""Penyelenggara aktivitas luar ruangan"", ""Restoran""]",4.3,"Jl. Penarikan No.RT 01 / 02, Pasir Putih, Kec. Sawangan, Kota Depok, Jawa Barat 16519",https://www.google.com/maps/place/D%27Kandang+Amazing+Farm/data=!4m7!3m6!1s0x2e69e9a56d1aa9eb:0xa6e554ba0c0b7d15!8m2!3d-6.4158763!4d106.7845676!16s%2Fg%2F11b7hm_3p7!19sChIJ66kabaXpaS4RFX0LDLpU5aY?authuser=0&hl=id&rclk=1,"{""latitude"": -6.4158763, ""longitude"": 106.78456759999999}"
Godongijo,5927,Tujuan Wisata,"[""Tujuan Wisata""]",4.3,"Jl. Raya Cinangka Raya No.KM 10, RW.No. 60, Serua, Kec. Bojongsari, Kota Depok, Jawa Barat 16517",https://www.google.com/maps/place/Godongijo/data=!4m7!3m6!1s0x2e69ef4708dc6039:0x5d1ec5e4a31bc422!8m2!3d-6.370721!4d106.745051!16s%2Fg%2F11g_4kmp0!19sChIJOWDcCEfvaS4RIsQbo-TFHl0?authuser=0&hl=id&rclk=1,"{""latitude"": -6.370721, ""longitude"": 106.74505099999999}"
Studio Alam TVRI Depok Jawa Barat,4022,Studio film,"[""Studio film"", ""Perusahaan produksi film"", ""Taman bermain"", ""Tujuan Wisata""]",4.3,"Jl. Studio Alam TVRI, Sukmajaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16412",https://www.google.com/maps/place/Studio+Alam+TVRI+Depok+Jawa+Barat/data=!4m7!3m6!1s0x2e69eb92e8cf3dab:0x29773c659acbae80!8m2!3d-6.4188144!4d106.8438014!16s%2Fg%2F1tfx_9ty!19sChIJqz3P6JLraS4RgK7LmmU8dyk?authuser=0&hl=id&rclk=1,"{""latitude"": -6.4188144, ""longitude"": 106.84380139999999}"
Taman UI,3749,Taman,"[""Taman"", ""Tujuan Wisata""]",4.7,"JRWH+74C, Kampus UI, RW.3, Srengseng Sawah, Kec. Jagakarsa, Kota Depok, Jawa Barat 10550",https://www.google.com/maps/place/Taman+UI/data=!4m7!3m6!1s0x2e69ec249a90b2d7:0x81de1290a2df316a!8m2!3d-6.3543155!4d106.8277609!16s%2Fg%2F1hm2d9dj0!19sChIJ17KQmiTsaS4RajHfopAS3oE?authuser=0&hl=id&rclk=1,"{""latitude"": -6.354315499999999, ""longitude"": 106.8277609}"
Pondok Zidane,3479,Taman Rekreasi Air,"[""Taman Rekreasi Air"", ""Tujuan Wisata""]",4.3,"Jalan Kekupu Blok, Blok Porek 1, Bedahan, Kec. Sawangan, Kota Depok, Jawa Barat 16519",https://www.google.com/maps/place/Pondok+Zidane/data=!4m7!3m6!1s0x2e69e9adfdd43bad:0x45431d80c58ff462!8m2!3d-6.4334188!4d106.7761686!16s%2Fg%2F11b6tc_bz8!19sChIJrTvU_a3paS4RYvSPxYAdQ0U?authuser=0&hl=id&rclk=1,"{""latitude"": -6.4334188, ""longitude"": 106.77616859999999}"
Taman Pemuda Pratama,3019,Taman bermain,"[""Taman bermain"", ""Taman"", ""Taman Hiburan"", ""Tujuan Wisata""]",4.5,"Tanah Baru, Kecamatan Beji, Kota Depok, Jawa Barat 16426",https://www.google.com/maps/place/Taman+Pemuda+Pratama/data=!4m7!3m6!1s0x2e69eeba779af385:0xe47382a01a02b526!8m2!3d-6.370957!4d106.802259!16s%2Fg%2F11f104n5qy!19sChIJhfOad7ruaS4RJrUCGqCCc-Q?authuser=0&hl=id&rclk=1,"{""latitude"": -6.370957, ""longitude"": 106.80225899999999}"
Danau Kenanga,1190,Taman,"[""Taman"", ""Tujuan Wisata""]",4.7,"Jl. Prof. DR. Mahar Mardjono, Pondok Cina, Kecamatan Beji, Kota Depok, Jawa Barat 16424",https://www.google.com/maps/place/Danau+Kenanga/data=!4m7!3m6!1s0x2e69ec10986385bd:0xb60b8f13ae5dea66!8m2!3d-6.3667538!4d106.8302115!16s%2Fg%2F11b7twzz81!19sChIJvYVjmBDsaS4RZupdrhOPC7Y?authuser=0&hl=id&rclk=1,"{""latitude"": -6.3667538, ""longitude"": 106.83021149999999}"
Situ Asih pulo,621,Tujuan Wisata,"[""Tujuan Wisata"", ""Taman Nasional"", ""Area Rekreasi Alam""]",4.2,"Jl. Situ Asih, Pulo, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16435",https://www.google.com/maps/place/Situ+Asih+pulo/data=!4m7!3m6!1s0x2e69e96d5e68b6c9:0x661667d1a23c4d03!8m2!3d-6.4120619!4d106.7951134!16s%2Fg%2F11c2nvmtyy!19sChIJybZoXm3paS4RA008otFnFmY?authuser=0&hl=id&rclk=1,"{""latitude"": -6.412061899999999, ""longitude"": 106.79511339999999}"
Danau Mahoni Depok,19,Tujuan Wisata,"[""Tujuan Wisata""]",4.4,"Universitas Indonesia, Kampus, Kukusan, Kecamatan Beji, Kota Depok, Jawa Barat 16425",https://www.google.com/maps/place/Danau+Mahoni+Depok/data=!4m7!3m6!1s0x2e69ec18671be8f9:0x681088831c71e75e!8m2!3d-6.3615461!4d106.8271747!16s%2Fg%2F11dxj5w3bz!19sChIJ-egbZxjsaS4RXudxHIOIEGg?authuser=0&hl=id&rclk=1,"{""latitude"": -6.3615461, ""longitude"": 106.8271747}"
Wisata Edukasi,12,Tujuan Wisata,"[""Tujuan Wisata"", ""Restoran""]",4.9,"Jl. Cinangka Raya No.KM 10 No. 60, Serua, Kec. Bojongsari, Kota Depok, Jawa Barat 16517",https://www.google.com/maps/place/Wisata+Edukasi/data=!4m7!3m6!1s0x2e69efefa8717e29:0xc78880b41b6f1eec!8m2!3d-6.3706923!4d106.7445327!16s%2Fg%2F11mvnyg6zx!19sChIJKX5xqO_vaS4R7B5vG7SAiMc?authuser=0&hl=id&rclk=1,"{""latitude"": -6.3706923, ""longitude"": 106.7445327}"
