name,reviews,main_category,categories,rating,address,link,coordinates
Ardes Tour Indonesia,194,Penyelenggara Perjalanan,"[""Penyelenggara Perjalanan"", ""Biro Perjalanan dan Wisata""]",5.0,"km. 1,5 Tirtomartani Jalan Raya LPMP Kalasan, Tirtomartani, Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571",https://www.google.com/maps/place/Ardes+Tour+Indonesia/data=!4m7!3m6!1s0x2e7a5a55d5c290b3:0xf26bfb5db5fc1600!8m2!3d-7.7548498!4d110.4711383!16s%2Fg%2F11clyclnvz!19sChIJs5DC1VVaei4RABb8tV37a_I?authuser=0&hl=id&rclk=1,"{""latitude"": -7.7548498, ""longitude"": 110.47113829999999}"
Permata Nusantara Tour,1,Agen Tur Keliling Kota,"[""Agen Tur Keliling Kota""]",5.0,"5CC5+758, Jl. Ringroad Selatan, Plumbon, Banguntapan, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55193",https://www.google.com/maps/place/Permata+Nusantara+Tour/data=!4m7!3m6!1s0x2e7a5723fa1824a9:0x4ac0a3f240d7059!8m2!3d-7.8293304!4d110.4079493!16s%2Fg%2F11b6gr0fvy!19sChIJqSQY-iNXei4RWXANJD8KrAQ?authuser=0&hl=id&rclk=1,"{""latitude"": -7.8293304, ""longitude"": 110.4079493}"
Candi Prambanan,92297,Pura,"[""Pura"", ""Bangunan Bersejarah"", ""Tujuan Wisata""]",4.7,"Jl. Raya Solo - Yogyakarta No.16, Kranggan, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571",https://www.google.com/maps/place/Candi+Prambanan/data=!4m7!3m6!1s0x2e7a5ae3dbd859d1:0x19e7a03b25955a2d!8m2!3d-7.7520206!4d110.4914674!16zL20vMDJzMF80!19sChIJ0VnY2-Naei4RLVqVJTug5xk?authuser=0&hl=id&rclk=1,"{""latitude"": -7.7520206, ""longitude"": 110.49146739999999}"
Titik Nol Yogyakarta,46971,Tujuan Wisata,"[""Tujuan Wisata"", ""Pusat Rekreasi""]",4.8,"Jl. Pangurakan No.1, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",https://www.google.com/maps/place/Titik+Nol+Yogyakarta/data=!4m7!3m6!1s0x2e7a57599a1f9397:0xebbf28ee280ce10f!8m2!3d-7.8013966!4d110.3647641!16s%2Fg%2F11h3cbh9_y!19sChIJl5MfmllXei4RD-EMKO4ov-s?authuser=0&hl=id&rclk=1,"{""latitude"": -7.8013965999999995, ""longitude"": 110.36476409999999}"
Gembira Loka Zoo,44067,Kebun Binatang,"[""Kebun Binatang"", ""Tujuan Wisata""]",4.5,"Jl. Kebun Raya No.2, Rejowinangun, Kec. Kotagede, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55171",https://www.google.com/maps/place/Gembira+Loka+Zoo/data=!4m7!3m6!1s0x2e7a57196b21a901:0x77e3f6112577fb0f!8m2!3d-7.8040165!4d110.397994!16s%2Fm%2F0130d2nz!19sChIJAakhaxlXei4RD_t3JRH243c?authuser=0&hl=id&rclk=1,"{""latitude"": -7.8040164999999995, ""longitude"": 110.397994}"
Kampung Wisata Taman Sari,40408,Bangunan Bersejarah,"[""Bangunan Bersejarah"", ""Tujuan Wisata""]",4.6,"Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133",https://www.google.com/maps/place/Kampung+Wisata+Taman+Sari/data=!4m7!3m6!1s0x2e7a5793d0c2cf2b:0x276a21f8a01cbe13!8m2!3d-7.8097254!4d110.3584983!16s%2Fm%2F0b6gg2m!19sChIJK8_C0JNXei4RE74coPghaic?authuser=0&hl=id&rclk=1,"{""latitude"": -7.8097254, ""longitude"": 110.3584983}"
Keraton Ngayogyakarta Hadiningrat,36638,Tujuan Wisata,"[""Tujuan Wisata""]",4.6,"Jl. Rotowijayan Blok No. 1, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta",https://www.google.com/maps/place/Keraton+Ngayogyakarta+Hadiningrat/data=!4m7!3m6!1s0x2e7a5796db06c7ef:0x395271cf052b276c!8m2!3d-7.8052845!4d110.3642031!16s%2Fm%2F0vb3k_5!19sChIJ78cG25ZXei4RbCcrBc9xUjk?authuser=0&hl=id&rclk=1,"{""latitude"": -7.8052845, ""longitude"": 110.3642031}"
Masjid Jogokariyan,18474,Masjid,"[""Masjid"", ""Tujuan Wisata""]",4.8,"Jl. Jogokaryan No.36, Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55143",https://www.google.com/maps/place/Masjid+Jogokariyan/data=!4m7!3m6!1s0x2e7a57bb1d21a4a9:0xb2d559f492027ccf!8m2!3d-7.8242608!4d110.3644095!16s%2Fg%2F11f2_v1y5p!19sChIJqaQhHbtXei4Rz3wCkvRZ1bI?authuser=0&hl=id&rclk=1,"{""latitude"": -7.824260799999999, ""longitude"": 110.3644095}"
Sindu Kusuma Edupark (SKE),16859,Taman Hiburan,"[""Taman Hiburan"", ""Tujuan Wisata""]",4.2,"Jl. Jambon, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",https://www.google.com/maps/place/Sindu+Kusuma+Edupark+%28SKE%29/data=!4m7!3m6!1s0x2e7a584281200f8b:0xeed0884f4b2272a8!8m2!3d-7.7678784!4d110.3545667!16s%2Fg%2F11b6vc54pq!19sChIJiw8ggUJYei4RqHIiS0-I0O4?authuser=0&hl=id&rclk=1,"{""latitude"": -7.7678784, ""longitude"": 110.35456669999999}"
XT Square,16416,Pusat Bisnis,"[""Pusat Bisnis"", ""Taman Kota"", ""Gedung Konser"", ""Toko Kerajinan Tangan"", ""Restoran Makanan Sehat"", ""Panggung Musik"", ""Tujuan Wisata""]",4.4,"Jl. Veteran No.150-151, Pandeyan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55161",https://www.google.com/maps/place/XT+Square/data=!4m7!3m6!1s0x2e7a570cc4bbd643:0x4e21846082fd8daa!8m2!3d-7.8167055!4d110.3862889!16s%2Fg%2F1hm60r9m2!19sChIJQ9a7xAxXei4Rqo39gmCEIU4?authuser=0&hl=id&rclk=1,"{""latitude"": -7.816705499999999, ""longitude"": 110.3862889}"
Ratu Boko,14715,Tujuan Wisata,"[""Tujuan Wisata""]",4.7,"Jl. Raya Piyungan - Prambanan No.2, Gatak, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 5572",https://www.google.com/maps/place/Ratu+Boko/data=!4m7!3m6!1s0x2e7a5a92d354fe45:0x153f44f14476f95b!8m2!3d-7.7705416!4d110.4894158!16s%2Fm%2F0264bpk!19sChIJRf5U05Jaei4RW_l2RPFEPxU?authuser=0&hl=id&rclk=1,"{""latitude"": -7.7705416, ""longitude"": 110.48941579999999}"
