formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,business_status,photos,permanently_closed,url
"Kepulauan Babar, Nakarhamto, Pulau-Pulau Babar Timur, Maluku Barat Daya Regency, Maluku, Indonesia","{'location': {'lat': -7.8333333, 'lng': 129.75}, 'viewport': {'northeast': {'lat': -7.822279300000001, 'lng': 129.7660074}, 'southwest': {'lat': -7.844387, 'lng': 129.7339926}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kepulauan Babar,ChIJaQCQ1T6RHy0RU0ktl_4EkxM,0.0,ChIJaQCQ1T6RHy0RU0ktl_4EkxM,"['natural_feature', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJaQCQ1T6RHy0RU0ktl_4EkxM
"5MP3+XM, Manuwui, Babar Islands, Maluku Barat Daya Regency, Maluku, Indonesia","{'location': {'lat': -7.812540899999999, 'lng': 129.6541415}, 'viewport': {'northeast': {'lat': -7.811191070107277, 'lng': 129.6554913298927}, 'southwest': {'lat': -7.813890729892721, 'lng': 129.6527916701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,#darkledi,ChIJUWxkDgyXHy0RFv3YQeUg2U0,4.0,ChIJUWxkDgyXHy0RFv3YQeUg2U0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,OPERATIONAL,"[{'height': 961, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108958182361545198253"">roncesdewys saron</a>'], 'photo_reference': 'AUGGfZmM-BOiEcjsHilna9ugiVh9UjEXGBxXFZfJy8UBKPppVme7Xx2wTNwSWouvxDdGmrsz8qe4p6fXKwrUDb_EA4jqjZywz_8bxCclVwhPEhZxo_51FEQSRqRiZ6TYTJg2tYPCySrJO_haNrbzs_BFc9qDXzxHEmOZzZKbeuDTP95oh8Pw', 'width': 719}]",,https://www.google.com/maps/place/?q=place_id:ChIJUWxkDgyXHy0RFv3YQeUg2U0
"Babar Islands, Maluku Barat Daya Regency, Maluku, Indonesia","{'location': {'lat': -7.868893399999999, 'lng': 129.5944125}, 'viewport': {'northeast': {'lat': -7.526635, 'lng': 129.7281699}, 'southwest': {'lat': -8.028057, 'lng': 129.581297}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Babar Islands,ChIJ0VdG_-qiHy0Rw8I86m445ZY,,ChIJ0VdG_-qiHy0Rw8I86m445ZY,"['administrative_area_level_3', 'political']",,,"[{'height': 432, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109673087349026109626"">A Google User</a>'], 'photo_reference': 'AUGGfZkCKOztthe53jsBLLwSqUN7jKaBfD-K6Zjb5dNd-R3xmYDwUGO8EEzF93mC6k86kEcBciHLtIm7whark7Cjp4u1H3RJsGu6VUKonWh-GZnjgcCtZ8bLGr2Jdcu3qKW8ocMxLNS9dOXfdSFKPaFIPYJ-63Xl0KRtUEkh-s6Pb4xtThaC', 'width': 720}]",,https://www.google.com/maps/place/?q=place_id:ChIJ0VdG_-qiHy0Rw8I86m445ZY
"Pulau-Pulau Babar Timur, Maluku Barat Daya Regency, Maluku, Indonesia","{'location': {'lat': -7.9029614, 'lng': 129.8648243}, 'viewport': {'northeast': {'lat': -7.790178, 'lng': 129.8676331}, 'southwest': {'lat': -8.054791999999999, 'lng': 129.686761}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pulau-Pulau Babar Timur,ChIJxeJ7343zHy0REX5YHT-dPnE,,ChIJxeJ7343zHy0REX5YHT-dPnE,"['administrative_area_level_3', 'political']",,,,,https://www.google.com/maps/place/?q=place_id:ChIJxeJ7343zHy0REX5YHT-dPnE
"CMVQ+RG, Hertuti, Babar Islands, Maluku Barat Daya Regency, Maluku, Indonesia","{'location': {'lat': -7.5553975, 'lng': 129.6888195}, 'viewport': {'northeast': {'lat': -7.554047670107278, 'lng': 129.6901693298927}, 'southwest': {'lat': -7.556747329892722, 'lng': 129.6874696701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,batu betuah,ChIJ-YU0FgpzHy0RiA0bonjcI1E,0.0,ChIJ-YU0FgpzHy0RiA0bonjcI1E,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,CLOSED_TEMPORARILY,,True,https://www.google.com/maps/place/?q=place_id:ChIJ-YU0FgpzHy0RiA0bonjcI1E
"CPJ3+FX, Lewah, Babar Islands, Maluku Barat Daya Regency, Maluku, Indonesia","{'location': {'lat': -7.568853399999999, 'lng': 129.7048849}, 'viewport': {'northeast': {'lat': -7.567503570107277, 'lng': 129.7062347298927}, 'southwest': {'lat': -7.570203229892721, 'lng': 129.7035350701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,pantai sembunyi,ChIJ_QGYxIRzHy0RB8wKgkIS8hk,0.0,ChIJ_QGYxIRzHy0RB8wKgkIS8hk,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,CLOSED_TEMPORARILY,,True,https://www.google.com/maps/place/?q=place_id:ChIJ_QGYxIRzHy0RB8wKgkIS8hk
"2JXH+843, Imroing, Babar Islands, Maluku Barat Daya Regency, Maluku, Indonesia","{'location': {'lat': -7.9517279, 'lng': 129.6278009}, 'viewport': {'northeast': {'lat': -7.950559820107277, 'lng': 129.6297425298927}, 'southwest': {'lat': -7.953259479892721, 'lng': 129.6270428701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Watrarona,ChIJb8JiayTBHy0RSZHTgiVJZM4,0.0,ChIJb8JiayTBHy0RSZHTgiVJZM4,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,CLOSED_TEMPORARILY,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112963815948823824675"">A Google User</a>'], 'photo_reference': 'AUGGfZny49H4ibUMlWwf6LWw2D3qh-aH81iy1DxTDsVebtRfTRIFv1DCj61a_8BWaivvx5UdPt9ShExOtCLuIKGfRJqjHMJZBT2f5iJuggVGdUVbepWOOwi-GYeqSIvzkLr0qIrjNK6VWqCeLo2OS9s-waxPL0Adzn8z-_GCX_rmYBdr9ZTB', 'width': 719}]",True,https://www.google.com/maps/place/?q=place_id:ChIJb8JiayTBHy0RSZHTgiVJZM4
"CMW7+F3, Sinairusi, Babar Islands, Maluku Barat Daya Regency, Maluku, Indonesia","{'location': {'lat': -7.5538523, 'lng': 129.6626347}, 'viewport': {'northeast': {'lat': -7.552502470107278, 'lng': 129.6639845298927}, 'southwest': {'lat': -7.555202129892722, 'lng': 129.6612848701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,aumber mata air,ChIJPQTxazZzHy0RlP1wwzkOKKs,0.0,ChIJPQTxazZzHy0RlP1wwzkOKKs,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,CLOSED_TEMPORARILY,,True,https://www.google.com/maps/place/?q=place_id:ChIJPQTxazZzHy0RlP1wwzkOKKs
"CPH8+86, Lewah, Babar Islands, Maluku Barat Daya Regency, Maluku, Indonesia","{'location': {'lat': -7.571708600000001, 'lng': 129.7156013}, 'viewport': {'northeast': {'lat': -7.570358770107279, 'lng': 129.7169511298927}, 'southwest': {'lat': -7.573058429892723, 'lng': 129.7142514701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,tanjung lewah,ChIJJYvPMxVzHy0RvtElNrCBuig,0.0,ChIJJYvPMxVzHy0RvtElNrCBuig,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,CLOSED_TEMPORARILY,,True,https://www.google.com/maps/place/?q=place_id:ChIJJYvPMxVzHy0RvtElNrCBuig
"FM26+F7, Sinairusi, Babar Islands, Maluku Barat Daya Regency, Maluku, Indonesia","{'location': {'lat': -7.548801900000001, 'lng': 129.6601255}, 'viewport': {'northeast': {'lat': -7.547452070107279, 'lng': 129.6614753298927}, 'southwest': {'lat': -7.550151729892723, 'lng': 129.6587756701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,desa sinairusi,ChIJ38HADKZzHy0R8jUb2q1_tZ4,0.0,ChIJ38HADKZzHy0R8jUb2q1_tZ4,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,CLOSED_TEMPORARILY,,True,https://www.google.com/maps/place/?q=place_id:ChIJ38HADKZzHy0R8jUb2q1_tZ4
