business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,rating,reference,types,user_ratings_total,photos,permanently_closed,url
OPERATIONAL,"3CFW+C22, Rejo Katon, Raman Utara, East Lampung Regency, Lampung 34371, Indonesia","{'location': {'lat': -4.92648, 'lng': 105.4450167}, 'viewport': {'northeast': {'lat': -4.925179020107278, 'lng': 105.4463315298927}, 'southwest': {'lat': -4.927878679892722, 'lng': 105.4436318701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,hellonathasyanaaa,{'open_now': False},ChIJ_8eKZACfQC4RH98yIHij1yc,0,ChIJ_8eKZACfQC4RH98yIHij1yc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJ_8eKZACfQC4RH98yIHij1yc
OPERATIONAL,"3CFV+2XJ, Rejo Katon, Raman Utara, East Lampung Regency, Lampung 34371, Indonesia","{'location': {'lat': -4.926404, 'lng': 105.4451966}, 'viewport': {'northeast': {'lat': -4.925066720107278, 'lng': 105.4465493798927}, 'southwest': {'lat': -4.927766379892722, 'lng': 105.4438497201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,thenameissincann,{'open_now': True},ChIJLeXeEwCfQC4RNl48wOnPLRA,0,ChIJLeXeEwCfQC4RNl48wOnPLRA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJLeXeEwCfQC4RNl48wOnPLRA
OPERATIONAL,"3FCP+GV, Restu Rahayu, Raman Utara, East Lampung Regency, Lampung, Indonesia","{'location': {'lat': -4.928645899999999, 'lng': 105.4871791}, 'viewport': {'northeast': {'lat': -4.926267500000002, 'lng': 105.48931885}, 'southwest': {'lat': -4.929438699999999, 'lng': 105.48646585}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air terjun apik,,ChIJX2raEACfQC4ROCYslKvu1yA,0,ChIJX2raEACfQC4ROCYslKvu1yA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110063320290115496421"">A Google User</a>'], 'photo_reference': 'AUGGfZl9SN1CBTNYZOyE_Z_IwMvQ8zJnPXEMdlgr94M1TQj1dqAL4VfQ_nc4h7Vcpivr7RoK7ceJd_KkQn1_NxwVZX8eYqi1q694AXvY_KB4KJhZX5dJ1jMZD3xrNExdS9OxPsUFgA0ubWk_Av2wEIir1dT1OK_ryLL7b-4Cy4NXYa9meXcG', 'width': 3120}]",,https://www.google.com/maps/place/?q=place_id:ChIJX2raEACfQC4ROCYslKvu1yA
OPERATIONAL,"3FRV+WF, Restu Rahayu, Raman Utara, East Lampung Regency, Lampung, Indonesia","{'location': {'lat': -4.907672100000001, 'lng': 105.4936724}, 'viewport': {'northeast': {'lat': -4.902008999999999, 'lng': 105.4956983}, 'southwest': {'lat': -4.909559800000003, 'lng': 105.4929971}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spot mancing,,ChIJ6allF96fQC4RgbhvCe034dQ,0,ChIJ6allF96fQC4RgbhvCe034dQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109501142091994715300"">Endru Gitar</a>'], 'photo_reference': 'AUGGfZkGvY3o-oLBsn6k94dxu7uTbggLJ3Z6fV98rBGQr-HnqMYungSUYI1MW-bf0r_sgjQrASmvRTd8bxxnBGVR7fTeFQ1zsCK1GMSSMTonBIJ8mFJwlex9pJxZocg6lGe8rvnpzJpmwQiydy07qnzVMfG3l-lP4cuG27bXCycx32f_T18C', 'width': 4160}]",,https://www.google.com/maps/place/?q=place_id:ChIJ6allF96fQC4RgbhvCe034dQ
OPERATIONAL,"XFW4+W6M, Rukti Sediyo, Raman Utara, East Lampung Regency, Lampung, Indonesia","{'location': {'lat': -5.001763299999999, 'lng': 105.4553433}, 'viewport': {'northeast': {'lat': -5.000413470107278, 'lng': 105.4566931298927}, 'southwest': {'lat': -5.003113129892721, 'lng': 105.4539934701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Embung Haji Jumani,,ChIJr-b5SxqZQC4RkT5uVXntVjw,5,ChIJr-b5SxqZQC4RkT5uVXntVjw,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105221905998987865986"">jasmanto jasman</a>'], 'photo_reference': 'AUGGfZlKaVRN7j-h21GYoMR0Bau2UDr2P0LODygaTRLFfe16nG6NodAigvhdkQOZyG3ou4di49muVUOWUvAdMq2-84QA-bYVk4GoF1R9EQokAo-vqpm7wDEYmHAiGxfEJqI_n7fli1paQEtUbZVoSlq98G_Xy5ajtLN-WsCgAT0gFe4s6Pdx', 'width': 1080}]",,https://www.google.com/maps/place/?q=place_id:ChIJr-b5SxqZQC4RkT5uVXntVjw
OPERATIONAL,"3FQ9+8G9, Restu Rahayu, Raman Utara, East Lampung Regency, Lampung, Indonesia","{'location': {'lat': -4.911710999999999, 'lng': 105.4688506}, 'viewport': {'northeast': {'lat': -4.910360070107278, 'lng': 105.4702826798927}, 'southwest': {'lat': -4.913059729892722, 'lng': 105.4675830201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"BASECAMP TEMPAT NONGKRONG, NGEROKOK DAN NGOPI",,ChIJce5KAwCfQC4R-AaLdyBuhsY,0,ChIJce5KAwCfQC4R-AaLdyBuhsY,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJce5KAwCfQC4R-AaLdyBuhsY
CLOSED_TEMPORARILY,"3FWQ+6J, Restu Rahayu, Raman Utara, East Lampung Regency, Lampung, Indonesia","{'location': {'lat': -4.9044338, 'lng': 105.4890064}, 'viewport': {'northeast': {'lat': -4.903022370107277, 'lng': 105.4902155}, 'southwest': {'lat': -4.905722029892721, 'lng': 105.4853791}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tempuran 3,,ChIJ39iG0sKfQC4RYD695cHfnGU,5,ChIJ39iG0sKfQC4RYD695cHfnGU,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,True,https://www.google.com/maps/place/?q=place_id:ChIJ39iG0sKfQC4RYD695cHfnGU
CLOSED_TEMPORARILY,"XCXX+QRP, Rukti Sediyo, Raman Utara, East Lampung Regency, Lampung 34192, Indonesia","{'location': {'lat': -5.0005453, 'lng': 105.449588}, 'viewport': {'northeast': {'lat': -4.998935270107278, 'lng': 105.4505582298927}, 'southwest': {'lat': -5.001634929892722, 'lng': 105.4478585701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sawah Mbah Dul,,ChIJFUzbrj2ZQC4R2rbxyR1ppik,2,ChIJFUzbrj2ZQC4R2rbxyR1ppik,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105221905998987865986"">jasmanto jasman</a>'], 'photo_reference': 'AUGGfZlw7COfVMjXtPFhtYa3pfrM6u_43M_kniAb-VgH2wpOgjXBaY104HR_6hC_PGbJyWo833o9qc1k37Lja2DoJJO4RvbyDa8C3unQCyWOhEYRFVQokAEVb5vkd0FEKUkVZRQpe0qQkLBQUQneF4s5wz48vP73VbCq3ctVUo6LzS4urmpm', 'width': 1080}]",True,https://www.google.com/maps/place/?q=place_id:ChIJFUzbrj2ZQC4R2rbxyR1ppik
CLOSED_TEMPORARILY,"3FQW+92X, Restu Rahayu, Raman Utara, East Lampung Regency, Lampung, Indonesia","{'location': {'lat': -4.9115176, 'lng': 105.4951081}, 'viewport': {'northeast': {'lat': -4.910167770107278, 'lng': 105.4964579298927}, 'southwest': {'lat': -4.912867429892722, 'lng': 105.4937582701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tibu ampel,,ChIJeS06yr2fQC4R5nmEVswwcHA,0,ChIJeS06yr2fQC4R5nmEVswwcHA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114863681678284426165"">A Google User</a>'], 'photo_reference': 'AUGGfZkpzE17u6hrBeTZP8ruQLWdqRNlnP8rBRRxkb5Yc2VPkCsv2rmcqW4XeklL-vA_JTX36vqZvXrWCeE-gb-Q674lfQRdp1TwpHh3jNnx2uifoLEFSdAKFCronpLlMEddtfzDP9Zx044RApjL5J69xAX5gplAcjuRhA3AcstngpaUhGwv', 'width': 1968}]",True,https://www.google.com/maps/place/?q=place_id:ChIJeS06yr2fQC4R5nmEVswwcHA
CLOSED_TEMPORARILY,"3FQV+C9M, Restu Rahayu, Raman Utara, East Lampung Regency, Lampung, Indonesia","{'location': {'lat': -4.9114197, 'lng': 105.4934079}, 'viewport': {'northeast': {'lat': -4.910069870107278, 'lng': 105.4947577298927}, 'southwest': {'lat': -4.912769529892722, 'lng': 105.4920580701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sawah dekko,,ChIJS0f-dhyfQC4RDr315twJoFc,4,ChIJS0f-dhyfQC4RDr315twJoFc,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 1968, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114863681678284426165"">A Google User</a>'], 'photo_reference': 'AUGGfZnXX4FO0w17WKe47A_NEmp5MTsqsHIqrBcLv0OI7xVyBdWNelpexVmMWwY1JSLySgltePCsE5hGsFRRZsvuL3FGSMwgsDGjoM7ii0x-8jR5truSge-N1wpUz9kgGqRedhLWQAJscJTN07Ftw4Te4Ne6HYfGDbngBqcAzhvRkw62XW6N', 'width': 4160}]",True,https://www.google.com/maps/place/?q=place_id:ChIJS0f-dhyfQC4RDr315twJoFc
