business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,opening_hours,photos,plus_code,permanently_closed,price_level,url
OPERATIONAL,"VC5W+CG2, Suko Harjo, Sekampung, East Lampung Regency, Lampung 34382, Indonesia","{'location': {'lat': -5.1415473, 'lng': 105.4468016}, 'viewport': {'northeast': {'lat': -5.140061920107279, 'lng': 105.4480925298927}, 'southwest': {'lat': -5.142761579892722, 'lng': 105.4453928701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ROSO FARM,ChIJrX4_cACVQC4Rirq9obNhhNU,0.0,ChIJrX4_cACVQC4Rirq9obNhhNU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJrX4_cACVQC4Rirq9obNhhNU
OPERATIONAL,"Jl. B12 No.66, Hargomulyo, Kec. Sekampung, Kabupaten Lampung Timur, Lampung 34382, Indonesia","{'location': {'lat': -5.151601599999999, 'lng': 105.4949123}, 'viewport': {'northeast': {'lat': -5.150292320107278, 'lng': 105.4962936798927}, 'southwest': {'lat': -5.152991979892722, 'lng': 105.4935940201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sarang tawon klanceng,ChIJ0W9M3FKVQC4RuafyvX_Xkvg,5.0,ChIJ0W9M3FKVQC4RuafyvX_Xkvg,"['tourist_attraction', 'point_of_interest', 'establishment']",1,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112868795172211526810"">A Google User</a>'], 'photo_reference': 'AUGGfZm2UglBwx4NbyCbZ1VUvqXECruVn2r-4jSmGlz1n3N_Ba2lHqCH16_WmkwRGpNGP9EU3C-ZF_eAGU4v9e_JCFo45ENWzEomjvEHg39qtbDFLWUhWp14XtWoUYHHtXQBAm2F3_fMlf0iIZ9wOo0XLZnVhs2TcEz_FN3JI2eXSZptSgY4', 'width': 3120}]","{'compound_code': 'RFXV+9X Hargomulyo, East Lampung Regency, Lampung, Indonesia', 'global_code': '6P67RFXV+9X'}",,,https://www.google.com/maps/place/?q=place_id:ChIJ0W9M3FKVQC4RuafyvX_Xkvg
OPERATIONAL,"VF9C+QXV, Sumbersari, Sekampung, East Lampung Regency, Lampung 34382, Indonesia","{'location': {'lat': -5.1300509, 'lng': 105.4725044}, 'viewport': {'northeast': {'lat': -5.128689370107279, 'lng': 105.4738228798927}, 'southwest': {'lat': -5.131389029892722, 'lng': 105.4711232201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tugu Kutosari Sumbersari,ChIJNRBDW6GVQC4RSe9zH11BxqA,5.0,ChIJNRBDW6GVQC4RSe9zH11BxqA,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,"[{'height': 3046, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104947451890538265562"">Nasrul Sidiq</a>'], 'photo_reference': 'AUGGfZkF8_XIu3AKff7h702eWyWuD7C2eDxlfRQGudtAgBZyKxYNTWKz4QLMQgsl_05tMMnQprakZf2gvCQrd0WnZ3O2erPZTC1B0KzMJmKL9gKzNtA7haYzAQOXfNvuSoj51fqKFPvssxAaymANMUu3aj-R9nArgmIFwcaY0ZC01HqfmUbq', 'width': 2026}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJNRBDW6GVQC4RSe9zH11BxqA
OPERATIONAL,"VFFX+784, Mekar Sari, Sekampung, East Lampung Regency, Lampung 34382, Indonesia","{'location': {'lat': -5.1269693, 'lng': 105.4982625}, 'viewport': {'northeast': {'lat': -5.125633520107278, 'lng': 105.4996081798927}, 'southwest': {'lat': -5.128333179892722, 'lng': 105.4969085201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bawang Putih Mekarsari Lampung Timur,ChIJgcaEDBKVQC4RFlBlJmOkuK4,4.1,ChIJgcaEDBKVQC4RFlBlJmOkuK4,"['tourist_attraction', 'point_of_interest', 'establishment']",26,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106885418553598533173"">A Google User</a>'], 'photo_reference': 'AUGGfZlMCNlMP5SrWSjkSmcDin4a1eG2Vcihgko85eq_Qsa3fima6AdVWvNZUR8k9N30jPiCrMDeOugTQKfjUbLdkUAR6iOerKnfbTnY-SiUu5mHYxzmU_zOSgr6E1LDQP-iAskbBs67o0KuqzkxwHK9ri02Vd4FHXHg5OdJMAENnylAjmMN', 'width': 2340}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJgcaEDBKVQC4RFlBlJmOkuK4
OPERATIONAL,"VCPG+XC, Marga Mulya, Bumi Agung, East Lampung Regency, Lampung 34382, Indonesia","{'location': {'lat': -5.1125276, 'lng': 105.4260395}, 'viewport': {'northeast': {'lat': -5.111278520107279, 'lng': 105.4269115298927}, 'southwest': {'lat': -5.113978179892722, 'lng': 105.4242118701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sawah bong sam,ChIJMaw1Am6XQC4RU71koNjS2-Y,4.0,ChIJMaw1Am6XQC4RU71koNjS2-Y,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJMaw1Am6XQC4RU71koNjS2-Y
OPERATIONAL,"VGQH+33X, Jl. Raya Marga Tiga Negeri Tua, Sambikarto, Kec. Bumi Agung, Kabupaten Lampung Timur, Lampung 34182, Indonesia","{'location': {'lat': -5.1122581, 'lng': 105.5277392}, 'viewport': {'northeast': {'lat': -5.110910920107277, 'lng': 105.5290768298927}, 'southwest': {'lat': -5.113610579892722, 'lng': 105.5263771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,area rawan pemalakan,ChIJV5r8DxeRQC4RJEXo0Ci_Cqk,3.2,ChIJV5r8DxeRQC4RJEXo0Ci_Cqk,"['tourist_attraction', 'point_of_interest', 'establishment']",6,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJV5r8DxeRQC4RJEXo0Ci_Cqk
CLOSED_TEMPORARILY,"VF4V+HVW, Hargomulyo, Sekampung, East Lampung Regency, Lampung, Indonesia","{'location': {'lat': -5.1435106, 'lng': 105.4946622}, 'viewport': {'northeast': {'lat': -5.142184820107278, 'lng': 105.4959942798927}, 'southwest': {'lat': -5.144884479892722, 'lng': 105.4932946201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,rawa LEBUNG JAYA,ChIJby8L8XKVQC4R8uxJl77clEs,0.0,ChIJby8L8XKVQC4R8uxJl77clEs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,True,,https://www.google.com/maps/place/?q=place_id:ChIJby8L8XKVQC4R8uxJl77clEs
OPERATIONAL,"PFJH+4J9, Rawa lintah, Kec. Sekampung Udik, Kabupaten Lampung Timur, Lampung, Indonesia","{'location': {'lat': -5.269699999999999, 'lng': 105.4791204}, 'viewport': {'northeast': {'lat': -5.268358270107277, 'lng': 105.4798832798927}, 'southwest': {'lat': -5.271057929892721, 'lng': 105.4771836201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rawa kenceng,ChIJw3-IHQDrQC4RKrvTFAyV2CI,0.0,ChIJw3-IHQDrQC4RKrvTFAyV2CI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJw3-IHQDrQC4RKrvTFAyV2CI
OPERATIONAL,"VCC7+3MG, Selo Rejo, Batanghari, East Lampung Regency, Lampung 34382, Indonesia","{'location': {'lat': -5.1298238, 'lng': 105.4141987}, 'viewport': {'northeast': {'lat': -5.128467820107278, 'lng': 105.4155702298927}, 'southwest': {'lat': -5.131167479892722, 'lng': 105.4128705701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Sunset,ChIJhfS1pQOVQC4RbOzPmUWOMm8,4.0,ChIJhfS1pQOVQC4RbOzPmUWOMm8,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116513470015943224276"">A Google User</a>'], 'photo_reference': 'AUGGfZkOyVwwI7b_J5dwlPOdFReKySEp2eqwN9-uSZ_aVaxwlWdHwjHPnln2KoBK3cx2hCM0jyMB17kjqZ5oO3aJs7hjeIh6ZpeEwX5YLOHpzbk-gPkMBdnTlTl39a6DFmHyi36gekct6ALNDhf9hPc-syv4EWtxdhbisTW9oRqhMxxjHi-L', 'width': 4160}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJhfS1pQOVQC4RbOzPmUWOMm8
OPERATIONAL,"RCV3+V9M, Sendang Agung, Balai Kencono, Kec. Batanghari, Kabupaten Lampung Timur, Lampung 34381, Indonesia","{'location': {'lat': -5.1552901, 'lng': 105.4034308}, 'viewport': {'northeast': {'lat': -5.153975870107277, 'lng': 105.4047798298927}, 'southwest': {'lat': -5.156675529892721, 'lng': 105.4020801701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sarung Manggung,ChIJwdig3P2_QC4RvtE_FH-tBzo,4.3,ChIJwdig3P2_QC4RvtE_FH-tBzo,"['tourist_attraction', 'point_of_interest', 'establishment']",6,{'open_now': False},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105728449661232314305"">A Google User</a>'], 'photo_reference': 'AUGGfZnDPSfctTNJMPybnvE_EY9JXTsZsv7MoguDiuASJKBuzXRzZ2R54r9Unmr0shz7bLNHq2TXoO61P6Sigu4escx_PCIrI37C6TToa8qhUrmT6H_aZm0SNt29-jtxIabJZZEhoKB4noPbvpIQUjO0KVFUqXP2H6WgkaMbF3CaCVJL37_A', 'width': 3120}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJwdig3P2_QC4RvtE_FH-tBzo
