business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,rating,reference,types,user_ratings_total,photos,url
OPERATIONAL,"RGV5+8PG Tjung kari, Jl. Tj. Harapan, Sumber Gede, Kec. Marga Tiga, Kabupaten Lampung Timur, Lampung 34386, Indonesia","{'location': {'lat': -5.156688, 'lng': 105.5093436}, 'viewport': {'northeast': {'lat': -5.155566770107278, 'lng': 105.5104638298927}, 'southwest': {'lat': -5.158266429892722, 'lng': 105.5077641701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Negri Katon marga tiga lamtim,{'open_now': True},ChIJ4X0d_C2TQC4RC-CGMOfqOw8,0.0,ChIJ4X0d_C2TQC4RC-CGMOfqOw8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ4X0d_C2TQC4RC-CGMOfqOw8
OPERATIONAL,"RGJG+83, Sumber Gede, Marga Tiga, East Lampung Regency, Lampung, Indonesia","{'location': {'lat': -5.169236499999999, 'lng': 105.5252256}, 'viewport': {'northeast': {'lat': -5.167939720107277, 'lng': 105.5266792298927}, 'southwest': {'lat': -5.170639379892721, 'lng': 105.5239795701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,kebun kiyay dedi,,ChIJ7VR-RgCTQC4R0NF-AVjK9Mg,0.0,ChIJ7VR-RgCTQC4R0NF-AVjK9Mg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ7VR-RgCTQC4R0NF-AVjK9Mg
OPERATIONAL,"QFQX+953, Jl. Raya Ps. Melaris, Negeri Jemanten, Kec. Marga Tiga, Kabupaten Lampung Timur, Lampung 34386, Indonesia","{'location': {'lat': -5.2116162, 'lng': 105.4979241}, 'viewport': {'northeast': {'lat': -5.210294220107278, 'lng': 105.4993538298927}, 'southwest': {'lat': -5.212993879892722, 'lng': 105.4966541701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah ferdyy muarifin,,ChIJV1HrSiHrQC4RTnV_WMtuHuw,0.0,ChIJV1HrSiHrQC4RTnV_WMtuHuw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117433954094222707746"">A Google User</a>'], 'photo_reference': 'AUGGfZmmNUxO1-O4YTTbhdEGXbb5-Ew90sUeRNKuDigZKf7pKaKteoZsAf_IjjzEN4YaHV0crY2AxB62MN17C5BBYLScp4LBjOSjpMb8wG5q6KjZxHpXcR3cp8fYEDbaH9QS6VOEJTsa04KvBJHww_oZBHzTRLYckfHyTIS4r4R-ux9zyiw1', 'width': 1080}]",https://www.google.com/maps/place/?q=place_id:ChIJV1HrSiHrQC4RTnV_WMtuHuw
OPERATIONAL,"RGFF+RPW, Gg. Umbul Gn., Suko Harjo, Kec. Marga Tiga, Kabupaten Lampung Timur, Lampung 34386, Indonesia","{'location': {'lat': -5.175396399999999, 'lng': 105.5243304}, 'viewport': {'northeast': {'lat': -5.174042720107278, 'lng': 105.5256427298927}, 'southwest': {'lat': -5.176742379892722, 'lng': 105.5229430701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun pala gunung slupo,,ChIJz3bTNY2TQC4RjkxIAz-aNRU,5.0,ChIJz3bTNY2TQC4RjkxIAz-aNRU,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117661515333728861895"">A Google User</a>'], 'photo_reference': 'AUGGfZk6Dd91LWOY6T4TuFWr4Flv9Vzk0kg26cU0lsb0tbNP_pAhzCBlwM_rU-3ccSiHy52SFjDLMpGccXPiVs2Uw9iw3ELjVcHDFCfMrZNo3zFN_k2nhLJNPidHvR-UxvBYUXE7qEx55KlcEvklB6DRnmaEkWgBmUh51PmFaPUgqqJN3reH', 'width': 1920}]",https://www.google.com/maps/place/?q=place_id:ChIJz3bTNY2TQC4RjkxIAz-aNRU
OPERATIONAL,"VGQH+33X, Jl. Raya Marga Tiga Negeri Tua, Sambikarto, Kec. Bumi Agung, Kabupaten Lampung Timur, Lampung 34182, Indonesia","{'location': {'lat': -5.1122581, 'lng': 105.5277392}, 'viewport': {'northeast': {'lat': -5.110910920107277, 'lng': 105.5290768298927}, 'southwest': {'lat': -5.113610579892722, 'lng': 105.5263771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,area rawan pemalakan,,ChIJV5r8DxeRQC4RJEXo0Ci_Cqk,3.2,ChIJV5r8DxeRQC4RJEXo0Ci_Cqk,"['tourist_attraction', 'point_of_interest', 'establishment']",6,,https://www.google.com/maps/place/?q=place_id:ChIJV5r8DxeRQC4RJEXo0Ci_Cqk
OPERATIONAL,"RFFW+XH4, Desa Jl. Tj. Harapan, Tanjung Kari, Marga Tiga, East Lampung Regency, Lampung 34386, Indonesia","{'location': {'lat': -5.175110999999999, 'lng': 105.496458}, 'viewport': {'northeast': {'lat': -5.170617449999999, 'lng': 105.49887735}, 'southwest': {'lat': -5.176608849999999, 'lng': 105.49565155}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun 3 Alam Indah,{'open_now': False},ChIJrWakcvCVQC4RUCf5mIB7n0s,2.6,ChIJrWakcvCVQC4RUCf5mIB7n0s,"['tourist_attraction', 'point_of_interest', 'establishment']",5,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112368420494662550590"">A Google User</a>'], 'photo_reference': 'AUGGfZm6MQSG090A6j1kPfUJOPXcEfiDv1yFzGUtwqIRQhYPs4u3hAVDGREyZXtSPZEcUDwM0bwKt9UNHuDyhisWV8S73gOraZbWQNMTmtIHI-O4miN4-DCXI5j3ACaQfJhK0VzcL3FF93tGCPSMGqeccgIjhTXRHQCJXf9LhUXmmVNANwBH', 'width': 1280}]",https://www.google.com/maps/place/?q=place_id:ChIJrWakcvCVQC4RUCf5mIB7n0s
OPERATIONAL,"PF9W+J9R, Gunung Agung, Sekampung Udik, East Lampung Regency, Lampung 34385, Indonesia","{'location': {'lat': -5.280869699999999, 'lng': 105.4959009}, 'viewport': {'northeast': {'lat': -5.279606120107277, 'lng': 105.4971824298927}, 'southwest': {'lat': -5.282305779892721, 'lng': 105.4944827701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah anak muda,{'open_now': True},ChIJXxv3LYnpQC4RO1eTxnWoXdI,5.0,ChIJXxv3LYnpQC4RO1eTxnWoXdI,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 416, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110780368054564604780"">A Google User</a>'], 'photo_reference': 'AUGGfZkBT1hImIZrTQvyGJH6UnZoxEW_FnwdmcW0s7_pEGvvPJyaGn6vTFrD52pRfAxvjSlhnJeOq6Srh57QkMLcK9MpRlltUtarJUqXNXOUyEWh4vTfn6Cs-Zbusnq4qCkIv0CSkvx2Bp9EDwoYG9DPi4ROjnKn_8Un_9ScHKtN8AfW-KMU', 'width': 720}]",https://www.google.com/maps/place/?q=place_id:ChIJXxv3LYnpQC4RO1eTxnWoXdI
OPERATIONAL,"RGG9+3G7, Jl. Tj. Harapan, Tanjung Kari, Kec. Marga Tiga, Kabupaten Lampung Timur, Lampung 34386, Indonesia","{'location': {'lat': -5.174835, 'lng': 105.518794}, 'viewport': {'northeast': {'lat': -5.173922270107278, 'lng': 105.5254393}, 'southwest': {'lat': -5.176621929892722, 'lng': 105.5165789}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Agrowisata Kebun Buah Bukit Selupo,,ChIJafgWS6STQC4RBxx-X08F8RM,5.0,ChIJafgWS6STQC4RBxx-X08F8RM,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJafgWS6STQC4RBxx-X08F8RM
OPERATIONAL,"VFFX+784, Mekar Sari, Sekampung, East Lampung Regency, Lampung 34382, Indonesia","{'location': {'lat': -5.1269693, 'lng': 105.4982625}, 'viewport': {'northeast': {'lat': -5.125633520107278, 'lng': 105.4996081798927}, 'southwest': {'lat': -5.128333179892722, 'lng': 105.4969085201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bawang Putih Mekarsari Lampung Timur,,ChIJgcaEDBKVQC4RFlBlJmOkuK4,4.1,ChIJgcaEDBKVQC4RFlBlJmOkuK4,"['tourist_attraction', 'point_of_interest', 'establishment']",26,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106885418553598533173"">A Google User</a>'], 'photo_reference': 'AUGGfZlZyR2OxbviT76ruQvxetu0mIXtYFihf6OVEAqaMpsUkZ1xvSLVvqo83b2rEeG7MzD32DIrnplOgJ_rcGTiBwhGUpk7R_MQfBxQJxFL1TYEIwJQ-_0PZE9DYzteHK0dYGzi_yB4PtpNSKJe5CBo0l-ZH4EgI-3BV6kHm-xuJ4-pdnZq', 'width': 2340}]",https://www.google.com/maps/place/?q=place_id:ChIJgcaEDBKVQC4RFlBlJmOkuK4
OPERATIONAL,"RGP5+RPH, Jl. Umbul Gn. Jl. Tj. Harapan, Sumber Gede, Kec. Marga Tiga, Kabupaten Lampung Timur, Lampung 34386, Indonesia","{'location': {'lat': -5.1629368, 'lng': 105.5093531}, 'viewport': {'northeast': {'lat': -5.161564220107278, 'lng': 105.5107244798927}, 'southwest': {'lat': -5.164263879892722, 'lng': 105.5080248201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Puncak Gunung Slupo,,ChIJdWch132TQC4RL7LKSEuiNsM,3.8,ChIJdWch132TQC4RL7LKSEuiNsM,"['tourist_attraction', 'point_of_interest', 'establishment']",6,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112368420494662550590"">A Google User</a>'], 'photo_reference': 'AUGGfZlKe06pLS6rprfKMkAsAMNsEdqcgNIlcu4HsiZe1zdqN-2IQXv8akfj16FnDLkNJ4kXm2w2QTI0sB3rkEOKyETqW37gRXdgcnGTwe-3cX0GXY4Y3buEP1PrUARlU2qdf19foREpzX59G_g0Orwlm7zZqjEifMfJzrTtKGQaHrn0dtIH', 'width': 4000}]",https://www.google.com/maps/place/?q=place_id:ChIJdWch132TQC4RL7LKSEuiNsM
