business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,plus_code,rating,reference,types,user_ratings_total,photos,price_level,permanently_closed,url
OPERATIONAL,"RT.16/RW.06, Sukun, Malang City, East Java 65147, Indonesia","{'location': {'lat': -7.9968833, 'lng': 112.6170074}, 'viewport': {'northeast': {'lat': -7.995547620107276, 'lng': 112.6183837298927}, 'southwest': {'lat': -7.99824727989272, 'lng': 112.6156840701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Air PLPBK Sukun,{'open_now': False},ChIJob9KwmuDeC4RKSY1Y2_1Kd0,"{'compound_code': '2J38+6R Sukun, Malang City, East Java, Indonesia', 'global_code': '6P4J2J38+6R'}",0.0,ChIJob9KwmuDeC4RKSY1Y2_1Kd0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJob9KwmuDeC4RKSY1Y2_1Kd0
OPERATIONAL,"XJJJ+6FG, Gg. 21 C, Gadang, Kec. Sukun, Kota Malang, Jawa Timur 65149, Indonesia","{'location': {'lat': -8.0194473, 'lng': 112.6312153}, 'viewport': {'northeast': {'lat': -8.01810942010728, 'lng': 112.6325934798927}, 'southwest': {'lat': -8.020809079892723, 'lng': 112.6298938201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Singgah Gadang,{'open_now': False},ChIJudBCKE8n1i0RebbPRInjvzQ,,0.0,ChIJudBCKE8n1i0RebbPRInjvzQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJudBCKE8n1i0RebbPRInjvzQ
OPERATIONAL,"Gg. 2C, Sukun, Kec. Sukun, Kota Malang, Jawa Timur 65147, Indonesia","{'location': {'lat': -7.9933958, 'lng': 112.6197326}, 'viewport': {'northeast': {'lat': -7.992043820107278, 'lng': 112.6210817298927}, 'southwest': {'lat': -7.994743479892722, 'lng': 112.6183820701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,Kampung Terapi Hijau,{'open_now': True},ChIJF0Ey8LeDeC4R2sixwo-H1jg,"{'compound_code': '2J49+JV Sukun, Malang City, East Java, Indonesia', 'global_code': '6P4J2J49+JV'}",4.8,ChIJF0Ey8LeDeC4R2sixwo-H1jg,"['tourist_attraction', 'local_government_office', 'point_of_interest', 'establishment']",5,"[{'height': 953, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101358489484140153234"">A Google User</a>'], 'photo_reference': 'AUGGfZnKl4OJqVEZav9BMzxxS57OGiMB-OlNIvWESlKKQ_uZ8W80lwxdOsc7-5lvUTQs_YBbHrG7vbaQcT7QikAoO2urbJ9il83ZvBfwKapRlrrkYJXn_Hp3yL2uYuSVlAzVl_DOGoGfQ2xvNnNbHk7ZUKV27etIeWlQIFVBnV0mXV7d5nxR', 'width': 715}]",,,https://www.google.com/maps/place/?q=place_id:ChIJF0Ey8LeDeC4R2sixwo-H1jg
OPERATIONAL,"2J8P+QX9, KWJ, Blimbing, Malang City, East Java, Indonesia","{'location': {'lat': -7.9831167, 'lng': 112.6374472}, 'viewport': {'northeast': {'lat': -7.981849520107278, 'lng': 112.6387094798927}, 'southwest': {'lat': -7.984549179892722, 'lng': 112.6360098201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KWJ MALANG,{'open_now': True},ChIJbYaedhYo1i0ROZD38Ldaago,,4.6,ChIJbYaedhYo1i0ROZD38Ldaago,"['tourist_attraction', 'point_of_interest', 'establishment']",276,"[{'height': 9248, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117052196786202652427"">Wandi Nova Deviyandi</a>'], 'photo_reference': 'AUGGfZnMHGhjNWQqQImlLcQ9MasSq5LarFC-5DZ7cjpgHPRkCscZOFyFzlaNhXD0ntwWJAUXqn7Et2m8RVw3VCB3HHjiwknnI-qMvvspvIcrH-mK6HJvo-fqPh7bf4SOatkbPgC4BDK95vWLfw8enmZOEOVnXWro5nyovC3EsP_XNNwIAIMd', 'width': 6936}]",1.0,,https://www.google.com/maps/place/?q=place_id:ChIJbYaedhYo1i0ROZD38Ldaago
OPERATIONAL,"2H6V+VRM, Mulyorejo, Sukun, Malang City, East Java, Indonesia","{'location': {'lat': -7.987778700000001, 'lng': 112.5945369}, 'viewport': {'northeast': {'lat': -7.986435720107278, 'lng': 112.5959062798927}, 'southwest': {'lat': -7.989135379892722, 'lng': 112.5932066201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lokasi sawah Kusman,,ChIJia1GfACDeC4RarF2WkNcXk4,,0.0,ChIJia1GfACDeC4RarF2WkNcXk4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJia1GfACDeC4RarF2WkNcXk4
OPERATIONAL,"Jl. Raya Candi VI C No.232, Gasek, Karangbesuki, Kec. Sukun, Kota Malang, Jawa Timur 65149, Indonesia","{'location': {'lat': -7.9525137, 'lng': 112.599838}, 'viewport': {'northeast': {'lat': -7.951274270107279, 'lng': 112.6011089298927}, 'southwest': {'lat': -7.953973929892723, 'lng': 112.5984092701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/worship_hindu-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/worship_hindu_pinlet,Candi Karang Besuki (ꦕꦟ꧀ꦝꦶꦏꦫꦁꦧꦼꦱꦸꦏꦶ),{'open_now': False},ChIJnxfPhGiCeC4R7l-VPM-l-bs,"{'compound_code': '2HWX+XW Karangbesuki, Malang City, East Java, Indonesia', 'global_code': '6P4J2HWX+XW'}",4.5,ChIJnxfPhGiCeC4R7l-VPM-l-bs,"['hindu_temple', 'tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",139,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101076184631034922313"">tomi pratama</a>'], 'photo_reference': 'AUGGfZkxeL8cc6rYS_4BBEAovgE7fE1uBnY_UCE6k62_rezZmc6C9L8I2eFHxP5W4ipTpD2hjXDjbQp-SwNOvQT7PDXjdHKvCwQRvoFS_cZWg_0wiSqGAVdUFI26nZggjyxztKTs4KoqYF2fYX3uFgcSaAKShy63lrwAVA14Tl3TSpUiXkq4', 'width': 4032}]",,,https://www.google.com/maps/place/?q=place_id:ChIJnxfPhGiCeC4R7l-VPM-l-bs
OPERATIONAL,"Jl. Raya Candi VI C No.249, Karangbesuki, Kec. Sukun, Kota Malang, Jawa Timur 65149, Indonesia","{'location': {'lat': -7.9531261, 'lng': 112.5995479}, 'viewport': {'northeast': {'lat': -7.951809120107277, 'lng': 112.6008959298927}, 'southwest': {'lat': -7.954508779892721, 'lng': 112.5981962701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampung Wisata Budaya Gasek,,ChIJTVHOKWaCeC4RPAnyYFarjug,"{'compound_code': '2HWX+QR Karangbesuki, Malang City, East Java, Indonesia', 'global_code': '6P4J2HWX+QR'}",0.0,ChIJTVHOKWaCeC4RPAnyYFarjug,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJTVHOKWaCeC4RPAnyYFarjug
OPERATIONAL,"Sendang Biru, Jl. Hamid Rusdi No.141, Bunulrejo, Kec. Blimbing, Kota Malang, Jawa Timur 65126, Indonesia","{'location': {'lat': -7.9677295, 'lng': 112.6395323}, 'viewport': {'northeast': {'lat': -7.966327070107276, 'lng': 112.6409154298927}, 'southwest': {'lat': -7.96902672989272, 'lng': 112.6382157701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bendo robo(ROCK FISSHING,,ChIJbxCTEAAp1i0RDwzhN3OjdYY,"{'compound_code': '2JJQ+VR Bunulrejo, Malang City, East Java, Indonesia', 'global_code': '6P4J2JJQ+VR'}",0.0,ChIJbxCTEAAp1i0RDwzhN3OjdYY,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJbxCTEAAp1i0RDwzhN3OjdYY
OPERATIONAL,"Jl. Temenggungan Ledok, Kesatrian, Kec. Blimbing, Kota Malang, Jawa Timur 65121, Indonesia","{'location': {'lat': -7.982208099999999, 'lng': 112.638085}, 'viewport': {'northeast': {'lat': -7.980867220107279, 'lng': 112.6394569298927}, 'southwest': {'lat': -7.983566879892723, 'lng': 112.6367572701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampung Tridi,{'open_now': False},ChIJPaDBAT4o1i0R2_8JhxMSY5g,"{'compound_code': '2J9Q+46 Kesatrian, Malang City, East Java, Indonesia', 'global_code': '6P4J2J9Q+46'}",4.4,ChIJPaDBAT4o1i0R2_8JhxMSY5g,"['tourist_attraction', 'point_of_interest', 'establishment']",3230,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110093628329758681408"">A Google User</a>'], 'photo_reference': 'AUGGfZkW1mksTmzGtWHNpBs5qTd3lH3YiKp1WRFLroMcgQj7JzK0PEWQCqIAbzBDRu_2ylNuoAjMWI2NkqjLSMN9BY_P1zxrPVaARpowpgpKOqz_U4GaVguIKwXO7yDEAp9aljsR-P4cwd3s7FvifSWNX2us2CwUxCI7im_sGb-e0VSBWSlF', 'width': 4160}]",,,https://www.google.com/maps/place/?q=place_id:ChIJPaDBAT4o1i0R2_8JhxMSY5g
OPERATIONAL,"Jl. Panglima Sudirman No.64, Kesatrian, Kec. Blimbing, Kota Malang, Jawa Timur 65124, Indonesia","{'location': {'lat': -7.974081399999999, 'lng': 112.641804}, 'viewport': {'northeast': {'lat': -7.972731570107276, 'lng': 112.6431538298927}, 'southwest': {'lat': -7.975431229892719, 'lng': 112.6404541701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Rampal,{'open_now': False},ChIJ86Z-3mQp1i0R9_SH81jxLOc,"{'compound_code': '2JGR+9P Kesatrian, Malang City, East Java, Indonesia', 'global_code': '6P4J2JGR+9P'}",4.5,ChIJ86Z-3mQp1i0R9_SH81jxLOc,"['tourist_attraction', 'point_of_interest', 'establishment']",30,"[{'height': 519, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113121660322460439891"">A Google User</a>'], 'photo_reference': 'AUGGfZm2hI3aCIvMg2oUi5oo1l1JfUnCbLiYJUEKC4ekuhPLfpmoaA5e6M-ZTOcdTzopm6tUHI4bM6_V4Xu2EOOXLnMXCrQpPKgdBibIa6hCwMKjpx7hHCa20Pl6JC_XgDC1qJVIMw2CSOGFxAmMSS7on2IKGdYzYUilgc1d7wdnbmXp6wzS', 'width': 486}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ86Z-3mQp1i0R9_SH81jxLOc
