formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,rating,user_ratings_total,opening_hours,plus_code,url
"Lamongan Regency, East Java, Indonesia","{'location': {'lat': -7.126926099999999, 'lng': 112.3337769}, 'viewport': {'northeast': {'lat': -6.861212999999999, 'lng': 112.552381}, 'southwest': {'lat': -7.384860999999999, 'lng': 112.072567}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lamongan Regency,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106040957344864820763"">PHREAKER BOYS</a>'], 'photo_reference': 'AUGGfZlB3fA0ctz5ba2wMGyqkPa9TDbjk5tLenyIM50CH6IDlrEQGdlT5EE8SP7fgotUKM-CvflB4vGHzYA4gwqi0MsgZwkrYO1k_Kd7FUpw4t2M21c-zxND7_6oJxlSprzo3lv7Llwl7XEkwZZC2yulgSeHyWCfYmnJqFMFwdzqWHAjyJcf', 'width': 960}]",ChIJl-g9lPTzdy4RkL1S43Z6AgM,ChIJl-g9lPTzdy4RkL1S43Z6AgM,"['administrative_area_level_2', 'political']",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJl-g9lPTzdy4RkL1S43Z6AgM
"M7PV+8HR, Nongko, Candisari, Kec. Sambeng, Kabupaten Lamongan, Jawa Timur 62284, Indonesia","{'location': {'lat': -7.314144899999999, 'lng': 112.2938796}, 'viewport': {'northeast': {'lat': -7.312868470107279, 'lng': 112.2952179798927}, 'southwest': {'lat': -7.315568129892723, 'lng': 112.2925183201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Desa Wisata Candisari,"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103186098958443482169"">Ikhsan Rosyid</a>'], 'photo_reference': 'AUGGfZnCYwHrkREUZk3jtySscJmaxvpLiJtcUnEHRUiG2ADQ_1bm0b6DvrEuWWvNFNAUxTepl5hqJS2zT-YJIXIglrbR-LxW-Za7pVMCylzT4hCEeCWC8p2E_gddImSaeB0UKwyxdH5n95SR_EUfCw-frfwACQlLYYet5oChH7OWVerXIZP0', 'width': 4000}]",ChIJQ6O6hoAZeC4R46mVtvATpQg,ChIJQ6O6hoAZeC4R46mVtvATpQg,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.9,13.0,,,https://www.google.com/maps/place/?q=place_id:ChIJQ6O6hoAZeC4R46mVtvATpQg
"JL. Raya, Paciran, Kec. Paciran, Kabupaten Lamongan, Jawa Timur 62264, Indonesia","{'location': {'lat': -6.8684582, 'lng': 112.3619918}, 'viewport': {'northeast': {'lat': -6.866862470107279, 'lng': 112.3634742798927}, 'southwest': {'lat': -6.869562129892723, 'lng': 112.3607746201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Maharani Zoo & Cave,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113107235537807861514"">Pandu Atmaja</a>'], 'photo_reference': 'AUGGfZnM22ReeyfIl3hig2c1mLBqcewXtch5z7j0iXI0m3i8E0OtTMc0x__KadKpKXE6BOHh7Ud_CiGURbu-ZSIUuF0aiwcRUvFVWAqQKKzkApq7V0QuW5c9UPBS0nTBocKbLk7uL8cFTxjCELyqzF4YieWBXWNNQq3aaBPK9BerN4p2vj-f', 'width': 4160}]",ChIJa09KV2nCdy4R0U2dTdoUHwU,ChIJa09KV2nCdy4R0U2dTdoUHwU,"['zoo', 'tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.5,2803.0,{'open_now': False},"{'compound_code': '49J6+JQ Paciran, Lamongan Regency, East Java, Indonesia', 'global_code': '6P5J49J6+JQ'}",https://www.google.com/maps/place/?q=place_id:ChIJa09KV2nCdy4R0U2dTdoUHwU
"Q7VH+FQP, Area Sawah, Deketagung, Kec. Sugio, Kabupaten Lamongan, Jawa Timur 62256, Indonesia","{'location': {'lat': -7.2062887, 'lng': 112.2794487}, 'viewport': {'northeast': {'lat': -7.204800970107278, 'lng': 112.2806131798927}, 'southwest': {'lat': -7.207500629892722, 'lng': 112.2779135201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,WEGO,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113456152810073773113"">Sondag Stefanus</a>'], 'photo_reference': 'AUGGfZk3rkSNIHxjgcsAXa451TNY9wiuIc3VJMm1nRSnsRKP15S7YGc4Zyal037uomWqsk4DcL6KapxTFm5yYGkN6D5Lqkr2xOhFiWr9XVVH0l7e87LCwQuuezmFDnnwXVy5I7gtJGtpuuO_MtZ_IC_RbCS85W31qdcWOi6sT1n0JNtWJZLW', 'width': 4000}]",ChIJawPK7Wz1dy4RGFwT3jpruPQ,ChIJawPK7Wz1dy4RGFwT3jpruPQ,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.4,17.0,,,https://www.google.com/maps/place/?q=place_id:ChIJawPK7Wz1dy4RGFwT3jpruPQ
"Q7X7+FM4, Jl. Raya Waduk Gondang, Jaledriasri, Gondang Lor, Kec. Sugio, Kabupaten Lamongan, Jawa Timur 62256, Indonesia","{'location': {'lat': -7.2013694, 'lng': 112.264206}, 'viewport': {'northeast': {'lat': -7.199972220107277, 'lng': 112.2655473798927}, 'southwest': {'lat': -7.202671879892722, 'lng': 112.2628477201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gondang reservoir Sugio Lamongan,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100793974373146251534"">suwarno vsc</a>'], 'photo_reference': 'AUGGfZnhV43huDHazDM0AJjzUmtXC9Na2lKzuvfbBdeSoxVzQzz95ee0LIc74_yF-BvFi93OfdGGVcdnX0H8wQinW-kgmJ6NWDXARveAB81NX_HA0tlGtPCt6NNjEU2UNU2-UYS5ClZyrKuyxX4P6ZNFqMyH_RQTa7Kke94o5c7IYGuulrRC', 'width': 4000}]",ChIJAQAAABD1dy4RwoQn15dDZF4,ChIJAQAAABD1dy4RwoQn15dDZF4,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",OPERATIONAL,4.1,1972.0,{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJAQAAABD1dy4RwoQn15dDZF4
"Jl. Dukurjo, Area Persawahan, Tanggungprigel, Kec. Glagah, Kabupaten Lamongan, Jawa Timur 62292, Indonesia","{'location': {'lat': -7.08951, 'lng': 112.5102792}, 'viewport': {'northeast': {'lat': -7.088200420107278, 'lng': 112.5115860298927}, 'southwest': {'lat': -7.090900079892722, 'lng': 112.5088863701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Telaga SODA (Sugoh Dayo),"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112128129536132342958"">Charif interisti</a>'], 'photo_reference': 'AUGGfZlFXJSnrU3kIWndV8-ac4wq18vnm6ohvyMkNnhE6aK2cyPOKHxbyYf1EoAzgkvHTukHsP_NS5Q7a2wf8tqtN8KjlpHU3hsXjzI6ez4LlJozWVdIqq1u3XraKPwL5pINzFTWTcdbcB64dTXgVEQvLIMUr6wGNQwakVJowgQ53bddYj9N', 'width': 4160}]",ChIJ3c5aNcX7dy4RVZ23mLDTkls,ChIJ3c5aNcX7dy4RVZ23mLDTkls,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.4,158.0,{'open_now': False},"{'compound_code': 'WG66+54 Tanggungprigel, Lamongan Regency, East Java, Indonesia', 'global_code': '6P4JWG66+54'}",https://www.google.com/maps/place/?q=place_id:ChIJ3c5aNcX7dy4RVZ23mLDTkls
"W92R+77R, Plosolebaks, Tambakploso, Kec. Turi, Kabupaten Lamongan, Jawa Timur 62252, Indonesia","{'location': {'lat': -7.099265699999999, 'lng': 112.390654}, 'viewport': {'northeast': {'lat': -7.097943120107278, 'lng': 112.3920781798927}, 'southwest': {'lat': -7.100642779892722, 'lng': 112.3893785201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Telaga plosolebak,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115009214399283960713"">Deddi Nordiawan</a>'], 'photo_reference': 'AUGGfZmz6fXf-42Dpppzavo3xnJQsB47k3tmuym5edpz4pSRUhLXamr5AayrDe31hh6yA9xopbzP4uRv7HFqiFb9ne48y5YWpd8hCHaYVLv_N_wDIGDodW6_el56XNeg_4plWafLsAP6i7uQGJXketsx-BYZjicdoMLDmN6yH5xon97gjr_q', 'width': 4032}]",ChIJGaI6dcjxdy4RyEz7220gcH0,ChIJGaI6dcjxdy4RyEz7220gcH0,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.7,16.0,,,https://www.google.com/maps/place/?q=place_id:ChIJGaI6dcjxdy4RyEz7220gcH0
"Jl. Raya Waduk Gondang, Juwet, Deketagung, Kec. Sugio, Kabupaten Lamongan, Jawa Timur 62256, Indonesia","{'location': {'lat': -7.204478000000001, 'lng': 112.2809702}, 'viewport': {'northeast': {'lat': -7.203121470107278, 'lng': 112.2823570298927}, 'southwest': {'lat': -7.205821129892722, 'lng': 112.2796573701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,WEGO,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100486204135964859361"">julian</a>'], 'photo_reference': 'AUGGfZlrNoLh9HiUGbd7l1nigysrXy6qs-xR3-Kebqjvq6G5aQ8APk2QLLth3334IoJO8rDA1STYUW7pPRz8RdGDggRmOq7tewz7kGcthoppOkroImvVhsXMW-UdN6OGNsIU6egEN1xon4yqffmeOOn7C1-xsrK_Wedy9ni5Jov9yGx9ipXX', 'width': 4160}]",ChIJC1BxUXn1dy4RNO0c-ZpQp8Y,ChIJC1BxUXn1dy4RNO0c-ZpQp8Y,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.0,3392.0,{'open_now': False},"{'compound_code': 'Q7WJ+69 Deketagung, Lamongan Regency, East Java, Indonesia', 'global_code': '6P4JQ7WJ+69'}",https://www.google.com/maps/place/?q=place_id:ChIJC1BxUXn1dy4RNO0c-ZpQp8Y
"Pajangan, Sukodadi, Lamongan Regency, East Java 62253, Indonesia","{'location': {'lat': -7.0721737, 'lng': 112.3199329}, 'viewport': {'northeast': {'lat': -7.071386920107279, 'lng': 112.3226413}, 'southwest': {'lat': -7.074086579892723, 'lng': 112.3190301}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Bumi Ganjaran,"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110984896899624226916"">A Google User</a>'], 'photo_reference': 'AUGGfZnB-SBtpQXNYzMkDFkTS3JrS0gUVAQyPJhXjaEJSrixeBPmlOx9Hlm1ftremiydzTLU6lK4Go3mc1c71ncujYsKc4y22pgV0c-EKqR1fWfJhHSNPQufRF0Oys4PVdGtMAOBVsepeubk5OFOJxdzPQIxYi8SjnHVFV-jf7-hkxfmgHTe', 'width': 2560}]",ChIJnZkmAUrzdy4RiaTGqKYscCY,ChIJnZkmAUrzdy4RiaTGqKYscCY,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.3,86.0,,"{'compound_code': 'W8H9+4X Pajangan, Lamongan Regency, East Java, Indonesia', 'global_code': '6P4JW8H9+4X'}",https://www.google.com/maps/place/?q=place_id:ChIJnZkmAUrzdy4RiaTGqKYscCY
"Moronyamplung, Kembangbahu, Lamongan Regency, East Java 62282, Indonesia","{'location': {'lat': -7.254764300000001, 'lng': 112.352639}, 'viewport': {'northeast': {'lat': -7.253405470107278, 'lng': 112.3541307298927}, 'southwest': {'lat': -7.256105129892722, 'lng': 112.3514310701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sendang Gambirwati,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103341073770086467229"">Wulandari Kusuma Dewi</a>'], 'photo_reference': 'AUGGfZnP_VmLeuFxJzPXBsy31kFxDBGQpD-i0VzNN_Q3kGyOG5-gICyhAT1jetddKiw8g4c7U8xF_YblhvY08eAH6ffn_Qi55K2sNCQzfnYeot2reDZ7rci_eB3wcN6FZ-bs2pI19I9tQ2DP5YCZSeHu3t6UHOvfQJcmoc9BNZR6rz6HDrbc', 'width': 4000}]",ChIJ37NfFCkdeC4RLnYrEzLPxpo,ChIJ37NfFCkdeC4RLnYrEzLPxpo,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.8,16.0,{'open_now': False},"{'compound_code': 'P9W3+33 Moronyamplung, Lamongan Regency, East Java, Indonesia', 'global_code': '6P4JP9W3+33'}",https://www.google.com/maps/place/?q=place_id:ChIJ37NfFCkdeC4RLnYrEzLPxpo
