business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,permanently_closed,plus_code,url
OPERATIONAL,"43GF+H5W, Jl. Olah Raga, Sorek Satu, Kec. Pangkalan Kuras, Kabupaten Pelalawan, Riau 28383, Indonesia","{'location': {'lat': 0.1264925, 'lng': 102.0729453}, 'viewport': {'northeast': {'lat': 0.1278221798927222, 'lng': 102.0742898798927}, 'southwest': {'lat': 0.1251225201072778, 'lng': 102.0715902201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Buah,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111022710254756630670"">A Google User</a>'], 'photo_reference': 'AUGGfZlPjhBG6OORKdLiMdREd_LbtopahNgQ-C0gL0EAHVL9U-D7LttAo9sJy3lW6UYXMfCzvVbRY-wpCy0GgQUHQP-eA_W9hKyfMuqVmZ6BDYtsA4ZsGkwe5WBePyDLAAhV7DlbvTMQaCCPNXzan-DiKh9lsdNYKpILSIzUSAlr5pyEkRi3', 'width': 3000}]",ChIJnShCvBoH1jER5vzD6LEWLT8,4.5,ChIJnShCvBoH1jER5vzD6LEWLT8,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJnShCvBoH1jER5vzD6LEWLT8
OPERATIONAL,"5WW6+CVH, Terantang Manuk, Pangkalan Kuras, Pelalawan Regency, Riau 28382, Indonesia","{'location': {'lat': 0.1960625, 'lng': 101.9122344}, 'viewport': {'northeast': {'lat': 0.1974251798927222, 'lng': 101.9135624298927}, 'southwest': {'lat': 0.1947255201072778, 'lng': 101.9108627701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sihombing Mandor,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111203782486514413092"">A Google User</a>'], 'photo_reference': 'AUGGfZkT4qTp6sHLplaS9ZCQc56nsAowe0_eW1KXlinpYuMbZWoMOSFF3lMRvpf2uFPzdaZ28KvdQIY0x33tc9wvhsVGLmohR_St9onC9c9q3_yHxDXPioL_Wm4vlej7ncpyy5ig3YITwE4Jh2I8uSw13WxTRw21UIpJpCkHBygpEnAmWw-W', 'width': 3120}]",ChIJqyRspq3l1TERSsF58_Phjf0,5.0,ChIJqyRspq3l1TERSsF58_Phjf0,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,https://www.google.com/maps/place/?q=place_id:ChIJqyRspq3l1TERSsF58_Phjf0
OPERATIONAL,"6224+8HR, Surya Indah, Pangkalan Kuras, Pelalawan Regency, Riau, Indonesia","{'location': {'lat': 0.2008508, 'lng': 102.0064057}, 'viewport': {'northeast': {'lat': 0.2023916298927222, 'lng': 102.0075693798927}, 'southwest': {'lat': 0.1996919701072778, 'lng': 102.0048697201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam JM,,,ChIJLXYxeQDj1TERVQ_guVr2QYA,0.0,ChIJLXYxeQDj1TERVQ_guVr2QYA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJLXYxeQDj1TERVQ_guVr2QYA
OPERATIONAL,"3XF4+3F8, Betung, Pangkalan Kuras, Pelalawan Regency, Riau 28382, Indonesia","{'location': {'lat': 0.0726593, 'lng': 101.9562112}, 'viewport': {'northeast': {'lat': 0.07433742989272221, 'lng': 101.9571049298927}, 'southwest': {'lat': 0.07163777010727779, 'lng': 101.9544052701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PUSAT BUDAYA PETALANGAN,{'open_now': True},"[{'height': 596, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114037023227904831554"">A Google User</a>'], 'photo_reference': 'AUGGfZmcxaxuG3PDOK4JKAVXshLa9CvQ6cbjZCdCN61h9fAWIoWmfrKFkfXXDNoqL6UQsCLSO8wJZ_uBs918UMN4W2elSkHBK9kVhdR6GAU_mkVcRbnx4qRqC6YrU5n71kYOFH-S_vjqiUw883qoRdRWw4uBhsnY2GUY6Q2d7gxWvENT6ljf', 'width': 860}]",ChIJh-qCGGD51TER-VmbMc6ZE-k,4.2,ChIJh-qCGGD51TER-VmbMc6ZE-k,"['tourist_attraction', 'point_of_interest', 'establishment']",26,,,https://www.google.com/maps/place/?q=place_id:ChIJh-qCGGD51TER-VmbMc6ZE-k
OPERATIONAL,"6X59+229, Beringin Indah, Pangkalan Kuras, Pelalawan Regency, Riau 28353, Indonesia","{'location': {'lat': 0.2070299, 'lng': 101.9679828}, 'viewport': {'northeast': {'lat': 0.2081524798927222, 'lng': 101.9694964298927}, 'southwest': {'lat': 0.2054528201072778, 'lng': 101.9667967701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BUMI PERKEMAHAN DESA BERINGIN INDAH,,"[{'height': 1872, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117424512304297422103"">A Google User</a>'], 'photo_reference': 'AUGGfZlSdZqfHvO7SO3Alh5Ia3ZNbJnl-xca53B4uy6f-EsmRgu36EgswwDYdtpXdKWf6E3D6SyITPkwKoVzQPReyczpmHpzf5snYFxxjOYafM-JfitGaZR21J0jlarvAdGlyy4eqOdDC72xxxZq7m00k2ET9KYteEhpVQvODJYmNuleT3us', 'width': 3328}]",ChIJfarFDbvl1TERiaIuSn-ssX8,5.0,ChIJfarFDbvl1TERiaIuSn-ssX8,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,https://www.google.com/maps/place/?q=place_id:ChIJfarFDbvl1TERiaIuSn-ssX8
OPERATIONAL,"4X29+5JV, Betung, Pangkalan Kuras, Pelalawan Regency, Riau 28382, Indonesia","{'location': {'lat': 0.1004849, 'lng': 101.9690458}, 'viewport': {'northeast': {'lat': 0.1018507798927222, 'lng': 101.9713018}, 'southwest': {'lat': 0.09915112010727781, 'lng': 101.9682938}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sorek,,,ChIJ3YY1dyj71TERLFG5hqQptS4,5.0,ChIJ3YY1dyj71TERLFG5hqQptS4,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,https://www.google.com/maps/place/?q=place_id:ChIJ3YY1dyj71TERLFG5hqQptS4
OPERATIONAL,"44RF+CX, Sialang Godang, Bandar Petalangan, Pelalawan Regency, Riau, Indonesia","{'location': {'lat': 0.1411005, 'lng': 102.1249466}, 'viewport': {'northeast': {'lat': 0.1424477798927222, 'lng': 102.1262822298928}, 'southwest': {'lat': 0.1397481201072778, 'lng': 102.1235825701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolberpuncakindah,{'open_now': True},"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113381637798376132896"">A Google User</a>'], 'photo_reference': 'AUGGfZknt1yUcgKJVr90JliTRNWMkTIyyLbuM4Ni5t6Ik_JXv_ZMRSkP2IEXojwgMcw4Bj_pXrZkPu9sdyZYPKGLxxACtX0ldQJZ6XLKyDPKQJK0fxyZ3yvgqpGunk03HdxS650vhPhORG_rtI19RwPt-V6DfWetdg_dvB6DHz7oo8E_Kkel', 'width': 960}]",ChIJFzEeZAAH1jERjtyNI69MLxE,5.0,ChIJFzEeZAAH1jERjtyNI69MLxE,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJFzEeZAAH1jERjtyNI69MLxE
OPERATIONAL,"3XF4+63M, Unnamed Road, Betung, Kec. Pangkalan Kuras, Kabupaten Pelalawan, Riau 28382, Indonesia","{'location': {'lat': 0.07309349999999999, 'lng': 101.9551856}, 'viewport': {'northeast': {'lat': 0.07443592989272221, 'lng': 101.9565525298927}, 'southwest': {'lat': 0.07173627010727777, 'lng': 101.9538528701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Alam Danau Betung,,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116916516388776008284"">A Google User</a>'], 'photo_reference': 'AUGGfZmBC-4J23ijZrE6WLZD8vHhI5dowhzfcWmR0if-RBz3hIzVAjZ6ctLukf-vxZJCdSYcFjTlne-l4Zj-dmpAUraZnZuGOK3zZm_ziikcjqLUGeONymEEa6lK1_UCWA2RQg-miCJO-v8MnYhk76GvpLfS_s2fe0KOtOWTPxsZ16BVIXQC', 'width': 3264}]",ChIJ11y1zff71TERK0jFvoCD00A,4.3,ChIJ11y1zff71TERK0jFvoCD00A,"['tourist_attraction', 'point_of_interest', 'establishment']",7,,,https://www.google.com/maps/place/?q=place_id:ChIJ11y1zff71TERK0jFvoCD00A
OPERATIONAL,"33FV+PP, Pesaguan, Pangkalan Lesung, Pelalawan Regency, Riau 28383, Indonesia","{'location': {'lat': 0.07425319999999999, 'lng': 102.0943279}, 'viewport': {'northeast': {'lat': 0.07559072989272221, 'lng': 102.0956817298927}, 'southwest': {'lat': 0.07289107010727777, 'lng': 102.0929820701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Simpang Desa Tanjung Beringin,,,ChIJT9vUsWAH1jER0Wy_wHbFQNA,5.0,ChIJT9vUsWAH1jER0Wy_wHbFQNA,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,https://www.google.com/maps/place/?q=place_id:ChIJT9vUsWAH1jER0Wy_wHbFQNA
OPERATIONAL,"7RM4+HPJ, Rantau Baru, Pangkalan Kerinci, Pelalawan Regency, Riau 28353, Indonesia","{'location': {'lat': 0.2839693, 'lng': 101.8067595}, 'viewport': {'northeast': {'lat': 0.2853398798927222, 'lng': 101.8081377798927}, 'southwest': {'lat': 0.2826402201072777, 'lng': 101.8054381201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Pancing Desa Rantau Baru,,,ChIJu-5Ff6Dp1TER-RFftzPGusU,0.0,ChIJu-5Ff6Dp1TER-RFftzPGusU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJu-5Ff6Dp1TER-RFftzPGusU
