business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,permanently_closed,photos,opening_hours,plus_code,url
OPERATIONAL,"5GFP+R3G, Desa Gading Permai, Kec. Kampar Kiri Hilir, Kabupaten Kampar, Riau, Indonesia","{'location': {'lat': 0.1745545, 'lng': 101.5352003}, 'viewport': {'northeast': {'lat': 0.1759043298927222, 'lng': 101.5365501298927}, 'southwest': {'lat': 0.1732046701072778, 'lng': 101.5338504701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gading Permai,ChIJvVlC6EiR1TER_78r3y-NL4o,5.0,ChIJvVlC6EiR1TER_78r3y-NL4o,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJvVlC6EiR1TER_78r3y-NL4o
CLOSED_TEMPORARILY,"6G32+49V, Gading Permai, Kampar Kiri Hilir, Kampar Regency, Riau, Indonesia","{'location': {'lat': 0.2028504, 'lng': 101.5009116}, 'viewport': {'northeast': {'lat': 0.2042002298927222, 'lng': 101.5022614298927}, 'southwest': {'lat': 0.2015005701072778, 'lng': 101.4995617701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,DANAU PAKI,ChIJQ72Td1ub1TERU-dQtmAdAcg,0.0,ChIJQ72Td1ub1TERU-dQtmAdAcg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,,,,https://www.google.com/maps/place/?q=place_id:ChIJQ72Td1ub1TERU-dQtmAdAcg
OPERATIONAL,"49WX+WC, Rantau Kasih, Kampar Kiri Hilir, Kampar Regency, Riau, Indonesia","{'location': {'lat': 0.147327, 'lng': 101.3985867}, 'viewport': {'northeast': {'lat': 0.1482763298927222, 'lng': 101.3998678798927}, 'southwest': {'lat': 0.1455766701072778, 'lng': 101.3971682201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pembibitankeawoodlama,ChIJOdjJZwCd1TEROPMAXMv-udA,0.0,ChIJOdjJZwCd1TEROPMAXMv-udA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJOdjJZwCd1TEROPMAXMv-udA
OPERATIONAL,"5C93+2W, Rantau Kasih, Kampar Kiri Hilir, Kampar Regency, Riau, Indonesia","{'location': {'lat': 0.167619, 'lng': 101.4048067}, 'viewport': {'northeast': {'lat': 0.1689790798927222, 'lng': 101.4061597298927}, 'southwest': {'lat': 0.1662794201072778, 'lng': 101.4034600701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spot Macing Juaro,ChIJc7aEfa2d1TERNzxFuvWnW24,0.0,ChIJc7aEfa2d1TERNzxFuvWnW24,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112849986957714945843"">A Google User</a>'], 'photo_reference': 'AUGGfZmdp8-ORqe5l_nBX0_r901oQjtE2X3bytAgIw_24U5I69DsPKRuO5MKLS-1noljYo_1rBQpSp-aXNaTLKG0fnv8MYhpdKXlOWEh_8NlEiZizEsM08IMx2zHKbSnM2FX6hBE3d_AjQ4OsONCB5kWOoW9ki-SVQ1ou1m9nhC-hB3d4Rwk', 'width': 3024}]",,,https://www.google.com/maps/place/?q=place_id:ChIJc7aEfa2d1TERNzxFuvWnW24
CLOSED_TEMPORARILY,"5FWM+G8, Gading Permai, Kampar Kiri Hilir, Kampar Regency, Riau, Indonesia","{'location': {'lat': 0.196323, 'lng': 101.483335}, 'viewport': {'northeast': {'lat': 0.1976922298927222, 'lng': 101.4851071798927}, 'southwest': {'lat': 0.1949925701072778, 'lng': 101.4824075201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spot mancing,ChIJPZZmFSKb1TERzVAIqR1nAro,5.0,ChIJPZZmFSKb1TERzVAIqR1nAro,"['tourist_attraction', 'point_of_interest', 'establishment']",1,True,,,,https://www.google.com/maps/place/?q=place_id:ChIJPZZmFSKb1TERzVAIqR1nAro
OPERATIONAL,"59RV+F6, Sungai Pagar, Kampar Kiri Hilir, Kampar Regency, Riau, Indonesia","{'location': {'lat': 0.1911506, 'lng': 101.3930824}, 'viewport': {'northeast': {'lat': 0.1925779798927222, 'lng': 101.3941605798927}, 'southwest': {'lat': 0.1898783201072778, 'lng': 101.3914609201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun Lengkeng Pondok Hijau,ChIJfdoF6Iyd1TERX--gdgmtu20,4.0,ChIJfdoF6Iyd1TERX--gdgmtu20,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108682142848146148444"">Jon Irwin</a>'], 'photo_reference': 'AUGGfZnZPTRvFwYrbUhsCXpHT8vyTLv3BJ5yGCuijVCZO5EyNWia6Ez7Os07MLVab58L1NAYBbaGMnSCuqXt_rhnGSRjTL1oCDDkGWeZM9N4sqKUE-WdqPEEOUOXXhfiZjXlX4atw188vi-6RhlfEfOz_A3kKMB1XrYdt4D1qXwK2MsNRHss', 'width': 2250}]",,,https://www.google.com/maps/place/?q=place_id:ChIJfdoF6Iyd1TERX--gdgmtu20
OPERATIONAL,"7978+VM3, Unnamed Road, Sungai Simpang Dua, Kec. Kampar Kiri Hilir, Kabupaten Kampar, Riau 28462, Indonesia","{'location': {'lat': 0.2646548, 'lng': 101.3666663}, 'viewport': {'northeast': {'lat': 0.2660847798927222, 'lng': 101.3680143798927}, 'southwest': {'lat': 0.2633851201072778, 'lng': 101.3653147201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lestari hidroponik kampar,ChIJlSgRlfuf1TERJxc946sPCRM,4.7,ChIJlSgRlfuf1TERJxc946sPCRM,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,"[{'height': 1952, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115906661717257495373"">A Google User</a>'], 'photo_reference': 'AUGGfZnkXcbaBUBTJQo2xPnogeoJeCaTARk_ng-s5te9EAeh8GiUH6fBbSy3IuGSlVFC9sLr8i__rH8xLh3VJDlHHQ-5k3Xwj6zmXqfHQG-83PhffKwDjcT80E-PM-8LQTTHG6HVTS_HVd93WCFnjYyVSptZnYj28I9OfyX9kr3rTB0yaK-H', 'width': 4160}]",,,https://www.google.com/maps/place/?q=place_id:ChIJlSgRlfuf1TERJxc946sPCRM
OPERATIONAL,"2674+8HP, Lipat Kain Selatan, Kampar Kiri, Kampar Regency, Riau 28471, Indonesia","{'location': {'lat': 0.0133376, 'lng': 101.2064379}, 'viewport': {'northeast': {'lat': 0.01413782989272221, 'lng': 101.2071855}, 'southwest': {'lat': 0.01143817010727778, 'lng': 101.2041951}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Pulau Tonga,ChIJ8WBgbep91TERdPXEf0JDIUg,3.8,ChIJ8WBgbep91TERdPXEf0JDIUg,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100030145403286865816"">Zuki Rama</a>'], 'photo_reference': 'AUGGfZk_FEPX9QWsSCAncSyXlj9PrQb_ooSu-OY7Cd-zra1I___a4CC2RwmB-AkhCJGQJm32WtuPQcDpxb-lW8tVSItLvQ3D1iA1nkwPflWUdEgryqSOJgT_0jUfNqVk_3nu1DH1mcC1_As9guwxP9seWX-jrpktqi5_xUDHGnpNwytKzLZ4', 'width': 4160}]",{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJ8WBgbep91TERdPXEf0JDIUg
OPERATIONAL,"6C7P+RJ, Sungai Pagar, Kampar Kiri Hilir, Kampar Regency, Riau 28471, Indonesia","{'location': {'lat': 0.2146091, 'lng': 101.4365812}, 'viewport': {'northeast': {'lat': 0.2157902298927222, 'lng': 101.4380224298927}, 'southwest': {'lat': 0.2130905701072778, 'lng': 101.4353227701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemandian Jembatan tinggi mentulik,ChIJfYUloMOb1TERrdj7D4K4s54,4.5,ChIJfYUloMOb1TERrdj7D4K4s54,"['tourist_attraction', 'point_of_interest', 'establishment']",12,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100193539522471534546"">andri rida</a>'], 'photo_reference': 'AUGGfZlyU93SSvpZlPgNpgf8KhKAF_m5ZjERy-NkJkKfXhifosWiMFSRa2PtsefxwZ7-T11xUVXZS_kcoboQs2OMPB6XZCqb0j9QrKVdnUFXxkCwrUA2CjR4jF_wrFKoEL0gZP4CVu1f8vTISg8amziisJihqYJ9CRvp7RO50pO7mMg70Fp5', 'width': 3000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJfYUloMOb1TERrdj7D4K4s54
OPERATIONAL,"X52J+Q5, Teluk Paman, Kampar Kiri, Kampar Regency, Riau, Indonesia","{'location': {'lat': -0.0480625, 'lng': 101.1804533}, 'viewport': {'northeast': {'lat': -0.0467126701072778, 'lng': 101.1818031298927}, 'southwest': {'lat': -0.04941232989272222, 'lng': 101.1791034701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pulau Tumbuo,ChIJCytq2vWDKi4Rg6k_GTd7Nyk,5.0,ChIJCytq2vWDKi4Rg6k_GTd7Nyk,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJCytq2vWDKi4Rg6k_GTd7Nyk
