formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,rating,user_ratings_total,opening_hours,price_level,permanently_closed,url
"Sindangkerta, West Bandung Regency, West Java, Indonesia","{'location': {'lat': -6.9917031, 'lng': 107.4024556}, 'viewport': {'northeast': {'lat': -6.9630491, 'lng': 107.46148}, 'southwest': {'lat': -7.122013, 'lng': 107.36172}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sindangkerta,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116183169976489965529"">A Google User</a>'], 'photo_reference': 'AUGGfZkR8lQ4tqHjdFAInxNKkxZYWakJ7lXAoXoDb3r51w72QsElzObMG_0DNbXivqKjD5ZqZPFzmu2jNxKxH0tKOqh88Im7TsCK5Is4m8KqyPHSf0WCcV454llktWX6_jDhWSW_K69BYs0wJpBl1dCYRsuk0N85IX7F2bRmBV8QA_PFNseC', 'width': 2336}]",ChIJqf--9b7zaC4RGUnKc7hEd7w,ChIJqf--9b7zaC4RGUnKc7hEd7w,"['administrative_area_level_3', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJqf--9b7zaC4RGUnKc7hEd7w
"2C52+P47, Cintakarya, Sindangkerta, West Bandung Regency, West Java, Indonesia","{'location': {'lat': -6.990714, 'lng': 107.400299}, 'viewport': {'northeast': {'lat': -6.989110970107278, 'lng': 107.4016585298927}, 'southwest': {'lat': -6.991810629892722, 'lng': 107.3989588701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kec Sindangkerta,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118270893141115148330"">nana suryana</a>'], 'photo_reference': 'AUGGfZlhZHmrNHXeZWQS7ozagLHjIxcoTZHNQVlPsm3Dc83DAjZRaiOMsaPJ73FgskRWze3snpdvRnsa7tgLL7y2W0JrKpXR8AymFIFdq2R62Klt0JBLwRmU9X2UF6oJE0goEFBzH6JMhy4eanPP3U7FqVsnKNy6XHFZBWfUeeYx0smcBc5e', 'width': 720}]",ChIJ7VaxgjLxaC4R8iNcB30ZCzc,ChIJ7VaxgjLxaC4R8iNcB30ZCzc,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,2.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ7VaxgjLxaC4R8iNcB30ZCzc
"XC98+W3J, Wangunsari, Sindangkerta, West Bandung Regency, West Java 40563, Indonesia","{'location': {'lat': -7.0301586, 'lng': 107.4151493}, 'viewport': {'northeast': {'lat': -7.029079370107278, 'lng': 107.4162039798927}, 'southwest': {'lat': -7.031779029892722, 'lng': 107.4135043201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Gawang,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106197351391595819773"">Achmad Riky</a>'], 'photo_reference': 'AUGGfZncdsFY76PvRkwPROfknb0AJjlYfQ7pJ0qmAuXcCrPFGx-48LSUybwe8FvorZ9XVnGV6ORdeyW27joQCk--EeWdzF_nkhrVBo8pUtcS6Bc2YKgA1efFmY0theZAdrzfjCgYbGSBHiG2jOinttVFfrKU-RsYp5egkJtz0R4-E7w0--ps', 'width': 4608}]",ChIJVRZwmsTzaC4RntALaABDVKs,ChIJVRZwmsTzaC4RntALaABDVKs,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.2,162.0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJVRZwmsTzaC4RntALaABDVKs
"X99F+RXH, Weninggalih, Sindangkerta, West Bandung Regency, West Java 40563, Indonesia","{'location': {'lat': -7.0304477, 'lng': 107.3749802}, 'viewport': {'northeast': {'lat': -7.029075420107278, 'lng': 107.3759888798927}, 'southwest': {'lat': -7.031775079892721, 'lng': 107.3732892201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Panyandaan,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102637534304576326748"">A Google User</a>'], 'photo_reference': 'AUGGfZnlbRoWXgshnGdZmn18LTmK7pVaI8saGAGjWfVt-BmK4vgwmS61eSiGpoZ-ESLRzVfBy4_v_tlhRCFqqTJB2PozFntheOg1KrFc-KhLWbckWxwHbi3iu6Pn7q017R3ASSRFnALAkbyz1s8N1Uv9Yn2L9lkRVi67c1dT-BUTNKYvr8hO', 'width': 4160}]",ChIJSa90EoT1aC4Rk-W-My6p1_Y,ChIJSa90EoT1aC4Rk-W-My6p1_Y,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.2,109.0,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJSa90EoT1aC4Rk-W-My6p1_Y
"2C52+P47, Cintakarya, Sindangkerta, West Bandung Regency, West Java, Indonesia","{'location': {'lat': -6.990714, 'lng': 107.400299}, 'viewport': {'northeast': {'lat': -6.989110970107278, 'lng': 107.4016585298927}, 'southwest': {'lat': -6.991810629892722, 'lng': 107.3989588701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Riki,,ChIJ5fITcwDxaC4RjA6G33wJKFs,ChIJ5fITcwDxaC4RjA6G33wJKFs,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ5fITcwDxaC4RjA6G33wJKFs
"X98F+X69, desa, Weninggalih, Kec. Sindangkerta, Kabupaten Bandung Barat, Jawa Barat 40563, Indonesia","{'location': {'lat': -7.032597, 'lng': 107.3730983}, 'viewport': {'northeast': {'lat': -7.031110370107278, 'lng': 107.3743426798927}, 'southwest': {'lat': -7.033810029892722, 'lng': 107.3716430201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,wisata alam kebun pinus panyandaan,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116805761742084373727"">rizki nursaefurohman</a>'], 'photo_reference': 'AUGGfZkYdaqRFugpa4D0FqDjSJvfP8cX6UGOVX502MnuIBJASfHVQB9r9H70LvHIbidW3xuaX3YM16IV04KBCk6vqT2nck76rnoZpUxaxBeu3jdX3duH0AtjZxVNFXExO8sniUzpMrwfppIwRKXzbtbjcvG9sOWonMVEwxJhpAvuH3adWNPO', 'width': 3120}]",ChIJ2aIBT0n1aC4RhloDG1Sji3Y,ChIJ2aIBT0n1aC4RhloDG1Sji3Y,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.1,16.0,,1.0,,https://www.google.com/maps/place/?q=place_id:ChIJ2aIBT0n1aC4RhloDG1Sji3Y
"XCQ9+9JG, Ranca Senggang, Sindangkerta, West Bandung Regency, West Java 40563, Indonesia","{'location': {'lat': -7.012222100000001, 'lng': 107.419294}, 'viewport': {'northeast': {'lat': -7.010867120107277, 'lng': 107.4205930298927}, 'southwest': {'lat': -7.013566779892721, 'lng': 107.4178933701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,The beautiful river of GARUT SAND,,ChIJxczl7efxaC4RRgSxmiRFZ90,ChIJxczl7efxaC4RRgSxmiRFZ90,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,1.0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJxczl7efxaC4RRgSxmiRFZ90
"Sindangkerta, West Bandung Regency, West Java, Indonesia","{'location': {'lat': -6.9795435, 'lng': 107.4114955}, 'viewport': {'northeast': {'lat': -6.9630491, 'lng': 107.4240999}, 'southwest': {'lat': -6.9953001, 'lng': 107.4041369}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sindangkerta,,ChIJyfmkfh7xaC4RwNamKh8WIC4,ChIJyfmkfh7xaC4RwNamKh8WIC4,"['administrative_area_level_4', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJyfmkfh7xaC4RwNamKh8WIC4
"West Bandung Regency, West Java, Indonesia","{'location': {'lat': -6.865221399999999, 'lng': 107.4919767}, 'viewport': {'northeast': {'lat': -6.6885151, 'lng': 107.7265299}, 'southwest': {'lat': -7.122013, 'lng': 107.181938}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,West Bandung Regency,"[{'height': 750, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116430535705257287655"">116430535705257287655</a>'], 'photo_reference': 'AUGGfZlYR5U68R0DuAlavUhM5QgDRruFyIF65_IQdpDhVzrA988DvM_T6FcBzfclJLF0b8k5iuFE99j6eJ8c9EPjMRz2JcWSDYFTRSC_gVV-ltFnknP2FhR_AyFTE8hZXrz5DM4EZwO2KrKNN2irYVYhJvR_ZSzDw-NHZ0ZjtExSVMQKNlhl', 'width': 750}]",ChIJxxBSSOj6aC4RWMd-J5yi7Eg,ChIJxxBSSOj6aC4RWMd-J5yi7Eg,"['administrative_area_level_2', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJxxBSSOj6aC4RWMd-J5yi7Eg
"295X+6VP, Cintakarya, Sindangkerta, West Bandung Regency, West Java 40563, Indonesia","{'location': {'lat': -6.991904099999999, 'lng': 107.3996951}, 'viewport': {'northeast': {'lat': -6.991056220107278, 'lng': 107.4011447798927}, 'southwest': {'lat': -6.993755879892722, 'lng': 107.3984451201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Anonymous,,ChIJNQHk5yHxaC4RXCWC6kuDp0I,ChIJNQHk5yHxaC4RXCWC6kuDp0I,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,0.0,0.0,,,True,https://www.google.com/maps/place/?q=place_id:ChIJNQHk5yHxaC4RXCWC6kuDp0I
