business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,plus_code,rating,reference,types,user_ratings_total,photos,opening_hours,price_level,permanently_closed,url
OPERATIONAL,"Jl. Cemp. No.7, RT.002/RW.4, Jatisampurna, Kec. Jatisampurna, Kota Bks, Jawa Barat 17433, Indonesia","{'location': {'lat': -6.372329, 'lng': 106.9204842}, 'viewport': {'northeast': {'lat': -6.370849970107278, 'lng': 106.9221001798927}, 'southwest': {'lat': -6.373549629892722, 'lng': 106.9194005201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rawa,ChIJv4HqrKOTaS4Rvt3zps1Bi-w,"{'compound_code': 'JWHC+35 Jatisampurna, Bekasi, West Java, Indonesia', 'global_code': '6P58JWHC+35'}",0.0,ChIJv4HqrKOTaS4Rvt3zps1Bi-w,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJv4HqrKOTaS4Rvt3zps1Bi-w
OPERATIONAL,"Jl. Aki Tjamin Jl. Kranggan No.45, RT.003/RW.4, Jatirangga, Kec. Jatisampurna, Kota Bks, Jawa Barat 17434, Indonesia","{'location': {'lat': -6.3580932, 'lng': 106.9410289}, 'viewport': {'northeast': {'lat': -6.356747420107278, 'lng': 106.9423788298927}, 'southwest': {'lat': -6.359447079892722, 'lng': 106.9396791701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Imah Panggung Adat Kranggan Kota Bekasi,ChIJaWvjtheTaS4R0egDxdLuhus,"{'compound_code': 'JWRR+QC Jatirangga, Bekasi, West Java, Indonesia', 'global_code': '6P58JWRR+QC'}",4.8,ChIJaWvjtheTaS4R0egDxdLuhus,"['tourist_attraction', 'point_of_interest', 'establishment']",11,"[{'height': 560, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111626415365663863933"">A Google User</a>'], 'photo_reference': 'AUGGfZn2K6LQYJu99ys4jsos_gVyW0weR5UFHcCZTyJ_EJ0lHtOEbMNyhBNgi2-6X2QAIngbHI18xeJM3BSjdigUuPYjzaVKRopbcX-_FbCvsAcOfvi-nc74BbOO15u3BcJ1nv9Ue0BlfhInhOEl-cmwITlUPoMKLpU1H2zerD13DRf_t9gz', 'width': 1079}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJaWvjtheTaS4R0egDxdLuhus
OPERATIONAL,"Jl. Raya Ps. Kranggan Ag No.16, RT.005/RW.004, Jatiraden, Kec. Jatisampurna, Kota Bks, Jawa Barat 17434, Indonesia","{'location': {'lat': -6.360636700000001, 'lng': 106.9282539}, 'viewport': {'northeast': {'lat': -6.359157570107278, 'lng': 106.9296707298927}, 'southwest': {'lat': -6.361857229892722, 'lng': 106.9269710701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Situs Sumur Hulu Cai,ChIJWaHhPl6TaS4RGRzLWSRui1I,"{'compound_code': 'JWQH+P8 Jatiraden, Bekasi, West Java, Indonesia', 'global_code': '6P58JWQH+P8'}",5.0,ChIJWaHhPl6TaS4RGRzLWSRui1I,"['tourist_attraction', 'point_of_interest', 'establishment']",5,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102063300648174151456"">Uchan Keyboardist</a>'], 'photo_reference': 'AUGGfZl_MG3vKZDC5rR5wcqkAqY9NJdjENSVwUbYDByYVvYNY9nR83AtSBzLVW8JTLFHi91N9BkbRzgAwh-j_t1Jsz7kycs2itetJDg_AiTfkm9ZJmMhvb8u0XVmmWn7cTCBYa9KR6JwRnKiBh0lt_InuNSyU-n607JZBq1_-Ln1043J8Civ', 'width': 1080}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJWaHhPl6TaS4RGRzLWSRui1I
OPERATIONAL,"Jalan sasak cempling Rt 01 Rw 10 No 50, RT.001/RW.010, Jatikarya, Kec. Jatisampurna, Kota Bks, Jawa Barat 17435, Indonesia","{'location': {'lat': -6.3807524, 'lng': 106.9219028}, 'viewport': {'northeast': {'lat': -6.379402570107278, 'lng': 106.9232526298927}, 'southwest': {'lat': -6.382102229892721, 'lng': 106.9205529701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Telaga sasak Cempling,ChIJSWrB56OVaS4RzqTfOAfwc1g,"{'compound_code': 'JW9C+MQ Jatikarya, Bekasi, West Java, Indonesia', 'global_code': '6P58JW9C+MQ'}",5.0,ChIJSWrB56OVaS4RzqTfOAfwc1g,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111100381844165719721"">A Google User</a>'], 'photo_reference': 'AUGGfZlT93eRJTU9udcSSBAAM4z_7rAdgZooLrHFp-gUfbUncY6IY5uDC-MNGGOzg8hMTq6fcgJsMjL5wrotnixpwhUgcIyaTWywmXmbV94FJJIVBbjxGkqlHf20FZxz0WTi7JshBXsywlmV1Fw1LqvwovTflUB0gW_MIUlsCQw7Kwfm_nYB', 'width': 3024}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJSWrB56OVaS4RzqTfOAfwc1g
OPERATIONAL,"Jl. Kranggan Jl. Lembur, RT.001/RW.004, Jatirangga, Kec. Jatisampurna, Kota Bks, Jawa Barat 17434, Indonesia","{'location': {'lat': -6.3663706, 'lng': 106.9316925}, 'viewport': {'northeast': {'lat': -6.365056420107278, 'lng': 106.9330380298927}, 'southwest': {'lat': -6.367756079892722, 'lng': 106.9303383701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Sumur Alet,ChIJJSWvA5GTaS4R4GMJx2GhdVU,"{'compound_code': 'JWMJ+FM Jatirangga, Bekasi, West Java, Indonesia', 'global_code': '6P58JWMJ+FM'}",4.7,ChIJJSWvA5GTaS4R4GMJx2GhdVU,"['tourist_attraction', 'point_of_interest', 'establishment']",18,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106542068757345908745"">Rita Christanty</a>'], 'photo_reference': 'AUGGfZmPbf_yWOsMzbRRomGyQgm1hZ9vlngQeIciTI-EF8CGcDjRWOSleJzOZzrELCixslUd0raBLf5fojfjB3krXY8nm6OPIcJu3bkRUbzl8ul0dMeLCWRK--b-2tHhQeH9AC3GsdPnCdI4ADyrBROk-qSv_F1yT8TojOftNZFCQqjYyx6G', 'width': 4160}]",{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJJSWvA5GTaS4R4GMJx2GhdVU
OPERATIONAL,"Jl. Tol Cimanggis - Cibitung No.Samping, Jatikarya, Kec. Jatisampurna, Kota Bks, Jawa Barat, Indonesia","{'location': {'lat': -6.3812725, 'lng': 106.9173344}, 'viewport': {'northeast': {'lat': -6.379579420107278, 'lng': 106.9182909798927}, 'southwest': {'lat': -6.382279079892721, 'lng': 106.9155913201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dabir,ChIJW_wqaACVaS4RviKdl7tdY8A,"{'compound_code': 'JW98+FW Jatikarya, Bekasi, West Java, Indonesia', 'global_code': '6P58JW98+FW'}",5.0,ChIJW_wqaACVaS4RviKdl7tdY8A,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 3968, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103768712265682345651"">ALVY yozy</a>'], 'photo_reference': 'AUGGfZl1L-26GUQa7udPsxPEU581e9vgLww8R4Se9Fz4c7YfxMjNLMaLX0F-p2xjgiDagIt_74A2uzLJ32pE6z7yJCJYw0ANW8bFG2gUjCKtPreyKiBxkDCeLPplIB7eCf4PypqnRwhegOIA6mRUKcQLS9B1glR9JiTgY64P5UeLhWKOVCpV', 'width': 2976}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJW_wqaACVaS4RviKdl7tdY8A
OPERATIONAL,"Jl. Gandaria No.43, RT.001/RW.2, Jatirangga, Kec. Jatisampurna, Kota Bks, Jawa Barat 17434, Indonesia","{'location': {'lat': -6.3546628, 'lng': 106.9342404}, 'viewport': {'northeast': {'lat': -6.353310020107278, 'lng': 106.9354597298927}, 'southwest': {'lat': -6.356009679892722, 'lng': 106.9327600701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,HUTAN BAMBU ASRI MATADOR,ChIJOXaK7aeTaS4RfRts_Ernpi0,"{'compound_code': 'JWWM+4M Jatirangga, Bekasi, West Java, Indonesia', 'global_code': '6P58JWWM+4M'}",4.4,ChIJOXaK7aeTaS4RfRts_Ernpi0,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",157,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101726284524012639193"">tes</a>'], 'photo_reference': 'AUGGfZkfBR7qJMTNSFX19pjZ3MVeb0f8yHb03TmiokVK3blSfw854hyGhurz3qM79UQTANPD4-buWTSlJtr2rPL0wcw1roiva-VTc5tG7MIJX_mziS9r0ZVPxcHEk_GLIprHK35I6e1NP0xSCsdaAqht_dDM2V4mocyPATbuz2_-BUZDHYH1', 'width': 4160}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJOXaK7aeTaS4RfRts_Ernpi0
OPERATIONAL,"JWQV+RGF, RT.003/RW.011, Jatirangga, Jatisampurna, Bekasi, West Java 17434, Indonesia","{'location': {'lat': -6.3604321, 'lng': 106.9437819}, 'viewport': {'northeast': {'lat': -6.359191670107278, 'lng': 106.9451244798927}, 'southwest': {'lat': -6.361891329892722, 'lng': 106.9424248201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan Bapak Ganda,ChIJmb7iOzSTaS4RSLmU7canUek,,0.0,ChIJmb7iOzSTaS4RSLmU7canUek,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117897454062196966609"">A Google User</a>'], 'photo_reference': 'AUGGfZl1N6e0ptcD4Qf-BP_xB5iQGMwsTpleJrhwKAZ3NI-CFIXZZQhtCeZ9YsEJ-nEjjeBpT5fc0-FNAOxk7EKjaCS4-01bVbt6QK3IfPxBzR1_yjwCtf8MCsSQcaAm2vT63cSxI2QXqXzYjZKJHrW6NIphhdXly0Bj8ZkY2tZgtyAVxVsE', 'width': 1080}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJmb7iOzSTaS4RSLmU7canUek
OPERATIONAL,"Jl. Lembur V, RT.002/RW.002, Jatirangga, Kec. Jatisampurna, Kota Bks, Jawa Barat, Indonesia","{'location': {'lat': -6.366803399999999, 'lng': 106.9303682}, 'viewport': {'northeast': {'lat': -6.365455420107278, 'lng': 106.9317168798927}, 'southwest': {'lat': -6.368155079892722, 'lng': 106.9290172201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,GALAPUNG AMPEL,ChIJJX6DZgCTaS4R26UjgaoqmbI,"{'compound_code': 'JWMJ+74 Jatirangga, Bekasi, West Java, Indonesia', 'global_code': '6P58JWMJ+74'}",5.0,ChIJJX6DZgCTaS4R26UjgaoqmbI,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111987497908527463700"">A Google User</a>'], 'photo_reference': 'AUGGfZnFP765BgryJ65ZU2bPSp6snqockKEs3Eo58quFkILpNS3Y0QRMcewsK1Y06jkdn50RMk8YwLC4_o8Py5Y_jfKT78bBXZx-LwLdhK9JZYxRoU4qi9flSR3gsYgjwZiiy9MHLxHN6NqSxv5HixjGTobk5W2ZZC2FL3cx1Wdftciest6l', 'width': 960}]",{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJJX6DZgCTaS4R26UjgaoqmbI
OPERATIONAL,"Jl. Matalisa No.15a, RT.002/RW.008, Jatirangga, Kec. Jatisampurna, Kota Bks, Jawa Barat 17434, Indonesia","{'location': {'lat': -6.3541301, 'lng': 106.9348003}, 'viewport': {'northeast': {'lat': -6.352808620107278, 'lng': 106.9365215798927}, 'southwest': {'lat': -6.355508279892722, 'lng': 106.9338219201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan Mang Isak,ChIJGeanZwCTaS4Rhmu6tQ92mlA,"{'compound_code': 'JWWM+9W Jatirangga, Bekasi, West Java, Indonesia', 'global_code': '6P58JWWM+9W'}",5.0,ChIJGeanZwCTaS4Rhmu6tQ92mlA,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117966244989360284891"">A Google User</a>'], 'photo_reference': 'AUGGfZnI6A6pfRgg0alzZE6Du9S4el4HZLBn09Q7NZVr-4O3nbzEnRbRJoFI7qPK-MvwV1_Xx9i98tmoxfw3wTAh5HV0v8seFINDFrzR3oHjJHWgATaLhg8a5gKjFMYLpIGCiuG1n50fup-cFC9n432hJyltl6Rx5-dni11AZJekMe0eSU_p', 'width': 4000}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJGeanZwCTaS4Rhmu6tQ92mlA
