business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,permanently_closed,opening_hours,photos,url
OPERATIONAL,"6MHV+8F, Letvuan, Hoat Sorbay, Sotheast Maluku Regency, Maluku, Indonesia","{'location': {'lat': -5.7717085, 'lng': 132.6936825}, 'viewport': {'northeast': {'lat': -5.770358670107279, 'lng': 132.6950323298927}, 'southwest': {'lat': -5.773058329892723, 'lng': 132.6923326701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bpk Domi Rumlus,ChIJQTFbagD9Ly0Rb-0WZT0F_M4,0.0,ChIJQTFbagD9Ly0Rb-0WZT0F_M4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJQTFbagD9Ly0Rb-0WZT0F_M4
OPERATIONAL,"6P63+98V, OHOI, Evu, Kec. Hoat Sorbay, Kabupaten Maluku Tenggara, Maluku, Indonesia","{'location': {'lat': -5.789000199999999, 'lng': 132.7032841}, 'viewport': {'northeast': {'lat': -5.787619070107278, 'lng': 132.7046396298927}, 'southwest': {'lat': -5.790318729892721, 'lng': 132.7019399701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,IMLAWEL,ChIJTYYWTwD9Ly0Rv38WbotU3bo,0.0,ChIJTYYWTwD9Ly0Rv38WbotU3bo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJTYYWTwD9Ly0Rv38WbotU3bo
OPERATIONAL,"6PQ8+WX6, Letvuan, Hoat Sorbay, Sotheast Maluku Regency, Maluku, Indonesia","{'location': {'lat': -5.760204, 'lng': 132.7173856}, 'viewport': {'northeast': {'lat': -5.758190749999999, 'lng': 132.7194078298927}, 'southwest': {'lat': -5.766243750000002, 'lng': 132.7167081701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Letvuan,ChIJ6UgUSrbjLy0RJI0bqSH8hxc,5.0,ChIJ6UgUSrbjLy0RJI0bqSH8hxc,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,https://www.google.com/maps/place/?q=place_id:ChIJ6UgUSrbjLy0RJI0bqSH8hxc
CLOSED_TEMPORARILY,"5P44+MQG, Ohoira, Hoat Sorbay, Sotheast Maluku Regency, Maluku, Indonesia","{'location': {'lat': -5.8433188, 'lng': 132.7069668}, 'viewport': {'northeast': {'lat': -5.841968970107278, 'lng': 132.7083166298927}, 'southwest': {'lat': -5.844668629892722, 'lng': 132.7056169701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hoat Sorbay,ChIJhew7fKj7Ly0R5XM93bQG0ec,0.0,ChIJhew7fKj7Ly0R5XM93bQG0ec,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJhew7fKj7Ly0R5XM93bQG0ec
OPERATIONAL,"6PV3+54, Letvuan, Hoat Sorbay, Sotheast Maluku Regency, Maluku, Indonesia","{'location': {'lat': -5.7563661, 'lng': 132.7023993}, 'viewport': {'northeast': {'lat': -5.755015470107277, 'lng': 132.7037512798927}, 'southwest': {'lat': -5.757715129892721, 'lng': 132.7010516201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jalan utama Dian Darat - Letvuan,ChIJEdL3agD9Ly0Rap01qd_WBg8,0.0,ChIJEdL3agD9Ly0Rap01qd_WBg8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJEdL3agD9Ly0Rap01qd_WBg8
CLOSED_TEMPORARILY,"6P63+8FW, Evu, Hoat Sorbay, Sotheast Maluku Regency, Maluku, Indonesia","{'location': {'lat': -5.7889887, 'lng': 132.7040097}, 'viewport': {'northeast': {'lat': -5.787672620107278, 'lng': 132.7053653298927}, 'southwest': {'lat': -5.790372279892722, 'lng': 132.7026656701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,RASTA,ChIJXRf4gdz9Ly0RfKUL1bNXfIw,5.0,ChIJXRf4gdz9Ly0RfKUL1bNXfIw,"['tourist_attraction', 'point_of_interest', 'establishment']",1,True,,,https://www.google.com/maps/place/?q=place_id:ChIJXRf4gdz9Ly0RfKUL1bNXfIw
OPERATIONAL,"6PR2+PM6 Hoat Sorbay, Letvuan, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku, Indonesia","{'location': {'lat': -5.758214499999999, 'lng': 132.7016429}, 'viewport': {'northeast': {'lat': -5.756618270107277, 'lng': 132.7036458798927}, 'southwest': {'lat': -5.759317929892721, 'lng': 132.7009462201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Goa Hawang,ChIJt6uzRzH9Ly0RrvY0Ex7JcVU,4.6,ChIJt6uzRzH9Ly0RrvY0Ex7JcVU,"['tourist_attraction', 'point_of_interest', 'establishment']",475,,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115209679649022813347"">Raihan Khalis</a>'], 'photo_reference': 'AUGGfZm_fpzPdkMujW5AHtQt-DShV9cfNHV_vt0lG87RWmiItCe2qWnrAsgilAxaeLAc7MXcbbePJiTSwek_16-HObRRLFmZHPywnV9IhC5wA8LVj93uATuDMFdIY9SbY6hFvSSDBjndfsi8JEw_dSh-ijZV9Q4e4Rv67CBX5k_h-phx80sk', 'width': 4032}]",https://www.google.com/maps/place/?q=place_id:ChIJt6uzRzH9Ly0RrvY0Ex7JcVU
OPERATIONAL,"5MWP+7J6, Wab, Kei Kecil, Sotheast Maluku Regency, Maluku, Indonesia","{'location': {'lat': -5.8043379, 'lng': 132.6865052}, 'viewport': {'northeast': {'lat': -5.802811020107279, 'lng': 132.6882110298927}, 'southwest': {'lat': -5.805510679892723, 'lng': 132.6855113701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ngur Vat Namsir Ohoi Wab,ChIJS3jR5kj7Ly0R3cLW1SIWMvQ,4.8,ChIJS3jR5kj7Ly0R3cLW1SIWMvQ,"['tourist_attraction', 'point_of_interest', 'establishment']",53,,,"[{'height': 2128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117541922028121967582"">Andry Santi</a>'], 'photo_reference': 'AUGGfZn0bL9Y4fCRC-02cBpvXKKSYtaje-B8e-gmmSeBslhjoCmOD3jVlCeYihI-kyYHggg8d862Y0QjA9ve8iK7-wFrJdHry3e7hUxyzD-sP7UYuBQ0LSDGOQ4lWg5e85jIhnMZc3QowpC9G24dunt251mnN6e-EeyAqOi2P7wC-u3hG9t4', 'width': 4608}]",https://www.google.com/maps/place/?q=place_id:ChIJS3jR5kj7Ly0R3cLW1SIWMvQ
OPERATIONAL,"6P63+98V, Unnamed Road, Evu, Kec. Hoat Sorbay, Kabupaten Maluku Tenggara, Maluku, Indonesia","{'location': {'lat': -5.789000199999999, 'lng': 132.7032841}, 'viewport': {'northeast': {'lat': -5.787619070107278, 'lng': 132.7046396298927}, 'southwest': {'lat': -5.790318729892721, 'lng': 132.7019399701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ohoi Evu,ChIJJzVg4Sz9Ly0R_LBZ8-ID_Nw,4.0,ChIJJzVg4Sz9Ly0R_LBZ8-ID_Nw,"['tourist_attraction', 'point_of_interest', 'establishment']",7,,,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109918485985894529117"">Rikhardus Tanlain</a>'], 'photo_reference': 'AUGGfZmejRqClgSv1u1EZN3JyUsPmEEN0AtW7ldGeuDFNk_8J6fCn05dDPZqFTcJXjOMfk3f4ExON3z_fPdN1l3NcusoCEMypRPHv0eHR1f3bCLO_f9HCX6WKhQX8QxdJftZ0bm48D52rc4qKJ8zwP_DRogYz5ybhlahuIc-VohO7KcVmPau', 'width': 4608}]",https://www.google.com/maps/place/?q=place_id:ChIJJzVg4Sz9Ly0R_LBZ8-ID_Nw
CLOSED_TEMPORARILY,"5MXM+7X, Wab, Hoat Sorbay, Sotheast Maluku Regency, Maluku, Indonesia","{'location': {'lat': -5.801840299999999, 'lng': 132.6849131}, 'viewport': {'northeast': {'lat': -5.800425820107278, 'lng': 132.6862922798927}, 'southwest': {'lat': -5.803125479892722, 'lng': 132.6835926201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,IPUSNIBROW,ChIJQ2hhhWP9Ly0Rik3jyVjENFE,0.0,ChIJQ2hhhWP9Ly0Rik3jyVjENFE,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJQ2hhhWP9Ly0Rik3jyVjENFE
