business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,opening_hours,photos,permanently_closed,url
OPERATIONAL,"3QFQ+X4Q, Elaar Lamagorang, Kei Kecil Timur Selatan, Sotheast Maluku Regency, Maluku, Indonesia","{'location': {'lat': -5.9250313, 'lng': 132.7878629}, 'viewport': {'northeast': {'lat': -5.923467970107278, 'lng': 132.7885854298927}, 'southwest': {'lat': -5.926167629892722, 'lng': 132.7858857701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Elaar Lamagorang,ChIJt75ref_rLy0RCdcRF2pKCo8,5.0,ChIJt75ref_rLy0RCdcRF2pKCo8,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJt75ref_rLy0RCdcRF2pKCo8
OPERATIONAL,"3Q4F+9F, Lumefar, Kei Kecil Timur Selatan, Sotheast Maluku Regency, Maluku, Indonesia","{'location': {'lat': -5.944019, 'lng': 132.773677}, 'viewport': {'northeast': {'lat': -5.941176650000001, 'lng': 132.7751611798927}, 'southwest': {'lat': -5.94496645, 'lng': 132.7724615201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Wahan,ChIJr0AimUbtLy0R5xP9F23ooPw,0.0,ChIJr0AimUbtLy0R5xP9F23ooPw,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,{'open_now': False},"[{'height': 1868, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109918485985894529117"">Rikhardus Tanlain</a>'], 'photo_reference': 'AUGGfZlhW6hKyc0l_LuvCWTSywh1PHwr38fVj32I6eStGuN3RVQTs8N45v4lncgMLPZxLO1OG-QI60GdESnG2fhRd08OdZxuIZ328H1nKoyPc1J3ZJi8UYjxUfgNEhl8GYBQaT-RV35DOVEh513XNOcRmTmF8Oq6FIYfqicF0qi2KqicJonO', 'width': 4000}]",,https://www.google.com/maps/place/?q=place_id:ChIJr0AimUbtLy0R5xP9F23ooPw
OPERATIONAL,"4QCR+767, Ohoilus, Mastur, Kec. Kei Kecil Tim., Kabupaten Maluku Tenggara, Maluku, Indonesia","{'location': {'lat': -5.879340699999999, 'lng': 132.79054}, 'viewport': {'northeast': {'lat': -5.878489549999999, 'lng': 132.79590055}, 'southwest': {'lat': -5.881894150000001, 'lng': 132.78875315}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wear Lee,ChIJtdgITQDpLy0RUIUNjgvtB0s,0.0,ChIJtdgITQDpLy0RUIUNjgvtB0s,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJtdgITQDpLy0RUIUNjgvtB0s
OPERATIONAL,"3Q4H+W76, Ngursoin, Kei Kecil Tim, Sotheast Maluku Regency, Maluku, Indonesia","{'location': {'lat': -5.942711699999999, 'lng': 132.7781533}, 'viewport': {'northeast': {'lat': -5.940764520107278, 'lng': 132.7792256798927}, 'southwest': {'lat': -5.943464179892722, 'lng': 132.7765260201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Nirun Elaar Ngursoin,ChIJFYKA_GEbMC0RLA0moUwgRGI,4.7,ChIJFYKA_GEbMC0RLA0moUwgRGI,"['tourist_attraction', 'point_of_interest', 'establishment']",24.0,{'open_now': False},"[{'height': 6936, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109961689015274369249"">heri deway</a>'], 'photo_reference': 'AUGGfZkul8sENaVhtoDDyPi0vIecvrAY1ddwVMz2MRxJZwmtbXYXATaQ1vHcBhTeDsd_ADijwd0aQEwJob7Husgm8-wgo4QTsr4-c6-7PCyIZrLNmsjeWMvpj0maCdfu56MFaA8IZ9s_YlCBWz4tzAF_bW7sfqYRh5k0KVsRf2lhntC9ev6L', 'width': 9248}]",,https://www.google.com/maps/place/?q=place_id:ChIJFYKA_GEbMC0RLA0moUwgRGI
OPERATIONAL,"3MPW+CM5, Madwaer, Kec. Kei Kecil Bar., Kabupaten Maluku Tenggara, Maluku, Indonesia","{'location': {'lat': -5.9399326, 'lng': 132.7028144}, 'viewport': {'northeast': {'lat': -5.938582770107278, 'lng': 132.7041642298927}, 'southwest': {'lat': -5.941282429892722, 'lng': 132.7014645701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hemas Beach,ChIJzzHjZSLzLy0ROHOwjomv5rQ,5.0,ChIJzzHjZSLzLy0ROHOwjomv5rQ,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115762359184664045955"">A Google User</a>'], 'photo_reference': 'AUGGfZkhKi3M4fl0U0s4B4YG56dVeYo20arHXgXffTgnHUqiYrllYBU2RobSwyDLamgQe3UoDjjnnh8Qe-zCuijCFnR5HeHzwkns5Am-gD0BJ812zFb2pTO_QThbWOaUL0itKb7R5ui_UcmXfa9TVxDGu1f7zPQsSeiXkM473GYwWTyGz0CH', 'width': 3264}]",,https://www.google.com/maps/place/?q=place_id:ChIJzzHjZSLzLy0ROHOwjomv5rQ
OPERATIONAL,"4P28+H7R, Ohoidertutu, Kei Kecil Barat, Sotheast Maluku Regency, Maluku, Indonesia","{'location': {'lat': -5.898520299999999, 'lng': 132.7156253}, 'viewport': {'northeast': {'lat': -5.897170470107278, 'lng': 132.7169751298927}, 'southwest': {'lat': -5.899870129892721, 'lng': 132.7142754701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ohoidertutu Beach,ChIJGSh_uKDvLy0Rf4vT39zG8C0,5.0,ChIJGSh_uKDvLy0Rf4vT39zG8C0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJGSh_uKDvLy0Rf4vT39zG8C0
CLOSED_TEMPORARILY,"3Q54+4PC, Ohoiseb, Kei Kecil Timur, Sotheast Maluku Regency, Maluku, Indonesia","{'location': {'lat': -5.942194499999999, 'lng': 132.756769}, 'viewport': {'northeast': {'lat': -5.940615770107278, 'lng': 132.7581351298927}, 'southwest': {'lat': -5.943315429892722, 'lng': 132.7554354701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Taman Danar,ChIJe2DdFIztLy0RDLBf9hv58Hs,0.0,ChIJe2DdFIztLy0RDLBf9hv58Hs,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,True,https://www.google.com/maps/place/?q=place_id:ChIJe2DdFIztLy0RDLBf9hv58Hs
OPERATIONAL,"5MWP+7JF, Wab, Kei Kecil, Sotheast Maluku Regency, Maluku, Indonesia","{'location': {'lat': -5.804317699999999, 'lng': 132.6865605}, 'viewport': {'northeast': {'lat': -5.802803820107277, 'lng': 132.6882401798927}, 'southwest': {'lat': -5.805503479892721, 'lng': 132.6855405201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai kelapa miring,ChIJMUgzKQD7Ly0RzTI8wZBRB38,5.0,ChIJMUgzKQD7Ly0RzTI8wZBRB38,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJMUgzKQD7Ly0RzTI8wZBRB38
OPERATIONAL,"4MC9+P2, Somlain, Kei Kecil Barat, Sotheast Maluku Regency, Maluku, Indonesia","{'location': {'lat': -5.8782361, 'lng': 132.6675252}, 'viewport': {'northeast': {'lat': -5.876886270107277, 'lng': 132.6688750298927}, 'southwest': {'lat': -5.879585929892721, 'lng': 132.6661753701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ngur mar'i,ChIJSfioGADxLy0RFP-QFNArVzc,0.0,ChIJSfioGADxLy0RFP-QFNArVzc,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJSfioGADxLy0RFP-QFNArVzc
OPERATIONAL,"3MVC+G6W, Unnamed Road, Madwaer, Kec. Kei Kecil Bar., Kabupaten Maluku Tenggara, Maluku, Indonesia","{'location': {'lat': -5.9061447, 'lng': 132.6705789}, 'viewport': {'northeast': {'lat': -5.900417699999999, 'lng': 132.67365945}, 'southwest': {'lat': -5.908053700000001, 'lng': 132.66955205}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau El,ChIJJTAMs-nxLy0RSTTW3e3l0-Q,4.8,ChIJJTAMs-nxLy0RSTTW3e3l0-Q,"['tourist_attraction', 'point_of_interest', 'establishment']",4.0,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104964704029001501633"">A Google User</a>'], 'photo_reference': 'AUGGfZkAXHnjJ31NBBDWw3vLd4xu2LVM1Gly6xXKR81YLpbEQnK7qp0F4NltPMwqUYYm7kRqTgfd2O0WRDgSG6FsbgUDzAv-zhMcM_xJYjy6782nPy5Rd4t58Z-yAsdVgu-Yjagbg8iplh_WVlrcChsvzCpyBC0BNcd709PYL8JSDxs-o4oS', 'width': 4000}]",,https://www.google.com/maps/place/?q=place_id:ChIJJTAMs-nxLy0RSTTW3e3l0-Q
