formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,plus_code,rating,user_ratings_total,opening_hours,url
"Parung, Cibalong, Tasikmalaya Regency, West Java, Indonesia","{'location': {'lat': -7.5509445, 'lng': 108.1843756}, 'viewport': {'northeast': {'lat': -7.523388, 'lng': 108.1977651}, 'southwest': {'lat': -7.559444099999999, 'lng': 108.1574319}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Parung,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113810952099741055553"">A Google User</a>'], 'photo_reference': 'AUGGfZkWwkbVhCMPiBUXF6s8gGc_c-zo53-uAsl7a9Xjs7L6g-tOi9Ie-EOMmOSNxFSkcYzka2Kzyj23fbwFVRRPBmEip4ItULT34IbhIPZ6CJd1cN1zsskK-1KIcdyqbvuM97NLPgQ17WhBzd6EZo8ylUSiA4dhxbja4SOX2h49BvcVjflw', 'width': 1280}]",ChIJK9y-Txf7ZS4RN77I7IIr4FE,ChIJK9y-Txf7ZS4RN77I7IIr4FE,"['administrative_area_level_4', 'political']",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJK9y-Txf7ZS4RN77I7IIr4FE
"Jl. Sukaasih Kp. Sukatani 03/03 Da, Eureunpalay, Kec. Cibalong, Kabupaten Tasikmalaya, Jawa Barat 46185, Indonesia","{'location': {'lat': -7.5958584, 'lng': 108.1557468}, 'viewport': {'northeast': {'lat': -7.594481370107277, 'lng': 108.1570935798927}, 'southwest': {'lat': -7.597181029892721, 'lng': 108.1543939201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PASIR HANTAP AGROWISATA,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103742158734282088452"">A Google User</a>'], 'photo_reference': 'AUGGfZnwpM7LUuDhDBpVNNjQRiUD5dEtpi_BLbcHpL4P0ScsCh60hYOOrnguX99SKiF8mVpKJEc4veL3Szmpr1rS18BGc2GROeEnMwFPz68VmA9NLxt25MNqqMebo4o0AqkF9k-t0paEQ7-4oze3BAIXCMmQOPDKq3NwkFVZyqv9xdbLnoYp', 'width': 960}]",ChIJ9zHaV_HlZS4R8w3YyHdRDQ0,ChIJ9zHaV_HlZS4R8w3YyHdRDQ0,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"{'compound_code': 'C534+M7 Eureunpalay, Tasikmalaya Regency, West Java, Indonesia', 'global_code': '6P4CC534+M7'}",5.0,8.0,,https://www.google.com/maps/place/?q=place_id:ChIJ9zHaV_HlZS4R8w3YyHdRDQ0
"C594+9C4, Eureunpalay, Cibalong, Tasikmalaya Regency, West Java, Indonesia","{'location': {'lat': -7.5816116, 'lng': 108.1560753}, 'viewport': {'northeast': {'lat': -7.5798752, 'lng': 108.15868335}, 'southwest': {'lat': -7.586820800000003, 'lng': 108.15520595}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pencut pasir sadang,,ChIJqwDiYnDlZS4RimWwlTR_lyM,ChIJqwDiYnDlZS4RimWwlTR_lyM,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,5.0,1.0,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJqwDiYnDlZS4RimWwlTR_lyM
"C53H+5XW, Setiawaras, Cibalong, Tasikmalaya Regency, West Java 46185, Indonesia","{'location': {'lat': -7.597001799999999, 'lng': 108.179955}, 'viewport': {'northeast': {'lat': -7.595187070107277, 'lng': 108.1808903798927}, 'southwest': {'lat': -7.59788672989272, 'lng': 108.1781907201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Curug Nini,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116754910008294429380"">Riadi Dera</a>'], 'photo_reference': 'AUGGfZlPUXbn-4W7IfqpAGPD68mbCsTRMW9iUWnpVU2oDoQtOA01JCP1vsvqu5M-FqSuprOJ6CsR6B4ub0zmO9c1q1xQAumEgi9BcfDpr4yJ7PExbFUkm-LBbIsfa95V07glaryDO73_szIEWocHXHiCGX7-iwwkB_EZh-3zbzXm1Inbg7L1', 'width': 4160}]",ChIJ-wpu6hjlZS4RixEYXI-7k90,ChIJ-wpu6hjlZS4RixEYXI-7k90,"['park', 'point_of_interest', 'establishment']",OPERATIONAL,,4.3,18.0,,https://www.google.com/maps/place/?q=place_id:ChIJ-wpu6hjlZS4RixEYXI-7k90
"Cibalong, Tasikmalaya Regency, West Java, Indonesia","{'location': {'lat': -7.5228121, 'lng': 108.1754804}, 'viewport': {'northeast': {'lat': -7.505223999999999, 'lng': 108.189034}, 'southwest': {'lat': -7.533737, 'lng': 108.1655161}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cibalong,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117937140875608671963"">A Google User</a>'], 'photo_reference': 'AUGGfZkfuvR__ALfKmWfSxOsrdvuIk844WGN3nym_waWlB1jt7Jj_c4Q1jCZug94uq0VEWfF-OBOxeAKLNFWQQg7jz93sjwKpyAqOI3ayMTrxLim8iGxOXgXDeBaYNMzh-7HVREdd_lxEAWZJNU3P8dZGwzjStIig9NY25i_gS2aTxNBJvBN', 'width': 3120}]",ChIJ_4qm6KX7ZS4RPhoN0s9szS4,ChIJ_4qm6KX7ZS4RPhoN0s9szS4,"['administrative_area_level_4', 'political']",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ_4qm6KX7ZS4RPhoN0s9szS4
"Cibalong, Tasikmalaya Regency, West Java, Indonesia","{'location': {'lat': -7.513966099999999, 'lng': 108.181027}, 'viewport': {'northeast': {'lat': -7.482544, 'lng': 108.245231}, 'southwest': {'lat': -7.6160901, 'lng': 108.144527}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cibalong,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115701363114975648790"">A Google User</a>'], 'photo_reference': 'AUGGfZkDIj42JJeHNAc3PuDmWViQXNPdaPBNmY3Kc3VCETL-t30GYGWbx2gFIifTMHR2fo3gDhZXQWu9JuHl2-P3VlaKN1hPjpEsi1VMv5DmSU8dKYIX-XJZabaglEMXws0w_aHyMwNpwrHD_DzxVVjkWGg8OxhOboEMyf2xTZiQMrx51-Q7', 'width': 1920}]",ChIJUSS7v976ZS4R9uYe0Ki8QJM,ChIJUSS7v976ZS4R9uYe0Ki8QJM,"['administrative_area_level_3', 'political']",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJUSS7v976ZS4R9uYe0Ki8QJM
"F5RH+5R, Singajaya, Cibalong, Tasikmalaya Regency, West Java, Indonesia","{'location': {'lat': -7.5095575, 'lng': 108.1795356}, 'viewport': {'northeast': {'lat': -7.508207670107277, 'lng': 108.1808854298927}, 'southwest': {'lat': -7.510907329892721, 'lng': 108.1781857701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spot,,ChIJO4kIDXb7ZS4R1ePJMK7TEgA,ChIJO4kIDXb7ZS4R1ePJMK7TEgA,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,0.0,0.0,,https://www.google.com/maps/place/?q=place_id:ChIJO4kIDXb7ZS4R1ePJMK7TEgA
"Kersagalih, Jatiwaras, Tasikmalaya Regency, West Java 46185, Indonesia","{'location': {'lat': -7.516870600000001, 'lng': 108.1972791}, 'viewport': {'northeast': {'lat': -7.515698320107278, 'lng': 108.1986591298927}, 'southwest': {'lat': -7.518397979892722, 'lng': 108.1959594701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Guha Sero Cibulakan,"[{'height': 405, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101861503736187769606"">cilendi wiwit</a>'], 'photo_reference': 'AUGGfZkpGLgdHMDBrQGJltAeQvAxYndAy0QAK9uPe_C3pVdxgy7Vb691vUvrALbhlRLrNAg2Hap9z3jDlXLker8gaH6NT6IBJMDQp56ELIoxxlnYh2Pc3iWLM5-A4T1JNXNA6Pi8SOyXMzXH2dwymBlfZXzIK8a5JASIH0Un3e9wvq9jI-H9', 'width': 720}]",ChIJfWayahD7ZS4RJj-vbtQK5xM,ChIJfWayahD7ZS4RJj-vbtQK5xM,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"{'compound_code': 'F5MW+7W Kersagalih, Tasikmalaya Regency, West Java, Indonesia', 'global_code': '6P4CF5MW+7W'}",4.6,14.0,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJfWayahD7ZS4RJj-vbtQK5xM
"Mandalamekar, Jatiwaras, Tasikmalaya Regency, West Java 46185, Indonesia","{'location': {'lat': -7.554599299999999, 'lng': 108.2194607}, 'viewport': {'northeast': {'lat': -7.553249470107277, 'lng': 108.2208105298927}, 'southwest': {'lat': -7.555949129892721, 'lng': 108.2181108701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Sawer,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107022637972034877023"">WNext_ Fajar</a>'], 'photo_reference': 'AUGGfZmowr_qIUkAOZo2XHfsA5UndjpeGf3doy7DZLqSarlGkuO3yC6xavuirSnFbN-QQuhoaz40CdqRRYV1EMsjB8Umz4IeuW_er3UHHaj5XhqJ9GI-hLIj7ze0hB7iUz_gcR9CQiawDsFXGvPQLRSEPymNXXBqOzBM1FlC43mepVpkK4ZD', 'width': 3000}]",ChIJB-KO_bn6ZS4R0ZbroHHG7TU,ChIJB-KO_bn6ZS4R0ZbroHHG7TU,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"{'compound_code': 'C6W9+5Q Mandalamekar, Tasikmalaya Regency, West Java, Indonesia', 'global_code': '6P4CC6W9+5Q'}",4.3,213.0,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJB-KO_bn6ZS4R0ZbroHHG7TU
"Tasikmalaya Regency, West Java, Indonesia","{'location': {'lat': -7.6513306, 'lng': 108.1428669}, 'viewport': {'northeast': {'lat': -7.0385527, 'lng': 108.4424881}, 'southwest': {'lat': -7.816788, 'lng': 107.904429}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tasikmalaya Regency,"[{'height': 286, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113747497812536256969"">heri herdiyana</a>'], 'photo_reference': 'AUGGfZlWDjPW6wCT23cpCD6oelHDUUm7dhy941CdnDKu0T8Lpuz3QVc3jXUEoJefWXA3JSrO1-HNk5dzHBUq2ovdS-OW9esBxuFLqHYqKLG4YOtlyQK35EhwFfNFu0aMTnXkvtIG0MQrLs-Ht-nXA1jjUczUjIIQ6OaiOy2ll2GAgPgFrN_K', 'width': 333}]",ChIJxTIXhcH4ZS4RALko_PHoAQM,ChIJxTIXhcH4ZS4RALko_PHoAQM,"['administrative_area_level_2', 'political']",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJxTIXhcH4ZS4RALko_PHoAQM
