business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,permanently_closed,photos,opening_hours,plus_code,url
OPERATIONAL,"R47V+929, Geresik, Jamanis, Tasikmalaya Regency, West Java 46156, Indonesia","{'location': {'lat': -7.186589, 'lng': 108.1425959}, 'viewport': {'northeast': {'lat': -7.185338620107279, 'lng': 108.1440128798927}, 'southwest': {'lat': -7.188038279892723, 'lng': 108.1413132201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug salem,ChIJo7oU7ItNby4R7fj3ui4d72o,0.0,ChIJo7oU7ItNby4R7fj3ui4d72o,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJo7oU7ItNby4R7fj3ui4d72o
OPERATIONAL,"R573+GCW, Karangmulya, Jamanis, Tasikmalaya Regency, West Java 46175, Indonesia","{'location': {'lat': -7.186427, 'lng': 108.1535088}, 'viewport': {'northeast': {'lat': -7.185073120107279, 'lng': 108.1548687298927}, 'southwest': {'lat': -7.187772779892723, 'lng': 108.1521690701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kp. Sangiangteras,ChIJTeul2MZPby4RCny00TclWaw,0.0,ChIJTeul2MZPby4RCny00TclWaw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJTeul2MZPby4RCny00TclWaw
CLOSED_TEMPORARILY,"R5F7+Q8H, Karangresik, Jamanis, Tasikmalaya Regency, West Java, Indonesia","{'location': {'lat': -7.175562099999999, 'lng': 108.1633565}, 'viewport': {'northeast': {'lat': -7.174327570107277, 'lng': 108.1645439798927}, 'southwest': {'lat': -7.177027229892721, 'lng': 108.1618443201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Green house,ChIJ4az33P9Pby4Rt7wGuloSD-s,0.0,ChIJ4az33P9Pby4Rt7wGuloSD-s,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102749156317574591088"">A Google User</a>'], 'photo_reference': 'AUGGfZnvExQUl_cLbk6AybZNDKM7rpgBhI2MRKeP9LrL8K87PtxYvcjQkQ-Bz1iw6ow5I7635liSSvmh1wO5Z0CxiBlEBfFkNLKl-Z-4uKSfVpk_ZmFHkwbDP-T_hMoQwAULui6sxyOWuzTyIeE9hLvVWsSQrPXroTvpUhPWFtxBHJcwcOcC', 'width': 3120}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ4az33P9Pby4Rt7wGuloSD-s
OPERATIONAL,"Kp,Lengkong sari, Condong, Kec. Jamanis, Kabupaten Tasikmalaya, Jawa Barat, Indonesia","{'location': {'lat': -7.195312500000001, 'lng': 108.1558125}, 'viewport': {'northeast': {'lat': -7.193929370107277, 'lng': 108.1571760798927}, 'southwest': {'lat': -7.196629029892721, 'lng': 108.1544764201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rahayu holiday,ChIJG3byE99Pby4R4oWkSzUIDZQ,5.0,ChIJG3byE99Pby4R4oWkSzUIDZQ,"['tourist_attraction', 'travel_agency', 'point_of_interest', 'establishment']",1,,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109842976132471776896"">A Google User</a>'], 'photo_reference': 'AUGGfZmsEt6mAz8T7TMhTf7iqzeKT3uHhzK9sVMMIwlNMBva0HgWQD-AODUMXRXR_4QUhJSf3dgmFga_WAr925PBb-JQ4Jsaq-0a_I8zMU7itCyYhiP_hf5JwKK7B4zOtwULrk5VcPRw95bXDnsJmD-9p1oK8Mj9RBayRJXKwQGM3-LaU6oJ', 'width': 1280}]",{'open_now': True},"{'compound_code': 'R534+V8 Condong, Tasikmalaya Regency, West Java, Indonesia', 'global_code': '6P4CR534+V8'}",https://www.google.com/maps/place/?q=place_id:ChIJG3byE99Pby4R4oWkSzUIDZQ
OPERATIONAL,"Jl. Pasanggrahan, Manggungjaya, Kec. Rajapolah, Kabupaten Tasikmalaya, Jawa Barat 46155, Indonesia","{'location': {'lat': -7.217811699999999, 'lng': 108.1820661}, 'viewport': {'northeast': {'lat': -7.216556670107277, 'lng': 108.1833702798927}, 'southwest': {'lat': -7.219256329892721, 'lng': 108.1806706201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,JAPSUKI,ChIJ6VBwSL1Pby4RVXRFK-jVx9E,5.0,ChIJ6VBwSL1Pby4RVXRFK-jVx9E,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116254496938252716501"">A Google User</a>'], 'photo_reference': 'AUGGfZlfM_gBDOdgF82Que2-IbkjzfxJZY2YNfy9XiRlLO1s9Jt5qyyU0JQh5uDgvbFlmZ4HzhpYU_7lyIHGlJSumGb_cBL7Yzy3lUjybQkt2q0kB1ZfqwnoQxpWCMlgmEj2u79FKNkQ6teN1OaoE8WXJSR02F79Ljna3GxAWNKlXPVt426A', 'width': 1600}]",,"{'compound_code': 'Q5JJ+VR Manggungjaya, Tasikmalaya Regency, West Java, Indonesia', 'global_code': '6P4CQ5JJ+VR'}",https://www.google.com/maps/place/?q=place_id:ChIJ6VBwSL1Pby4RVXRFK-jVx9E
OPERATIONAL,"Q5VW+V3, Manggungsari, Rajapolah, Tasikmalaya Regency, West Java, Indonesia","{'location': {'lat': -7.205255800000001, 'lng': 108.1951893}, 'viewport': {'northeast': {'lat': -7.203479320107278, 'lng': 108.1960891}, 'southwest': {'lat': -7.206178979892722, 'lng': 108.1924899}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kincir Air Pak Encep,ChIJlf4VcGBPby4RS3MmvPemEI8,5.0,ChIJlf4VcGBPby4RS3MmvPemEI8,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,"[{'height': 2000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106855392495375913406"">Asep Ridwan</a>'], 'photo_reference': 'AUGGfZkxl106cKe9pIu52CbpmoXk2ZEOfA1hMf_bc3NibTuTsGmsuz996EtK9rFSzxukropmjbmgAxTnWIzh2_oVUxaLw8xYtQu4346gzUm0m6KYsGySsTShHjjIGMJH4uxLn0bQG6UrNvZ7IyJvv5ZOl-eWM85lD_xetnsjSnkVjsX9uF8g', 'width': 4000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJlf4VcGBPby4RS3MmvPemEI8
OPERATIONAL,"Q5VC+C37, Sukaraja, Rajapolah, Tasikmalaya Regency, West Java 46175, Indonesia","{'location': {'lat': -7.218288200000001, 'lng': 108.1669589}, 'viewport': {'northeast': {'lat': -7.217312520107277, 'lng': 108.16900775}, 'southwest': {'lat': -7.220012179892721, 'lng': 108.16627595}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Balong Nyingkur Pelangi Sukaraja,ChIJR0wus1pPby4RFOSUQuETf3A,5.0,ChIJR0wus1pPby4RFOSUQuETf3A,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113336410469868939418"">Basaruddin Harahap</a>'], 'photo_reference': 'AUGGfZlrBLLE4fBhtVv5yMaTnV1JaqXLBEx_MeLcwdC_31NGc4ZVnkoZY1xnYKe_WLxskq3Sa8wgQZzWf6e91YZd06AfEXYUMiU18xETbzc84QWxetPwVlgk387ebEylJ0NCwV1B07cV5TUZMwS5rLzqv3nhcb7gFUddCpm4NOmM9dB2Ax7r', 'width': 2268}]",{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJR0wus1pPby4RFOSUQuETf3A
OPERATIONAL,"R5PP+X9Q, Sukaresik, Tasikmalaya Regency, West Java, Indonesia","{'location': {'lat': -7.162549299999999, 'lng': 108.1859917}, 'viewport': {'northeast': {'lat': -7.161153720107277, 'lng': 108.1869034798927}, 'southwest': {'lat': -7.16385337989272, 'lng': 108.1842038201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ranu kubang nyempet,ChIJwU_WtipPby4RkxXA3gTf_LM,0.0,ChIJwU_WtipPby4RkxXA3gTf_LM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJwU_WtipPby4RkxXA3gTf_LM
OPERATIONAL,"R4PX+WR7, Pakemitan, Ciawi, Tasikmalaya Regency, West Java 46156, Indonesia","{'location': {'lat': -7.162707300000001, 'lng': 108.1495606}, 'viewport': {'northeast': {'lat': -7.160592299999999, 'lng': 108.1508275798927}, 'southwest': {'lat': -7.163412300000002, 'lng': 108.1481279201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cihanjuang,ChIJuTOPc7ZPby4R7LjUT0vBHJc,5.0,ChIJuTOPc7ZPby4R7LjUT0vBHJc,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJuTOPc7ZPby4R7LjUT0vBHJc
OPERATIONAL,"Q5RW+J3P, Manggungsari, Rajapolah, Tasikmalaya Regency, West Java 46155, Indonesia","{'location': {'lat': -7.208401800000001, 'lng': 108.1952057}, 'viewport': {'northeast': {'lat': -7.206219900000002, 'lng': 108.1964886}, 'southwest': {'lat': -7.209129100000002, 'lng': 108.191357}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Saung Kincir Leuwi Panjang,ChIJlzWiAvBPby4RatbIkd_YASI,5.0,ChIJlzWiAvBPby4RatbIkd_YASI,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,,,https://www.google.com/maps/place/?q=place_id:ChIJlzWiAvBPby4RatbIkd_YASI
