business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,rating,reference,types,user_ratings_total,permanently_closed,url
OPERATIONAL,"8R7R+C8P, Jl. Desa Telang Rejo, Telang Makmur, Kec. Muara Telang, Kab. Banyuasin, Sumatera Selatan 30974, Indonesia","{'location': {'lat': -2.6864457, 'lng': 104.8408297}, 'viewport': {'northeast': {'lat': -2.685100470107277, 'lng': 104.8420839798927}, 'southwest': {'lat': -2.687800129892722, 'lng': 104.8393843201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam Family 02,{'open_now': True},ChIJaeCZoA9pOy4R5VqZSiwnGn8,0,ChIJaeCZoA9pOy4R5VqZSiwnGn8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJaeCZoA9pOy4R5VqZSiwnGn8
OPERATIONAL,"CQ27+3GC, Karang Baru, Sumber Marga Telang, Banyuasin Regency, South Sumatra, Indonesia","{'location': {'lat': -2.5998111, 'lng': 104.7637619}, 'viewport': {'northeast': {'lat': -2.598391770107277, 'lng': 104.7651045798927}, 'southwest': {'lat': -2.601091429892722, 'lng': 104.7624049201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PANTAI TANAH BONYEK,,ChIJA0ALPwBFOy4ROoQ9EYMfHkI,0,ChIJA0ALPwBFOy4ROoQ9EYMfHkI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJA0ALPwBFOy4ROoQ9EYMfHkI
OPERATIONAL,"CP6J+WP, Karang Baru, Sumber Marga Telang, Banyuasin Regency, South Sumatra, Indonesia","{'location': {'lat': -2.5877428, 'lng': 104.7317822}, 'viewport': {'northeast': {'lat': -2.58695655, 'lng': 104.7352577}, 'southwest': {'lat': -2.59010155, 'lng': 104.7306237}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Muara,,ChIJHZzPqNRHOy4R-S7e6s2PE6k,5,ChIJHZzPqNRHOy4R-S7e6s2PE6k,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,https://www.google.com/maps/place/?q=place_id:ChIJHZzPqNRHOy4R-S7e6s2PE6k
OPERATIONAL,"9QR2+5RH, Karang Baru, Kecamatan rantau bayur, Banyuasin Regency, South Sumatra, Indonesia","{'location': {'lat': -2.6095639, 'lng': 104.7520939}, 'viewport': {'northeast': {'lat': -2.608051220107278, 'lng': 104.7534265798927}, 'southwest': {'lat': -2.610750879892723, 'lng': 104.7507269201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cikk Solok antu,,ChIJiWiAcABHOy4RnFLsGuDtN-s,0,ChIJiWiAcABHOy4RnFLsGuDtN-s,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJiWiAcABHOy4RnFLsGuDtN-s
OPERATIONAL,"8Q6X+2M, Sebalik, Tanjung Lago, Banyuasin Regency, South Sumatra, Indonesia","{'location': {'lat': -2.689971, 'lng': 104.799155}, 'viewport': {'northeast': {'lat': -2.688613320107278, 'lng': 104.8005999298927}, 'southwest': {'lat': -2.691312979892722, 'lng': 104.7979002701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bang Fan's,{'open_now': True},ChIJE0DfcgBpOy4RB8yqxlzxPPk,0,ChIJE0DfcgBpOy4RB8yqxlzxPPk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJE0DfcgBpOy4RB8yqxlzxPPk
CLOSED_TEMPORARILY,"8VGX+CXW, Upang Makmur, Muara Telang, Banyuasin Regency, South Sumatra, Indonesia","{'location': {'lat': -2.6738853, 'lng': 104.8999544}, 'viewport': {'northeast': {'lat': -2.672545970107278, 'lng': 104.9012265798927}, 'southwest': {'lat': -2.675245629892723, 'lng': 104.8985269201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Egikk,,ChIJ27zFOjZdOy4R6Ey95lU95Zo,0,ChIJ27zFOjZdOy4R6Ey95lU95Zo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,https://www.google.com/maps/place/?q=place_id:ChIJ27zFOjZdOy4R6Ey95lU95Zo
OPERATIONAL,"CQ27+3GC, Karang Baru, Sumber Marga Telang, Banyuasin Regency, South Sumatra, Indonesia","{'location': {'lat': -2.5998111, 'lng': 104.7637619}, 'viewport': {'northeast': {'lat': -2.598391770107277, 'lng': 104.7651045798927}, 'southwest': {'lat': -2.601091429892722, 'lng': 104.7624049201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,NYULAM PADI,,ChIJZYnJUgBFOy4RJu3nI98FW24,0,ChIJZYnJUgBFOy4RJu3nI98FW24,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJZYnJUgBFOy4RJu3nI98FW24
OPERATIONAL,"FRP6+3G, Muaratelang Marga, Sumber Marga Telang, Banyuasin Regency, South Sumatra, Indonesia","{'location': {'lat': -2.5147776, 'lng': 104.8112721}, 'viewport': {'northeast': {'lat': -2.513366770107277, 'lng': 104.8125629298927}, 'southwest': {'lat': -2.516066429892722, 'lng': 104.8098632701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dermaga spot pancing udang,,ChIJj1WvQGpPOy4RXM1j8AYq7x4,0,ChIJj1WvQGpPOy4RXM1j8AYq7x4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJj1WvQGpPOy4RXM1j8AYq7x4
CLOSED_PERMANENTLY,"FV6C+5P, Marga Rahayu, Muara Telang, Banyuasin Regency, South Sumatra, Indonesia","{'location': {'lat': -2.539566, 'lng': 104.871824}, 'viewport': {'northeast': {'lat': -2.538216170107277, 'lng': 104.8731738298927}, 'southwest': {'lat': -2.540915829892722, 'lng': 104.8704741701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Alat,,ChIJH3dKylFbOy4R_XrdGTNmKWE,0,ChIJH3dKylFbOy4R_XrdGTNmKWE,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,https://www.google.com/maps/place/?q=place_id:ChIJH3dKylFbOy4R_XrdGTNmKWE
CLOSED_TEMPORARILY,"FR95+W6H, Muaratelang Marga, Muara Telang, Banyuasin Regency, South Sumatra 30974, Indonesia","{'location': {'lat': -2.5307723, 'lng': 104.8075302}, 'viewport': {'northeast': {'lat': -2.529462470107277, 'lng': 104.8089522298927}, 'southwest': {'lat': -2.532162129892722, 'lng': 104.8062525701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai Olympus,,ChIJG1APXqVPOy4RIKgI6XmVXTw,5,ChIJG1APXqVPOy4RIKgI6XmVXTw,"['tourist_attraction', 'point_of_interest', 'establishment']",1,True,https://www.google.com/maps/place/?q=place_id:ChIJG1APXqVPOy4RIKgI6XmVXTw
