business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,price_level,permanently_closed,url
OPERATIONAL,"M233+GW3, Lere Jaya, Lambandia, Kolaka Regency, South East Sulawesi 93885, Indonesia","{'location': {'lat': -4.346202, 'lng': 122.0047904}, 'viewport': {'northeast': {'lat': -4.344958570107277, 'lng': 122.0061221798927}, 'southwest': {'lat': -4.347658229892721, 'lng': 122.0034225201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hamid Lina Rianhy sumalinggasu,{'open_now': True},"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104383970943389300841"">A Google User</a>'], 'photo_reference': 'AUGGfZmukXIgxHMm7hAQx3UFAm59b675nMz1yWcjb5fSzHK827m3eIJLoHWQqwVJgreJ5P67F_imsXR6gvzxSbtftpzuU2EagLkIdvpbeP5avV5dkHzvTJo9a6mZSOzOtkGT7vnrm5mOSTAt2OceDBog4goqT1xT4Y7QqFj3Mg4u7nFkZHhW', 'width': 4128}]",ChIJf0UlyZKfoi0RZu9z1m6w8VI,4.5,ChIJf0UlyZKfoi0RZu9z1m6w8VI,"['lodging', 'point_of_interest', 'establishment']",2.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJf0UlyZKfoi0RZu9z1m6w8VI
OPERATIONAL,"M73V+H5V, Potoro, Andoolo, South Konawe Regency, South East Sulawesi 93819, Indonesia","{'location': {'lat': -4.3460093, 'lng': 122.2929129}, 'viewport': {'northeast': {'lat': -4.344793620107278, 'lng': 122.2942759298927}, 'southwest': {'lat': -4.347493279892721, 'lng': 122.2915762701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Green Hotel Andoolo,{'open_now': True},"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105232914343772775551"">ipranto Wignyowinoto</a>'], 'photo_reference': 'AUGGfZlpgyo3J3XmmzpRrMMGTYA5kdRGG2ILbEz_Iy6CJKLgvbvf6SEKGq0xkwIbhaVMhsUUZIYrna_pAVgk5LX5gGyjUJ2rru9UYBhkRmhs-35t1z5DzTRQNUhQaN-zgTFjeYD9ljWB4kcIZ7xA8l97gKz1KEHkjAG-721SjcGWUTflt_rg', 'width': 4096}]",ChIJZ7g-pTaBoi0Ry8mXrza6dKg,3.4,ChIJZ7g-pTaBoi0Ry8mXrza6dKg,"['lodging', 'point_of_interest', 'establishment']",44.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJZ7g-pTaBoi0Ry8mXrza6dKg
OPERATIONAL,"Andoolo , kec.Andoolo, Andooli, Kabupaten Konawe Selatan, Sulawesi Tenggara 93884, Indonesia","{'location': {'lat': -4.3178733, 'lng': 122.2393651}, 'viewport': {'northeast': {'lat': -4.315969870107279, 'lng': 122.2408650298927}, 'southwest': {'lat': -4.318669529892722, 'lng': 122.2381653701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Penginapan Jeni,,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114350198684321340746"">A Google User</a>'], 'photo_reference': 'AUGGfZk2nMM-jpd3GEDMfhjeuWK6Mg6omNDcSPGuIuJSDvUfyWprC0MxSa8ly_dUS6TWrJboH54dtg7P7kQG72uuLsZRpxmUdbFDxTuQxYzrVczqVF1jZyweqSziGJQxP47jGCgJQRCJqdY5_Sgj1uNE_4GbQ7mbZFYls0VJ5d_YSvjIAxiD', 'width': 4080}]",ChIJM3l7-wmDoi0RhkSVm6ASX_s,5.0,ChIJM3l7-wmDoi0RhkSVm6ASX_s,"['lodging', 'point_of_interest', 'establishment']",1.0,"{'compound_code': 'M6JQ+VP Andoolo, South Konawe Regency, South East Sulawesi, Indonesia', 'global_code': '6Q74M6JQ+VP'}",,,https://www.google.com/maps/place/?q=place_id:ChIJM3l7-wmDoi0RhkSVm6ASX_s
OPERATIONAL,"Lrg. Bahagia, Potoro, Kec. Andoolo, Kabupaten Konawe Selatan, Sulawesi Tenggara 93883, Indonesia","{'location': {'lat': -4.343594, 'lng': 122.2802753}, 'viewport': {'northeast': {'lat': -4.342233820107277, 'lng': 122.2815752298928}, 'southwest': {'lat': -4.344933479892721, 'lng': 122.2788755701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kost Malakiano Family,{'open_now': True},"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117797247167450357823"">Surya Malakiano</a>'], 'photo_reference': 'AUGGfZnDdnoVyifq_EhxigqyTpJaeznow6XAaApXWszxjLYsLUmgQUap_LNsFxzpSlsad_6Ff6f0BOs3MKtx-NjeEaYSQCTsZgQ9UV-AoSW8NE60APL-cBkImW12ZuB4putSjGLJqYgq6WfXMilwMWUr-G7O-ryCb5vaQCrdCqX-h842jhL9', 'width': 4128}]",ChIJc7Fh3jGBoi0Rxv1Nf5WtjKU,4.5,ChIJc7Fh3jGBoi0Rxv1Nf5WtjKU,"['lodging', 'point_of_interest', 'establishment']",6.0,"{'compound_code': 'M74J+H4 Potoro, South Konawe Regency, South East Sulawesi, Indonesia', 'global_code': '6Q74M74J+H4'}",,,https://www.google.com/maps/place/?q=place_id:ChIJc7Fh3jGBoi0Rxv1Nf5WtjKU
OPERATIONAL,"G6PG+QCQ, Jl. Abdullah Silondae, Tinanggea, Kec. Tinanggea, Kabupaten Konawe Selatan, Sulawesi Tenggara 93885, Indonesia","{'location': {'lat': -4.462991, 'lng': 122.2259816}, 'viewport': {'northeast': {'lat': -4.461637770107278, 'lng': 122.2273593298927}, 'southwest': {'lat': -4.464337429892722, 'lng': 122.2246596701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Arhis,,,ChIJJQ-wAyGPoi0R7aSCL1AFQ5w,4.0,ChIJJQ-wAyGPoi0R7aSCL1AFQ5w,"['lodging', 'point_of_interest', 'establishment']",2.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJJQ-wAyGPoi0R7aSCL1AFQ5w
OPERATIONAL,"QX6R+9C, Lembah Subur, Ladongi, Kolaka Regency, South East Sulawesi, Indonesia","{'location': {'lat': -4.2390742, 'lng': 121.9908921}, 'viewport': {'northeast': {'lat': -4.237723620107277, 'lng': 121.9922295798927}, 'southwest': {'lat': -4.240423279892721, 'lng': 121.9895299201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,H. Saing,,,ChIJGxXnNDULmC0RQQcZU2vPW4o,0.0,ChIJGxXnNDULmC0RQQcZU2vPW4o,"['lodging', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJGxXnNDULmC0RQQcZU2vPW4o
OPERATIONAL,"Jl. Poros Kendari - Andoolo No.RT 002, RT.002/RW.004, Potoro, Kec. Andoolo, Kabupaten Konawe Selatan, Sulawesi Tenggara 93811, Indonesia","{'location': {'lat': -4.3462508, 'lng': 122.2915622}, 'viewport': {'northeast': {'lat': -4.344973070107279, 'lng': 122.2929147298927}, 'southwest': {'lat': -4.347672729892722, 'lng': 122.2902150701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Rumah Makan dan Penginapan Dian,,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118250281286723832766"">A Google User</a>'], 'photo_reference': 'AUGGfZm7oAveZWC1n7VQHfoNEcdS_XRMRqnoYonjfAwTQ864gPgY_ZFXto3AmyzkLj5GMRLdC2Otbs2SZuDcztZpOnQtA2wb9phH6QvABpmaQVzsR03LPdpUoHddvfcrTKXesO-rqBQdgsPk7x8pirUEUg3fA8wIR3jp9gYYRNieWVI9sU50', 'width': 4032}]",ChIJOXTw7UaBoi0RdM6VVz0A9-M,4.2,ChIJOXTw7UaBoi0RdM6VVz0A9-M,"['lodging', 'point_of_interest', 'establishment']",39.0,"{'compound_code': 'M73R+FJ Potoro, South Konawe Regency, South East Sulawesi, Indonesia', 'global_code': '6Q74M73R+FJ'}",,,https://www.google.com/maps/place/?q=place_id:ChIJOXTw7UaBoi0RdM6VVz0A9-M
OPERATIONAL,"Potoro, Andoolo, South Konawe Regency, South East Sulawesi 93819, Indonesia","{'location': {'lat': -4.3461916, 'lng': 122.2911536}, 'viewport': {'northeast': {'lat': -4.344941120107278, 'lng': 122.2925018798928}, 'southwest': {'lat': -4.347640779892722, 'lng': 122.2898022201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Rumah Makan Mama Dian,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109579595453551426234"">A Google User</a>'], 'photo_reference': 'AUGGfZlz2H1YMFKVdLgPW2IHwGKfh6U-eIn2PFTmJd1zpGg_acrJtImI2N9ckGr1zsO1fyGMkgu0MzH2w0pfMyOh2xPyeL38_odGOAouqvMBMZp0AHDTuP8wiG9NFa7jfx_pHFCIWQ6PmBX9jFvLiUwffm3h6D1g8axoZ8Q3JMHz-cVtbeI', 'width': 3024}]",ChIJ8eMrhTaBoi0ROGiLGmDCiYI,4.3,ChIJ8eMrhTaBoi0ROGiLGmDCiYI,"['restaurant', 'lodging', 'food', 'point_of_interest', 'establishment']",26.0,"{'compound_code': 'M73R+GF Potoro, South Konawe Regency, South East Sulawesi, Indonesia', 'global_code': '6Q74M73R+GF'}",,,https://www.google.com/maps/place/?q=place_id:ChIJ8eMrhTaBoi0ROGiLGmDCiYI
OPERATIONAL,"P328+58P, Jl. Poros Basala-Benua, Lipu Masagena, Kec. Basala, Kabupaten Konawe Selatan, Sulawesi Tenggara 93875, Indonesia","{'location': {'lat': -4.2995413, 'lng': 122.0658274}, 'viewport': {'northeast': {'lat': -4.298246020107277, 'lng': 122.0672001298927}, 'southwest': {'lat': -4.300945679892721, 'lng': 122.0645004701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,WarTem basala,,,ChIJGyYH_Gyfoi0RzB1E4zgJtfM,4.8,ChIJGyYH_Gyfoi0RzB1E4zgJtfM,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJGyYH_Gyfoi0RzB1E4zgJtfM
OPERATIONAL,"QWC2+RPM, Tokai, Poli-Polia, East Kolaka Regency, South East Sulawesi, Indonesia","{'location': {'lat': -4.2279225, 'lng': 121.9017954}, 'viewport': {'northeast': {'lat': -4.225980820107279, 'lng': 121.90515045}, 'southwest': {'lat': -4.228680479892723, 'lng': 121.90067705}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel indomobil 1,,,ChIJH7v5KwAPmC0Rb5KnGKcoMPY,0.0,ChIJH7v5KwAPmC0Rb5KnGKcoMPY,"['lodging', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJH7v5KwAPmC0Rb5KnGKcoMPY
