business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,photos,url
CLOSED_TEMPORARILY,"Sawan, Buleleng Regency, Bali, Indonesia","{'location': {'lat': -8.140958399999999, 'lng': 115.1782639}, 'viewport': {'northeast': {'lat': -8.139553920107277, 'lng': 115.1796016798928}, 'southwest': {'lat': -8.14225357989272, 'lng': 115.1769020201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sawan Trekking,True,ChIJn04RryCR0S0R_gv3k6BJP4Q,"{'compound_code': 'V55H+J8 Sawan, Buleleng Regency, Bali, Indonesia', 'global_code': '6P3QV55H+J8'}",0.0,ChIJn04RryCR0S0R_gv3k6BJP4Q,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJn04RryCR0S0R_gv3k6BJP4Q
OPERATIONAL,"R54R+7H5, Lemukih, Sawan, Buleleng Regency, Bali 81171, Indonesia","{'location': {'lat': -8.194374, 'lng': 115.1914844}, 'viewport': {'northeast': {'lat': -8.191719599999999, 'lng': 115.19655215}, 'southwest': {'lat': -8.195258799999998, 'lng': 115.18979515}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KUBU PUMAAN,,ChIJZftzlbWN0S0R5flaqfsictk,,5.0,ChIJZftzlbWN0S0R5flaqfsictk,"['tourist_attraction', 'point_of_interest', 'establishment']",3,{'open_now': True},"[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116961990057599343287"">A Google User</a>'], 'photo_reference': 'AUGGfZnjen1UddHwvE2fusRagzYMstqUDy8oOYPG9y4QnzAbmvUj7r7QiL9wsPwKqWd14JNpCJva_T4CZusRZDT-nL0k9dglaiugxgYqes06-5YvjVFcEzp8YocurgkKXgUMH_CWURKZpwL9dPf_MNYoQIDz5T9OU9YJPJHJg-kgV6slOx9K', 'width': 399}]",https://www.google.com/maps/place/?q=place_id:ChIJZftzlbWN0S0R5flaqfsictk
OPERATIONAL,"R55M+6V8, Lemukih, Sawan, Buleleng Regency, Bali 81171, Indonesia","{'location': {'lat': -8.191946999999999, 'lng': 115.184546}, 'viewport': {'northeast': {'lat': -8.19063897010728, 'lng': 115.1859107798927}, 'southwest': {'lat': -8.193338629892724, 'lng': 115.1832111201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,WARUNG,,ChIJpY1gDQCP0S0RT4aIW-SzjQQ,,0.0,ChIJpY1gDQCP0S0RT4aIW-SzjQQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJpY1gDQCP0S0RT4aIW-SzjQQ
OPERATIONAL,"V5CH+4R9, Sawan, Buleleng Regency, Bali, Indonesia","{'location': {'lat': -8.1297142, 'lng': 115.179623}, 'viewport': {'northeast': {'lat': -8.12856762010728, 'lng': 115.1808001798927}, 'southwest': {'lat': -8.131267279892723, 'lng': 115.1781005201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bendungan Danu kerthi desa sawan,,ChIJGYEjk0yR0S0R4k77dkNzSgw,,5.0,ChIJGYEjk0yR0S0R4k77dkNzSgw,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116199149584248235703"">wira buana</a>'], 'photo_reference': 'AUGGfZlO9ViOOKkWCKirZY-8tI_qEDJxI29WWSe74zGfiw67KIUr7-pDTz0fsR5Ng1nqC1J7RYW7OFAvagbyG-wLYE-2pQkFL9s6oedr3OO4VOtVDUE6UPEGRVzHQMGK6GXAEdLnNFy0XMGkOshX-cBI-iGqyImkPeTuMiQuirpGJsLRe3VR', 'width': 3024}]",https://www.google.com/maps/place/?q=place_id:ChIJGYEjk0yR0S0R4k77dkNzSgw
OPERATIONAL,"V58J+3C, Sawan, Buleleng Regency, Bali 81171, Indonesia","{'location': {'lat': -8.1348295, 'lng': 115.1810131}, 'viewport': {'northeast': {'lat': -8.133043470107276, 'lng': 115.1822657298927}, 'southwest': {'lat': -8.13574312989272, 'lng': 115.1795660701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kubu lalangan,,ChIJnzzH1_6R0S0RS61zslAubDw,,5.0,ChIJnzzH1_6R0S0RS61zslAubDw,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111737575559708776650"">iwayan antariksawan</a>'], 'photo_reference': 'AUGGfZlUqGTJtPs5V4tRbZ07Kk16hDoiZWbQXXq-_IiH1Hcc2BL8NG_mCgPyQJiKD6XYGM7hnFJdbi9VICl1AINEbn7nMQPLzxkUaV3K6-5oPPhcW6Jl-ZdjpHM_qIEcX-vqgl4hiimdpV1HY2BUbKe5wXEi8tQshCAc53l3rSEgZ6dSSsy3', 'width': 4000}]",https://www.google.com/maps/place/?q=place_id:ChIJnzzH1_6R0S0RS61zslAubDw
OPERATIONAL,"V59G+HCH, Jl. Raya Desa, Sawan, Kec. Sawan, Kabupaten Buleleng, Bali 81171, Indonesia","{'location': {'lat': -8.1306389, 'lng': 115.1761335}, 'viewport': {'northeast': {'lat': -8.129310220107277, 'lng': 115.1774892298927}, 'southwest': {'lat': -8.13200987989272, 'lng': 115.1747895701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jalan akses bendungan Danu kerthi desa sawan,,ChIJq32pvweR0S0RcU2nqFWiUOo,,5.0,ChIJq32pvweR0S0RcU2nqFWiUOo,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110663116644082519527"">Nico de Groot</a>'], 'photo_reference': 'AUGGfZld0_0Dx2EHwsp8n-hr5QJUn76aUuEurGWFY1fbaM4BB9HPCd5X5ZgeYMFgOGK9U9oKcY47sHzdE29QWcD8mTI9fGrk3VxR5OtNkDSDGV3wevP4KKvIGCKbkIPvO6MUcy_o0pTAe26Hds9zKlWe9qjP0LDn6aHmEBzoPsMM2jm3x4wv', 'width': 4000}]",https://www.google.com/maps/place/?q=place_id:ChIJq32pvweR0S0RcU2nqFWiUOo
OPERATIONAL,"W49C+767, Kerobokan, Sawan, Buleleng Regency, Bali 81119, Indonesia","{'location': {'lat': -8.0818395, 'lng': 115.1205353}, 'viewport': {'northeast': {'lat': -8.080588270107278, 'lng': 115.1219357798928}, 'southwest': {'lat': -8.083287929892721, 'lng': 115.1192361201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Pantai Cinta Kerobokan,Sawan,Buleleng,Bali",,ChIJS0La0r2X0S0R06F54ZRuMFs,,5.0,ChIJS0La0r2X0S0R06F54ZRuMFs,"['tourist_attraction', 'point_of_interest', 'establishment']",2,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101535723153544858746"">yves frombelgium</a>'], 'photo_reference': 'AUGGfZlrW99S_PbZ6Cs7MM6aRuaIuydCWIQVuQS94J3JN5UZLw59uVFD5OE6IAahrKfSd4JTNDTMVBonIJERXBm0IjMLxfsX4EPLmbVRHmm13hy4hfNhIKOayYYPhl49ufxHJLD7pCo-7ojzQxWCB0S0ru2FByFrWRMby3x20rHnr-3_feLK', 'width': 1080}]",https://www.google.com/maps/place/?q=place_id:ChIJS0La0r2X0S0R06F54ZRuMFs
OPERATIONAL,"R5PJ+H63, Bebetin, Sawan, Buleleng Regency, Bali 81171, Indonesia","{'location': {'lat': -8.1636237, 'lng': 115.1805615}, 'viewport': {'northeast': {'lat': -8.162114720107278, 'lng': 115.18141685}, 'southwest': {'lat': -8.164814379892722, 'lng': 115.17799545}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kayehan sedaan,,ChIJ_Y2PuaaR0S0RTsvEbF6W9z8,,5.0,ChIJ_Y2PuaaR0S0RTsvEbF6W9z8,"['tourist_attraction', 'point_of_interest', 'establishment']",2,{'open_now': False},"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110495607390467434097"">Dhek Santika</a>'], 'photo_reference': 'AUGGfZmVEOBzRnzPh6qTLxNVUkv9qoSoq3InRiI5SDANmvZk0TfgzuuGrXSmlFifLJSEUWIAWoCwcI5kxVE9OPMC0eZRfVCEfHxgSo95x8CNBio-S0PztpCFO8-9YCRxyjd4q6fe3PiHMJUhc8ldBxMaCjxwlwgc6YUTJPjvH5vOpDoYaytp', 'width': 4640}]",https://www.google.com/maps/place/?q=place_id:ChIJ_Y2PuaaR0S0RTsvEbF6W9z8
OPERATIONAL,"V592+66Q, Suwug, Sawan, Buleleng Regency, Bali 81119, Indonesia","{'location': {'lat': -8.1326759, 'lng': 115.1496369}, 'viewport': {'northeast': {'lat': -8.131370520107277, 'lng': 115.1509809798927}, 'southwest': {'lat': -8.13407017989272, 'lng': 115.1482813201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bendungan suwug,,ChIJ46CWbHiR0S0RZo1_ZN1oKEA,,4.8,ChIJ46CWbHiR0S0RZo1_ZN1oKEA,"['tourist_attraction', 'point_of_interest', 'establishment']",5,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100737289564816250986"">A Google User</a>'], 'photo_reference': 'AUGGfZmMFHmLqzTc51roXT9RyDH5idrf-JwQKAX0p3k_uWy7-q9gDpIc-6XmMtIApuLikRjg5pjZ6E1wUwQ-NQrSoOAgR9tG53lArtESpZtACxuuXcm-kLiuN4pRAxR_SsBNnmMO1fkM-D39LGyC6JutHhRRMh-Hz1aUpWctnW41poNMjSZO', 'width': 3264}]",https://www.google.com/maps/place/?q=place_id:ChIJ46CWbHiR0S0RZo1_ZN1oKEA
CLOSED_TEMPORARILY,"V5F8+5WW, Menyali, Sawan, Buleleng Regency, Bali 81171, Indonesia","{'location': {'lat': -8.1275844, 'lng': 115.1672698}, 'viewport': {'northeast': {'lat': -8.126222070107277, 'lng': 115.1686553298927}, 'southwest': {'lat': -8.12892172989272, 'lng': 115.1659556701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun Pak kar,True,ChIJwfxg9amR0S0RbZjRX0AWS4w,,0.0,ChIJwfxg9amR0S0RbZjRX0AWS4w,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJwfxg9amR0S0RbZjRX0AWS4w
