business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,plus_code,opening_hours,photos,permanently_closed,url
OPERATIONAL,"F7VG+XFR, Malangsari, Bangodua, Indramayu Regency, West Java 45272, Indonesia","{'location': {'lat': -6.5045794, 'lng': 108.2760489}, 'viewport': {'northeast': {'lat': -6.503232920107279, 'lng': 108.2774304798927}, 'southwest': {'lat': -6.505932579892723, 'lng': 108.2747308201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kandang wiragora,ChIJe8YiWwDFbi4RrbO5k3XAg8s,0.0,ChIJe8YiWwDFbi4RrbO5k3XAg8s,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJe8YiWwDFbi4RrbO5k3XAg8s
OPERATIONAL,"F85V+QCW, Bangodua, Indramayu Regency, West Java 45272, Indonesia","{'location': {'lat': -6.5405112, 'lng': 108.3435731}, 'viewport': {'northeast': {'lat': -6.539042170107278, 'lng': 108.3448750298927}, 'southwest': {'lat': -6.541741829892722, 'lng': 108.3421753701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,TPU Pulo Cangak,ChIJLQytvknDbi4RM2IymH9C9Y0,0.0,ChIJLQytvknDbi4RM2IymH9C9Y0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJLQytvknDbi4RM2IymH9C9Y0
OPERATIONAL,"F86Q+H6R, Bangodua, Indramayu Regency, West Java 45272, Indonesia","{'location': {'lat': -6.538521299999999, 'lng': 108.338024}, 'viewport': {'northeast': {'lat': -6.537190720107278, 'lng': 108.3393103798927}, 'southwest': {'lat': -6.539890379892721, 'lng': 108.3366107201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam renang bangodua indah,ChIJlVkXZi3Dbi4Rb3NcDqWt9Ls,3.0,ChIJlVkXZi3Dbi4Rb3NcDqWt9Ls,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJlVkXZi3Dbi4Rb3NcDqWt9Ls
OPERATIONAL,"Jl. Raya Wanasari-Tugu Blok Cangkrung, Wanasari, Kec. Bangodua, Kabupaten Indramayu, Jawa Barat, Indonesia","{'location': {'lat': -6.5109352, 'lng': 108.285857}, 'viewport': {'northeast': {'lat': -6.509312670107279, 'lng': 108.2871659798927}, 'southwest': {'lat': -6.512012329892722, 'lng': 108.2844663201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pesawahan desa cangkrung,ChIJXwG4Vq3Fbi4RYcnmpJl56Nk,5.0,ChIJXwG4Vq3Fbi4RYcnmpJl56Nk,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"{'compound_code': 'F7QP+J8 Wanasari, Indramayu Regency, West Java, Indonesia', 'global_code': '6P5CF7QP+J8'}",,,,https://www.google.com/maps/place/?q=place_id:ChIJXwG4Vq3Fbi4RYcnmpJl56Nk
OPERATIONAL,"F8GQ+RPG, Kliwed, Bangodua, Indramayu Regency, West Java 45274, Indonesia","{'location': {'lat': -6.5229329, 'lng': 108.3393145}, 'viewport': {'northeast': {'lat': -6.521330820107278, 'lng': 108.3407240798927}, 'southwest': {'lat': -6.524030479892722, 'lng': 108.3380244201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kali Cimanuk,ChIJEQJVc1XDbi4R9LUMTsqjDfA,3.6,ChIJEQJVc1XDbi4R9LUMTsqjDfA,"['tourist_attraction', 'point_of_interest', 'establishment']",14,,{'open_now': True},"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109480814915581480330"">A Google User</a>'], 'photo_reference': 'AUGGfZkhj7mSFvkat2mQtNGn4syMjfMrz4Qo9d37-q4XHqXgFsbHen5nyqfofeacsfK_3LHJMxgt2DoiBWw6vpWF7iQyeh8vxlQ8QrfF1N3nAnQDq0PuwC_QdDEjR3fGWP7oLrKeO96YYGkCS5jVBOoRLCKUsvfdrI8TEx8hUjPei2dUuY2E', 'width': 1366}]",,https://www.google.com/maps/place/?q=place_id:ChIJEQJVc1XDbi4R9LUMTsqjDfA
OPERATIONAL,"F83J+V7P, Jl. Raya Sukaperna, Sukaperna, Kec. Tukdana, Kabupaten Indramayu, Jawa Barat 45272, Indonesia","{'location': {'lat': -6.545934000000001, 'lng': 108.3301168}, 'viewport': {'northeast': {'lat': -6.544285370107279, 'lng': 108.3314267798927}, 'southwest': {'lat': -6.546985029892722, 'lng': 108.3287271201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Camp cimanuk,ChIJEVxPt1vFbi4RHv8W4lbSkN0,5.0,ChIJEVxPt1vFbi4RHv8W4lbSkN0,"['tourist_attraction', 'point_of_interest', 'establishment']",7,,,"[{'height': 1367, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106071446634133238649"">A Google User</a>'], 'photo_reference': 'AUGGfZnpmyJWGec-T0FmzTPmCTza6E8DUIYK06QOKay-P8hpxD8IyS7Cx8agt1cRKTmLXj2_hTKyr6-pEf_Dct5yZEo7cCybanbQtCU0jvubywu8NQNILfFjUO-Pe9DihYgwUUSRFwP6vXhZz25MYYtRMLA1CQ8eJPDphlP5zkANSrgJrpHK', 'width': 2490}]",,https://www.google.com/maps/place/?q=place_id:ChIJEVxPt1vFbi4RHv8W4lbSkN0
OPERATIONAL,"F9C5+7MV, Kertasemaya, Indramayu Regency, West Java 45274, Indonesia","{'location': {'lat': -6.529272499999999, 'lng': 108.3591714}, 'viewport': {'northeast': {'lat': -6.527911620107277, 'lng': 108.3604806798927}, 'southwest': {'lat': -6.530611279892721, 'lng': 108.3577810201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BLOK BAGOR - TENAJAR KIDUL,ChIJK-QtuKHDbi4ROqctFrlfh5A,4.7,ChIJK-QtuKHDbi4ROqctFrlfh5A,"['tourist_attraction', 'point_of_interest', 'establishment']",9,,,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104035096358788734147"">A Google User</a>'], 'photo_reference': 'AUGGfZkRC9yPCj8U8hVI-Xm-hkCqkV6n63QUwDEF3WX-fJsSYILCnmF3qvlP70H0MT3SP98mhEhPFDGnsFdj0w0mSTSoVmwGXGyPvVDJeUXv-gqTPvJ3-96iQJpEhgLfkm4RQXvdISx0pXPt8_OR-CxT1TKuri8AlDiL74NMoq8kSVMlVxlZ', 'width': 4096}]",,https://www.google.com/maps/place/?q=place_id:ChIJK-QtuKHDbi4ROqctFrlfh5A
OPERATIONAL,"F78V+GR4, Sawah ramin, karangdawa, Sukadana, Kec. Tukdana, Kabupaten Indramayu, Jawa Barat 45272, Indonesia","{'location': {'lat': -6.5337281, 'lng': 108.294566}, 'viewport': {'northeast': {'lat': -6.532951870107278, 'lng': 108.2953471}, 'southwest': {'lat': -6.535651529892722, 'lng': 108.2922227}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sawah ramin karangdawa,ChIJ41YtGK7Fbi4Rjcj7oVV9Zbs,0.0,ChIJ41YtGK7Fbi4Rjcj7oVV9Zbs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105824800937389337150"">A Google User</a>'], 'photo_reference': 'AUGGfZm2o1l-vvPdBcTJ85Y6Nz71gRqQNtEIfBIhlgumV3zInK73hyE9-XxGIbZPgcBvUvQ6x7rp5zRk3VcPDnnQ9XfZEL3-Lm_jJCju7Zx8sg0eztl9fLcFoqYDTGXDgT_lZNDVvnNoaiWhQy9agRaUcmw2UjuKVGoSAtxznoZ7qF9hvI9m', 'width': 4128}]",,https://www.google.com/maps/place/?q=place_id:ChIJ41YtGK7Fbi4Rjcj7oVV9Zbs
OPERATIONAL,"F639+PPH, Sukamulya, Tukdana, Indramayu Regency, West Java 45261, Indonesia","{'location': {'lat': -6.545678, 'lng': 108.2193575}, 'viewport': {'northeast': {'lat': -6.544183670107278, 'lng': 108.2208381798927}, 'southwest': {'lat': -6.546883329892722, 'lng': 108.2181385201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Situ Tukdana,ChIJ_5C2L03Pbi4RQgZfxUCofGA,0.0,ChIJ_5C2L03Pbi4RQgZfxUCofGA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116091728707331967361"">A Google User</a>'], 'photo_reference': 'AUGGfZnedCvbWdTTiZIoDhL8WLxNBwpUqXZAHRIxIABWIeo_066ftP4EsjzxcTTYYbLkjX0W_eHJgj-AeVgaxC0m7qpcUCFw-RYmECMvHOETYarqb1Ty08OSneXgWanCFNcGULLJXFl6-rdfdMhzoKyb7xWwbZyWZYjzcvDeP9aLOvNXg-em', 'width': 4160}]",,https://www.google.com/maps/place/?q=place_id:ChIJ_5C2L03Pbi4RQgZfxUCofGA
OPERATIONAL,"F855+8VM, Sukadana, Tukdana, Indramayu Regency, West Java 45272, Indonesia","{'location': {'lat': -6.541666299999999, 'lng': 108.3096712}, 'viewport': {'northeast': {'lat': -6.540320670107278, 'lng': 108.3110524298927}, 'southwest': {'lat': -6.543020329892721, 'lng': 108.3083527701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kerekan Pemuda Sukadana,ChIJ1yCdqHPFbi4RrTe-MRzoFxs,5.0,ChIJ1yCdqHPFbi4RrTe-MRzoFxs,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104842290953952750495"">A Google User</a>'], 'photo_reference': 'AUGGfZnBH-vv7t2F6bN8GciycwzccOMzRrvnvb1Da3v25d6azCS9UDaxUVkVz8Yrawk2SnayNbq8vtXUHCsS6htj6asMZ_RQI2_SGHLLBld6AeHeWo4rvSamvvP0FsnWvJSQdHyLSVRTY_qI1ja3H4do3518VDEbezTMCcRsKTK1l7A2f4Sz', 'width': 1920}]",,https://www.google.com/maps/place/?q=place_id:ChIJ1yCdqHPFbi4RrTe-MRzoFxs
