formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,opening_hours,plus_code,rating,user_ratings_total,url
"State of Minas Gerais, Brazil","{'location': {'lat': -17.930178, 'lng': -43.7908453}, 'viewport': {'northeast': {'lat': -14.2331806, 'lng': -39.8568288}, 'southwest': {'lat': -22.9227552, 'lng': -51.0460818}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,State of Minas Gerais,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112935772891935508743"">leide makino</a>'], 'photo_reference': 'AUGGfZm6wEo6qYGHbvtHnlJ1I4dcwwwCc_VSROSVYeXyu5N_LeIOIK_Lau5VH2_o0w6L7l-AQMowGyoqt7xwZWJULocCDdc3glPhnImkIBiNSQF3Rh5RsDflqbo0eDEh-O-hkhK841dbaoGlQt47MEkRsu1iz9DR_OlZvB0ShjagWT07XM0x', 'width': 4096}]",ChIJiUIyZaGQpgARs-edN8lwIRE,ChIJiUIyZaGQpgARs-edN8lwIRE,"['administrative_area_level_1', 'political']",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJiUIyZaGQpgARs-edN8lwIRE
"Siak Regency, Riau, Indonesia","{'location': {'lat': 0.8118812, 'lng': 101.7979613}, 'viewport': {'northeast': {'lat': 1.248483, 'lng': 102.9028161}, 'southwest': {'lat': 0.407583, 'lng': 100.906873}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Siak Regency,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112893200930467410104"">Elva Yanti</a>'], 'photo_reference': 'AUGGfZldf7NSuJMotqulWKixCEjv8Hd2Cu_aaK4TCvgy9QT-VvsokE86v_5oFoI_Ye80BFTng7S5cg-944smXmEBu_1tA4Crvb-EX43pDjPfxobDOQJ1JNcxBIFDAkUgxwUwHBU9lG9i3vUPO8nns0AUs7VJsv7FwQ2Y2hhT4VTojSGkBmGF', 'width': 4000}]",ChIJbcbbG_I61DER4NEgsoCdAwM,ChIJbcbbG_I61DER4NEgsoCdAwM,"['administrative_area_level_2', 'political']",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJbcbbG_I61DER4NEgsoCdAwM
"R. Dom Silvério, 108 - Antônio Dias, Ouro Preto - MG, 35400-000, Brazil","{'location': {'lat': -20.3862863, 'lng': -43.4993263}, 'viewport': {'northeast': {'lat': -20.38487212010728, 'lng': -43.49799287010728}, 'southwest': {'lat': -20.38757177989272, 'lng': -43.50069252989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mina Chico Rei,"[{'height': 3280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109542621463743529445"">piter</a>'], 'photo_reference': 'AUGGfZlnnYCemLLefL51pDsaHLCohJgt_Qpaik-cAvwAknoydQHyXFWaY-NDjRikJLz-n5KqcsQYXyzGpENqn7f19Pe6-gw5F7-kuffblPQyHksvEQ_rmmvur4dvM4DLNAyv2t2WG2P7qo6HSYd03ELNJSF5S4Ds-Oz27b1ALpoouJql_bOO', 'width': 4928}]",ChIJcb1b4twLpAARtxtYiW7uNZU,ChIJcb1b4twLpAARtxtYiW7uNZU,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': False},"{'compound_code': 'JG72+F7 Antônio Dias, Ouro Preto - State of Minas Gerais, Brazil', 'global_code': '58FRJG72+F7'}",4.5,1413.0,https://www.google.com/maps/place/?q=place_id:ChIJcb1b4twLpAARtxtYiW7uNZU
"R. Levindo Inácio André, 400 - São Cristóvão, Ouro Preto - MG, 35400-000, Brazil","{'location': {'lat': -20.3763561, 'lng': -43.5160589}, 'viewport': {'northeast': {'lat': -20.37527482010728, 'lng': -43.51464492010728}, 'southwest': {'lat': -20.37797447989272, 'lng': -43.51734457989273}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mina Du Veloso,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111493418714606373113"">A Google User</a>'], 'photo_reference': 'AUGGfZnEPkrKR8MYSHTz-CVfN0efVH1DV88lFEXTXHFPoLTdQzEWxeyU2GjPSJXN9eOS_Iwa4CYJJ38YHAgbtTzsWycCPRBjsKSWhG_o2nAg5q3nK7CLG1a3-EX9FCue2DFYk_TdNnGTb3udI-0uu_OtV2gV5eLf7B6oWRoJ1B2SK30XDZS8', 'width': 2448}]",ChIJY_hAigMLpAARSrvO00HVcYY,ChIJY_hAigMLpAARSrvO00HVcYY,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': False},"{'compound_code': 'JFFM+FH Ouro Preto, State of Minas Gerais, Brazil', 'global_code': '58FRJFFM+FH'}",4.5,2637.0,https://www.google.com/maps/place/?q=place_id:ChIJY_hAigMLpAARSrvO00HVcYY
"R. Eugenio E. Rapallo, 192 - Passagem de Mariana, Mariana - MG, 35421-020, Brazil","{'location': {'lat': -20.3930921, 'lng': -43.439513}, 'viewport': {'northeast': {'lat': -20.39172722010728, 'lng': -43.43816132010728}, 'southwest': {'lat': -20.39442687989273, 'lng': -43.44086097989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mina de Ouro da Passagem,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113224675827520055670"">Claudineia Vaz De Carvalho</a>'], 'photo_reference': 'AUGGfZkpoHAgilcEz4gTXmXU5Tzsg0acL1bSRKvgK4FU3CfxVwBeBhbevPnbbOS4aQKrf5I26kvHOxf2vdmfwGkRovB5sbwxIHuPssW98IljAd69hbnvAUMRjYKma3cMhOQCVV8eK2yILDAhFKXrO404k5OmU1nfq7mUvyDX9J0EY9DRcdHS', 'width': 1600}]",ChIJF_kPult0pAARL7YeL4Y4KGQ,ChIJF_kPult0pAARL7YeL4Y4KGQ,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': False},"{'compound_code': 'JH46+Q5 Passagem de Mariana, Mariana - State of Minas Gerais, Brazil', 'global_code': '58FRJH46+Q5'}",4.4,3899.0,https://www.google.com/maps/place/?q=place_id:ChIJF_kPult0pAARL7YeL4Y4KGQ
"Rua B, 20 Fazenda Inhotim, Brumadinho - MG, 35460-000, Brazil","{'location': {'lat': -20.1241164, 'lng': -44.2195995}, 'viewport': {'northeast': {'lat': -20.12284147010728, 'lng': -44.21782417010728}, 'southwest': {'lat': -20.12554112989272, 'lng': -44.22052382989273}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Inhotim Museum,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110540264363045232412"">Petr Vasicek</a>'], 'photo_reference': 'AUGGfZl34hrdulp9TVjG1w6d3vq64mROQ-hnnENsk7NAZVQZTx__g_Sckp6ChVLlG_KP8Sg7gffrSqKsUjsOyF4ZFA-pwoPSYmmxFyEPRD63SyNbO_HFUeC_yNzDftBlOJHo4A0UZvQKfNvPueb56W2q78zD0S6ZM_7FSA2mNbHRadaIQKL3', 'width': 4032}]",ChIJ57n5BszNpgARTBWNsiwuQ2w,ChIJ57n5BszNpgARTBWNsiwuQ2w,"['museum', 'park', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': False},"{'compound_code': 'VQGJ+95 Brumadinho, State of Minas Gerais, Brazil', 'global_code': '58FQVQGJ+95'}",4.8,21655.0,https://www.google.com/maps/place/?q=place_id:ChIJ57n5BszNpgARTBWNsiwuQ2w
"MCGH+9G2, Unnamed Rd,, Minas Jaya, Kec. Minas, Kabupaten Siak, Riau 28267, Indonesia","{'location': {'lat': 0.675883, 'lng': 101.428769}, 'viewport': {'northeast': {'lat': 0.6772046798927223, 'lng': 101.4301552298927}, 'southwest': {'lat': 0.6745050201072779, 'lng': 101.4274555701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tahura Sultan Syarif Hasyim,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113382847185131172787"">hasri</a>'], 'photo_reference': 'AUGGfZnKznLgnMcgozCDnTKSUzbIjThFN_BhsjoSwwDTBIqeUfBXryrbdBLWthI0MHj1diE3fOqToczKewd4bLbkp5_-DdWEJsNmW_0CS4eP7gwHXYSS-uPnoiE_WUS3fMubcTem6-QC2ia1VoTipgCjTdeS8cm_WkpeNd6DUKwHgh6HczZz', 'width': 5184}]",ChIJXQcK0bNW1DERgzkKEL7MR6U,ChIJXQcK0bNW1DERgzkKEL7MR6U,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},,4.3,143.0,https://www.google.com/maps/place/?q=place_id:ChIJXQcK0bNW1DERgzkKEL7MR6U
"RG7C+FQ9, Mandi Angin, Minas, Siak Regency, Riau 28685, Indonesia","{'location': {'lat': 0.8136741, 'lng': 101.5219928}, 'viewport': {'northeast': {'lat': 0.8150573298927222, 'lng': 101.5233886798927}, 'southwest': {'lat': 0.8123576701072777, 'lng': 101.5206890201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Waterpark mandiangin,"[{'height': 864, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115590929074466078203"">Yoga Andalast</a>'], 'photo_reference': 'AUGGfZn93fwXvrP6xcrRlYGSYjKDgVYBVo_xIQLrvQjprxHMMDVSx_6l9hrkcJ3E79NVKqpcRgouVw6_CzWhX9uCT0cqUjZEvjPczTkV26kS6fTI_-nvq5H9Ffc18E9ZkVJO8Cs9bknQMdxKrSNAWl-7PVPk13U6PNB7lx2k3HdDt6NvTY-M', 'width': 1152}]",ChIJLcKhyVhF1DERnlkeWXIqpl8,ChIJLcKhyVhF1DERnlkeWXIqpl8,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},,5.0,2.0,https://www.google.com/maps/place/?q=place_id:ChIJLcKhyVhF1DERnlkeWXIqpl8
"S/N Rodovia MG-050, Km 311 Zona Rural, Capitólio - MG, 37945-000, Brazil","{'location': {'lat': -20.6479006, 'lng': -46.2583218}, 'viewport': {'northeast': {'lat': -20.64627057010728, 'lng': -46.25674272010728}, 'southwest': {'lat': -20.64897022989273, 'lng': -46.25944237989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Waterfall Blue Lagoon,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106445704191787941559"">Marcia Rodrigues</a>'], 'photo_reference': 'AUGGfZlROOqSto8QVZrmNeTwRWzmUzf9eR1nkynC3CHD46ctfc2Dai6OS65b4gtbgZ4HShiT2olF1bKdDuNWjK3Y5HVr60reAk5WbKgN0HSsj5UjiR4DnK6o8QPB_ajbDZKT4CxD2_qdm0K32sF2btigPf4hFywQY1WuDYL1pzMkVGP2mpp_', 'width': 4032}]",ChIJxbUkMtihtpQRSzwV_vPBnXY,ChIJxbUkMtihtpQRSzwV_vPBnXY,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,"{'compound_code': '9P2R+RM Capitólio, State of Minas Gerais, Brazil', 'global_code': '58FM9P2R+RM'}",4.8,15311.0,https://www.google.com/maps/place/?q=place_id:ChIJxbUkMtihtpQRSzwV_vPBnXY
"Unnamed Road, 28464, Minas Jaya, Kec. Minas, Kabupaten Siak, Riau 28464, Indonesia","{'location': {'lat': 0.7230732, 'lng': 101.4119115}, 'viewport': {'northeast': {'lat': 0.7244050798927222, 'lng': 101.4132937298927}, 'southwest': {'lat': 0.7217054201072778, 'lng': 101.4105940701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pusat Latihan Gajah Minas Riau,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116076660272323892485"">Erry Wd Kurniawan</a>'], 'photo_reference': 'AUGGfZnBWDJCeutIXvqP_2WFflw27dkKnvNFh-gq8jSEkWHIm2V3k02ntPNKfizEMQVVa5vPGIXXd8ST4JJabE1VLrz8JgztjlXQkhZSactEq4uX_ZbZhmJbuXkTVXl-xW2FKaRisnSWoFyCTkYB2nSZ4beF4R1zzhfDtSK1ucKBpR5onMsh', 'width': 4000}]",ChIJz7nS3EFX1DER_XYgAlfGVHc,ChIJz7nS3EFX1DER_XYgAlfGVHc,"['zoo', 'tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},"{'compound_code': 'PCF6+6Q Minas Jaya, Siak Regency, Riau, Indonesia', 'global_code': '6PG3PCF6+6Q'}",4.5,275.0,https://www.google.com/maps/place/?q=place_id:ChIJz7nS3EFX1DER_XYgAlfGVHc
