formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,rating,user_ratings_total,opening_hours,plus_code,price_level,url
"Wairkoja, Kewapante, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.639873999999999, 'lng': 122.285103}, 'viewport': {'northeast': {'lat': -8.6288425, 'lng': 122.3011104}, 'southwest': {'lat': -8.6509052, 'lng': 122.2690956}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wairkoja,"[{'height': 715, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117036497981337599000"">A Google User</a>'], 'photo_reference': 'AUGGfZkWCabIYHJtsw6rWFfONT4VoQEHwbXxSumKLx2gD6lExNDJIvraohVynJPASNKdlUqu6bAYUMGc155kqKE7kZtsiZ6YZCB6f4WKBXD9Xk1xj4ysKHK79En3Lck777dbjYktylNxKfPmyvjdLGPQBS7gT8oahn8RvvwVoI-yR35cdQpL', 'width': 688}]",ChIJyQ4o-L4erS0RisEUN-xodro,ChIJyQ4o-L4erS0RisEUN-xodro,"['locality', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJyQ4o-L4erS0RisEUN-xodro
"9873+5R3, Waiara, Kewapante, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.6371068, 'lng': 122.3045381}, 'viewport': {'northeast': {'lat': -8.636049870107277, 'lng': 122.3057360798927}, 'southwest': {'lat': -8.63874952989272, 'lng': 122.3030364201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Betesda,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101967315324238784563"">Patra Boma</a>'], 'photo_reference': 'AUGGfZntcbKuHiIlrOU6ZI68gSuOahJ4_yf7v6xXDopg0MN9kPrsXaIjpVWOlY75NPtmZ6BhoAYOi33R19jnQWqdGS4JJ3h_xeN2YxE9KrtZk1F-Gk5JGi8VZ2Sx9hI9gFvM2CGGXqQdzFbeHCQl15LrEZlZEs9VpUTjwEpow6CvajlP6wgc', 'width': 4032}]",ChIJ6ZVWJB8frS0RSKCsE_IWe4A,ChIJ6ZVWJB8frS0RSKCsE_IWe4A,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.4,11.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ6ZVWJB8frS0RSKCsE_IWe4A
"Jl. Raya Kewapante Ohe, Kajowair, Kec. Hewokloang, Kabupaten Sikka, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.700733, 'lng': 122.3131865}, 'viewport': {'northeast': {'lat': -8.699407970107279, 'lng': 122.3144424298927}, 'southwest': {'lat': -8.702107629892723, 'lng': 122.3117427701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sanggar Budaya Tenun Bliran Sina - Watublapi,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101844050490016441861"">Asri Wijayanti</a>'], 'photo_reference': 'AUGGfZlJKwBjYqh-yKcP1C2sKboaBGI7p8XOzYJ5iaEFrRmmXS7XYjA56Zx2cghyjAvN8Bx85wfw8MhLaoJACXBcpFmz0dqTMa2nOqVHUf6w5tDCGIveeQRAOmTMODaHu46hOUEmLpV9TIOjbU9_UqRwcdpiH6tJxs_p8HFH8YBi6dbDxjL7', 'width': 1944}]",ChIJE55hIpsfrS0RIn2-f__qHcg,ChIJE55hIpsfrS0RIn2-f__qHcg,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.7,69.0,{'open_now': False},"{'compound_code': '78X7+P7 Kajowair, Sikka Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q3478X7+P7'}",,https://www.google.com/maps/place/?q=place_id:ChIJE55hIpsfrS0RIn2-f__qHcg
"Kewapante, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.6431193, 'lng': 122.2925347}, 'viewport': {'northeast': {'lat': -8.635636900000002, 'lng': 122.319059}, 'southwest': {'lat': -8.70701, 'lng': 122.2722941}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kewapante,,ChIJ2-0GkRAfrS0R8OLOma8Vm_Q,ChIJ2-0GkRAfrS0R8OLOma8Vm_Q,"['administrative_area_level_3', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ2-0GkRAfrS0R8OLOma8Vm_Q
"976P+325, Wairkoja, Kewapante, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.639873999999999, 'lng': 122.285103}, 'viewport': {'northeast': {'lat': -8.63873262010728, 'lng': 122.2860815298927}, 'southwest': {'lat': -8.641432279892724, 'lng': 122.2833818701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kewapante,,ChIJAdFcYvkfrS0R_zNSkZu2Nus,ChIJAdFcYvkfrS0R_zNSkZu2Nus,"['lodging', 'point_of_interest', 'establishment']",OPERATIONAL,3.0,1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJAdFcYvkfrS0R_zNSkZu2Nus
"Umauta, Bola, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.7143687, 'lng': 122.3092659}, 'viewport': {'northeast': {'lat': -8.713002220107278, 'lng': 122.3106375298927}, 'southwest': {'lat': -8.715701879892721, 'lng': 122.3079378701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sanggar Doka Tawa Tana - Desa Wisata Umauta,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107453429248440706200"">sinyo delta</a>'], 'photo_reference': 'AUGGfZkTWztrYnV62QytISHJrVr6AeWFIsQ-laWO8PDciErc1Wrg8wbXJ-slNvtga6WQVI8I6Ut3cdPwzZdCTlKNP-yZCRdFGDOeCqVsK1X8i212e3jQhbb07a9rJUn9OpJUIG3kgMkFRvOtNl96iDg84s-vt2lafh0Zx0tR535pcjFgg_NF', 'width': 3120}]",ChIJHUa9mQ0hrS0RxWe_MgYBq_Q,ChIJHUa9mQ0hrS0RxWe_MgYBq_Q,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.5,18.0,{'open_now': True},"{'compound_code': '78P5+7P Umauta, Sikka Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q3478P5+7P'}",,https://www.google.com/maps/place/?q=place_id:ChIJHUa9mQ0hrS0RxWe_MgYBq_Q
"F3GC+7GH, Jalan Raya, Magepanda, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.5243053, 'lng': 122.0713724}, 'viewport': {'northeast': {'lat': -8.52309627010728, 'lng': 122.0726674798927}, 'southwest': {'lat': -8.525795929892723, 'lng': 122.0699678201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kajuwulu Beach,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111575143953062400180"">A Google User</a>'], 'photo_reference': 'AUGGfZnQKmoaGagPLtxu56wME40U4yI3LEvoKFGfS4wwAxNkx_CD8dXndADbGLY0aBO0dWdkCcdmRpnUPu8EFJlBmw5Z3zG7YZPK7LrMgAcsuctDfBE7huj1gROwHFcGCRDzv-eqXm_BihAagWw18JFrMcKspsnb6yy7dzlZRiVrQptFKB3Z', 'width': 4608}]",ChIJaz3XDDIMrS0RWiZHzlrnEZ0,ChIJaz3XDDIMrS0RWiZHzlrnEZ0,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.5,133.0,,,1.0,https://www.google.com/maps/place/?q=place_id:ChIJaz3XDDIMrS0RWiZHzlrnEZ0
"7695+3XH, Sikka, Lela, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.7323238, 'lng': 122.2099742}, 'viewport': {'northeast': {'lat': -8.730973970107277, 'lng': 122.2113240298927}, 'southwest': {'lat': -8.73367362989272, 'lng': 122.2086243701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hira hotak,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108560631857034242362"">alexius marselino lory</a>'], 'photo_reference': 'AUGGfZmDmA0HO83s70i8jBvze5bigpfkrpHe36Gd0bMEac3G3jioV_IfG2ndWTD6ixPbX0T2ayzfvxZCbOXuHoNTmH5bwcGTX-IH16XgaxqZNyw3W-vH3s_z2TZaXHlXeLHX895oyeJZvuhD3R7PEFYa-ikC4ZkOEFZ5wX3PzPsA74AHxa_l', 'width': 5184}]",ChIJ9djx4rQjrS0RjfCnVgs3ouc,ChIJ9djx4rQjrS0RjfCnVgs3ouc,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.8,4.0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJ9djx4rQjrS0RjfCnVgs3ouc
"Jl. Soverdi No.Kav 1-15, Nita, Kec. Nita, Kabupaten Sikka, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.6756628, 'lng': 122.1706708}, 'viewport': {'northeast': {'lat': -8.674170870107279, 'lng': 122.1719092298927}, 'southwest': {'lat': -8.676870529892723, 'lng': 122.1692095701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Tenun Ikat Lepo Lorun,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118281181627014897959"">Agung Susprihadi</a>'], 'photo_reference': 'AUGGfZnt-NT93SWJtY-3OKazKgkFcIe5k_R1o8mqcmcN42ngFcQrxYRHPGsRLvYfuOLUtGPSyyviFqrNh8D-wAzpU0jOhEeeZHVMQibbrtnDv6gDaY-z0Wzxo28VUklO7Q_XxyBa4aJJtup6Y6yrDu5VHB0Dr-0j9bKXn1hJ2yfLt1nLnUZr', 'width': 4032}]",ChIJ0yZKDIEXrS0RVuaaummT_OQ,ChIJ0yZKDIEXrS0RVuaaummT_OQ,"['store', 'tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.6,158.0,{'open_now': True},"{'compound_code': '85FC+P7 Nita, Sikka Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q3485FC+P7'}",,https://www.google.com/maps/place/?q=place_id:ChIJ0yZKDIEXrS0RVuaaummT_OQ
"C5FH+4VP, Hewuli, Alok Barat, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.5771503, 'lng': 122.1797118}, 'viewport': {'northeast': {'lat': -8.576310720107278, 'lng': 122.1806361798927}, 'southwest': {'lat': -8.579010379892722, 'lng': 122.1779365201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Kita,"[{'height': 2736, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110654841252109229592"">A Google User</a>'], 'photo_reference': 'AUGGfZkgm6SSVECRGYt29DC5LkPkVGoUnpNAcip2_hC2uQjOkRzHGrfbH5_d3IEsuz1loZsa423zq6y99fmh4esMK69xWlu-BuJdIU6aF75fhgMRO12ddQ8DZrXmUk7bI5pyi4KEU-a61yKRanapLbn0hDSibsiIYibTAlr4qvOlZsnX3P6A', 'width': 3648}]",ChIJMT_mroAbrS0RreLjppnZb4U,ChIJMT_mroAbrS0RreLjppnZb4U,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.3,39.0,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJMT_mroAbrS0RreLjppnZb4U
