business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,price_level,rating,reference,types,user_ratings_total,permanently_closed,opening_hours,plus_code,url
OPERATIONAL,"F3GC+7GH, Jalan Raya, Magepanda, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.5243053, 'lng': 122.0713724}, 'viewport': {'northeast': {'lat': -8.52309627010728, 'lng': 122.0726674798927}, 'southwest': {'lat': -8.525795929892723, 'lng': 122.0699678201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kajuwulu Beach,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107054779964838081728"">Yusup Flores</a>'], 'photo_reference': 'AUGGfZkib4WVJ-udbwySupi48KFVwY3VlvLFqxRpGkHggTttaVJquazYhSVlK-dzbEkj0FvDzfo-gJRFPMxgND6nhaSzsd7Ardpj7ZYDc3M_6-IjmtqiwWkbTgvymVHc7jT460hlm5OG9BqyU0sYJk3fgzAD9qToZdhv9K52SW9KZVzs8IEF', 'width': 5184}]",ChIJaz3XDDIMrS0RWiZHzlrnEZ0,1.0,4.5,ChIJaz3XDDIMrS0RWiZHzlrnEZ0,"['tourist_attraction', 'point_of_interest', 'establishment']",133,,,,https://www.google.com/maps/place/?q=place_id:ChIJaz3XDDIMrS0RWiZHzlrnEZ0
OPERATIONAL,"F2FX+5Q8, Magepanda, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.5270782, 'lng': 122.0494385}, 'viewport': {'northeast': {'lat': -8.525728370107279, 'lng': 122.0507883298927}, 'southwest': {'lat': -8.528428029892723, 'lng': 122.0480886701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Muara Mangrove,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106585376953318662895"">oswaldbl oswald</a>'], 'photo_reference': 'AUGGfZko3mo3XyXYTlv2vizAeDzH3llR37XqMuZhOrLiFGbb7LFwZlH_rF1eieU7t1s-T0926DZD2FWC-HgSuivfgqciFelLR4-yLP7t0_KjQM0GZSP15ML1R4SC0GOAMX4J-SbvDGdA727NG_sQFfemAqyY_1iUcLripx7Aoppfa6BLQkXu', 'width': 960}]",ChIJgyqyslQNrS0RVJJAf5iZDlA,,0.0,ChIJgyqyslQNrS0RVJJAf5iZDlA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJgyqyslQNrS0RVJJAf5iZDlA
OPERATIONAL,"F2CW+2WM, Magepanda, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.5299076, 'lng': 122.0473094}, 'viewport': {'northeast': {'lat': -8.52855777010728, 'lng': 122.0486592298927}, 'southwest': {'lat': -8.531257429892724, 'lng': 122.0459595701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nanga Bega Magepanda,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106585376953318662895"">oswaldbl oswald</a>'], 'photo_reference': 'AUGGfZlpVZTCQy9yDQ_CR2_VgINRb3ely-147kmxo3cBo4gNJ1-o9rYrFpMaRpoC7K_eKpSI_1dofSFDDTPcnc7ZN6GtRJxsTw0AJLnETo_qcmLDDRas-yaZpuisrY55RXFgs2X6A7Psav0LAkvDIuTwKHhO-ClIQa-ipY3vvXyi4uv8cBIX', 'width': 2048}]",ChIJF99nbKkNrS0RkfnExjBw6Ds,,4.7,ChIJF99nbKkNrS0RkfnExjBw6Ds,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,,https://www.google.com/maps/place/?q=place_id:ChIJF99nbKkNrS0RkfnExjBw6Ds
OPERATIONAL,"C23J+HCX, Done, Magepanda, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.5960202, 'lng': 122.0311064}, 'viewport': {'northeast': {'lat': -8.594670370107277, 'lng': 122.0324562298928}, 'southwest': {'lat': -8.597370029892721, 'lng': 122.0297565701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air terjun Muruwawe,"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115052119679557396432"">Irwan Prasetyo</a>'], 'photo_reference': 'AUGGfZml9_IJ8TXHbF4B7bHiaSkNLl43FgzeONBxMJvw82nUw3Vi33OijZ3ge-eNezM_LrhQbYgJW8CXjVxIBYQidQgLEYR93Eevmv_-1cM68gWvZNj5CNxwdtiieRp5NftKBRNRGtdON9TfldtcqC4Bqzj5RoD6f14zMYglLFfgCdQu7OZY', 'width': 1440}]",ChIJL5pdLq0TrS0R5zocGVs396U,,5.0,ChIJL5pdLq0TrS0R5zocGVs396U,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJL5pdLq0TrS0R5zocGVs396U
OPERATIONAL,"F3FH+93R, Jl. Raya Maumere - Magepanda, Kota Uneng, Alok, Kabupaten Sikka, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.526508999999999, 'lng': 122.077633}, 'viewport': {'northeast': {'lat': -8.525346870107278, 'lng': 122.0788608298927}, 'southwest': {'lat': -8.528046529892721, 'lng': 122.0761611701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Watu Gogo,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105244314827196352336"">novel yushar yahya</a>'], 'photo_reference': 'AUGGfZnixcje5jmZgfIaNVu--_D2U3k4v5zLpvu3WilrqFPjGZvU8xAUyXUViJppWFZ4s7iW18zk1gd4L8y7TDG_oa7KktDZ8cJCNB2nPw8t9DNqO093QqwzvOzclG8DsvWPv5cUJw84t9ZVIgY9GsiXAj4MTPb4ga6bjmfUkQmIjZ-CsCNS', 'width': 4032}]",ChIJMytXunANrS0RJiKBYfdPmFg,,4.0,ChIJMytXunANrS0RJiKBYfdPmFg,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,,,https://www.google.com/maps/place/?q=place_id:ChIJMytXunANrS0RJiKBYfdPmFg
OPERATIONAL,"F3CQ+V8Q, Kolisia, Magepanda, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.527795, 'lng': 122.0883729}, 'viewport': {'northeast': {'lat': -8.526445170107278, 'lng': 122.0897227298927}, 'southwest': {'lat': -8.529144829892722, 'lng': 122.0870230701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nusa Kutu,"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105432342470204594050"">Aga Bluenight</a>'], 'photo_reference': 'AUGGfZkMldZbuOjcKXpr8rxGVnRevuhsP4Xiyf1RcrBjdZIXrwsuLmVnc0xESmq84TdBOTxP0dSfc4uMiRzxAbn2FaS5pts5FgiC8qzahU4Xo7-RQ_QrVpCKvrn4iD1qXF93qZlnNwVbalKaZLEvxUSjSLUREjRnXi11xYoJPwYKWXy1Q89M', 'width': 4624}]",ChIJUxkhGn4OrS0RrOeUMUwNTAs,,4.4,ChIJUxkhGn4OrS0RrOeUMUwNTAs,"['tourist_attraction', 'point_of_interest', 'establishment']",30,,,,https://www.google.com/maps/place/?q=place_id:ChIJUxkhGn4OrS0RrOeUMUwNTAs
OPERATIONAL,"C4R8+R9, Kolisia B, Magepanda, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.5579482, 'lng': 122.1158994}, 'viewport': {'northeast': {'lat': -8.556500670107278, 'lng': 122.1176517798927}, 'southwest': {'lat': -8.559200329892722, 'lng': 122.1149521201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BUKIT SUNSET NANGARASONG,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114857041387048809231"">A Google User</a>'], 'photo_reference': 'AUGGfZlSag_KVsfrm_um62JrnIZOFgLpxNZHMV7RvumN19GFsl5Y6Z2KDkbRJVwHlU7MnPcCByRdrvB1xwMRdBeIImCbIVn-RnnJZ1ggGRSYRzMboOdKm9uFCNutA6_dJ9-LHK_QEiC0wcSZgrMwXNeAb8g3UDc5as0ODHUC_eg_kocGoAIQ', 'width': 4080}]",ChIJdai6zq4PrS0RfzzoVgsW080,,5.0,ChIJdai6zq4PrS0RfzzoVgsW080,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJdai6zq4PrS0RfzzoVgsW080
CLOSED_TEMPORARILY,"FX4R+Q59, Reroroja, Magepanda, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.543085099999999, 'lng': 121.990484}, 'viewport': {'northeast': {'lat': -8.5398805, 'lng': 121.9919150500001}, 'southwest': {'lat': -8.544153299999996, 'lng': 121.98619085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kawasan ekowisata mangrove,,ChIJJ04Dh6NzrS0RUmMkg8xSSNw,,0.0,ChIJJ04Dh6NzrS0RUmMkg8xSSNw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJJ04Dh6NzrS0RUmMkg8xSSNw
CLOSED_TEMPORARILY,"F3CH+4PV, Waturia, Magepanda, Kec. Magepanda, Kabupaten Sikka, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.529636, 'lng': 122.0792815}, 'viewport': {'northeast': {'lat': -8.528293670107276, 'lng': 122.0806241798928}, 'southwest': {'lat': -8.53099332989272, 'lng': 122.0779245201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Crystal Beach,,ChIJtdOEd48NrS0R890ceKgAxKk,,0.0,ChIJtdOEd48NrS0R890ceKgAxKk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJtdOEd48NrS0R890ceKgAxKk
OPERATIONAL,"F3F7+VX2, Magepanda, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.525351299999999, 'lng': 122.0649058}, 'viewport': {'northeast': {'lat': -8.52356262010728, 'lng': 122.0658337298927}, 'southwest': {'lat': -8.526262279892723, 'lng': 122.0631340701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Tanjung Kolisia Ntt,"[{'height': 2368, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108824508160224579482"">Aditya Hari Nugraha</a>'], 'photo_reference': 'AUGGfZn0zX5rmJILDjNaGpQzg7_d_l5D1XZkMDczzWlyVPS87YfYC7SvXEAnWr4tuc4WgkECzbsXmbS8xiqpROJOfMqtYyrWuU0VoJXJH-qsamplH2p7fpEjH9i_0ZhMNzprUJ8wleuIDccvAuBQV2WHNXSv9iI_wj5hwAS7iRp9VzC1ErQl', 'width': 4208}]",ChIJ0VhhOzQMrS0RA0hYtyEkJIA,,4.7,ChIJ0VhhOzQMrS0RA0hYtyEkJIA,"['tourist_attraction', 'point_of_interest', 'establishment']",74,,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJ0VhhOzQMrS0RA0hYtyEkJIA
OPERATIONAL,"F44J+JCM, Kolisia B, Magepanda, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.543410399999999, 'lng': 122.1310525}, 'viewport': {'northeast': {'lat': -8.542127120107276, 'lng': 122.1324499798927}, 'southwest': {'lat': -8.54482677989272, 'lng': 122.1297503201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Waturia,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105244314827196352336"">novel yushar yahya</a>'], 'photo_reference': 'AUGGfZnpZa4cnBKdBaH_Fw_nh7JSxYlGJ_Lzc0V9MdlnKJJHav01wR5_KF6-KeM8q6yFBVHFXZZrjABHds4QxEQ25a-_R76b2ji_Q2Cwfkv5G_O9ezaTkjD6q6ifkL-J8cgWxQRpCfBc7pisiWWkbF8sgtc0NAl7Qh_d3GTUxaWnUxImZLpt', 'width': 4032}]",ChIJSyU4I34PrS0RDc0XBSm8a-U,,4.2,ChIJSyU4I34PrS0RDc0XBSm8a-U,"['tourist_attraction', 'point_of_interest', 'establishment']",26,,,,https://www.google.com/maps/place/?q=place_id:ChIJSyU4I34PrS0RDc0XBSm8a-U
