business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,photos,url
OPERATIONAL,"M45Q+6JG, Beroangin, Mapilli, Polewali Mandar Regency, West Sulawesi, Indonesia","{'location': {'lat': -3.3419323, 'lng': 119.1390642}, 'viewport': {'northeast': {'lat': -3.340529620107278, 'lng': 119.1409507298927}, 'southwest': {'lat': -3.343229279892722, 'lng': 119.1382510701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel arham,ChIJ-xz5bgCflC0RuiVV6UPDd-8,0.0,ChIJ-xz5bgCflC0RuiVV6UPDd-8,"['lodging', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ-xz5bgCflC0RuiVV6UPDd-8
OPERATIONAL,"M45Q+6JG, Beroangin, Mapilli, Polewali Mandar Regency, West Sulawesi 91353, Indonesia","{'location': {'lat': -3.3419323, 'lng': 119.1390642}, 'viewport': {'northeast': {'lat': -3.340529620107278, 'lng': 119.1409507298927}, 'southwest': {'lat': -3.343229279892722, 'lng': 119.1382510701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Ratna jalal,ChIJoWKtBleflC0RG-PN6rlJbR0,0.0,ChIJoWKtBleflC0RG-PN6rlJbR0,"['lodging', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJoWKtBleflC0RG-PN6rlJbR0
OPERATIONAL,"HXVJ+383, Kota, Alu, Kabupaten Polewali Mandar, Sulawesi Barat 96365, Indonesia","{'location': {'lat': -3.4073685, 'lng': 118.9808047}, 'viewport': {'northeast': {'lat': -3.405873720107278, 'lng': 118.9821035798927}, 'southwest': {'lat': -3.408573379892722, 'lng': 118.9794039201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,"Ita, Bandii",ChIJZ731deejlC0REdtkQzxXSf0,5.0,ChIJZ731deejlC0REdtkQzxXSf0,"['lodging', 'point_of_interest', 'establishment']",1,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJZ731deejlC0REdtkQzxXSf0
OPERATIONAL,"Jl. Ahmad Yani No.70, Beroangin, Kec. Mapilli, Kabupaten Polewali Mandar, Sulawesi Barat 91353, Indonesia","{'location': {'lat': -3.3419323, 'lng': 119.1390642}, 'viewport': {'northeast': {'lat': -3.340529620107278, 'lng': 119.1409507298927}, 'southwest': {'lat': -3.343229279892722, 'lng': 119.1382510701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Ratih Hotel & Restaurant,ChIJq6qqqqqelC0RSrZ-JJOXYAQ,5.0,ChIJq6qqqqqelC0RSrZ-JJOXYAQ,"['lodging', 'point_of_interest', 'establishment']",1,,"{'compound_code': 'M45Q+6J Beroangin, Polewali Mandar Regency, West Sulawesi, Indonesia', 'global_code': '6P8XM45Q+6J'}",,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqqqelC0RSrZ-JJOXYAQ
OPERATIONAL,"J63C+9HV, Jl. Jend. Sudirman, Sidodadi, Kec. Wonomulyo, Kabupaten Polewali Mandar, Sulawesi Barat 91352, Indonesia","{'location': {'lat': -3.3965149, 'lng': 119.221415}, 'viewport': {'northeast': {'lat': -3.395299370107278, 'lng': 119.2227278798927}, 'southwest': {'lat': -3.397999029892723, 'lng': 119.2200282201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Pacific,ChIJNeFiT7ealC0RR7Da2d33M0U,3.7,ChIJNeFiT7ealC0RR7Da2d33M0U,"['lodging', 'point_of_interest', 'establishment']",175,,,"[{'height': 900, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115861945855137062745"">Muhammad Saleh</a>'], 'photo_reference': 'AUGGfZn97IuTE-dhubDkW-0VJUW8PPhA1mLW4Hk8ix75PMumlLarH7NDVxmw-IL6dDGhPFYZ5JCmJsFtZ3aJ89oVq16Y6BXomE5ix_EVGze8ZmSsv284nUHyZyZFvsNkC1BRCTLxY0m9NiO8qhk3Wdhpq726jq8qivJMWEcWOCmHrxOaRPrZ', 'width': 1600}]",https://www.google.com/maps/place/?q=place_id:ChIJNeFiT7ealC0RR7Da2d33M0U
OPERATIONAL,"J639+8X2, Jl. Poros Majene - Mamuju, Sidodadi, Kec. Wonomulyo, Kabupaten Polewali Mandar, Sulawesi Barat 91352, Indonesia","{'location': {'lat': -3.3967263, 'lng': 119.2198862}, 'viewport': {'northeast': {'lat': -3.395340970107278, 'lng': 119.2212378798927}, 'southwest': {'lat': -3.398040629892723, 'lng': 119.2185382201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel asia baru,ChIJ5XipzYSblC0RnLJLb56RXaE,5.0,ChIJ5XipzYSblC0RnLJLb56RXaE,"['lodging', 'point_of_interest', 'establishment']",1,,,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103792172749059993146"">wahyudi yudhi</a>'], 'photo_reference': 'AUGGfZnny_fbUyQoGUpUepcwAC0km2itFAvRoQ-B8v4_RHM_wTMvgtXVDDEBznBoq3qghiTyKa424vCLp0nIN7PqPS_9RHg0A9rZ2hu10wRioU1Pxlp9YOq1DIefMY6oCI7u3EBxY_wEPuZan_SSIGtV358DMeIDOXI9UBELjmCw6p5TeIZM', 'width': 3456}]",https://www.google.com/maps/place/?q=place_id:ChIJ5XipzYSblC0RnLJLb56RXaE
OPERATIONAL,"J638+45H, Sidodadi, Wonomulyo, Polewali Mandar Regency, West Sulawesi 91352, Indonesia","{'location': {'lat': -3.3971819, 'lng': 119.2154768}, 'viewport': {'northeast': {'lat': -3.395892970107278, 'lng': 119.2168430298928}, 'southwest': {'lat': -3.398592629892722, 'lng': 119.2141433701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Istana,ChIJozVmHYablC0RsEfwgmLOof0,3.9,ChIJozVmHYablC0RsEfwgmLOof0,"['lodging', 'point_of_interest', 'establishment']",84,,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112642233690449455582"">A Google User</a>'], 'photo_reference': 'AUGGfZkPD6PQY103WI0FDx8eGAw2UcT-wp7x82tiJLpwGIa8TWB9i2_F-J19ph9EeRnzb6YjnOgwNPdRfLLnPW6CFXhcHRAabuoEBPv59zug_4krLbbfz9G5jpMxZ7S2jJzFo7HfehShrEE8K96ExjEDT2CNce0VXmujVlNq62W190c7aSmT', 'width': 4000}]",https://www.google.com/maps/place/?q=place_id:ChIJozVmHYablC0RsEfwgmLOof0
OPERATIONAL,"J635+89P, Sidodadi, Wonomulyo, Polewali Mandar Regency, West Sulawesi 91352, Indonesia","{'location': {'lat': -3.3967455, 'lng': 119.2085079}, 'viewport': {'northeast': {'lat': -3.395383020107278, 'lng': 119.2098844798927}, 'southwest': {'lat': -3.398082679892723, 'lng': 119.2071848201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Calista,ChIJr6cXPACblC0RsQ2KNpCoGzc,4.8,ChIJr6cXPACblC0RsQ2KNpCoGzc,"['lodging', 'point_of_interest', 'establishment']",13,,,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117627858989853789070"">Eny Piss</a>'], 'photo_reference': 'AUGGfZmji3Y8_GFmhEQQHzZZuwrHW6sKLpMwGpIq6OHHbblgRii9tYpV6OnlUsgXxlLZ2RfyXo2DlFhZGAoGF7QbouoUKZCXS90U4BT0l5qNxPjA_I0RUUPps0HYiR5_kmnV8Ck7pnhXerF4KeQeB02KpIlelQQ6cCQGM1dmgN-XsnK8AfQZ', 'width': 4160}]",https://www.google.com/maps/place/?q=place_id:ChIJr6cXPACblC0RsQ2KNpCoGzc
OPERATIONAL,"H6XJ+HGH, Campurjo, Wonomulyo, Polewali Mandar Regency, West Sulawesi 91352, Indonesia","{'location': {'lat': -3.4010504, 'lng': 119.2313716}, 'viewport': {'northeast': {'lat': -3.399660920107277, 'lng': 119.2327369298927}, 'southwest': {'lat': -3.402360579892722, 'lng': 119.2300372701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Penginapan Marna,ChIJ7xgbqLKalC0R5h3r8Qp7d0M,4.0,ChIJ7xgbqLKalC0R5h3r8Qp7d0M,"['lodging', 'point_of_interest', 'establishment']",30,{'open_now': True},,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103582685719180239175"">haeruddin syam</a>'], 'photo_reference': 'AUGGfZmho1ycfJbuIPOy5c3tHk-wW2gs5dEt3TU1BvBajiU9RC_ziZXj9tJgUF0xYShJJLDX_2bnEaTX_Q3qSmodWgdZAWS88LN6Z6HDanICBN2cpCGfKLI6ee0jgG2ApwjkDbEMxm2sypcqmG_p28cUlUIDJLIZC9y__9GEhSYNjBjHHsaj', 'width': 1920}]",https://www.google.com/maps/place/?q=place_id:ChIJ7xgbqLKalC0R5h3r8Qp7d0M
OPERATIONAL,"H6X9+52W, Jl. Kesadaran, Sidodadi, Kec. Wonomulyo, Kabupaten Polewali Mandar, Sulawesi Barat 91352, Indonesia","{'location': {'lat': -3.4020113, 'lng': 119.2175758}, 'viewport': {'northeast': {'lat': -3.400616020107277, 'lng': 119.2189253798927}, 'southwest': {'lat': -3.403315679892722, 'lng': 119.2162257201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Pondok Harlia,ChIJV8fYKaWalC0R4wNv59ihHTc,3.8,ChIJV8fYKaWalC0R4wNv59ihHTc,"['lodging', 'point_of_interest', 'establishment']",13,,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113447673083425172035"">Cahaya Syukur</a>'], 'photo_reference': 'AUGGfZlKl8-QTnMK_aa_u73W4nSpTDxXRxh3oV3mf0IZSo2LVi0qI3i7L-dWIyCPZssXdUxJ8j3IOTqZR9l6a6YpWttkmIXQBLxxdfhd_AhNrRVMZg6PRsXvOfhCMT_kSrO7KgSFJ0a4msRr4_P3H_Co6n8QO41Rs8OofwINW_p__hSowjvT', 'width': 4160}]",https://www.google.com/maps/place/?q=place_id:ChIJV8fYKaWalC0R4wNv59ihHTc
