business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,plus_code,rating,reference,types,user_ratings_total,photos,url
OPERATIONAL,"Bissoloro, Bungaya, Gowa Regency, South Sulawesi 92177, Indonesia","{'location': {'lat': -5.3798103, 'lng': 119.6406424}, 'viewport': {'northeast': {'lat': -5.378654670107277, 'lng': 119.64313195}, 'southwest': {'lat': -5.381354329892721, 'lng': 119.63981255}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tinambung Keren,{'open_now': True},ChIJ9ZgCO6PFvi0RBItXpdgjsfE,"{'compound_code': 'JJCR+37 Bissoloro, Gowa Regency, South Sulawesi, Indonesia', 'global_code': '6P6XJJCR+37'}",0.0,ChIJ9ZgCO6PFvi0RBItXpdgjsfE,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ9ZgCO6PFvi0RBItXpdgjsfE
OPERATIONAL,"JJQQ+688, Bissoloro, Bungaya, Gowa Regency, South Sulawesi, Indonesia","{'location': {'lat': -5.361974, 'lng': 119.638326}, 'viewport': {'northeast': {'lat': -5.361032470107277, 'lng': 119.6392643}, 'southwest': {'lat': -5.363732129892721, 'lng': 119.6355111}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tempat Kemah TINAMBUNG SUARAKA,,ChIJRVIXEwDFvi0Rkbc2YG2KWsg,,0.0,ChIJRVIXEwDFvi0Rkbc2YG2KWsg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJRVIXEwDFvi0Rkbc2YG2KWsg
OPERATIONAL,"MP2X+7XH, Jl. Sapaya Jenebatu, Je'nebatu, Kec. Bungaya, Kabupaten Gowa, Sulawesi Selatan 92176, Indonesia","{'location': {'lat': -5.349300899999999, 'lng': 119.7499912}, 'viewport': {'northeast': {'lat': -5.348468099999999, 'lng': 119.7516839298927}, 'southwest': {'lat': -5.351799300000002, 'lng': 119.7489842701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,AIR TERJUN PUNJAPING,,ChIJF6liqSzHvi0Rb6bLV55x8Ec,,5.0,ChIJF6liqSzHvi0Rb6bLV55x8Ec,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 1366, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112999154962953181359"">Uchenk Hamzah</a>'], 'photo_reference': 'AUGGfZlwcYdjaUNqCod34BTATfMZOZPghZHYhilBWQZReWZq0Hl-B-DgmwenljVKisprVAgE1rUUaDkp9EZZqGUBOxJEeQFWMWGAvRNWmCQp_beNi7nNIdoHiXJmzlBetgDrycoYfEnXpZsXU4azTMMYo-q1qfjSQSymwrO9NkZIgR_bLivl', 'width': 1978}]",https://www.google.com/maps/place/?q=place_id:ChIJF6liqSzHvi0Rb6bLV55x8Ec
OPERATIONAL,"JPPV+Q99, Sapaya, Bungaya, Gowa Regency, South Sulawesi 92176, Indonesia","{'location': {'lat': -5.3630794, 'lng': 119.7434966}, 'viewport': {'northeast': {'lat': -5.361729570107279, 'lng': 119.7448464298927}, 'southwest': {'lat': -5.364429229892723, 'lng': 119.7421467701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Danggang,,ChIJsa3ZiCDHvi0Ri8XAuGG95qY,,4.7,ChIJsa3ZiCDHvi0Ri8XAuGG95qY,"['tourist_attraction', 'point_of_interest', 'establishment']",63,"[{'height': 2352, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117390751858781406763"">Arief</a>'], 'photo_reference': 'AUGGfZk-KXOP6kwXsdJzgK3aDqLNkZkMmbdA_kURvDFSZHPifvZdVvKORiEx7v0O6D6ud4Hc24zjQYT-Y1PuXR1MAaOs95hr9JnH7BzzNWB8Q7ujzPr4GsOGWUQoIQGBDinAjCBBwiu21s2pAzYIIP_AuLuzg5e4HbgdpTtnETC8xe6AnlOb', 'width': 4160}]",https://www.google.com/maps/place/?q=place_id:ChIJsa3ZiCDHvi0Ri8XAuGG95qY
OPERATIONAL,"JQ6P+33R, Jl. Poros Malakaji, Sapaya, Kec. Bungaya, Kabupaten Gowa, Sulawesi Selatan 92176, Indonesia","{'location': {'lat': -5.3897549, 'lng': 119.7851501}, 'viewport': {'northeast': {'lat': -5.388405070107278, 'lng': 119.7864999298928}, 'southwest': {'lat': -5.391104729892722, 'lng': 119.7838002701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Annisa,,ChIJJw1sHQDHvi0RhaBXTGWxT08,,0.0,ChIJJw1sHQDHvi0RhaBXTGWxT08,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJJw1sHQDHvi0RhaBXTGWxT08
OPERATIONAL,"JJVW+8CJ, Bissoloro, Bungaya, Gowa Regency, South Sulawesi 92176, Indonesia","{'location': {'lat': -5.356657500000001, 'lng': 119.6460237}, 'viewport': {'northeast': {'lat': -5.355307670107278, 'lng': 119.6473735298927}, 'southwest': {'lat': -5.358007329892723, 'lng': 119.6446738701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Yakuza,,ChIJgc5z1uXFvi0Rj2WL97j0M4Q,,5.0,ChIJgc5z1uXFvi0Rj2WL97j0M4Q,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104843453763987719662"">A Google User</a>'], 'photo_reference': 'AUGGfZnvKfmz_mab5-uOa1G6l80EuZ2dIbkPAbhEyUs5iFgDkCBHI6rj8TrLhpiwda-aj59ypXYdvy1j5n73yyOFy38CnqtqMvKUqkRKmEWHOCE-nzSGe3jK_ujo8KzP9nJPkMSF_pMOYW1YUMAsgI8rXtP3v8TAP29rQSNQsP-05RVccTaP', 'width': 2592}]",https://www.google.com/maps/place/?q=place_id:ChIJgc5z1uXFvi0Rj2WL97j0M4Q
OPERATIONAL,"MM65+6X, Mangempang, Bungaya, Gowa Regency, South Sulawesi, Indonesia","{'location': {'lat': -5.3394375, 'lng': 119.6599375}, 'viewport': {'northeast': {'lat': -5.338285020107278, 'lng': 119.6617694}, 'southwest': {'lat': -5.340984679892722, 'lng': 119.6544418}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Parallembang,,ChIJn1OnMwDDvi0RU19QSSiqQIM,,0.0,ChIJn1OnMwDDvi0RU19QSSiqQIM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJn1OnMwDDvi0RU19QSSiqQIM
OPERATIONAL,"MP62+Q8, Bontomanai, Bungaya, Gowa Regency, South Sulawesi, Indonesia","{'location': {'lat': -5.338038900000001, 'lng': 119.7008276}, 'viewport': {'northeast': {'lat': -5.336175370107278, 'lng': 119.70444575}, 'southwest': {'lat': -5.338875029892722, 'lng': 119.69962155}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Depa',{'open_now': True},ChIJk6DJpw3Bvi0RsMf9Z8LCP8U,,0.0,ChIJk6DJpw3Bvi0RsMf9Z8LCP8U,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 4012, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104712472028777317192"">Big Akbar</a>'], 'photo_reference': 'AUGGfZl96oslXcRK2xolgXTo3VkdJsP7VTPKAIKspTwlTGmjsuoS2UqbZ1y3p5d8AoFfwzoHxp6oLDwhta5OZQJ-XWmZWDz7K94DabdkWIc4ZlMGMv3F2YOJ2GFdgwCqO9OFvg4whZJHxSS717BmmmWs4CZfeUrNjwXZX366emRR6VYZjbFc', 'width': 3008}]",https://www.google.com/maps/place/?q=place_id:ChIJk6DJpw3Bvi0RsMf9Z8LCP8U
OPERATIONAL,"JPMP+F9W, Unnamed Road, Sapaya, Kec. Bungaya, Kabupaten Gowa, Sulawesi Selatan 92176, Indonesia","{'location': {'lat': -5.3662636, 'lng': 119.7359606}, 'viewport': {'northeast': {'lat': -5.364882970107278, 'lng': 119.7373566298927}, 'southwest': {'lat': -5.367582629892722, 'lng': 119.7346569701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dupi Home,,ChIJTSVLcgDHvi0RqIXgt54kW2I,,0.0,ChIJTSVLcgDHvi0RqIXgt54kW2I,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJTSVLcgDHvi0RqIXgt54kW2I
OPERATIONAL,"HRMV+C7, Malakaji, Tompobulu, Gowa Regency, South Sulawesi, Indonesia","{'location': {'lat': -5.4164273, 'lng': 119.843146}, 'viewport': {'northeast': {'lat': -5.415587020107278, 'lng': 119.84535835}, 'southwest': {'lat': -5.418286679892722, 'lng': 119.84240855}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jungge Campagaya,,ChIJG_gQGgC3vi0RXIVV6AXnYwg,,0.0,ChIJG_gQGgC3vi0RXIVV6AXnYwg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJG_gQGgC3vi0RXIVV6AXnYwg
