business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,opening_hours,price_level,permanently_closed,plus_code,url
OPERATIONAL,"8H26+3H, Kadumbul, Pandawai, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.699766000000002, 'lng': 120.561399}, 'viewport': {'northeast': {'lat': -9.698520220107278, 'lng': 120.5626561298927}, 'southwest': {'lat': -9.701219879892722, 'lng': 120.5599564701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai,ChIJY7ESa-fzTCwR5aQsv33baik,0.0,ChIJY7ESa-fzTCwR5aQsv33baik,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJY7ESa-fzTCwR5aQsv33baik
OPERATIONAL,"8G73+CRQ, Palakahembi, Pandawai, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.6864065, 'lng': 120.50462}, 'viewport': {'northeast': {'lat': -9.685038320107278, 'lng': 120.5058502298927}, 'southwest': {'lat': -9.687737979892722, 'lng': 120.5031505701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Pantai Palakahembi,ChIJKS7qZLmNTCwRibHHsP5LtfE,5.0,ChIJKS7qZLmNTCwRibHHsP5LtfE,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113471820836268647380"">Diana D</a>'], 'photo_reference': 'AUGGfZnG7Cad_9SNW1wOkGqBNDf7cmLQgch-jmburUdR2r8_v6o8_m16CLhx8kpAhA_HhmeCh3BWFy2gXwh_3DTWaRDId8E22LObfzVMOnnDdhvzpS3hapPnmCR52WwiC06sd9sx4p0GQETnKueZo3kJznWrVauWkLcYFLlbWjjAFSbDJWSp', 'width': 3024}]",,,,,https://www.google.com/maps/place/?q=place_id:ChIJKS7qZLmNTCwRibHHsP5LtfE
OPERATIONAL,"8FH5+3GM Spot pancing, Palakahembi, Kec. Pandawai, Kabupaten Sumba Timur, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -9.6722848, 'lng': 120.4588059}, 'viewport': {'northeast': {'lat': -9.670934970107279, 'lng': 120.4601557298927}, 'southwest': {'lat': -9.673634629892723, 'lng': 120.4574560701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Walakiri....spot pancing,ChIJeSAWcieNTCwR_3rg4bSMrus,0.0,ChIJeSAWcieNTCwR_3rg4bSMrus,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJeSAWcieNTCwR_3rg4bSMrus
OPERATIONAL,"8G5X+C8, Kadumbul, Pandawai, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.691437500000001, 'lng': 120.5483125}, 'viewport': {'northeast': {'lat': -9.69057505, 'lng': 120.54925375}, 'southwest': {'lat': -9.694024850000003, 'lng': 120.54548875}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Muara kecik,ChIJM8Dy_wHzTCwRcZ67ICfV5G0,2.0,ChIJM8Dy_wHzTCwRcZ67ICfV5G0,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112328958774492090330"">musman suharto</a>'], 'photo_reference': 'AUGGfZlYnB2sJmpJkNzcWBUgMvOsaZql2_4AQBug7tzVU2PNsAN4YR7UznRbrY-Y38cf2tGFU2MkmBi2e5bGCDRvKfJLfb1VX5VRJrrpJ_rTm-e5DcNyAqyDHmEOVxJcB_iViA-0-eBFIGLIhgvxBLrtQQqLmNu2KR03yKw5rJMAbwRyg9vj', 'width': 4000}]",,,,,https://www.google.com/maps/place/?q=place_id:ChIJM8Dy_wHzTCwRcZ67ICfV5G0
OPERATIONAL,"7FQQ+FV, Palakahembi, Pandawai, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.7113046, 'lng': 120.4896318}, 'viewport': {'northeast': {'lat': -9.709952520107278, 'lng': 120.4909883298927}, 'southwest': {'lat': -9.712652179892721, 'lng': 120.4882886701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bendungan palakahembi,ChIJVTpS5DWNTCwREF2t69E73zc,3.0,ChIJVTpS5DWNTCwREF2t69E73zc,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112328958774492090330"">musman suharto</a>'], 'photo_reference': 'AUGGfZnC3i1wJTGZe5DOh77-pGG64jMFzxos0xNVhNNhvHY7cunUpO7x8CPZNTyd3QJZf3iYJpVOCuHjuGCnyD0FkePGVVQUx3GXrlzNKSqE-YwmjHNTyy3H9pJIqv3uoULVj3fSeN4fAts1lRVwPmPI7q5UqZK4cx6IE_m6vY7P2bqYIwdK', 'width': 4000}]",,,,,https://www.google.com/maps/place/?q=place_id:ChIJVTpS5DWNTCwREF2t69E73zc
OPERATIONAL,"9FM5+7G, Palakahembi, Pandawai, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.6168399, 'lng': 120.4587561}, 'viewport': {'northeast': {'lat': -9.614844399999997, 'lng': 120.4612128}, 'southwest': {'lat': -9.622826400000001, 'lng': 120.4579372}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Laipori,ChIJL5dYNgCTTCwRUwkzJdDb6mA,0.0,ChIJL5dYNgCTTCwRUwkzJdDb6mA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJL5dYNgCTTCwRUwkzJdDb6mA
OPERATIONAL,"9FM6+G3H, Palakahembi, Pandawai, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.6162422, 'lng': 120.4601003}, 'viewport': {'northeast': {'lat': -9.614102899999999, 'lng': 120.4620404298927}, 'southwest': {'lat': -9.622560899999998, 'lng': 120.4593407701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ALFA Beach,ChIJwySl5hGTTCwR9dwcwU1FhPo,0.0,ChIJwySl5hGTTCwR9dwcwU1FhPo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,{'open_now': True},,,,https://www.google.com/maps/place/?q=place_id:ChIJwySl5hGTTCwR9dwcwU1FhPo
OPERATIONAL,"993W+3G, Watumbaka, Pandawai, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.647292799999999, 'lng': 120.3963124}, 'viewport': {'northeast': {'lat': -9.646234750000001, 'lng': 120.3981046798928}, 'southwest': {'lat': -9.650466949999997, 'lng': 120.3954050201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Savana watumbaka,ChIJYx-4SgCRTCwRl2C44de1Xsw,0.0,ChIJYx-4SgCRTCwRl2C44de1Xsw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJYx-4SgCRTCwRl2C44de1Xsw
OPERATIONAL,"6CX4+27, Mau Bokul, Pandawai, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.752416100000001, 'lng': 120.4056652}, 'viewport': {'northeast': {'lat': -9.75104452010728, 'lng': 120.4070686798927}, 'southwest': {'lat': -9.753744179892724, 'lng': 120.4043690201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Savana moubakul,ChIJI5IRAgCJTCwRmmoqfW-pUsY,5.0,ChIJI5IRAgCJTCwRmmoqfW-pUsY,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 1884, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112328958774492090330"">musman suharto</a>'], 'photo_reference': 'AUGGfZm520bPGabfzrMwuwbv-VrxzBBQ6QoZ8um2xTCJvK320yKzx4PRZAsPlPuw_hpMBu5q63TrDvHN4Atr_X3VvPHmLusj17C9FerOCJh8IGdQFU_5pfcZ0QwdjqUWxjhdqnneCjSNiwKV4UvMblGioZosGnkYMdoMGW0AfQlXVu-qDq6k', 'width': 4080}]",,,,,https://www.google.com/maps/place/?q=place_id:ChIJI5IRAgCJTCwRmmoqfW-pUsY
OPERATIONAL,"9FM6+G3H, Palakahembi, Pandawai, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.616197999999999, 'lng': 120.460221}, 'viewport': {'northeast': {'lat': -9.614073800000002, 'lng': 120.4621052798928}, 'southwest': {'lat': -9.622570599999998, 'lng': 120.4594056201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Laki beach,ChIJpfLmR7mTTCwRG-YusKiyLZQ,4.7,ChIJpfLmR7mTTCwRG-YusKiyLZQ,"['tourist_attraction', 'point_of_interest', 'establishment']",9,"[{'height': 1472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112328958774492090330"">musman suharto</a>'], 'photo_reference': 'AUGGfZnM_XZub7ptz_1OApoA0iT65Ke-vw3DDGJxAUVqQI7TZR5B57VrfYASaF9bGmuomb_6LMqgviYmlb0qfmHmai8nTjI6N5dkG9L11jNDKlnp18_2RMFpdwRmLQNW8q4oY-kdaAfed92cVKccamj9piEDzqO-rGkcMH-mQNMzUqu0G1Fq', 'width': 3264}]",,,,,https://www.google.com/maps/place/?q=place_id:ChIJpfLmR7mTTCwRG-YusKiyLZQ
