business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,price_level,rating,reference,types,user_ratings_total,plus_code,url
OPERATIONAL,"J343+M4V, Area Sawah, Kebonromo, Kec. Ngrampal, Kabupaten Sragen, Jawa Tengah 57252, Indonesia","{'location': {'lat': -7.3932613, 'lng': 111.0528081}, 'viewport': {'northeast': {'lat': -7.391868970107277, 'lng': 111.0541375298927}, 'southwest': {'lat': -7.394568629892721, 'lng': 111.0514378701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Rest Area ""Travoy"" KM 538 B Solo Ngawi",{'open_now': True},"[{'height': 2368, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106095256268938954407"">ulil albab</a>'], 'photo_reference': 'AUGGfZl26M5Oo8PI5x5L7qNPoD9bR_IbljIGDD_t4RcqdSYQEl02UKRQxYjTadnMqB206c9nrByO9UQb_75NVW2pq-WZlYncRH8oKQgwaxB4_5DkYt3KfYrnSbOFhV4YvkFdkNh-Fv1csi_GhQUyVKcAyTxW5pVsF_tYIDVhUQLX12VLMpmM', 'width': 4208}]",ChIJ3_nA3pEDei4Rlm1xl5gCiR0,2.0,4.3,ChIJ3_nA3pEDei4Rlm1xl5gCiR0,"['point_of_interest', 'establishment']",6039,,https://www.google.com/maps/place/?q=place_id:ChIJ3_nA3pEDei4Rlm1xl5gCiR0
OPERATIONAL,"GW99+XV6, Solo - Kertosono Toll Rd, Dusun II, Karang Malang, Masaran, Sragen Regency, Central Java 57282, Indonesia","{'location': {'lat': -7.4800754, 'lng': 110.9196289}, 'viewport': {'northeast': {'lat': -7.478704970107278, 'lng': 110.9209838298927}, 'southwest': {'lat': -7.481404629892721, 'lng': 110.9182841701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/gas_station-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/gas_pinlet,"Gas Station Rest Area ""Travoy"" KM 519 A Solo Ngawi",{'open_now': True},"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102095730452781666495"">Tian Pratama</a>'], 'photo_reference': 'AUGGfZk7lbSUTp1V4ZYwLctxGjiurnS7kkwB0ODY8kBAa69TtjjK4_cQvTZ1qQaJkmLi_W4h2UO8u5XDbpY9MxzblrVi7IBxr2Yi1MGZingFQGF7dBRtxrs0plpU-qE8nj6Qdcg0Xh62WKAtRb398ASvPHNodiphVvVTi_UeELJbRpXdJEYr', 'width': 4624}]",ChIJO5K7nssbei4R52Nkp1c9e8w,,4.5,ChIJO5K7nssbei4R52Nkp1c9e8w,"['gas_station', 'point_of_interest', 'establishment']",1603,,https://www.google.com/maps/place/?q=place_id:ChIJO5K7nssbei4R52Nkp1c9e8w
OPERATIONAL,"CRFF+RP4, Baluwarti, Pasar Kliwon, Surakarta City, Central Java, Indonesia","{'location': {'lat': -7.575494099999999, 'lng': 110.8243258}, 'viewport': {'northeast': {'lat': -7.574093420107279, 'lng': 110.8256857298927}, 'southwest': {'lat': -7.576793079892723, 'lng': 110.8229860701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kertosono,,,ChIJAx80QQAXei4RNspuRP2DTig,,0.0,ChIJAx80QQAXei4RNspuRP2DTig,"['lodging', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJAx80QQAXei4RNspuRP2DTig
OPERATIONAL,"Jl. Ahmad Yani No.152, Pelem, Kec. Kertosono, Kabupaten Nganjuk, Jawa Timur 64314, Indonesia","{'location': {'lat': -7.600922799999999, 'lng': 112.1041039}, 'viewport': {'northeast': {'lat': -7.599576320107278, 'lng': 112.1054673798927}, 'southwest': {'lat': -7.602275979892722, 'lng': 112.1027677201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KUTO KERTOSONO,{'open_now': True},"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101672495177771689676"">BRAMASTA ROBIYANTO</a>'], 'photo_reference': 'AUGGfZmc3nRsKgji5EDEfTYUydenEBulIVvGr_7Rd4WKWoigAFrpCS5CDVskOwX1AzJYC9a8JbwQJHmK8Q0BLtr0_ygt8aOE4iF5fkNC0-GRlTg1Z7WL8b6Cp6PFISTQq7FfKe-LPptcKsj1O2VJOTL_hvVZ0XqVAnKIB1Sy_RRLsm2zLIll', 'width': 4608}]",ChIJ3fF30ohHeC4R9SmknT9FGE4,,4.9,ChIJ3fF30ohHeC4R9SmknT9FGE4,"['tourist_attraction', 'point_of_interest', 'establishment']",13,"{'compound_code': '94X3+JJ Pelem, Nganjuk Regency, East Java, Indonesia', 'global_code': '6P4J94X3+JJ'}",https://www.google.com/maps/place/?q=place_id:ChIJ3fF30ohHeC4R9SmknT9FGE4
OPERATIONAL,"Rest Area KM 519B, Jl. Tol Solo – Ngawi, Kabupaten Sragen, Jawa Tengah, Indonesia","{'location': {'lat': -7.481122, 'lng': 110.9208311}, 'viewport': {'northeast': {'lat': -7.479112620107278, 'lng': 110.9220544298927}, 'southwest': {'lat': -7.481812279892722, 'lng': 110.9193547701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Rest Area ""Travoy"" KM 519 B Solo Ngawi",{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103619514141933302385"">Saiful Malfino</a>'], 'photo_reference': 'AUGGfZk5D-TGhnRi1Fzb4I-AGp8H9FZy1jH6ps9OBvwLqYNC3_6LecUZ4Mo0EoQhQn-Ehu6WPMvsVDS1lo1iv2p70RpvCncUGLYAfdYlUNiHX6090_n2qO1CGHO1pzcKUDUSShQy7cUszlRYAlzvMTUWmxmO989lWOaF0-XisOATw2SGhMEk', 'width': 4032}]",ChIJFQ0DgdIbei4RdKZYc4EyLKw,2.0,4.5,ChIJFQ0DgdIbei4RdKZYc4EyLKw,"['gas_station', 'point_of_interest', 'establishment']",7270,"{'compound_code': 'GW9C+H8 Karang Malang, Sragen Regency, Central Java, Indonesia', 'global_code': '6P4GGW9C+H8'}",https://www.google.com/maps/place/?q=place_id:ChIJFQ0DgdIbei4RdKZYc4EyLKw
OPERATIONAL,"J342+RW9, Area Sawah, Kebonromo, Kec. Ngrampal, Kabupaten Sragen, Jawa Tengah 57252, Indonesia","{'location': {'lat': -7.392956799999999, 'lng': 111.0523512}, 'viewport': {'northeast': {'lat': -7.391865370107278, 'lng': 111.0532127798927}, 'southwest': {'lat': -7.394565029892722, 'lng': 111.0505131201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Rest Area ""Travoy"" KM 538 A Solo Ngawi",{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109481978843603124808"">A Google User</a>'], 'photo_reference': 'AUGGfZlrX0kMW0nu_PKRJSF2nqVpxYtYbxWUNrlkorG0_nNGIvXm68RLCRN9YF68ZzRG9O_4-wLmZrk5UPBdk9s2rnGcS6yikXnL5ZB9hhtrajyJbAUVXMy2Tem06c6S5ohTC7CMitlGkaWnBMaZdIkFqWOjNmJJvkz0gY69hiecOOPBv7Bq', 'width': 4032}]",ChIJT3joAVYCei4RHKYbkgIj5Hc,,4.4,ChIJT3joAVYCei4RHKYbkgIj5Hc,"['point_of_interest', 'establishment']",3056,,https://www.google.com/maps/place/?q=place_id:ChIJT3joAVYCei4RHKYbkgIj5Hc
OPERATIONAL,"Jl. Cipto Mangunkusumo No.19, Banaran, Kec. Kertosono, Kabupaten Nganjuk, Jawa Timur 64315, Indonesia","{'location': {'lat': -7.590877299999999, 'lng': 112.1118217}, 'viewport': {'northeast': {'lat': -7.589362120107277, 'lng': 112.1129089798927}, 'southwest': {'lat': -7.59206177989272, 'lng': 112.1102093201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,TITIK PERTEMUAN JOMBANG-NGANJUK-KEDIRI,,,ChIJgxSDKABHeC4RjZc-hG0SRk8,,0.0,ChIJgxSDKABHeC4RjZc-hG0SRk8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"{'compound_code': 'C456+JP Banaran, Nganjuk Regency, East Java, Indonesia', 'global_code': '6P4JC456+JP'}",https://www.google.com/maps/place/?q=place_id:ChIJgxSDKABHeC4RjZc-hG0SRk8
OPERATIONAL,"GW99+W78, Solo - Kertosono Toll Rd, Dusun III, Karang Malang, Masaran, Sragen Regency, Central Java 57282, Indonesia","{'location': {'lat': -7.4801754, 'lng': 110.9181626}, 'viewport': {'northeast': {'lat': -7.478820970107277, 'lng': 110.9194730298927}, 'southwest': {'lat': -7.481520629892721, 'lng': 110.9167733701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,RBT Sea Food,{'open_now': True},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101502982216566500997"">Hasri Setiyawan</a>'], 'photo_reference': 'AUGGfZk0GFFJUAY04-IZe4kG0Gbl4iOcMNe4VoccX5xR2aKmsNtad_A0I3YE2IWSnZHSVF00oVDiN9DPZrxwPbxbXOz4Yv57-FgJwF7aB2bS7-N1HIg2v5s9loDVAts5OWIeN2AaZxBn0MBtsPk7WpavoMbDk49uDsJC5EE4g9ZpqsJgtujL', 'width': 3840}]",ChIJ2cUJ7N8bei4RHfx1nOyEo8Q,2.0,4.4,ChIJ2cUJ7N8bei4RHfx1nOyEo8Q,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",691,,https://www.google.com/maps/place/?q=place_id:ChIJ2cUJ7N8bei4RHfx1nOyEo8Q
OPERATIONAL,"GW9C+942, Solo - Kertosono Toll Rd, Dusun II, Karang Malang, Masaran, Sragen Regency, Central Java 57282, Indonesia","{'location': {'lat': -7.481599999999999, 'lng': 110.9202788}, 'viewport': {'northeast': {'lat': -7.480268820107276, 'lng': 110.9216198298927}, 'southwest': {'lat': -7.48296847989272, 'lng': 110.9189201701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nitrogen Enduro SPBU Tol Rest Area 519B,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114575650862861471963"">Andi Aiken</a>'], 'photo_reference': 'AUGGfZl_Irl4J5Nt6CrX4cuNX0SsyIo6tKzS541lAbaKo6MtbvzUD3bjFXO4aYmOp2Q6OcMpjqzrSvCvOUwAIUOI7a7OLeIiIWbpqr5-I0Ec-KFkVSeVhaGl9HxQN92cP-g6VJXMZFGPWAj0ZDcyrYNrt8cck6ximkgyuNFw-n4TRm0YGYZK', 'width': 4032}]",ChIJc8yz4h8bei4R0yn2umfAomU,,3.5,ChIJc8yz4h8bei4R0yn2umfAomU,"['car_repair', 'point_of_interest', 'establishment']",4,,https://www.google.com/maps/place/?q=place_id:ChIJc8yz4h8bei4R0yn2umfAomU
OPERATIONAL,"Dusun III, Karang Malang, Masaran, Sragen Regency, Central Java 57282, Indonesia","{'location': {'lat': -7.4799222, 'lng': 110.918856}, 'viewport': {'northeast': {'lat': -7.479229220107278, 'lng': 110.9203795298927}, 'southwest': {'lat': -7.481928879892722, 'lng': 110.9176798701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rest Area KM 519A Masaran Sragen,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114597835743592779573"">A Google User</a>'], 'photo_reference': 'AUGGfZkCVZXAqAEuxAH81xl0tQz1h2hco4zHM9LRYx7Y97UtcObxlgap8FGAeYiq-4q4elA4nVTB9qSxlnMCiE_sGB5p1v8YAy4XR73OwgcfYvy32WGDmHFrq8eNs4xMPo_XAPRJnW9fvbLp5auCZz121_4_eNpDicnC16V1czfn_OaxGGnN', 'width': 3264}]",ChIJs5Vjvokaei4R9JjmM7J_7G4,,4.5,ChIJs5Vjvokaei4R9JjmM7J_7G4,"['point_of_interest', 'establishment']",12556,"{'compound_code': 'GWC9+2G Karang Malang, Sragen Regency, Central Java, Indonesia', 'global_code': '6P4GGWC9+2G'}",https://www.google.com/maps/place/?q=place_id:ChIJs5Vjvokaei4R9JjmM7J_7G4
