business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,url
CLOSED_TEMPORARILY,"Jl. Pulorejo III, Mergelo, Pulorejo, Kec. Prajurit Kulon, Kota Mojokerto, Jawa Timur 61325, Indonesia","{'location': {'lat': -7.463865, 'lng': 112.4240492}, 'viewport': {'northeast': {'lat': -7.462515070107279, 'lng': 112.4254149798927}, 'southwest': {'lat': -7.465214729892723, 'lng': 112.4227153201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam pancing wisata mina,True,"[{'height': 3648, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106125294557752149377"">A Google User</a>'], 'photo_reference': 'AUGGfZlCDceOPGlJL4wXwn1VPk3SHZK7EX86k2a4dxJv0mSA92IU_R-Ri_3UAtRu7HjJw9nmoEsz1eRhLPhjYACFJsfY9S2CsHgohTCeeN1roxqabdaz9hNh9iqF3t6AceJweM5DTUvBvZAVmnyFC7c6dypn7oIniZ-7rcGAH_B18XFayCc1', 'width': 2052}]",ChIJ0f7mxNwTeC4R_NVkhoIBrcA,"{'compound_code': 'GCPF+FJ Pulorejo, Mojokerto City, East Java, Indonesia', 'global_code': '6P4JGCPF+FJ'}",5.0,ChIJ0f7mxNwTeC4R_NVkhoIBrcA,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,https://www.google.com/maps/place/?q=place_id:ChIJ0f7mxNwTeC4R_NVkhoIBrcA
OPERATIONAL,"GCPJ+WXV, Mergelo, Magersari, Mojokerto City, East Java 61318, Indonesia","{'location': {'lat': -7.462633699999999, 'lng': 112.4324264}, 'viewport': {'northeast': {'lat': -7.461225220107278, 'lng': 112.4337781298927}, 'southwest': {'lat': -7.463924879892722, 'lng': 112.4310784701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sudut kota,,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110952280133111841376"">A Google User</a>'], 'photo_reference': 'AUGGfZlszYqNUQVM2H--JeCOYeNdVX99Y3zU4XMe7Y3gML_RyEnfN-7atymnh17KxUmp0jHwgI1JcHqIr-3m44OxfkCpCqiMMo8W3u0KqLGGJ-LHhqYIqgK6i27KJWuji5sP574LZqf-HWIXIijOLI7wKa1IO3bvbotuKiey_sRoUXiKFE8U', 'width': 1080}]",ChIJr3gto-kNeC4Row6K14nw80I,,0.0,ChIJr3gto-kNeC4Row6K14nw80I,"['travel_agency', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJr3gto-kNeC4Row6K14nw80I
OPERATIONAL,"GCPH+233, Jl. Prapanca, Mergelo, Mentikan, Kec. Prajurit Kulon, Kota Mojokerto, Jawa Timur, Indonesia","{'location': {'lat': -7.465003599999999, 'lng': 112.4277223}, 'viewport': {'northeast': {'lat': -7.463657520107278, 'lng': 112.4290828298927}, 'southwest': {'lat': -7.466357179892722, 'lng': 112.4263831701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Prapanca,,"[{'height': 2368, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106362287887428594130"">A Google User</a>'], 'photo_reference': 'AUGGfZnqJvGhZyXP7xjTQ8tG0trnJi9HJHMTNs-BMAH6lyrrNHY2Ka0mTNMj3cy13Fn5jfXI0Z8-ujbPXPzld9bvp85tnlkF6HouMFjmgMNcpY-VS22omCGcGCLgEk2c9zFVZ48W_SkJHhgSLqxPi6G3EjKaRN_J00UVyVnZtaFjCSU84akP', 'width': 4208}]",ChIJp1zRFNMTeC4ROPNy2VG_s5o,,4.7,ChIJp1zRFNMTeC4ROPNy2VG_s5o,"['tourist_attraction', 'point_of_interest', 'establishment']",9,,https://www.google.com/maps/place/?q=place_id:ChIJp1zRFNMTeC4ROPNy2VG_s5o
OPERATIONAL,"GC8V+JH6, Mergelo, Meri, Kec. Magersari, Kota Mojokerto, Jawa Timur 61315, Indonesia","{'location': {'lat': -7.483455299999999, 'lng': 112.4438845}, 'viewport': {'northeast': {'lat': -7.482105470107276, 'lng': 112.4452349798927}, 'southwest': {'lat': -7.48480512989272, 'lng': 112.4425353201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata kuliner kuwung sehat kel.meri,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111583838422156485508"">A Google User</a>'], 'photo_reference': 'AUGGfZkS4xZuh6G0lYCpY7cajq86xKU83L6h-tzZPN0PBhBH5VKQNRcyhAuRRs9Z5r74pkepZrp5PBXPRME65reki7m6swvUgUTN7AGw1EZHG5pmnqY1u1BO04j8KI2ojrwKGwg2bQzPs1Xm2SeNmg5YiCm9Uycy2un3fv0jS7ZM0Bx9B0c', 'width': 1920}]",ChIJExJoedsNeC4Rc_tkKWmlzg4,,0.0,ChIJExJoedsNeC4Rc_tkKWmlzg4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJExJoedsNeC4Rc_tkKWmlzg4
OPERATIONAL,"Mergelo, Magersari, Mojokerto City, East Java, Indonesia","{'location': {'lat': -7.4631303, 'lng': 112.4319503}, 'viewport': {'northeast': {'lat': -7.461780470107276, 'lng': 112.4333001298927}, 'southwest': {'lat': -7.46448012989272, 'lng': 112.4306004701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Mojokerto Central Park,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101186449787341572758"">Aries Adi</a>'], 'photo_reference': 'AUGGfZmfSYYESbNxeRJVzk9SDKVOfG0DGT_K8xRL3lhr1-tQTJ1LzAE-gcRBLpvt85Ir31upki3hHpNy1G3Pqts8elwNBXLvCPywecPNE4fNDdg04AJXVEqxhtVcmUHIxX2AzqsYZctADLi_7uWRD0-hxCLt0pKsvxtmXp9X3vh6-JSenAzb', 'width': 4032}]",ChIJhd5dHfUNeC4RrdP-1QKXq_c,"{'compound_code': 'GCPJ+PQ Magersari, Mojokerto City, East Java, Indonesia', 'global_code': '6P4JGCPJ+PQ'}",4.5,ChIJhd5dHfUNeC4RrdP-1QKXq_c,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",20391,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJhd5dHfUNeC4RrdP-1QKXq_c
OPERATIONAL,"Jl. Surodinawan Baru II No.38, Mergelo, Surodinawan, Kec. Prajurit Kulon, Kota Mojokerto, Jawa Timur 61328, Indonesia","{'location': {'lat': -7.4843259, 'lng': 112.4201459}, 'viewport': {'northeast': {'lat': -7.482951170107278, 'lng': 112.4214996798927}, 'southwest': {'lat': -7.485650829892722, 'lng': 112.4188000201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ketidur Street Point,,"[{'height': 4320, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100985264963586283197"">A Google User</a>'], 'photo_reference': 'AUGGfZndYIuNxW_rU1Cpt49HlRnhmpKXQu9aflT6GTE-IpyQUzv-dNsLyPUa2CTt5INzSB4lIQL7GZjMM9l2UUx0VBsAqH770EVcaXfAnLpCE52Ys_2shuofqy6qDR5FKawondVNxUAQo__tO2SNYFnQs_QRKaNZrhszhSuwbo_eyzr1wb6F', 'width': 3456}]",ChIJW73269oTeC4R8YKnz_NXrh0,"{'compound_code': 'GC8C+73 Surodinawan, Mojokerto City, East Java, Indonesia', 'global_code': '6P4JGC8C+73'}",5.0,ChIJW73269oTeC4R8YKnz_NXrh0,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJW73269oTeC4R8YKnz_NXrh0
OPERATIONAL,"GCHR+R36, Mergelo, Balongsari, Magersari, Mojokerto City, East Java, Indonesia","{'location': {'lat': -7.4704718, 'lng': 112.4402273}, 'viewport': {'northeast': {'lat': -7.46912092010728, 'lng': 112.4416110298927}, 'southwest': {'lat': -7.471820579892724, 'lng': 112.4389113701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spot a1,,,ChIJe8GY5KoNeC4RJtQyuUmb2UE,,0.0,ChIJe8GY5KoNeC4RJtQyuUmb2UE,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJe8GY5KoNeC4RJtQyuUmb2UE
OPERATIONAL,"Griya Permata Meri Blok E5 No 99X, Mergelo, Kranggan, Kec. Magersari, Kota Mojokerto, Jawa Timur 61315, Indonesia","{'location': {'lat': -7.478955, 'lng': 112.4438386}, 'viewport': {'northeast': {'lat': -7.477607270107278, 'lng': 112.4452368298927}, 'southwest': {'lat': -7.480306929892722, 'lng': 112.4425371701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mancing maniak pakde,,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104465967261095341347"">A Google User</a>'], 'photo_reference': 'AUGGfZm6_lZKBXfVmast-BFW7KahCeqijZC4k60nI8s8pkf9rrdWwCGq2abxR-zmDYJ3Pb-OmZmmuYMeuFBQpd0zd5-jfxwaXGvVE8TykA8HZ7awPqEv76h1bjf1TASHp6-Sljv39lzZozJL03s4w8d8wmh74iVGuA824Yq8Djh4GLYR5n1J', 'width': 3096}]",ChIJx3Y5_4QNeC4RaXl_wqbFH-Q,"{'compound_code': 'GCCV+CG Kranggan, Mojokerto City, East Java, Indonesia', 'global_code': '6P4JGCCV+CG'}",1.0,ChIJx3Y5_4QNeC4RaXl_wqbFH-Q,"['tourist_attraction', 'point_of_interest', 'establishment']",1,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJx3Y5_4QNeC4RaXl_wqbFH-Q
OPERATIONAL,"Jembatan Miji-Ngaglik, Ngaglik Gg. 3 No.44, Mergelo, Miji, Kec. Prajurit Kulon, Kota Mojokerto, Jawa Timur 61321, Indonesia","{'location': {'lat': -7.474774399999998, 'lng': 112.4379055}, 'viewport': {'northeast': {'lat': -7.473414670107276, 'lng': 112.4391852298927}, 'southwest': {'lat': -7.47611432989272, 'lng': 112.4364855701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jembatan panggerman,,,ChIJ-dJ-BA4NeC4RI7lC3SsR6Jw,"{'compound_code': 'GCGQ+35 Miji, Mojokerto City, East Java, Indonesia', 'global_code': '6P4JGCGQ+35'}",0.0,ChIJ-dJ-BA4NeC4RI7lC3SsR6Jw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ-dJ-BA4NeC4RI7lC3SsR6Jw
OPERATIONAL,"GCH8+QH, Mergelo, Pulorejo, Kec. Prajurit Kulon, Kota Mojokerto, Jawa Timur, Indonesia","{'location': {'lat': -7.4705373, 'lng': 112.4164398}, 'viewport': {'northeast': {'lat': -7.469215770107278, 'lng': 112.4178038298927}, 'southwest': {'lat': -7.471915429892722, 'lng': 112.4151041701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jalan Alternatif BC-Rejoto,,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107504931775367625093"">Alex Efendy</a>'], 'photo_reference': 'AUGGfZljm992nMS4yGJ72ubmoicW4qpvec-gCtck7cBBRystoR5LB2vOogjjio7kKHSkbthKZZIB04d4puOEw2c0fG7pKxeWXONOCJucr_voIjl-32HsohWB9ePIU36BUWKCqX_iKdiKq5kYeJW3VBXWDTB-y0Im-7CG8ygj2dX7EvLaBzfy', 'width': 3264}]",ChIJBbyB2YwTeC4RucdkmEi9NLY,,4.2,ChIJBbyB2YwTeC4RucdkmEi9NLY,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,https://www.google.com/maps/place/?q=place_id:ChIJBbyB2YwTeC4RucdkmEi9NLY
