formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,rating,user_ratings_total,business_status,opening_hours,plus_code,url
"Central Tapanuli Regency, North Sumatra, Indonesia","{'location': {'lat': 1.8493299, 'lng': 98.70407499999999}, 'viewport': {'northeast': {'lat': 2.314823, 'lng': 99.0618209}, 'southwest': {'lat': 1.4238459, 'lng': 98.130499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Central Tapanuli Regency,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116636259149890578937"">Rina Sitompul</a>'], 'photo_reference': 'AUGGfZnEa_5FRM-t-9owre-0q902RdTX7EtCSjmZTWaLX3fVcwFPA_OlHnSAnZKUxYw_fFOudVC1S4LQtMX2ozFA8zyrFcqmEUIUuWeMJOhp3iYZPwggSqoRM-8VXfZpHdz4vzZtB5tfQmnA0i0LdvgA9Q7zryOUgsHxuQp9jKAzdlTgL3xn', 'width': 4608}]",ChIJY0CS0SZRLjARcNAgsoCdAwM,ChIJY0CS0SZRLjARcNAgsoCdAwM,"['administrative_area_level_2', 'political']",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJY0CS0SZRLjARcNAgsoCdAwM
"Hạ Long Bay, Thành phố Hạ Long, Quảng Ninh, Vietnam","{'location': {'lat': 20.9100512, 'lng': 107.1839024}, 'viewport': {'northeast': {'lat': 20.9606765, 'lng': 107.298501}, 'southwest': {'lat': 20.7262541, 'lng': 107.0007552}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hạ Long Bay,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106468095565442748062"">Quốc Đại Nguyễn</a>'], 'photo_reference': 'AUGGfZkBq7CZ0dpBh2FGZ-hCnth_bxFykAfEwam3tM88LorfPHzWZHpnIMluy83LdNyOWaDQgEHClFrPhwQhoOgp9LnDAk4ag8pBYAFvcRMUyS2R81V2BLRM7mYJYvdEtZFkziCbO-k1WL-RCZ8bT3BLhXvaAcIboRe4LnRcfzIKuM9X-FrS', 'width': 2304}]",ChIJh-6MUZZXSjER23hUyLywxlU,ChIJh-6MUZZXSjER23hUyLywxlU,"['natural_feature', 'establishment']",4.6,6836.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJh-6MUZZXSjER23hUyLywxlU
"XF5W+C2G, Sosor Gadong, Central Tapanuli Regency, North Sumatra 22564, Indonesia","{'location': {'lat': 1.958552, 'lng': 98.4950837}, 'viewport': {'northeast': {'lat': 1.959918979892722, 'lng': 98.49646177989273}, 'southwest': {'lat': 1.957219320107278, 'lng': 98.49376212010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Pal 7 Kabupaten Tapanuli Tengah,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112876103999477961227"">SATRIA ARAFAT</a>'], 'photo_reference': 'AUGGfZl29UXYuYGi-7uFgij37OygEOfk4teIq3GrXe2cAjFUTMnCDoczYKm_TdoIyQ8ETNA_EyVKs4S9TMbXcdLErNlHsrQ_HxNwYhr1dkz3lm7t2TJeOUK-MkGMVzQLXDHjuYzMSuN3ACX-DSSZInjOhzMijA_jyCm_lI0aqemBi4BKc5EC', 'width': 1080}]",ChIJbdjIh69SLjAR7f3cpeMmNwc,ChIJbdjIh69SLjAR7f3cpeMmNwc,"['tourist_attraction', 'point_of_interest', 'establishment']",4.3,14.0,OPERATIONAL,,,https://www.google.com/maps/place/?q=place_id:ChIJbdjIh69SLjAR7f3cpeMmNwc
"Hạ Long, Quảng Ninh, Vietnam","{'location': {'lat': 20.9711977, 'lng': 107.0448069}, 'viewport': {'northeast': {'lat': 21.0303951, 'lng': 107.2013641}, 'southwest': {'lat': 20.9043616, 'lng': 106.8843843}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hạ Long,"[{'height': 1327, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118169295257858699492"">Mac Vu</a>'], 'photo_reference': 'AUGGfZmMyxcW_yvyCD-GN6w8WxLWHPRMWyI3jEcP7xLXEqt0yyMibquUgtNB22Vu47MPqNsch4HinUbRPof0EsVYw2Q5nlr4lKY3dXB2eH7mMLDQP72suRJuebRHIS06dB-a_u64UFNBSDEdv3yYsAOzv0mIdUlo6bLR78WHFgGVMbSbiZEw', 'width': 1920}]",ChIJyfJfgj9YSjERRI3iC1FD0cU,ChIJyfJfgj9YSjERRI3iC1FD0cU,"['locality', 'political']",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJyfJfgj9YSjERRI3iC1FD0cU
"HH8H+699, Tapian Nauli I, Tapian Nauli, Central Tapanuli Regency, North Sumatra 22618, Indonesia","{'location': {'lat': 1.565539, 'lng': 98.578498}, 'viewport': {'northeast': {'lat': 1.566888829892722, 'lng': 98.57984782989273}, 'southwest': {'lat': 1.564189170107278, 'lng': 98.57714817010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Pulau Kalimantung, Tapanuli Tengah","[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105418672765866577465"">Nugraha S U K</a>'], 'photo_reference': 'AUGGfZlJGXONGdlYv8cPZzixQ03iq37da3o1nVZgqdOx299N00lI76dKxAwGpj77sG98I4DcScAHoO2QGb-q21-D7ZNCQNP6Epv4HbJtnhPnw129IXVpmBMVAOphiuQ9vo-iZbARcYOevkBFKe50JxtKTluujHSqOXHtefZnC-tbk3Ni5URy', 'width': 2880}]",ChIJbzxJFY3nLjARPee9hGiujfQ,ChIJbzxJFY3nLjARPee9hGiujfQ,"['tourist_attraction', 'point_of_interest', 'establishment']",4.7,48.0,OPERATIONAL,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJbzxJFY3nLjARPee9hGiujfQ
"MRM9+4W6, Jl. Sisingamangaraja Jl. Padang Sidempuan, Kec. Pandan, Kabupaten Tapanuli Tengah, Sumatera Utara 22616, Indonesia","{'location': {'lat': 1.6827982, 'lng': 98.81975539999999}, 'viewport': {'northeast': {'lat': 1.684281979892722, 'lng': 98.82122932989272}, 'southwest': {'lat': 1.681582320107278, 'lng': 98.81852967010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Penginapan pantai indah pandan kabupaten tapanuli tengah,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113995122171934887349"">A Google User</a>'], 'photo_reference': 'AUGGfZkmkcA6hPY1DFOnPTcjpHXO2_MCxM6ADx4Z3yyuXZCL27g2cXGhRSvIdocY4f4Vymfl9OtDfeBcLvj8KWfrN-IctrZrZIsLJLA06-p2mZU-yj9EFelwOXw6DVTnPIWIh_cXXx7kZc8acvHL9pC7G4OEDHpxrAJNU1CoMw6wlxGHgeex', 'width': 3120}]",ChIJW2XNfcTyLjARG2VOMX3T8aQ,ChIJW2XNfcTyLjARG2VOMX3T8aQ,"['tourist_attraction', 'point_of_interest', 'establishment']",4.2,2791.0,OPERATIONAL,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJW2XNfcTyLjARG2VOMX3T8aQ
"RR43+8XM, Unnamed Road, Rampa, Kec. Sitahuis, Kabupaten Tapanuli Tengah, Sumatera Utara 22618, Indonesia","{'location': {'lat': 1.8058328, 'lng': 98.8049147}, 'viewport': {'northeast': {'lat': 1.8097034, 'lng': 98.80787210000003}, 'southwest': {'lat': 1.8045426, 'lng': 98.80392889999999}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Aek Martolu,"[{'height': 2560, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103308983054898944996"">A Google User</a>'], 'photo_reference': 'AUGGfZmAPkX2WBIsIJfVLoQoXs1NxahNxh0qz8l59xaDa_sEn3YSav5RBWJ_K6dDqgPRAXCcYHlEr9tOes2ELYgvZ4p4lJ3GiNmrDhyfBMv2ozK8erOwz81JTwNNBwXesnQ9S9xTbUeMNin13TYBwS0Kn7Ja33x6D2yeM4rf49WdJsmMeHSO', 'width': 1920}]",ChIJ2yPwAYL1LjARf1HnDPVAIig,ChIJ2yPwAYL1LjARf1HnDPVAIig,"['tourist_attraction', 'point_of_interest', 'establishment']",4.6,25.0,OPERATIONAL,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJ2yPwAYL1LjARf1HnDPVAIig
"Sitiris-Tiris, Andam Dewi, Central Tapanuli Regency, North Sumatra, Indonesia","{'location': {'lat': 1.9751884, 'lng': 98.3525793}, 'viewport': {'northeast': {'lat': 1.976538229892722, 'lng': 98.35392912989272}, 'southwest': {'lat': 1.973838570107278, 'lng': 98.35122947010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Karang Island Beach,"[{'height': 590, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103559905158242132330"">Pardianto Situmorang</a>'], 'photo_reference': 'AUGGfZlKOZU7SjoI-8yTqgQOHsE4djXwBbtfOnHHB6zm4wyJtkgF39kpdtJkPELJhOMNHgAjxFdA1Soxhosde9LgaAEksX6vrWzFqci1q6F36BxZEop0VFYZ4YAxDDF5GN3mKS7bTjOEQ5AZDOtiLFTRopX-4qjYmDzMfhp2F1EYt4ywT874', 'width': 1280}]",ChIJAWCXn-axLzAROvSGXyyhzNs,ChIJAWCXn-axLzAROvSGXyyhzNs,"['tourist_attraction', 'point_of_interest', 'establishment']",4.8,24.0,OPERATIONAL,,"{'compound_code': 'X9G3+32 Sitiris-Tiris, Central Tapanuli Regency, North Sumatra, Indonesia', 'global_code': '6MHWX9G3+32'}",https://www.google.com/maps/place/?q=place_id:ChIJAWCXn-axLzAROvSGXyyhzNs
"MFR2+MJ, Tapian Nauli I, Central Tapanuli Regency, North Sumatra, Indonesia","{'location': {'lat': 1.6917362, 'lng': 98.45161379999999}, 'viewport': {'northeast': {'lat': 1.693086029892722, 'lng': 98.45296362989274}, 'southwest': {'lat': 1.690386370107278, 'lng': 98.45026397010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mursala Waterfall,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111513197216961646714"">FX Octavianus</a>'], 'photo_reference': 'AUGGfZkoteWm6FzyKUQ5Ixl7FwKNGi6Wr8b4vu2AxyxGBI1zWF7xwlUuSPCcujNETN_lH9i4-n6bUJzBiuzljq8MMbu6LojACExVK9pxs4lmk4K52OC8JoeH_DLI5PXf-R5n5lT89oFo26t8LsqHPifJie35EXR5CD_h-klohnVgIb23X8dv', 'width': 2296}]",ChIJW8uhbzEDLzARsbrci8p_l-I,ChIJW8uhbzEDLzARsbrci8p_l-I,"['tourist_attraction', 'point_of_interest', 'establishment']",4.8,46.0,OPERATIONAL,,,https://www.google.com/maps/place/?q=place_id:ChIJW8uhbzEDLzARsbrci8p_l-I
"PQ5Q+WJ, Pondok Batu, Sarudik, Central Tapanuli Regency, North Sumatra, Indonesia","{'location': {'lat': 1.7097678, 'lng': 98.7890125}, 'viewport': {'northeast': {'lat': 1.711117629892722, 'lng': 98.79036232989273}, 'southwest': {'lat': 1.708417970107278, 'lng': 98.7876626701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Labuhan Sonang,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105317138553909975617"">A Google User</a>'], 'photo_reference': 'AUGGfZlD_22Ccx-1gOWJI7Dypvxi0qSxD1LSaEGhK_wqfvCgdGMqsK2Dj_oGs-M_xVuoPCumXS0N7CxZ_iDwCJQFLk7Mov9_RBFJQDwyzmRj2r1wiUwO4oLUynozomT5vzCEZiSwukCDCIT-bMsJxpMg_4yJX-7UDZjshmuNHvJ1aNTEY361', 'width': 1920}]",ChIJc1ZkPwDzLjARRmF0wA5HX1E,ChIJc1ZkPwDzLjARRmF0wA5HX1E,"['tourist_attraction', 'point_of_interest', 'establishment']",4.6,32.0,OPERATIONAL,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJc1ZkPwDzLjARRmF0wA5HX1E
