formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,rating,user_ratings_total,plus_code,opening_hours,permanently_closed,url
"Tolinggula, North Gorontalo Regency, Gorontalo, Indonesia","{'location': {'lat': 0.9860354000000001, 'lng': 122.2171673}, 'viewport': {'northeast': {'lat': 1.024767, 'lng': 122.2711599}, 'southwest': {'lat': 0.885231, 'lng': 121.98253}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tolinggula,"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109269561448304157366"">A Google User</a>'], 'photo_reference': 'AUGGfZmjSyI5d6tSaA3QqIDVzbBx6XXOrrGSEiCKhxK4x23b-hLLCniYvG2X-0vXvB8vDtZcqDgQcUWWJtdTkcwJlA2yZkNY2C5wvxX7P7WEI_uaapfr58BI2RCiVQNkp_x2pP_j82WPU6dpRs-6JTyimoPshKYqebwjjWaNQyXkf5vMXpiy', 'width': 4128}]",ChIJlct73CqJeTIRfDYREwK9ZgY,ChIJlct73CqJeTIRfDYREwK9ZgY,"['administrative_area_level_3', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJlct73CqJeTIRfDYREwK9ZgY
"Tolinggula Ulu, Tolinggula, North Gorontalo Regency, Gorontalo, Indonesia","{'location': {'lat': 0.9817282, 'lng': 122.1348629}, 'viewport': {'northeast': {'lat': 1.000856, 'lng': 122.1661581}, 'southwest': {'lat': 0.9512050000000001, 'lng': 122.115762}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tolinggula Ulu,,ChIJY1qGsPqIeTIRG9wLhvVImwc,ChIJY1qGsPqIeTIRG9wLhvVImwc,"['administrative_area_level_4', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJY1qGsPqIeTIRG9wLhvVImwc
"Tolinggula Tengah, Tolinggula, North Gorontalo Regency, Gorontalo, Indonesia","{'location': {'lat': 0.9976202999999999, 'lng': 122.1689284}, 'viewport': {'northeast': {'lat': 1.024767, 'lng': 122.188563}, 'southwest': {'lat': 0.9847338999999999, 'lng': 122.148129}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tolinggula Tengah,,ChIJwUomSHGIeTIRcBZIsHHdImo,ChIJwUomSHGIeTIRcBZIsHHdImo,"['administrative_area_level_4', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJwUomSHGIeTIRcBZIsHHdImo
"26G2+7JF, Tolinggula Pantai, Tolinggula, North Gorontalo Regency, Gorontalo 96524, Indonesia","{'location': {'lat': 1.02569, 'lng': 122.2015453}, 'viewport': {'northeast': {'lat': 1.026946929892722, 'lng': 122.2028220298927}, 'southwest': {'lat': 1.024247270107278, 'lng': 122.2001223701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Wisata Giok,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109123984563745888529"">Boby Ismail</a>'], 'photo_reference': 'AUGGfZnsdaTQFIfXK8yvJWhASHQM6q3Rgbb36PEd_77_4u5EH2ZGu_Ni_g4EnKlCEc0ta5hPRkrtNrlxkXEnKvpSr4Ma7QeJ9cbCU0WBfC1xGXGMIxii3LjHA5S9Q7I7UPAfoQBOif1PxudUpiHvlVr_CnnUqQsRc0pUZE1O4T74EoJA-X8V', 'width': 1920}]",ChIJH5GAPYKHeTIRiENlrdLi_4I,ChIJH5GAPYKHeTIRiENlrdLi_4I,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,3.0,2.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJH5GAPYKHeTIRiENlrdLi_4I
"X6Q6+GH, Biawu, Tolinggula, North Gorontalo Regency, Gorontalo, Indonesia","{'location': {'lat': 0.9888606, 'lng': 122.211391}, 'viewport': {'northeast': {'lat': 0.9902104298927219, 'lng': 122.2127408298927}, 'southwest': {'lat': 0.9875107701072776, 'lng': 122.2100411701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai Biau,,ChIJQ-oblQ2HeTIRdC_WIfdDoh4,ChIJQ-oblQ2HeTIRdC_WIfdDoh4,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJQ-oblQ2HeTIRdC_WIfdDoh4
"269G+4R, Tolinggula Pantai, North Gorontalo Regency, Gorontalo, Indonesia","{'location': {'lat': 1.0178391, 'lng': 122.2270079}, 'viewport': {'northeast': {'lat': 1.019188929892722, 'lng': 122.2283577298927}, 'southwest': {'lat': 1.016489270107278, 'lng': 122.2256580701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Biau,,ChIJTR9qRACHeTIR4p6_j9zgwHQ,ChIJTR9qRACHeTIR4p6_j9zgwHQ,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJTR9qRACHeTIR4p6_j9zgwHQ
"X4X7+2WH, Ilotunggula, Kec. Tolinggula, Kabupaten Gorontalo Utara, Gorontalo 96524, Indonesia","{'location': {'lat': 0.9975743999999999, 'lng': 122.1148721}, 'viewport': {'northeast': {'lat': 0.9989303298927221, 'lng': 122.1162184298927}, 'southwest': {'lat': 0.9962306701072778, 'lng': 122.1135187701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BaLok Ilotunggula Limbato,"[{'height': 2084, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109123984563745888529"">Boby Ismail</a>'], 'photo_reference': 'AUGGfZl3nR98G-RIqg9pLiKOx-8afX7HxFlRl-IBqHn08izOiHrvcYD6FlpE8cQpSLxPssMK3uV-DKWVWQpEjmgyihB8W2oqK7K2iK8WYnQdROYAI80-zAR1XjVktuDEwzaGi1Q2iyBCCRW14QwFRArrtpGYM-Z1iqeQoVcAhD3m5hhA6LyB', 'width': 4624}]",ChIJEUpoLDaJeTIR8kwdOmFS11g,ChIJEUpoLDaJeTIR8kwdOmFS11g,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,1.0,1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJEUpoLDaJeTIR8kwdOmFS11g
"X3R9+PMF, Papualangi, Tolinggula, North Gorontalo Regency, Gorontalo 96524, Indonesia","{'location': {'lat': 0.9918133, 'lng': 122.0691703}, 'viewport': {'northeast': {'lat': 0.993164029892722, 'lng': 122.0705198798927}, 'southwest': {'lat': 0.9904643701072778, 'lng': 122.0678202201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Posko Maranti,"[{'height': 2084, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109123984563745888529"">Boby Ismail</a>'], 'photo_reference': 'AUGGfZkaqtV5ZWNZUoNHW0b5fXVW2NyfmTAtbxJbESe4pTITQWfHViTfhukKNBTWsXZ5D5RV7egmTUKc_mhjNAdFoFM0r_wwx4rVRfk7qgsRf67kLXYP-tjWV6hfO6MB8l4ZTM7ZDT0ReHyS7tshPjzk0WnIwRvy2lH4iPzqoJAwV3ONLTLV', 'width': 4624}]",ChIJNXg6inmLeTIREttjUYhxLZg,ChIJNXg6inmLeTIREttjUYhxLZg,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,1.0,1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJNXg6inmLeTIREttjUYhxLZg
"Mbukid Tolinggula, Sp. Sumalata III, Tolinggula, North Gorontalo Regency, Gorontalo, Indonesia","{'location': {'lat': 0.9088889000000001, 'lng': 121.9836111}, 'viewport': {'northeast': {'lat': 0.9200455000000001, 'lng': 121.9996185}, 'southwest': {'lat': 0.8977322999999999, 'lng': 121.9676037}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mbukid Tolinggula,,ChIJbWMF5rDyeTIRYz84u6LtC7k,ChIJbWMF5rDyeTIRYz84u6LtC7k,"['natural_feature', 'establishment']",,0.0,0.0,"{'compound_code': 'WX5M+HC Sp. Sumalata III, North Gorontalo Regency, Gorontalo, Indonesia', 'global_code': '6QG3WX5M+HC'}",,,https://www.google.com/maps/place/?q=place_id:ChIJbWMF5rDyeTIRYz84u6LtC7k
"25F2+79J, Tolinggula Tengah, Tolinggula, North Gorontalo Regency, Gorontalo, Indonesia","{'location': {'lat': 1.0232228, 'lng': 122.1508975}, 'viewport': {'northeast': {'lat': 1.024502479892722, 'lng': 122.1518157798928}, 'southwest': {'lat': 1.021802820107278, 'lng': 122.1491161201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Shelter Tolinggula,,ChIJSf06fQCJeTIRMn0MoJYSb4w,ChIJSf06fQCJeTIRMn0MoJYSb4w,"['park', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJSf06fQCJeTIRMn0MoJYSb4w
"Tolinggula Pantai, Tolinggula, North Gorontalo Regency, Gorontalo, Indonesia","{'location': {'lat': 1.0133811, 'lng': 122.2143323}, 'viewport': {'northeast': {'lat': 1.019558, 'lng': 122.2282151}, 'southwest': {'lat': 0.9987069999999998, 'lng': 122.1941251}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tolinggula Pantai,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108383555658230023557"">Rahmat Rahman</a>'], 'photo_reference': 'AUGGfZnkVBoDpFh1cL9deYe_QLyiqBZ4E6L9RNZ4SRnFxQZIv4gsEmFqMcBlij2UotD4o2qgXh0hKPs4yKPeWLDYmrsmTWaITXz6d2ej1a9aqQfXsNX9oKR-0P2gb9DsLQFvbEVddQe6giEu8cQRe8TepFRbNTejnLOtXYavnQLCLe1t5QMJ', 'width': 4128}]",ChIJ3WlagaKHeTIRzeHmCUXAMHE,ChIJ3WlagaKHeTIRzeHmCUXAMHE,"['administrative_area_level_4', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ3WlagaKHeTIRzeHmCUXAMHE
"274W+MMF, Jl. Buol - Gorontalo, Buloila, Kec. Sumalata, Kabupaten Gorontalo Utara, Gorontalo 96254, Indonesia","{'location': {'lat': 1.006677, 'lng': 122.296674}, 'viewport': {'northeast': {'lat': 1.0074162, 'lng': 122.2978761798927}, 'southwest': {'lat': 1.0044594, 'lng': 122.2951765201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Kikia,"[{'height': 3078, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103303488385833841410"">A Google User</a>'], 'photo_reference': 'AUGGfZmI0i64T_4zr1xpGmgHyEzJtFNkBS19MYi-ADeiCx8RwdxsxtM2SvX0RLwIKvkcpmLlMA1ixgIn_tA72873RGsNBwoAOdqaslhmuqaalO7i7pHmdBvGmA44dCEwqUwwmvDj816ljMk3eIHCi_1kFTNFpx_nPuWvqfAdQ2KBlE6KNSPK', 'width': 5472}]",ChIJJbXNDUOBeTIRqJMOxH4d8Ak,ChIJJbXNDUOBeTIRqJMOxH4d8Ak,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.3,3.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJJbXNDUOBeTIRqJMOxH4d8Ak
"2653+Q42, Tolinggula Pantai, Tolinggula, North Gorontalo Regency, Gorontalo 96524, Indonesia","{'location': {'lat': 1.0093857, 'lng': 122.2027721}, 'viewport': {'northeast': {'lat': 1.0117617, 'lng': 122.2047161}, 'southwest': {'lat': 1.0085937, 'lng': 122.1969401}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Gunung Tolinggula,,ChIJVbYzXfyHeTIRgUoMYRLahek,ChIJVbYzXfyHeTIRgUoMYRLahek,"['park', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJVbYzXfyHeTIRgUoMYRLahek
"X6FR+QW, Didingga, Tolinggula, North Gorontalo Regency, Gorontalo, Indonesia","{'location': {'lat': 0.9744368, 'lng': 122.2423015}, 'viewport': {'northeast': {'lat': 0.975717279892722, 'lng': 122.2437497798928}, 'southwest': {'lat': 0.9730176201072778, 'lng': 122.2410501201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Puncak Kecamatan Biau,,ChIJeQYrGgCHeTIR4ye_BxZG660,ChIJeQYrGgCHeTIR4ye_BxZG660,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJeQYrGgCHeTIR4ye_BxZG660
"274G+R9X, Unnamed Road, Buloila, Sumalata, North Gorontalo Regency, Gorontalo 96254, Indonesia","{'location': {'lat': 1.007111, 'lng': 122.275994}, 'viewport': {'northeast': {'lat': 1.0081147, 'lng': 122.27993525}, 'southwest': {'lat': 1.0040999, 'lng': 122.27468025}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Biduri,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103303488385833841410"">A Google User</a>'], 'photo_reference': 'AUGGfZnoQ5I0WBjpK8wnnlGyYOQvzc-34doZqNYwt0kGrh-Tf1ENPxreCDpA81cN5SIB2bETLAj3KtyW15274SUYDInKgoBnlH-XcgolYAM4-RW3I7czmQaXiKWehj2P9w3_ns9H_KBnNttiBGWvBIIXUMM2s-ICNTh3z7uraQkegL1-_q9I', 'width': 1920}]",ChIJ15rYfTeBeTIRUNxRmiXj6Yk,ChIJ15rYfTeBeTIRUNxRmiXj6Yk,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,2.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ15rYfTeBeTIRUNxRmiXj6Yk
"X6P8+CV7, Jl. Buol - Gorontalo, Biawu, Kec. Tolinggula, Kabupaten Gorontalo Utara, Gorontalo 96524, Indonesia","{'location': {'lat': 0.9860376, 'lng': 122.2171635}, 'viewport': {'northeast': {'lat': 0.987368079892722, 'lng': 122.2184876298927}, 'southwest': {'lat': 0.9846684201072778, 'lng': 122.2157879701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tugu Desa Biau,,ChIJi4HppCqHeTIRyrGkaaz7mOQ,ChIJi4HppCqHeTIRyrGkaaz7mOQ,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJi4HppCqHeTIRyrGkaaz7mOQ
"V57F+V6F, Tombulilato, Kec. Atinggola, Kabupaten Gorontalo Utara, Gorontalo 96253, Indonesia","{'location': {'lat': 0.8522002999999999, 'lng': 123.1667711}, 'viewport': {'northeast': {'lat': 0.8536315798927221, 'lng': 123.1680322298927}, 'southwest': {'lat': 0.8509319201072777, 'lng': 123.1653325701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Situs wisata alam,"[{'height': 3824, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109525743981363295200"">Onal Nyenye Nyenye</a>'], 'photo_reference': 'AUGGfZlsONEdSK1rtEPf7hRXZ2ZsM1Ov3DXsawKNqHDs5eCo06r5Uw4DsRYh2KOZUSmm9dRAc1AD2zMb-ewLLwNfvPIteT0JU0DudAznVtt6Z03bZtBAIJpN69ONuS2EtcPrBBUWzVRo0naZ2P-18e7RnRwfjbXQY6nlvS_vPxbGJzhhmEaB', 'width': 6752}]",ChIJ58KKI6WxfjIRB5QuyHRK1ZM,ChIJ58KKI6WxfjIRB5QuyHRK1ZM,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.7,6.0,,{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJ58KKI6WxfjIRB5QuyHRK1ZM
"266F+88, Tolinggula Pantai, North Gorontalo Regency, Gorontalo, Indonesia","{'location': {'lat': 1.0108389, 'lng': 122.2232601}, 'viewport': {'northeast': {'lat': 1.0124595, 'lng': 122.2247224}, 'southwest': {'lat': 1.0059771, 'lng': 122.2188732}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Desa Biau Beach,,ChIJnbJnAwCHeTIR0H6CsClyxD8,ChIJnbJnAwCHeTIR0H6CsClyxD8,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJnbJnAwCHeTIR0H6CsClyxD8
"Bengkel GIAN motor, Limbato, Kec. Tolinggula, Kabupaten Gorontalo Utara, Gorontalo 94568, Indonesia","{'location': {'lat': 0.9699567000000001, 'lng': 122.0951062}, 'viewport': {'northeast': {'lat': 0.9713065298927225, 'lng': 122.0964560298927}, 'southwest': {'lat': 0.9686068701072782, 'lng': 122.0937563701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Desa Limbato, Kec.Tolinggula, Gorut",,ChIJa64Ewv-JeTIRAzexLwfP_KE,ChIJa64Ewv-JeTIRAzexLwfP_KE,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,0.0,0.0,"{'compound_code': 'X39W+X2 Limbato, North Gorontalo Regency, Gorontalo, Indonesia', 'global_code': '6QG4X39W+X2'}",,True,https://www.google.com/maps/place/?q=place_id:ChIJa64Ewv-JeTIRAzexLwfP_KE
"3633+QV9, Tolinggula Pantai, Paleleh, North Gorontalo Regency, Gorontalo 96524, Indonesia","{'location': {'lat': 1.0544084, 'lng': 122.2047348}, 'viewport': {'northeast': {'lat': 1.055758229892722, 'lng': 122.2060846298927}, 'southwest': {'lat': 1.053058570107278, 'lng': 122.2033849701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pulau Tolinggula,,ChIJkeyKgE2HeTIR-vmoKyeFG7I,ChIJkeyKgE2HeTIR-vmoKyeFG7I,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,0.0,0.0,,,True,https://www.google.com/maps/place/?q=place_id:ChIJkeyKgE2HeTIR-vmoKyeFG7I
"X6J8+3Q, Biawu, Tolinggula, North Gorontalo Regency, Gorontalo, Indonesia","{'location': {'lat': 0.9802297999999999, 'lng': 122.2169935}, 'viewport': {'northeast': {'lat': 0.9814590000000001, 'lng': 122.2181248}, 'southwest': {'lat': 0.9765422000000002, 'lng': 122.2135996}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Puncak Biau,,ChIJbVgHx2WHeTIRksydDQ940Qw,ChIJbVgHx2WHeTIRksydDQ940Qw,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,0.0,0.0,,,True,https://www.google.com/maps/place/?q=place_id:ChIJbVgHx2WHeTIRksydDQ940Qw
