formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,reference,types,business_status,rating,user_ratings_total,opening_hours,photos,permanently_closed,url
"Moskona Utara, Teluk Bintuni Regency, West Papua, Indonesia","{'location': {'lat': -1.368612, 'lng': 132.7270105}, 'viewport': {'northeast': {'lat': -1.160487, 'lng': 132.961639}, 'southwest': {'lat': -1.415863, 'lng': 132.6038951}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Moskona Utara,ChIJe6Xc3FSJUC0Rm7ZbQY9fw1M,ChIJe6Xc3FSJUC0Rm7ZbQY9fw1M,"['administrative_area_level_3', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJe6Xc3FSJUC0Rm7ZbQY9fw1M
"M57F+HV4, Morombuy, Merdey, Teluk Bintuni Regency, West Papua, Indonesia","{'location': {'lat': -1.3361154, 'lng': 133.1747162}, 'viewport': {'northeast': {'lat': -1.334765570107278, 'lng': 133.1760660298928}, 'southwest': {'lat': -1.337465229892722, 'lng': 133.1733663701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kais darat Papua Barat daya,ChIJb2Frf2z_UC0RhRI1tGHUHs4,ChIJb2Frf2z_UC0RhRI1tGHUHs4,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJb2Frf2z_UC0RhRI1tGHUHs4
"JM6Q+36V, Mosum, Moskona Utara, Teluk Bintuni Regency, West Papua 98365, Indonesia","{'location': {'lat': -1.3897729, 'lng': 132.6880552}, 'viewport': {'northeast': {'lat': -1.388423070107278, 'lng': 132.6894050298928}, 'southwest': {'lat': -1.391122729892722, 'lng': 132.6867053701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Desa Mosum,ChIJk8b5f-Z9UC0RFNiKUh9DsOM,ChIJk8b5f-Z9UC0RFNiKUh9DsOM,"['lodging', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJk8b5f-Z9UC0RFNiKUh9DsOM
"Ayawasi, Hutan, Maybrat Regency, West Papua 98414, Indonesia","{'location': {'lat': -1.009385, 'lng': 132.546794}, 'viewport': {'northeast': {'lat': -1.008064870107278, 'lng': 132.5481003298927}, 'southwest': {'lat': -1.010764529892722, 'lng': 132.5454006701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gunung Petik Bintang Maybrat,ChIJwe0dEPsHWi0RMnE9HpYDHQM,ChIJwe0dEPsHWi0RMnE9HpYDHQM,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.4,45.0,{'open_now': True},"[{'height': 2760, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117300974865681898961"">A Google User</a>'], 'photo_reference': 'AUGGfZm1gYfIWPmmcPdESRxZhiKcqGWX5aUfyqvElQrxp5r-_EZXaeVoyUMn8va7IZ6-Meg-8o-6cnVgtPnPJmZMmDWbGoUiVagxvahjXQr8xi9GOBp__lpwRfSwXqxIxY4JnvGCFlr9DPLh6gIlA70NnGp3i9Afj9064igjxzfEuP2gcxa8', 'width': 4912}]",,https://www.google.com/maps/place/?q=place_id:ChIJwe0dEPsHWi0RMnE9HpYDHQM
"Q59V+8JV, Men, Ayamaru Jaya, Maybrat Regency, West Papua, Indonesia","{'location': {'lat': -1.2316483, 'lng': 132.1940587}, 'viewport': {'northeast': {'lat': -1.230345270107278, 'lng': 132.1956855298927}, 'southwest': {'lat': -1.233044929892722, 'lng': 132.1929858701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Puncak Woman Thino,ChIJs9bE0uZDWi0RXB1ZmI7b1gY,ChIJs9bE0uZDWi0RXB1ZmI7b1gY,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,"[{'height': 378, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105799665093350376997"">A Google User</a>'], 'photo_reference': 'AUGGfZkh_c4zF4vu8bc2lwEH2UC-nauBGtZGkp20gdskFgU6gEBztBy2Wnfu8QzE4dZYQRhK-2YkF7FmXaANeAHKVCT_5YIZ1qK7aFzASJq7C6TnoHlYTj9qfp2gYDMUjOAusekEbPT8vVvBBPdt6S24PpASZFRV_8dykz1uej_SXsQi-4Zi', 'width': 715}]",,https://www.google.com/maps/place/?q=place_id:ChIJs9bE0uZDWi0RXB1ZmI7b1gY
"VF69+323, Susai, Aifat Utara, Maybrat Regency, West Papua 98463, Indonesia","{'location': {'lat': -1.139867, 'lng': 132.4675475}, 'viewport': {'northeast': {'lat': -1.138517170107278, 'lng': 132.4688973298927}, 'southwest': {'lat': -1.141216829892722, 'lng': 132.4661976701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampung Susai,ChIJQXAsfABzWi0R_uecJI8nP-4,ChIJQXAsfABzWi0R_uecJI8nP-4,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,"[{'height': 264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109261066039386040045"">Poex Vito</a>'], 'photo_reference': 'AUGGfZnOJzPWpv2zfQ7X6cxcIuc4O-RbqjMP7WRWs5U-mqL5y1Dwp-AnwxFXpLK2o9zOo4Rso_HLsfYcWoV8zey2CmIECz5IrjqrwfrquF-q6it2SVt8OTkirHkTcpJQQOvH7qMybsqncLr8TzoCV4JlD2xMcNUB7ORSJJ-AqiuZx80Cpvpy', 'width': 320}]",,https://www.google.com/maps/place/?q=place_id:ChIJQXAsfABzWi0R_uecJI8nP-4
"M57F+HV4, Morombuy, Merdey, Teluk Bintuni Regency, West Papua 98373, Indonesia","{'location': {'lat': -1.3361154, 'lng': 133.1747162}, 'viewport': {'northeast': {'lat': -1.334765570107278, 'lng': 133.1760660298928}, 'southwest': {'lat': -1.337465229892722, 'lng': 133.1733663701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Selat Kabuy,ChIJOWfCOx7_UC0RzUU3DLk0JRY,ChIJOWfCOx7_UC0RzUU3DLk0JRY,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,0.0,0.0,,,True,https://www.google.com/maps/place/?q=place_id:ChIJOWfCOx7_UC0RzUU3DLk0JRY
"VH56+882, Konja, Aifat Utara, Maybrat Regency, West Papua 98463, Indonesia","{'location': {'lat': -1.1417379, 'lng': 132.5607648}, 'viewport': {'northeast': {'lat': -1.140388070107278, 'lng': 132.5621146298927}, 'southwest': {'lat': -1.143087729892722, 'lng': 132.5594149701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Kali Haenkanes, Kamp.Konja, Aifat Utara",ChIJY4WjmvyfUC0RAvWqe67HVR0,ChIJY4WjmvyfUC0RAvWqe67HVR0,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,0.0,0.0,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102470366227591246585"">Frimas Aya</a>'], 'photo_reference': 'AUGGfZmv_s3kZkgVY-pLzKjOiKrb_c_hc7D7q_exljAelmdHmsLr1d4t5CszZtll9GLcybRwjMtri4x8iJ6qD9_iGiThgLEyfIAAHxCz2URkggCTrFWacuSZjZGrOr7L0lkkxIwETPow-NHe3_mYUTS6qRwH0f4cQfbuRBOBngQz86qKjsI8', 'width': 3120}]",True,https://www.google.com/maps/place/?q=place_id:ChIJY4WjmvyfUC0RAvWqe67HVR0
"H96X+683, Karsu, Aitinyo, Maybrat Regency, West Papua 98463, Indonesia","{'location': {'lat': -1.4394877, 'lng': 132.3982898}, 'viewport': {'northeast': {'lat': -1.438042920107278, 'lng': 132.3997378298928}, 'southwest': {'lat': -1.440742579892722, 'lng': 132.3970381701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BLOK Karsu,ChIJqXGxu4yFWi0RF8OjfZfgZio,ChIJqXGxu4yFWi0RF8OjfZfgZio,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,5.0,1.0,,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106821304664048110942"">A Google User</a>'], 'photo_reference': 'AUGGfZn4dPKT3pAA6qn3NkSn2Fnk1mVudIee9hYhXN-chFJ4lWGAb9yFV72onS4psvj_pctg3XGnpUGHPpG1yWf3eB5nf4dxCM6636ZjMZY9kb06qKFvUjnmxI5B1j23gzs8gwEWLoOyK1tygQplocW_Bn9eQJZWwj5Q0v5D4EWL14srUgwn', 'width': 1280}]",True,https://www.google.com/maps/place/?q=place_id:ChIJqXGxu4yFWi0RF8OjfZfgZio
"P668+5G, Kartapura, Ayamaru Tengah, Maybrat Regency, West Papua 98462, Indonesia","{'location': {'lat': -1.2895054, 'lng': 132.216322}, 'viewport': {'northeast': {'lat': -1.288142570107278, 'lng': 132.2176901298928}, 'southwest': {'lat': -1.290842229892722, 'lng': 132.2149904701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampung Semuu - Faitsroan,ChIJr10vFStdWi0R0eiG6vTAifw,ChIJr10vFStdWi0R0eiG6vTAifw,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,5.0,1.0,,"[{'height': 1079, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114695997240971248466"">A Google User</a>'], 'photo_reference': 'AUGGfZmMAKXK9dIhq7GsECENWK6tvzzl9zGPZ0gIXwgP5ffc9DiJ3pVQr_od3dGKJ3YomI7s-Z-sYwjser25wdmO5jg9qGmm5KbfJf2RD7j-kPsubiE4OosK1NVe5OsKgx5663FfoZ87S7T2xEBZ1QzgR4iF1-z-rzcgsXEg2v9mBrtvSUUF', 'width': 720}]",True,https://www.google.com/maps/place/?q=place_id:ChIJr10vFStdWi0R0eiG6vTAifw
