formatted_address,name,photos,place_id,types,rating,user_ratings_total,lat,lng,history_and_cultural,nature_and_adventure,entertainment_and_leisure,spiritual_and_architecture,wildlife_and_conservation
"8F9H+J47, Cileunca, Bojong, Purwakarta Regency, West Java 41164, Indonesia",Cileunca Waterpark,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103840980182806513017"">Leo Arga</a>'], 'photo_reference': 'AUGGfZkvdFrdgIHZhtttGcz7EW1WjtOpVZBiA9PDRf5pW5y2TXf5VnMrR0aCoQbIEv9-AqIQEseMqakydPQAZ4AATGYJos7JB7luh6T98g1iFk1Ef0UQSnAyn9h95_snOIsJQVnrfcZ1ZRHop980_XenNdxS2I-TUR_cRHkFOjurRaXS6TAI', 'width': 4000}]",ChIJT5exCAAFaS4RH7uNCgwsaxs,"['tourist_attraction', 'point_of_interest', 'establishment']",4.7,68.0,-6.6818069,107.4773497,0,0,1,0,0
"8HG2+R4G, Wanasari, Wanayasa, Purwakarta Regency, West Java 41174, Indonesia",Taman Wisata Batu Apung Alam Hijau,"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115806969917436652725"">Radio backpackers</a>'], 'photo_reference': 'AUGGfZmNI1gAotdgZJAE1WBnLQDn3j1BS5WNrLUYFhgcPl8c6_fwnbFI6R-0oWM7ged-eKjXdcZUyX8eFUxzJU9H1-QMprs-rk9KpOJxUjO9yBUuwXEYAximTfoj1gR6lCSPG0mSNakHcY50PyQb5TrmUIJgnuRoEDsuiblfaXVNJy24_lSR', 'width': 720}]",ChIJd8-prZIbaS4RxSDgf85haXg,"['tourist_attraction', 'point_of_interest', 'establishment']",4.1,1091.0,-6.6729407,107.5503267,0,0,1,0,0
"7GCJ+W3R, Pasanggrahan, Bojong, Purwakarta Regency, West Java 41164, Indonesia",Masjid Kampung Tajur,"[{'height': 2000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106261710570965043466"">Mcblury</a>'], 'photo_reference': 'AUGGfZlDWHIaQ_ZgwHIQCB1YYkd6g2Zv3Rgs5SqUBWcheE88TdTUsiEYYqm9DcbRp8CtJgdJSeXsWwVL8h1qkhrZu3LB7HRPpZpFxCtq7VaCc0AmDpl5qH8Z3EHP0mrpzDH7ZwbaH-lW6Qq8VSLGLg83tdrBjHbHlv7q-QAaiT6yv_YoQ7c8', 'width': 4000}]",ChIJwwKFA6sdaS4R5eULsW3kqBM,"['mosque', 'tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",4.5,117.0,-6.7276618,107.5301248,0,0,0,1,0
"9G75+VJJ, Salem, Pondoksalam, Purwakarta Regency, West Java 41115, Indonesia",Griya Karmel,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112578077273844196272"">A Google User</a>'], 'photo_reference': 'AUGGfZmvzEjFNV_51_D4lt2a1xkZtDJ51OXLG6AMhLCvBIXu4gGAut61F6C3g1EBF0th0BMpvmNorv19G1FNIGiX3PN5cw6jkEkn1Gay3wWcagYH_kpZNU9IqUoe-ZwK7-XZMjs1lMR81n30EmsSN9n5aIgA5AjqGaa2iR8cSwIIA6H1sxrd', 'width': 4128}]",ChIJU_5pdeYaaS4RM_m5LzvKGE4,"['tourist_attraction', 'point_of_interest', 'establishment']",4.3,56.0,-6.6352838,107.5090289,0,0,0,0,0
"8F2G+P25, Neglasari, Darangdan, Purwakarta Regency, West Java 41163, Indonesia",Taman Wisata Budaya & Bumi Perkemahan CADAS GANTUNG,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113718205361115151467"">syamsul Ilmi</a>'], 'photo_reference': 'AUGGfZmtRM707uphJfAIvnkB3QeZ2or-_M6yCZVqSREe6tmWvrNA8fGXqaiyI_EO5l-BG-JW_E-ZldEqlTH-Ou7qRksjuYP7be2OOE_dL-P-Za7MXYWHpx1fuzJhIJRqV5szRaLVG66F_iNXTq9--wmaeOc0XBDyv8RqER9mU2dt8CS-Gsry', 'width': 4608}]",ChIJBW9dv00DaS4R6tkBtL2X8-A,"['tourist_attraction', 'point_of_interest', 'establishment']",4.4,54.0,-6.6982471,107.4751189,0,0,1,0,0
"Kampung, Jl. Awi Mekar, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat, Indonesia",Bungursari Lake Park,"[{'height': 2280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101845235750008596096"">Rangga Sofiansyah</a>'], 'photo_reference': 'AUGGfZmKL7QPRuRzcT8j-Y9npuIwWa0FfvX6jO5HaOVDR8sVsiXtShKFpsk3kioBL7byTyHeMs81T1NL6HSp5XOXkfNMvARaV1HYsK1GLiGHr8O3qrIWAkX0X6LDDVe5_7C42bDYrz0z1T8qrsDpAMXGEmKtkbLtnfKKF5wDFas9ypuJl5RY', 'width': 4056}]",ChIJLUwKirQNaS4RtdUN2jGKcF4,"['tourist_attraction', 'point_of_interest', 'establishment']",4.3,240.0,-6.4806038,107.4695622,0,1,1,0,0
"Bungursari, Purwakarta Regency, West Java 41181, Indonesia",Nimo Water Forest,"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113078986173201594181"">A Google User</a>'], 'photo_reference': 'AUGGfZkym8KZLbW2rN8s1-iVGEI8V06UWbmT5bvpseGbJk9lJwgKCL3cxW-BCwwukasLgTBX8TPdv8gV0vSWzlo0acI3ndqlvs-QwUsu3WuvYwVhHvKXc1rM7iRN8jH0aQzimnohYfU5gTQiLAZ5QOcksfyMQkpbflw7I-duVJPQE19weR60', 'width': 4128}]",ChIJ9VfTMgATaS4RDNmSsrAdACQ,"['tourist_attraction', 'point_of_interest', 'establishment']",3.9,305.0,-6.476412,107.4805625,0,0,0,0,0
"Kp Cilodong 01/01, Desa, Cikopo, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41181, Indonesia",ACCESSORIES TAJUG GEDE,"[{'height': 562, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101399362920330586664"">A Google User</a>'], 'photo_reference': 'AUGGfZlN9mvo1V250By7fcpfkn1Dq1MzoNo6BkZfYTtS_2y47NA2p0Hd1Dw9Wka6Vimv2pHzedyDJwmu1mV3FQH6nZjLjJ6ZBjJOG5O0W7RmYwBmi9VKy14cEoNL61nHPLGDx7Dj3vy-rNRuYjX8BTMkK2dS8FlzCOjk0BWYWjWZ7S-zwycb', 'width': 999}]",ChIJ7w1SrSoTaS4RWi095ARXoME,"['tourist_attraction', 'point_of_interest', 'establishment']",4.6,52.0,-6.453702400000001,107.4806653,0,0,0,0,0
"Jl. Cigangsa No.177, Campakasari, Kec. Campaka, Kabupaten Purwakarta, Jawa Barat 41181, Indonesia",Situ Cigangsa,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110328953509205321530"">Paulus Bimo</a>'], 'photo_reference': 'AUGGfZmrjyBil9WMlnptNI-jd3MYs9Ynyjf7zetI9UmEQVASGVxzc6XIS0PRWADhsO8tBgFhDbTb0hUQtzUlkWE-PkdlG5k7qwNWoWURc9DXHddqMn2Jlxop40fyezlzUl8Tep-SwVphg5gsR91PzcLR_c0Slh8Sy6qTrvhuZXJYaJA29l_l', 'width': 4000}]",ChIJZ0MS6P4RaS4Rxo8NShcacDQ,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",4.2,311.0,-6.5255638,107.4839885,0,0,1,0,0
"Jl. Raya Campaka No.15, Cikumpay, Kec. Campaka, Kabupaten Purwakarta, Jawa Barat 41181, Indonesia",PEMANCINGAN JAWARA,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103914756098596439338"">A Google User</a>'], 'photo_reference': 'AUGGfZnpvNsJQFYkeaifHlHLg7OF8f-M5DNZYHgo_vyZEVWVE3TvBTw1YkVUiufTLgZbZW9IiBZTFDlblp4PU1vvH7VTYlTv68aLvWDmRQdIyOnUAKsfcC2Omd7jxzUl4xcgXbLD-2T7biG4fNS7wiuXgiBO2YeIiSZTCo6ARfqGLTxqZhXn', 'width': 4128}]",ChIJNecFkP0TaS4RzoiT9i-03GM,"['tourist_attraction', 'point_of_interest', 'establishment']",4.5,11.0,-6.5056964,107.4893879,0,0,0,0,0
