formatted_address,name,photos,place_id,types,rating,user_ratings_total,lat,lng
"MJ57+FF, Tanjung Batu, Ogan Ilir Regency, South Sumatra, Indonesia",Kebun bunga Chenara Vinlan Garden,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107351663906802244418"">A Google User</a>'], 'photo_reference': 'AUGGfZmQVPEPe8jvWJlR4ggarfqRS5zjRis_4nrCea0pkSQI8qVIl7UFDpgKrW8x96RfQd0SIiSmGziw4gKm5qwC7FPfyxsHReurDufRHUfL1n5F-SkDFGwLlQTVzE8TfkZdhIHoGHafCfwfDDlWTIlP0Z3Odw2nBNLMU_676ac1JPMZi3ag', 'width': 1840}]",ChIJbZG6_J3BOy4RvljuRJ3v-XE,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,2.0,-3.3413278,104.6136386
"Jl. Burai, Tj. Batu, Kec. Tj. Batu, Kabupaten Ogan Ilir, Sumatera Selatan, Indonesia",Chenara Vinlan Garden,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107351663906802244418"">A Google User</a>'], 'photo_reference': 'AUGGfZk-JXSwBYATs2PB-hQUtSXpNnrccXEHV9T8sZuNu0ntFOR02EndCTk3OxciS68tIK9qkPEl9GLf8Qmx0M1bFcTOqtNgDMIzafD9Z6rorBY2Ns6n37p_88l3uw_e46fxog5kIJ_1AGkQuxc3244qbwbTvsUyAhWRFT9kEodgBP7Q0rZA', 'width': 4608}]",ChIJzy-6lQ3BOy4RsvrPIjezmi4,"['park', 'point_of_interest', 'establishment']",3.7,3.0,-3.3409924,104.6169917
"CCWG+8X, Tangai, Rambang Kuang, Ogan Ilir Regency, South Sumatra, Indonesia",Danau temesu. Pedusonan masyarakat Tanjung kemale,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100785745102848802711"">A Google User</a>'], 'photo_reference': 'AUGGfZlRZtisirTt9EN2G_UVkTWdZkhGkaJQaPU2mtZorrBUvkSdZ3I1Fy8kDNwMKvalglcgLZKVCSQeVMzPqttqNrVxf1mGl0P1udirFkTSfHCfj6-G7pegLR-_FMPxHVJcalTdpI22JQ8mQypW03vKMrMXojjhja3-pFKWNi65xjDXTwoc', 'width': 2304}]",ChIJLezb2hrXOy4R0cjvah5gaG4,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,1.0,-3.5541875,104.4274375
"99WV+6Q8, Gunung Raja, Lubai, Muara Enim Regency, South Sumatra 31173, Indonesia",Danau Maong,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118421498804756615581"">Nazwaputri Putri</a>'], 'photo_reference': 'AUGGfZkN5fAtuGrjPxk_RaDFTIBuFCmP3Rok-keXrsPwl-RhaLM28kjl21i43XlW10c_X2O0PC4fdwjtrhefupY5T-oWnoeMVzpWGIIRXpOqU6ERsZnXuX_7SnA16vlnbsY-NNmhG6tEf9YDv9byVS0oY5WO_a7bdUrcoq9Eh_6PEuIK4qcI', 'width': 1836}]",ChIJ3ZRfsOnXOy4RaaH3mI_fVz8,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,2.0,-3.6044724,104.3944556
"RQ8G+42W, Ulak Aur Standing, Pemulutan Selatan, Ogan Ilir Regency, South Sumatra 30653, Indonesia",LORONG.ASEM JEB,,ChIJiYTyGQCROy4RLojTBskf0wg,"['tourist_attraction', 'point_of_interest', 'establishment']",4.7,3.0,-3.1846328,104.7750751
"JQF4+W7R, Tanjung Temiang, Tanjung Raja, Ogan Ilir Regency, South Sumatra 30866, Indonesia",Kolam Pemancingqn Beriang Fun fishing,,ChIJiSkxGmjtOy4RU2NFaQP8h94,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,1.0,-3.377731,104.755341
"MJ4V+8MG, Tanjung Pinang I, Tanjung Batu, Ogan Ilir Regency, South Sumatra 30664, Indonesia",Gelora Serepang Indah,,ChIJ9W79AVnBOy4RZNsGPFbv5QA,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,1.0,-3.3441828,104.6442148
"WPFR+JJ6, Ibul Besar I, Pemulutan, Ogan Ilir Regency, South Sumatra 30259, Indonesia",Kolam Datuk,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115947480561334826609"">A Google User</a>'], 'photo_reference': 'AUGGfZmMsdQ-Szv2zX5d6QXXeILPw8rX6agXIwyCCHBTYvzfDbnfCsKqYqOYLYlpVev2OpDlFymvH3eT6YbGbadeKGOmUS7BzF3n0_YvyFerdadTXgsxZaA3-WL6JZhVMDSNxHDz-Co1T3dQoc3SVcE_QVsA9-BbeG-5o1Y2nymr67qG9qhH', 'width': 1600}]",ChIJvwUbHmyZOy4RCcTrCfYvwR8,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,5.0,-3.075972,104.7415046
"JH4P+5R, Seri Tanjung, Tanjung Batu, Ogan Ilir Regency, South Sumatra, Indonesia",Danau Lebuk Bakong seri tanjung,,ChIJD7eGuh3DOy4RgR2c56JNDhU,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,1.0,-3.3945681,104.5871049
"Jl. Lintas Timur Palembang-Kayuagung, Lrg. Keluarga Jl. Indralaya Raya No.KM 35, Depan SMPN1, Kec. Indralaya, Sumatera Selatan 30862, Indonesia",PEGAGAN GARDEN,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102266161326174901651"">A Google User</a>'], 'photo_reference': 'AUGGfZlWZ0t-Uj-GaxKxlZSevPOoyP_WpNFvD7LLl4wk5SxfD63RY09WxoW1oHqtblTgFgGujohIK2x4gFrdxCDx9abI_FyaSCkE2ehZizbQRzFVg4B79u-nC2IojPJeJO0C8V2RY3WzpgB0l3B-AeaN1sUGxi40rDxVVQLq91CXpcvaG5fe', 'width': 3000}]",ChIJX6ZVffCVOy4RbBluGSJmC2I,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,1.0,-3.2363758,104.667549
