formatted_address,name,photos,place_id,types,rating,user_ratings_total,lat,lng,history_and_cultural,nature_and_adventure,entertainment_and_leisure,spiritual_and_architecture,wildlife_and_conservation
"3M23+C5P, Patongloan, Bittuang, Tana Toraja Regency, South Sulawesi 91856, Indonesia",Sarambu Bittuang Waterfall,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100621828498642986832"">Dudi Padilah</a>'], 'photo_reference': 'AUGGfZnwyZEjuBdKj0zfxrzunHY98I5yl01iGAA3KvyMVoSnVpllFStc8DOekrdPU6ljhILHuV-KtXFiU87lS3ORe3vuy1FcAxFmGeKRB0_DRV9JKApOM9uwk2Yl84MRuj2b04cn77w-_fH4jV41Wg9FEtIujyD3gLiEm92ovuY7CZEpu2wE', 'width': 4000}]",ChIJkagXbNy9ky0RTUn24dbD9nM,"['tourist_attraction', 'point_of_interest', 'establishment']",4.6,57.0,-2.9489176,119.6529686,0,0,0,0,0
"XM8R+JX9, Burasia, Bittuang, Tana Toraja Regency, South Sulawesi 91856, Indonesia",Wisata Alam To'pinus Burasia,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115951037886303627245"">obet grinder</a>'], 'photo_reference': 'AUGGfZlbGxnb0pSe1kevcSOT_A_T3yWwl-7LMuIBO_qj852mHZkWOoGUfIH9hfbJq0XqzYYia7i9jv-2v9CqBOQlR1sxm-a3Ejo2KFx9MupRcmq_S5oY9e1x5GvGXVcIQAK8RtJ3EfLWnVJDRVG1eomC2zQukd56nvS-Y_CgA7JemDHd7sFK', 'width': 2448}]",ChIJGehE4m-Xky0Rdu2PCE1vsGM,"['tourist_attraction', 'point_of_interest', 'establishment']",4.7,7.0,-3.0334641,119.6924813,0,0,1,0,0
"3M5J+WPX, Balla, Bittuang, Tana Toraja Regency, South Sulawesi 91856, Indonesia",Sarambu Ratte Balla,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103137286341006294820"">akry luon</a>'], 'photo_reference': 'AUGGfZmH5lwyCiwyQrHTUYgaWr0kTjGhkfpxIopqKNe3Wb6JQGUtKb-8ZCVboZTgZ-rtmpN99XE5_DmEVfBe7mFfeZDuemnmKpyuVuc0dGvGxo1uwVDrHhSNjZeZ3ET012gYh2y80agefi6VxrL3eL-MBoLa-d9PMAVW2i4arCG8G6XAr1rO', 'width': 3264}]",ChIJE3I_y829ky0Ra6-8YuZY13A,"['tourist_attraction', 'point_of_interest', 'establishment']",4.5,39.0,-2.9401389,119.6818611,0,0,0,0,0
"XMGF+46H, Kandua, Bittuang, Tana Toraja Regency, South Sulawesi 91856, Indonesia",Sarambu Waterfall,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104109678455402089336"">MicSeCret</a>'], 'photo_reference': 'AUGGfZkWVQEU0rdXOhVRIv9UGteC_Gi0_EyB_JXfjJSEhpQcwEuZcW06M0g2rUwiFLho_OdAyRSb_PZNEmfgv7SAh8DsEosk5T-aVJSbY3UWx-_5XQdIe2ejRomRB03yRd4TvKPb3XeenjkFs1TimgwtGrwc4xlKSf9gRLT02iMlJul1btCC', 'width': 4496}]",ChIJ_____7-Wky0RYz_rF34VYQ4,"['tourist_attraction', 'point_of_interest', 'establishment']",4.3,36.0,-3.0246754,119.6730939,0,0,0,0,0
"WV38+WH5, Buntu Burake, Makale, Tana Toraja Regency, South Sulawesi 91817, Indonesia",Jesus Christ Blessing Statue,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110761404108238188588"">adhiari Subekti</a>'], 'photo_reference': 'AUGGfZkK7xwQlgoH7PRi1bBvck-7i21gG3KIu9UcIwqhFN2GV4uFvXhGzAXp_8SEVZjhPB9hdzRFUEGIrN0UaqwTZbsEx1qmUra4UZ2mygqCagT3YcpnSP-H1Hd6GTDHkEVHS7Eiw1-B6hHcz98-rNBMZ7z313dA6fNCh_h2Mt3cdUdKYbE', 'width': 2880}]",ChIJs8z4-u7tky0R0SmrqPRGQqA,"['tourist_attraction', 'point_of_interest', 'establishment']",4.5,3889.0,-3.0952365,119.8664913,1,0,0,0,0
"2MH2+74Q, Patongloan, Bittuang, Tana Toraja Regency, South Sulawesi, Indonesia",Kallan,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113354784804512274054"">A Google User</a>'], 'photo_reference': 'AUGGfZlPiIYGcbjyMHgFeDNBT1ZQUg1k8DXT5mRXx3Wwd5iuD_uvs5yfPFwrhc3C7InQQbgBSNC2WIijZzE5b7JaDdAqOzWkqaf6keAaTMRF7mPC7zPmQtfezrKABHCAls4y_C8kQ6G9qOwCQ-fKbc0G-hlfB1zpgGyrdeMipXAwZ_XTuhso', 'width': 3120}]",ChIJg52Vqcu9ky0R8vxTEP7q7f8,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,2.0,-2.9717875,119.6503594,0,0,0,0,0
"XPGP+V3, Kondongan, Salutandung, Kec. Saluputti, Kabupaten Tana Toraja, Sulawesi Selatan, Indonesia",Kondongan Riverside,"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118019923850729866547"">Rener Mapala</a>'], 'photo_reference': 'AUGGfZk7hccTkbJ0ZTlc3gQ6aBqT6W5U2AzHdYjIlYKBO7DoSFdPDHqpBq9hT5OMZ_Hdxoj_KIw_ajzF-gF2YTLR8anm3f2Ad0sfTSf2sKdgPHE6U3NrsbBquSUdVeUJqn5uA-CLyhrqsId4fHYKwD5mmV_lTT47t6DnM4PumK9cd_Fmm_4u', 'width': 4624}]",ChIJV00o9VyVky0R0MWxsrpjsZY,"['tourist_attraction', 'point_of_interest', 'establishment']",4.5,38.0,-3.0231259,119.7355163,0,0,0,0,0
"PMXR+QM9, Ratte Buttu, Bonggakaradeng, Tana Toraja Regency, South Sulawesi 91872, Indonesia",Lembah kendenan,"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114203088161796548873"">venansius fortunatus</a>'], 'photo_reference': 'AUGGfZm029EdI481dXruMe8FqzoPv97RNB8AND-RUxAiChVyVR78Pvsu64woNH7-HIR_sqXulAVZN4_RAAYJvfYbAf7tQHnVU6WWOMar7tdJVJ_MZaxoVI5IHv5rCvwUSDo5UM5-IWVrPSBFqSzIydXAExk-Q7uZ0JSajNHsmm0Dy7B5Fd6L', 'width': 4624}]",ChIJRabLEreJky0RNgYbA3RUypA,"['tourist_attraction', 'point_of_interest', 'establishment']",4.9,43.0,-3.250591,119.691731,0,0,0,0,0
"PMWP+JWX, Ollon, Bau, Kec. Bonggakaradeng, Kabupaten Tana Toraja, Sulawesi Selatan 91872, Indonesia",Tebing Romantis Ollon,"[{'height': 3280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110633078131747157619"">A Google User</a>'], 'photo_reference': 'AUGGfZmYCFZKxCAWtR3rZ-M7aQqXnlI-pNibuGmYXv9JH4MuaYaCgRYMlKi3dAxgrNqC-meteK9NPkbdUuKtv2mYQW8c0AcqksAsyle-1AsNomMOB4MyXNJGiFXz2dt622LBoZqZgh6tcQNmLLvhQ9murKmue_jBadVF6LaF8AwftppN2AuZ', 'width': 1848}]",ChIJO7rwPN13lC0R79rlWAcdJoI,"['tourist_attraction', 'point_of_interest', 'establishment']",4.6,30.0,-3.2533949,119.6873717,0,0,0,0,0
"MP75+W3, Bau Selatan, Bonggakaradeng, Tana Toraja Regency, South Sulawesi, Indonesia",Bukit penantian,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102349428767124145105"">arhi madani</a>'], 'photo_reference': 'AUGGfZnKEhQQgqStLGdDOlJL7pV9UR4apJXEFuGKYSS6H-vB5xNn4ZVpQuR8NpvReKmT6Oh-PlcIRlyykN5k-heC8nsbLepZXMQXS_Pim-xmoilO_pZfE_c7R0r7whi5yCl6yn2btr2J8kQV1bQmmj7hS4GyStoBE2Z9L3Z-3QoQIYtNhElz', 'width': 1440}]",ChIJR5PLFwBzlC0RtGI2M5QQHew,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,1.0,-3.335148,119.707672,0,1,0,0,0
