formatted_address,name,place_id,rating,types,user_ratings_total,photos,lat,lng,history_and_cultural,nature_and_adventure,entertainment_and_leisure,spiritual_and_architecture,wildlife_and_conservation
"32RR+HHR, Unnamed Road, Kampo-Kampo, Binongko, Kabupaten Wakatobi, Sulawesi Tenggara 93794, Indonesia",Pantai Yella,ChIJWdKBXNinpy0R87sANLVkgRs,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",6.0,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102753834608826287328"">Raflin Ibrahim</a>'], 'photo_reference': 'AUGGfZmxwiu6xqobZzwKIiGUtWr92RSLQCQ1wErg3sdrGSn0wNH8gn44ovT0pNPeWvHFKjVQlRHW3o2a12zIP92SccrcLsNS8R1ILKfNEELzk50Xm5lTuz4Rgf3K9fRLz3G-5JkuXiZGzGUOmH-aqhckABPDO5Dw_Yr-6acZch8cR-7BN2b_', 'width': 1920}]",-5.9085092,124.0413912,0,1,0,0,0
"7V6V+2GG, Desa, Kollo Soha, Tomia, Kabupaten Wakatobi, 93793, Indonesia",Pantai Hondue,ChIJV0dlUz8bpy0RGQVpQMFHA24,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",16.0,"[{'height': 1955, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117281688449290363851"">Daniel Jezak</a>'], 'photo_reference': 'AUGGfZkHbpDmunG9zxC5rgPRVdOMkIi_K3DJaMQqiVdvDyFioRB98i5DE6PwLSN8tERXGjAztproFdYl94DGD1yuvF1kWQmfU7H5gIIM_NPgxhBJ7WLe3aggOm66a92W4h2ho-CKTecEipN0oPNbiSAgkW6RGlmAXQdfKzw1LwwzgPkpsmkh', 'width': 3479}]",-5.7399315,123.8938137,0,1,0,0,0
"Kahiyanga, Tomia Timur, Wakatobi Regency, South East Sulawesi 93797, Indonesia",Desa Wisata Kahianga (Dewi Kahyangan),ChIJad_vtMwbpy0RxB5QETkn-Xk,4.9,"['tourist_attraction', 'point_of_interest', 'establishment']",32.0,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100659157079471677245"">Ridha Khair</a>'], 'photo_reference': 'AUGGfZkMp31FDN8gjuY8n26cyftzKsI06seUAAlWSMcyDGJpB6jcsyJpdnOQjmFL03f3g4mIIbZm_VRL29NPnVh3p3DyfLFAVMdornNgaY_--ayc0KCf-ta0Tm3agDX0OkcWLsco8p-BNVRMjq5ahomZ8NxFu6RwOCX8watGZ6RWZlG4Uig', 'width': 4000}]",-5.7496798,123.95132,0,0,1,0,0
"62R4+43W, Kulati, Tomia Timur, Wakatobi Regency, South East Sulawesi 93793, Indonesia",Pantai Huntete,ChIJ4aa2g8YPpy0RxkGcI22BkHo,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",21.0,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102011037044158407753"">fauzi kojel</a>'], 'photo_reference': 'AUGGfZkdUXdbSma3Y8Wv-wTjp6Jps621wcsTnMrQbJKZPexNUWHcUneKVquStr2QAaUKuIil3noayQGUsu4Hg3HqWnpad1lQR15e8URDST7D0WDNut0MRGE_i7-guBoKdKbbvSvIMcUfDkrC4Z7m6_-orjGena7nALLkrMNvMfH-J2ziGs5x', 'width': 2250}]",-5.7596399,124.0052001,0,1,0,0,0
"Jl. Encik Sulaiman, Desa Kahianga, Kec. Tomia Tim., Kabupaten Wakatobi, Sulawesi Tenggara 93797, Indonesia",Puri Kahyangan Tomia,ChIJZbyEFqwFpy0RLHb19D8pago,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",18.0,"[{'height': 580, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105724323808071463006"">A Google User</a>'], 'photo_reference': 'AUGGfZm6vtiIEjLcCR_qXcwA52yoY_M4TgyHvH2qXhurQNNm4z6hFuodYpCoA6EGcGy3qqmJ1W6JJRFIIZGyFj0YZSXC4zQIGig_yRJnk8aTY3953qfdA5SmEakikdrhRWV83jzhnHl4PXChRY1vsjWO_AMV0w7QlhpIe7xLN7EI9qMwHai8', 'width': 736}]",-5.7603205,123.9406553,0,0,0,0,0
"Jl. WAHA - WAITII, Waha, Tomia, Kabupaten Wakatobi, Sulawesi Tenggara 93793, Indonesia",Pantai Lakota Tomia,ChIJO9wPDnEbpy0Rmy0FToF7wNY,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",143.0,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102633657135342666811"">minatun rahim</a>'], 'photo_reference': 'AUGGfZnvc-KWHLji8_RIYxmQ_fUALVTz_12BWMrRiPB7__alIAT8kEAkAfm6JLPF8pbe3PPiBN9Hp2_jOOsOsfAT47KYeu_2cb3GCE_2XaN4Exm8gftE3m_DpUpAf2soQ6JzbkJYAhg8S5rPAekgnqxKG5SY1V3D0d5HcL1KYntD6rWlhEDz', 'width': 4608}]",-5.7233789,123.9007048,0,1,0,0,0
"CWPJ+J57, Lentea, South East Sulawesi, Indonesia",Wakatobi National Park,ChIJt92KUDIEpy0RlGfICd6iJl0,4.5,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",2175.0,"[{'height': 2649, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104553047257168620017"">A Google User</a>'], 'photo_reference': 'AUGGfZnTFwwMnJrM6N9_5C8pWilzI2C_XjGgIFv0pPNoQKOy-PbXhAVoybtoBS60GO-l9ce0o6OtXT0kGsC7etQwu3x7KFpk23M8k0QAZkILN15Rxe9B_uuJ8WKdXgEMrtVQeLh3g_xP1No2rBiOLg_0GzngJ_ASepJKt2X667qfJ8rSJa_b', 'width': 3071}]",-5.5634736,123.9304254,0,0,1,0,0
"FQW4+GXG, Lagiwae, Kaledupa, Ambeua, Kec. Kaledupa, Kabupaten Wakatobi, Sulawesi Tenggara 93792, Indonesia",Balai Taman Nasional Wakatobi,ChIJldTI-FHYpi0RvyLsH_CYLNw,4.8,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",101.0,"[{'height': 3492, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112272134526398574034"">Andrika Permatasari</a>'], 'photo_reference': 'AUGGfZnIwFSAfdY5S_T2G9lb52UxWAdD6VUpE95TVGqPOrQpNvZkQI_4zCj_sq9FiJNNlX6YIcd0JuVm5_5rSMOuVxSqtOH7DfxrY0kM_arZWp6kPlQwJhvBkbX8QWTByairNiGZtJYMAD2SwlEngHrtwU1GKnOgKk_uzw-lVsjzEzgzdJuy', 'width': 4656}]",-5.503683199999999,123.7574683,0,0,1,0,1
"Jembatan, Ambeua, Kabupaten Wakatobi, Sulawesi Tenggara 93792, Indonesia",Togo Gau Satoto,ChIJ4V8FjCPZpi0R4mpqo13XLNI,4.7,"['tourist_attraction', 'point_of_interest', 'establishment']",15.0,"[{'height': 3144, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107302760292350604590"">A Google User</a>'], 'photo_reference': 'AUGGfZlVN9COzg1cbLpTkgeaFsucXEUZn3xSgebs0vUFXIUNE-k6Skw69iRlpa3VgUcJfZ_uMe5T7jfqnd7MW4t0SiktBVuUgTWgMzvGqMkgS6g1r0xaadd3_EMgZAKZjMDCE0eoymGednOYxLbG7qLBTveVPd5ZBOGtCkpltw_x1tKvXpn0', 'width': 4192}]",-5.4965816,123.7555133,0,0,0,0,0
"MGJM+QW2, Jl. Poros Wandoka Lingk. Teekosapi, Pongo, Kec. Wangi-Wangi, Kabupaten Wakatobi, Sulawesi Tenggara 93791, Indonesia",Goa Air Kontamale,ChIJoefGjHszoS0RRZbKItzZJ2k,4.4,"['tourist_attraction', 'point_of_interest', 'establishment']",544.0,"[{'height': 3016, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117261203445660124109"">Gilang Puspoadi</a>'], 'photo_reference': 'AUGGfZn8fsqz6GbP1Yfj2ZpG4QdLMeS4NnlIeO0YErbgdD27VxWkcLQ_dOuoj6jFjH_SW6lEIc9Ct3rV24oiURYi0DvxpM14EpBGs6sN551EfhEOXM3OQiVS11U0xfMPsYCPmkInJeFM2TFunmAt-h4GcPuC5iIhB-smenJ_LTzku0Be9-s8', 'width': 4032}]",-5.318101,123.5347544,0,0,0,0,0
