formatted_address,name,place_id,rating,types,user_ratings_total,photos,lat,lng
"2PRF+6M5, Pasar Lembu, Air Joman, Asahan Regency, North Sumatra 21263, Indonesia",Kampung banjar,ChIJ28yH011TMjARskfwzcsDNmY,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,3.0405051,99.72423649999999
"2MQX+P7R, Pasar Lembu, Air Joman, Asahan Regency, North Sumatra 21264, Indonesia",Simpang Janda Pasar Lembu,ChIJBUNiYnBNMjARaGWIyPxVtOE,3.0,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102642331395731877066"">A Google User</a>'], 'photo_reference': 'AUGGfZnNHX_SCFmOXHkQNr2tU6sLg3klk9OXzVRcEdYJftpiR02JzgBQwvkd-TPjXyH3UOuLhGNZWnM0OdVHGL21MSgiyxcr0q9NoiGYKTYNhpCSrHVaNiBpKgaO7JIOZE4GfySMh-lq4cSvYDBx2EhzI9XQuW2eNwVnvQRrKEdDyXpxPIdU', 'width': 720}]",3.0393647,99.6981282
"2MMX+R64, Pasar Lembu, Air Joman, Asahan Regency, North Sumatra 21264, Indonesia",SIMPANG GADIS PASAR LEMBU,ChIJZ-fPtvhNMjARe070GEtEML8,3.5,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106472590045154219963"">A Google User</a>'], 'photo_reference': 'AUGGfZlR7OJGkKlJgZ-N-8EGK0eX3ZzpGuZqRVcjRAJmMhbzb037hIx5snsuJOQp-7DYWlaEhUTvLAynV7JqAJe_iIBkD7PAqgZXxx6hc0zF8KTGXdcyx5hL1eqTBrLMPFL_RAG_tsAQ8IB9nlZxnTEvuOhyPWZOiBZaFajZrTURcLolYavL', 'width': 3120}]",3.0345208,99.6980809
"Siumbut Umbut, Kota Kisaran Timur, Asahan Regency, North Sumatra 21263, Indonesia",Waterboom Blue,ChIJTWQmEzRMMjARvxSdW8lSG5c,3.6,"['tourist_attraction', 'point_of_interest', 'establishment']",147.0,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106595138035052609425"">A Google User</a>'], 'photo_reference': 'AUGGfZkC_bZdsXTvyZK1BU0XFA4xAc-93k1IZ-wK6bQOpXu-Ii6T8SqmU750y8jEvJg9QwNwVdjmzAO781UV342oLcmkikOjH7HquyEgrSkbqmqF5s37hfGv44R6rlYDA78F_jA6aEahe9xKarMgWkUWfhHNUbK2o9BdqMcgYQllJPheMtLG', 'width': 2560}]",2.9906497,99.67522799999999
"XJMH+749, Kisaran Kota, Kota Kisaran Barat, Asahan Regency, North Sumatra 21211, Indonesia",Johan,ChIJIdnJsKFLMjARufGYqk_pIQo,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111032667680683812926"">A Google User</a>'], 'photo_reference': 'AUGGfZmPG-hBlU4YQGyEwXUUv7QVVGfOM6Qj8FEkTEaeS4b-zaxQzp8BhGx7dvj5q2m7U8SZqafoUItoih-uukInT0MKoP2d2TIHwku8gn-iPENlZ7XF4I-QmnVIabiH_xkfL2_C_BEP4hmMSx-Voiu6ip1FoxFRla-le0N5I_EGD0jwNkuA', 'width': 3120}]",2.9831633,99.6278715
"3PV3+5R4, Silo Lama, Silau Laut, Asahan Regency, North Sumatra 21253, Indonesia",Wisata Dayung Sampan silau laut,ChIJ22uuAWizMzAREXTBXnaz-e4,4.4,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105672142005287737553"">A Google User</a>'], 'photo_reference': 'AUGGfZkR8bV6vi_Np6iTp6OUKvfliG3801hxBLVZa7c7NfRAPuOYYsEngb7JN_-KpTo5P36tdvu3lZwdAmbJ8h3XdgLp_-QLciJcR6gSSZH2IMeNxDSvNWqsbDGRthzl5TMh0Nfdl5JENKnO1UYth3F2AA8Z6WUsZ_2QEZNIYwbsmXjhwYpW', 'width': 3120}]",3.0928832,99.7045863
"XJC4+7JR, Jl. Damai, Tj. Alam, Kec. Air Batu, Kabupaten Asahan, Sumatera Utara 21211, Indonesia",Wisata Lau Silo,ChIJwb64VzhJMjARM-2IMH62zHg,4.3,"['tourist_attraction', 'point_of_interest', 'establishment']",24.0,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102053698586027578408"">Haris Tirtana Karo-Karo</a>'], 'photo_reference': 'AUGGfZk2KAjJ-M-DvruNeaZQzl-1lH1bHO2vJaYT5p9LtMs0QT5_DXyt7OwF7uncOb2DmECcz_pnlPQQFiXmCPLW4HA6qRGOCrVyFcyVWMBkOUpRd7Cp8oE57jv1NyGB-tDxW8UW3DLbzJSZz1RAjmY_YQ1jEEUzYh-5xsThEpb3DdM4btLH', 'width': 3264}]",2.970728,99.60652669999999
"XJC7+3HR, Kisaran Naga, Kota Kisaran Timur, Asahan Regency, North Sumatra 21211, Indonesia",Danau Kelapa Gading,ChIJT-P4eV5JMjARdCEQfHDiqg8,4.1,"['tourist_attraction', 'point_of_interest', 'establishment']",431.0,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108517052870692493429"">A Google User</a>'], 'photo_reference': 'AUGGfZlcBMXhajkVhIrx7UaAvV1mQbMSO9l4IdGyWe9xwQSyur8LrSQ0aHxdv-PwG71tCOULG4iB5VWdF6dTdEHO6p9S9SZETINhTn2r08xY8rsp5EDFe5onWczCAt_q2NmxTzK94StPv40bj0pCN0DmMmDZCSwPOTdVm1_HbqrSfCTw2Gn5', 'width': 4160}]",2.9702428,99.61388199999999
"XQF6+88M, Air Joman Baru, Air Joman, Asahan Regency, North Sumatra 21341, Indonesia",Simpang Love Tasik Malaya Air Joman,ChIJZaje8vhRMjARV40TnenxV80,5.0,"['park', 'point_of_interest', 'establishment']",2.0,,2.973331200000001,99.7608003
"2M7W+7XR, Punggulan, Air Joman, Asahan Regency, North Sumatra 21264, Indonesia",Kincir Angin Air Joman,ChIJKSX-ACpNMjARNlsUvAru0Ng,4.8,"['point_of_interest', 'establishment']",4.0,,3.0146676,99.6972907
"Jl. Kamboja, Kisaran Naga, Kec. Kota Kisaran Timur, Kabupaten Asahan, Sumatera Utara 21271, Indonesia",Raja jamur,ChIJ1f4A3YhJMjAR-Gm4c0l3I8k,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,2.967236,99.6284402
"2H8P+2RG, West Bunut, Kota Kisaran Barat, Asahan Regency, North Sumatra, Indonesia",Lahan Pertanian Berdikari,ChIJqfahjwtLMjARf-C0cqay7dc,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,"[{'height': 963, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107574089045102971385"">A Google User</a>'], 'photo_reference': 'AUGGfZlzGb4tTnjRzzUB4ZkykxcGi18uPymp8YcMvje-TzmNHf1f9UHSsKRC0c8zIheBlqCJ_Hl65CGHwDB0OG_M0ZuazF1DqtChdFVyCAQWm0pv-HGTVOT1e1HAivkuEXmkKTGpzZ88424NNAj7GL90Vck90iDmXrtApAqWurprvgQ0jqun', 'width': 1280}]",3.0150573,99.5870908
"WPRW+MHR, Sungai Lama, Simpang Empat, Asahan Regency, North Sumatra 21361, Indonesia",KUDA KEPANG PUTRO SAMUDERO KENCONO,ChIJ75I3ik5RMjARi-H0pO2-XNE,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,"[{'height': 2598, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106253075397899803072"">A Google User</a>'], 'photo_reference': 'AUGGfZmW9zyBp2VR_rjR4X6347-SeZ-djWGZMVQ956f0zJEWJG_T8mbNQ7j1nk2sroYsSAAhydflIG8ZCzbpOgDhwG-p9Do8mXtNXziQyRhlCWP2pjQosTvys0JS7Do-WhJ5SHgAd1E7OgUepxDVyMU6NnrMdeQZ79wJ1HoopyeyujULaZ0R', 'width': 2336}]",2.94173,99.7463872
