formatted_address,name,photos,place_id,types,rating,user_ratings_total,lat,lng
"8QV5+HC, Gerak Makmur, Sampolawa, Buton Regency, South East Sulawesi, Indonesia",BOBHORU KACIMBOLA LAPANDEWA,"[{'height': 1844, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113722365589786151630"">dayat saja</a>'], 'photo_reference': 'AUGGfZkUoGAjyca-79iYFm5EOAWw_yvgqmrqSvsQLqTWwEJZKc5J82pPzqNOPL1KqlzRkRAewpssQfEylOCAe29qku_WY6oWYCvxu5cWJTaY85m55xwvQl_mpKRyn71MV7wUhfuPVTveE3NbNaU3m0hTeLcPd_ifNs6-KvlHb39xGO8LWuVZ', 'width': 4000}]",ChIJM6sgGe8VpC0Rr0NzwenFwPU,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,1.0,-5.656021099999999,122.7585452
"8QVC+9QQ, Gaya Baru, Lapandewa, Buton Regency, South East Sulawesi, Indonesia","Bukit Lambaulele, Desa Lapandewa, Kec. Lapandewa, Kab. Buton Selatan","[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111836659660173177800"">A Google User</a>'], 'photo_reference': 'AUGGfZnVKkghHX_vSnIikdRw09u1Pd6EUpGl7y7tmD8h5z8iuUiRoErUeUojTB47q0C_sHLjYQ-1E0K8AFuQQN0ISnoUSwab5WyiX2HOHKBPx4-_CN1QeSOAD6l5YQ4hzlpzcsdLzUQUpUB_v1r2JFjhciesXUyV_6WJsoJ6g7fYRE3TlyCX', 'width': 1920}]",ChIJb60SJUoVpC0RjPeBC7QpucU,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,2.0,-5.6565343,122.771972
"9QM6+JG, Lapandewa Makmur, Lapandewa, Buton Regency, South East Sulawesi, Indonesia",Taman Mini Wanculepani,,ChIJ0Z-boW0VpC0RRCLNX2e6VaM,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,0.0,-5.6159645,122.7612751
"9434+88, Lanosangia, Kulisusu Utara, North Buton Regency, South East Sulawesi 93672, Indonesia",Waculaea,"[{'height': 1632, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117149536889024001806"">La Ode Massudin</a>'], 'photo_reference': 'AUGGfZkomuzbLZRgMt49Q-pFQyPiT9BFZAR_lL9DuKt3AIaDbelxheJ7OJawUQ_GGzMge_El2PzJTbp2lC2IquaO0gKA1nwqhSwWWRsmESi3o8a7vH2JUckz1SQlhirXuT5Febgtn6L5HmvgR2VNhVH-MdrJD7TSvw6_DgxEVlzjyIHHEjJM', 'width': 918}]",ChIJHyG_rPKJoS0RfHKSAXV4k40,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,2.0,-4.6467242,123.10581
"557G+H3X, Malalanda, Kec. Kulisusu, Kabupaten Buton Utara, Sulawesi Tenggara 93672, Indonesia",Wisata Eengkapala,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104156636420789977780"">Aslan Saputra</a>'], 'photo_reference': 'AUGGfZmX_c1D9uNCZawZ7uNpHcgKj_Mqho5WtFbmHWqH0AELOU4H-RVilRzitu2XuTGG5aZLNG91Nl4ojNiluHZmIDY3cirwjhNLqG5nkPhuDsYFO9LYrPVz2EeA4SYhWdrsf1ISte5po84WPiVQvTmYu5dmicffvLYbF6_lCtLAZ_arUXqn', 'width': 2560}]",ChIJG3xZsJ55oS0RY7f88lNKHEE,"['tourist_attraction', 'point_of_interest', 'establishment']",4.7,15.0,-4.8360025,123.175219
"8FGH+H54, Kabawo, Watuampara, Kec. Siompu Bar., Kabupaten Buton, Sulawesi Tenggara 93752, Indonesia",LAGILA,,ChIJF0pVHRBnpC0RB3gALQj-Xik,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,0.0,-5.673373,122.4785424
"MJPQ+R7W, Wakea Kea, Gu, Buton Regency, South East Sulawesi 93761, Indonesia",Gua La Taa Desa Kamama,"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108151028180202771321"">A Google User</a>'], 'photo_reference': 'AUGGfZm4KP3-b4gS643Avfo1uUsTtCxa32H3HoXJgNuTbBjw5qPMTe7zCZ6SmmAiPz_PW2schbrI_tkp5WCLKzf-cj9wlisMN-ljvAmy2pfSHIe46mWyQdLJFjNYefYr31zfSTZj1bxc9a1-TWm366j3DsT8GWQd244ibN0ivQSFSQEvvLNE', 'width': 4096}]",ChIJXUGsp7eNoy0RGiHilgAw01g,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,0.0,-5.312894600000001,122.6381985
"Q3XG+7RR Transmigrasi, Padalere Utama, Kec. Wiwirano, Kabupaten Konawe Utara, Sulawesi Tenggara, Indonesia",Transmigrasi padalere utama,"[{'height': 4096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115826357741088383169"">A Google User</a>'], 'photo_reference': 'AUGGfZmZ9x4Yuy6wyBqogpGRB-chOVTgId95-f3vUYszLr7kJFce_DU96g6zE8YyzerRJdrh6sL71TiAE6iZtKmW9G4d8hU23Snzvv21SvACT2OzCS5Wz-gvZUO-LpPNh8LbyjJ7A71Oq4HxM9NP5EfcNleUnSYtNt15wBc6icMgRI31OtIb', 'width': 3072}]",ChIJk0AIJgCLmS0RHL753ybpJwQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,0.0,-3.2017526,122.0770026
"M98C+QCR, Jln poros labungkari, Lakorua, Kec. Mawasangka Tengah, Kabupaten Buton, Sulawesi Tenggara, Indonesia",Mawasangka Tengah,,ChIJCTU7a2-Doy0RKNVpsx3ikjA,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,0.0,-5.333013200000001,122.3710002
"GX79+MJG, Lasiwa, Wakorumba, North Buton Regency, South East Sulawesi, Indonesia",Kabawo Wani,"[{'height': 315, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115489176054840696335"">Muhammad Aris</a>'], 'photo_reference': 'AUGGfZkYdTU1aHIU1lX-FUQmbRhpfzifGOOvs_vnTbkAmWjvcwmoJGRlEarKElcrglC6-ey-GIJYSlgCQDJxTPUc9yj2URkua09oJfxSZpEzHARsGnSe5hGlDWBSpnMZb0J_h7CpEhZ6-mF7L25qX_ltM7T_8u5dDojfuF7HB1eRkblBytOl', 'width': 462}]",ChIJSaq7fAAZoi0Rv-pKzy-Lmxo,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,2.0,-4.4858115,122.9690739
