formatted_address,name,place_id,rating,types,user_ratings_total,photos,lat,lng,history_and_cultural,nature_and_adventure,entertainment_and_leisure,spiritual_and_architecture,wildlife_and_conservation
"4QJ7+VC, Bagaiserwar II, Sarmi Timur, Sarmi Regency, Papua, Indonesia",Pulau Sawar,ChIJlzzmEkcBEmgRe_SjntvmO6A,4.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102223001554846312355"">A Google User</a>'], 'photo_reference': 'AUGGfZkQLJi-B8AjHpgIBU8Q55euoTe_TY3eJtDZ5B7ZypeuDzLJdrG_oXL1cn7w3DPo2ccbwZun4pAiG597n8tLf6wD5-DQrMQUZuY9pMHNaizd59fLgkcFKdLr8i18ZqeeXzsyR7nnKpfGgjzXhuXl-f-0th8ueeKbc0vJWyjlOtWKpqax', 'width': 1280}]",-1.8678125,138.7635625,0,1,0,0,0
"9Q3H+6Q, Armo, Sarmi Regency, Papua, Indonesia",Pulau Kosong Cliff Diving Point,ChIJ8-3YNgDhDWgRjpZWFcQqwpQ,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,-1.646955,138.7794321,0,1,0,0,0
"4PVW+P5F, Sarmi, Sarmi Regency, Papua 99373, Indonesia",Sarmi - Kota Ombak,ChIJF3UtDYsBEmgRaFkXFGcYVbU,4.4,"['tourist_attraction', 'point_of_interest', 'establishment']",7.0,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116522168380629357430"">Ardyan Syah</a>'], 'photo_reference': 'AUGGfZmmjmn90NrZyxQbl0a88ArLh9_h2SW7mh9RikX6xv_nasW7yvKzUc4XcSUOa7tbXnkrwREwhWGsrDR0SU6hLXOWMDnM0QTxEnp-CgHFrOO8EjPMuu7ynFe0wcG5W0mUb4FqqO_Ht_IS5T6r95Zzoh0JRbN32VEfKftDP9T42ed9Fm9_', 'width': 4000}]",-1.8556873,138.7454374,0,0,0,0,0
"XVWM+5R, Ebram, Sarmi Timur, Sarmi Regency, Papua 99373, Indonesia",Kali ebram,ChIJZQnTtAIREmgRGIH23gkbNCk,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",4.0,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106670496575490644103"">Linda Naivi</a>'], 'photo_reference': 'AUGGfZmwOxFZxR63k_ti55V-PlJRgn24CyVN4350pHz3cp1LVpHX_pcijE5MMSghALPUBGEGNlosbtH7uMLIGc5uieQualU9WbqCfMhl7R3jJ_wAi-fcCTERKKoWXwcpDhc0aI2GwLEzFEZzmqzY9sDeechBiYX6SrmytqdNTGbgaG9JgHXy', 'width': 1800}]",-2.0045227,138.8845806,0,0,0,0,0
"9Q4G+G43, Armo, Sarmi, Sarmi Regency, Papua, Indonesia","Pulau Kosong, Sarmi",ChIJWxavIQDhDWgRvZwiD9CIBcs,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,"[{'height': 3544, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110788082659022503561"">A Google User</a>'], 'photo_reference': 'AUGGfZkoSqQwv2dRbk39Dw838KvsmSqgvkuZTPVeQKvkAOSZOVDiSDiM3We7tNvB4ziFulea4l9d-4TM4axlinYvEWz0HOt5Gd-OuaPgiuwzhtkyyWG07qGKlAcKXTUsnrf0vCCY3ALCci2Baf_4eoKQ1uXqfs9gmob9QNCjlH-Aw04fWpV-', 'width': 3020}]",-1.6437386,138.7752997,0,1,0,0,0
"5P8V+VQ, Sarmo, Sarmi, Sarmi Regency, Papua, Indonesia",Pulau sarmi,ChIJETzQYYv_DWgRfNEmyoZT7Uw,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112197356980655884651"">A Google User</a>'], 'photo_reference': 'AUGGfZmYGKew6Vmv89hg9de0nGhnw1nYLmipuApi9AnA6QEb5ZYIQC2c5_k4ZEI_uoJOlxRv88_nWYv6tmVPcgpNusDqAvLm4L5fKjHnT8Dd40yPM817jQc7ug0fuHMX9F4w4ahAgNPQmV_8SpNq6C6xi6LtHZSe0JHLpNFxHlGsr0p8j19M', 'width': 720}]",-1.8328096,138.7444104,0,1,0,0,0
"4QV2+WXX, Sarmi, Sarmi Regency, Papua, Indonesia",Tafarewar Baech,ChIJGTISiaoBEmgRB813IcHEbx8,3.5,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114322866380637170920"">A Google User</a>'], 'photo_reference': 'AUGGfZlaeKJ94IpPXfhlo3tcPUayed7NKBU_62bl-6K2Y6qw32EIP9bUmkogmpE5gAK9Ws0iS6U71PvR9O_0pEZ5udjEeQ5u840fTxDeqZXCghux2aMQ3QG45K86xfm5iGOD_u08DxPycq8KYJ-E_i3GlsDdtt7DEOo1oS9aohlYcLacWOZ6', 'width': 3120}]",-1.8554167,138.7531817,0,0,0,0,0
"9PFR+VP, Liki, Sarmi Regency, Papua, Indonesia",Immanuel Wreck Dive Point,ChIJT5ZvfgDhDWgRlJ_c9oDly5g,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,-1.6252741,138.74182,0,0,0,0,0
"9PFM+W6, Liki, Sarmi Regency, Papua, Indonesia",Liki Diving Spot - Desawar Wreck,ChIJmRqHuUPhDWgR4iW_dTCbGmY,3.0,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,-1.6252252,138.73301,0,0,0,0,0
"2VQP+JP, Holmafem, Sarmi Timur, Sarmi Regency, Papua, Indonesia",Telaga Cemara holmafem,ChIJ--I2nxIPEmgRCKa2E52Pla8,4.8,"['tourist_attraction', 'point_of_interest', 'establishment']",12.0,"[{'height': 2232, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113276520671419995005"">ansorul azhar</a>'], 'photo_reference': 'AUGGfZms0IhAFrpOuf9yUTqCuB3uzAKgXlJcIlpFEtsOJLOyXQQW_j22cyYso-OFfFunp-zZSxWLml0lZHjIW9uE2a4Fx4Lf5FmcKbn0poB2OwoY_K1sKrz9hC92hie72cYhXhUaSh5dE7V2BUBf5cZ5pOQyXLXvs4OEHStFjoiC3vads8XN', 'width': 3968}]",-1.9609871,138.886833,0,0,0,0,0
