formatted_address,name,place_id,rating,types,user_ratings_total,photos,lat,lng
"66QJ+H4, Burong Mandi, Damar, East Belitung Regency, Bangka Belitung Islands, Indonesia",Air terjun dam damar,ChIJDXjae0DPEC4R5zmNAV9cg04,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",4.0,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104774718701943661412"">Dwi Andika</a>'], 'photo_reference': 'AUGGfZk93QnpqCvb-SvHR6l-H8WMuMEsegfPrJeOqyIo0rDb_tvFIP39h6kVgYpKautH09gJXi1gZpD--37Tb0hw3x4KbC4-iqq_JLdMP1lYcI57QUX_7Ry_uUUpeDRZHvQJvw_Hf3jXrzt8Hx5g5dO1-L8BUUsSqn-2SSGUTX4vG6owYX-M', 'width': 3468}]",-2.7610579,108.2303098
"66PH+HVW, Burong Mandi, Damar, East Belitung Regency, Bangka Belitung Islands 33571, Indonesia",Bukit Sengkelut,ChIJ41A1pI7PEC4RnLOI5MLmmd8,4.2,"['tourist_attraction', 'point_of_interest', 'establishment']",6.0,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109493702497967207076"">Muhammad Irfan Siregar</a>'], 'photo_reference': 'AUGGfZlUWyxVqZp5hh8OsFs3pHhXaY78iVQc1mLteRewydmrd3DMhNfi8GKyvOZqDkCaGZIyYCwlp2bpJ4Z0hVSzS1Or0hEARFv6jeokZNNdLGVLL4TcfB5hsBYmfuobZChvllkfsRXQ-_IPNfcTjmRKu9_tH_0d2c97qe8No0ABKETOEhdk', 'width': 2048}]",-2.7635022,108.2297016
"765X+MGG, Pantai, Burong Mandi, K ecamatan Damar, Kabupaten Belitung Timur, Kepulauan Bangka Belitung 33571, Indonesia",GEOSITE BURUNG MANDI,ChIJD1L7JIHFEC4RHTr3CHZqPXk,4.8,"['tourist_attraction', 'point_of_interest', 'establishment']",6.0,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110789391697357244957"">cendika hartanta</a>'], 'photo_reference': 'AUGGfZn9w5-lMIWNCBdy01pM7LSKqYl8RK4zuuEg-SvIkcXBOF2Exg_xAQM2Nq1qVWbd4XSzLKJpH44LVDCcuygcFJJ8VaJDAYfYPZRft8vnIyfP8XdlKiihdMRGXG5ywA-xw_qD2iYMQPL0U7UgC0vZdeERr1WcK7HE4MoyGcHvvGuA2cS5', 'width': 2252}]",-2.7408164,108.2488265
"57MM+XH5, Unnamed Road, Sukamandi, K ecamatan Damar, Kabupaten Belitung Timur, Kepulauan Bangka Belitung 33514, Indonesia","Pembibitan Mangrove ""Kelompok Tani Sayang Kampong""",ChIJrU434H_bEC4RZDq-FhL3Nbo,4.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103003228930278900313"">rizal ricci</a>'], 'photo_reference': 'AUGGfZnajfP7d0qftTU-9nUjs8XfA_rh1CJy0ekluqF1yfIX0hPS2rfErWhnD4nv8XsuksPUJPd5EIFGTlQfnMKTjCaMGYkPgx_9YnzrCblASfd6ZECwpMogmoSvwFQdc8laA2j-Wrl4IYDXLhlJX0-1bNKUzLNl3bUNNNJ6wcv_Of2FfEZu', 'width': 3472}]",-2.8151,108.284
"57RH+VWW, Sukamandi, Damar, East Belitung Regency, Bangka Belitung Islands, Indonesia",Kulong Tiram,ChIJw_xUs_HbEC4RE4i5twaAbMM,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,"[{'height': 1840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116529829012324679496"">A Google User</a>'], 'photo_reference': 'AUGGfZmaSBBI_sJ0ttTmfcbyD1FoHv-N8-jH2V6VKI92dPzAng0xoqoGyiDT3aM6mO3D5-0Ql54LQykAybBjBvJjegteHfQj1lQ6mAahjB6M-OTtLwmB7dR5Is2Iod_ENx8KMRP84n83b9mx6durYIA-S9fiSQgPkVUpK4jnu6HL9ihgKpOj', 'width': 3264}]",-2.8077603,108.2798244
"Sukamandi, Damar, East Belitung Regency, Bangka Belitung Islands 33515, Indonesia",Agrowisata Keruing,ChIJAS04bRfbEC4RufOrZ8HAB54,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",7.0,"[{'height': 594, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102138430495303909311"">Abel Albanie</a>'], 'photo_reference': 'AUGGfZlMQo5M2xlq3kcw-BRfRv5GNeSzmuuHCQomBnCW6EJR3wbIMhK83eVjjoz3lZu1umXfkx4UX3tOnx85Ae_jsaMhF_F68Q7B7Bzau3maftMhFRK56Bo_ZPDxWSLZvIusd23MBFg7pey10vs-kcYhF-3knUfDr81BBqcH_W1C9N_LJFL3', 'width': 1280}]",-2.804527,108.2617919
"67VC+W54, Burong Mandi, Damar, East Belitung Regency, Bangka Belitung Islands, Indonesia",Bukit Batu,ChIJX9s44AjFEC4RWIlrWwcfhrM,4.4,"['tourist_attraction', 'point_of_interest', 'establishment']",72.0,"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111401982814164901918"">Riko Apriyanto</a>'], 'photo_reference': 'AUGGfZnvCNExg7ra7au0S9SU6ldqUBoRkW0jaBDYnusJknSxbNE-4z2pGSkecOgkgmXNApau1zN1b2sG6cC-8P7JNk4amWIYSOIVWCMMvuCrp6Mr7d7ZEwv-Mo1V1QHN4i3r7zUX9Gpq94WRzYb3yUwRt9364M4QePyrp0auLYv7vcd6NJsL', 'width': 4096}]",-2.7552385,108.2704588
"677F+HPX, Mengkubang, Damar, East Belitung Regency, Bangka Belitung Islands, Indonesia",Pantai batu burok,ChIJO2p7fYHFEC4R0OUljoAP57k,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,"[{'height': 1908, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111733253700424688775"">A Google User</a>'], 'photo_reference': 'AUGGfZn81RMaWUOYk939EPJxoTqMgffqo1HZ4MZ1gdwtBC2rbzCg7l-v9HfAv_fJpi8CETHJLPqcPlQzyiIuGmBDhGs-G1PvdsM_jzwyaBAlMe8X74nypNUjNfJ40z4cajHHC__m8INe9aiAs20KtJOFEmiHqdFhnvwKHO63pQfyKEgjyL6P', 'width': 4128}]",-2.7860144,108.274347
"57RM+J3M, Sukamandi, Damar, East Belitung Regency, Bangka Belitung Islands 33514, Indonesia",Objek Wisata Pantai Tambak/Pantai Kuala,ChIJ3xZv1t_aEC4RE3hGB8NXgNQ,4.0,"['tourist_attraction', 'point_of_interest', 'establishment']",18.0,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115875105580911978748"">AB4S ,</a>'], 'photo_reference': 'AUGGfZnyiqLhX9LHPyaCXvzXZU4MvD8sUim1bF7i9L6FHVmSvfRZQyIFkv2prKE9bezqzfEUmu195-8Ynp7Xa_9dHMnPyGXTWMk7fcgYtmXX3jHBvxtBEzqF_CtmN8qN74NFNVRoQ5hlNToxAYKXy7D0uiXFST3wHflQlfUq5iueCEsNxXq8', 'width': 4000}]",-2.8084046,108.2826722
"57PM+XF2, Sukamandi, Damar, East Belitung Regency, Bangka Belitung Islands 33514, Indonesia",Pantai Tambak,ChIJKYKikuHaEC4ROBqZtRReBhU,4.4,"['tourist_attraction', 'point_of_interest', 'establishment']",128.0,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115643407195143995190"">Mahmood Saeed</a>'], 'photo_reference': 'AUGGfZlU6k-bvl9kRpZvkEGhF93FeAf9SdSTmYGD8YSDgLVotGleEEjRMJiG3Cl8gFoJFyR4_-E4DHHE_CuoyhNFSvWV1W8Usm3WIAxOvbqvUkiW6xwDY7Onriab1tDUHMhJBFidCLytYcXw5NgDCk9pjgn9FCJQkQFGwxVqg3Hy83NyISz-', 'width': 3264}]",-2.8126186,108.2836298
