formatted_address,name,photos,place_id,types,rating,user_ratings_total,lat,lng,history_and_cultural,nature_and_adventure,entertainment_and_leisure,spiritual_and_architecture,wildlife_and_conservation
"Jl. Trans Nabire, Utikini Baru, Kec. Kuala Kencana, Kabupaten Mimika, Papua 99910, Indonesia",Wisata Baliem Waga Waga,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102328978102310940834"">A Google User</a>'], 'photo_reference': 'AUGGfZnAEl1WAbbsPYT8anhkfSRikUnOQ6Ll4SNEK3MngAYQ6hJ19F6-glOzg7_K4L3wLtwC1A9KPDWZlmATzGnCJmrmcbuL8QiQL1gbsJcSYuHIVWGJo8biSBAE9eSuJNl0fzQyUaedaQblJh7-SCGGI_hQdxxnNRTdP2eSC5YMC8NLR911', 'width': 4000}]",ChIJCe9NhX51I2gRZKMuCbXpDDc,"['tourist_attraction', 'point_of_interest', 'establishment']",4.6,23.0,-4.4503312,136.8363792,0,0,1,0,0
"X465+G46, Arwandop, Tembagapura, Mimika Regency, Papua 98972, Indonesia",Museum Tambang PT Freeport Indonesia,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110934582936818970853"">Marchellinus Demas</a>'], 'photo_reference': 'AUGGfZlyrfgUMLl1cpr9xz09hpiPEQaCFaIpl0PT9RrLUBzqU4SYUP5OCCohjRV_TTEgMhdEhwkCNJBY8ZmujoozJ-WfISyXjWDlD_it8NC7JumJMGNYYUZ_jlEwqCrSCjEDvk59LwnVSz1xldx3wlWFX2JCgAKLtifz_hw7HVQLJFw8kvuD', 'width': 4032}]",ChIJIaAnBz3oImgR131oHm8p0-o,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",4.6,218.0,-4.0387078,137.1077783,1,0,0,0,0
"WW4V+HFP, Jl. Irian, Wamena Kota, Distrik Wamena, Kabupaten Jayawijaya, Papua 99511, Indonesia",Mumi Jiwika,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117940016008370562565"">Doni Kurniawan Subardo</a>'], 'photo_reference': 'AUGGfZl2rrSdGM4zozYPsZbYvIGskcIlvkj7QyvmXo20U7DnIWVa1xxHOlgyiogFLiPo8SP5sz7xoIyq5G3p0L8VcJtEn6O3WXc4DqpHOXL4tjzg-zdExWvsWRaLROk3hktyz38NxEQpeDG1QZWbhmy3dgdvMESbLMZ5pUdRSOootrPbKzGr', 'width': 2268}]",ChIJxzDlvJNsPmgRCZ7XuahBBU4,"['tourist_attraction', 'point_of_interest', 'establishment']",4.2,65.0,-4.0935372,138.9437021,0,0,0,0,0
"JV49+534, alun alun kuala kencana, Kuala Kencana, Kec. Kuala Kencana, Kabupaten Mimika, Papua 99910, Indonesia",Alun-Alun Kuala Kencana (Freeport),"[{'height': 3632, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111319106167141151330"">A Google User</a>'], 'photo_reference': 'AUGGfZmyWwGqXMc0SBwDi0eb03XUOywpXR8ihhduPBwezf0WV-t8w2KVegqfgwioI5xYZmf8t-G5p8SzG9S1tl0UfbBqAJ5ke0CIyur4a9ix2Lnuu3t-KEEQ9eEmPkkkC2roPtEb220UIm8Zi48lqbPWpbfEMXpDXaiFQYYpRjDPiMbIYzli', 'width': 5456}]",ChIJZ72Dx7MLI2gRw9My6ftWNA8,"['park', 'point_of_interest', 'establishment']",4.6,1174.0,-4.3946122,136.867707,0,0,1,0,0
"VW47+WR3 Distrik, Walesi, Distrik Asolokobal, Kabupaten Jayawijaya, Papua 99511, Indonesia",Bukit Pesali Walesi,"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117892261083593969326"">Abim Habibi</a>'], 'photo_reference': 'AUGGfZmNgCek680jQmth8Asn8O5j30P1fPmrLzpfb2uQ2fAH-Ik3HcKpo_2LprMfqv36zx7gMtgAHA6_-aWRNge5TXoWAyuEV9BAp_j3gDUSMMwUe5rljaZk5gF5U64aRw4ccXXX20Lhrhf5SIU2gNAgwQMBRI7bVMK0-6QkPDfQl6HidLTx', 'width': 3648}]",ChIJQ-BZCmhvPmgRVXjFL1L7Bg0,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,3.0,-4.1427442,138.9145487,0,1,0,0,0
"XX75+H2P, Aikima, Kurulu, Jayawijaya Regency, Papua, Indonesia",Mumi Aikima,"[{'height': 867, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109903149210230635475"">Pearl Valerie</a>'], 'photo_reference': 'AUGGfZnsTk8DBxNLhgksh1MauSUXk3ZUt5-JIFpHby7qIgdCKT46yw15ZbRKriMmB-kmrGmF6crJ_oR_BJ3b5OPTqO_jfqnl8MUIB8XdalL6aJfNI3kmVXbg_jjwV9TEszeQoi2pvs4tT7MtgPkwyuUK4f-h6g1pZG9a-vsbuu-JxXIYVu_E', 'width': 1156}]",ChIJ_7ehvuYTPmgRoeRSL0oopC4,"['tourist_attraction', 'point_of_interest', 'establishment']",4.7,3.0,-4.0360257,138.9575633,0,0,0,0,0
"VWH2+MV3, Napua, Wamena, Jayawijaya Regency, Papua 99511, Indonesia",Pos Pantau Napu,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112470143598880741263"">Titis Setya W.</a>'], 'photo_reference': 'AUGGfZn1vIviJcvKaqBrupjqUCgE3Hw2sojcFRRew5U70rcR1LyAr55RCmmYN4dnB2HW1IheO7Mvhu0OcAtYJ6xmK4hWH-WRuE443KnBQZOsAauFct2wEiw93sTGxLVnKNY93aL5Qse3MO8t2YWPwV8LRgHtrLOsFU1qYI_oWDrcerK2e8Km', 'width': 4032}]",ChIJyx501FFtPmgR5hL0qW5SFE8,"['tourist_attraction', 'point_of_interest', 'establishment']",4.6,35.0,-4.120868,138.9021652,0,0,0,0,0
"3QJV+HR, Walak, Asologaima, Jayawijaya Regency, Papua, Indonesia",Gunung Watikam,,ChIJBVW13yYHPmgRJBnpvnMP-Y8,"['park', 'point_of_interest', 'establishment']",5.0,2.0,-3.9185836,138.7945801,0,1,1,0,0
"WV7C+X54, Tugiwa (Pelebaga, Distrik Wamena, Kabupaten Jayawijaya, Papua 99511, Indonesia",WukaHilapok Pelebaga,"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102403473986256710360"">A Google User</a>'], 'photo_reference': 'AUGGfZkGSOe3YVR4Rd41UQ--OTW6WdA6Bqj-Y9KvjVguPiaLuEfRoHRsA-6ZaQgEqDnosalz0eRDosp7cKqEiF00sYtJ-U_M9mOJEOklvW-HLxvLpGxD26MV-2nESw67bMbkYWl_JkrXIFXtBR9UU6Mzv-E-pPJmK9cnA9YvLgdRz-uIoTQ_', 'width': 4032}]",ChIJ6zBlPnxtPmgRrE3VX9CnAWc,"['museum', 'point_of_interest', 'establishment']",4.2,5.0,-4.0851216,138.870441,1,0,0,0,0
"XX73+82H, Aikima, Kurulu, Jayawijaya Regency, Papua 99566, Indonesia",Pasir Putih Wamena,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113931154842607029901"">Andrey Edrev</a>'], 'photo_reference': 'AUGGfZmYr_oUdxPVNE9W4IjqDfwMuaOxS_6q8iH4KiKVx3WOqzjz_dwcFehzOfJxxFu6coTLT4Tu-yxpwJK1ZXVE7aIHUKtyqwt3pPrhQ58HjdNvkI_HhLYLdJD44YYy2U4PUbiaof0wLIFCqOatcl50a5wK3zfWAl7MHq3IwkEYl3FRJb5S', 'width': 4608}]",ChIJuTVZ84QTPmgRVfXaOc0fRbc,"['tourist_attraction', 'point_of_interest', 'establishment']",4.8,51.0,-4.0366814,138.9526219,0,0,0,0,0
