formatted_address,name,photos,place_id,types,rating,user_ratings_total,lat,lng
"Jl. Ongko Karahang No. 001 RT. 004 RW. 002, Tumbang Penyahuan, Bukit Santuai, Tumbang Penyahuan, Kotawaringin Timur, Kabupaten Kotawaringin Timur, Kalimantan Tengah 74352, Indonesia",Kecamatan Bukit Santuai,"[{'height': 640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103931620387978512804"">Haddie Hadvhy</a>'], 'photo_reference': 'AUGGfZkcj8ABMrd8ysp-mgjnzcmonIXxW1R7BwKaKYD6qQH-s2Xxcgc1kJMnJFc61hNLthFV9vRMjyoZR6sBz_lnwuPo5H4clBlu0nDvM-OKbM9L5bXIeDoTp_fwQdvF7sQ1PzjukH87YGRyh7i_wAEJ1TMN7iuRM_cjBrAT5w9y4N-6A_qz', 'width': 960}]",ChIJVVVVVVWeBy4RqXPVPVZaD64,"['point_of_interest', 'establishment']",4.3,7.0,-1.8035916,112.4233753
"2Q23+H94, Banturung, Bukit Batu, Palangka Raya City, Central Kalimantan 73112, Indonesia",Taman Wisata Alam Bukit Tangkiling,"[{'height': 2998, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114378662597877610488"">Bagus Jiruga</a>'], 'photo_reference': 'AUGGfZlQX8_MqCwE2z7Rfa77Uo4rAd9x89Itb_qXdCNr5BD1FR22t79j0vmw0nUCBC-YxNQPnLfoEU94MusoYqDvFdzMP5qO-GvuU-EgdmrnJOqzmmR8D6K--Vd_VM0f9CxH3I1R60G2rItaE7rYvFnoRSKjjWg9QSlJQdMvbg-XGpn6AQPj', 'width': 3998}]",ChIJC9p7bn3A_C0REfm_MNF7glg,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",4.2,216.0,-1.9986201,113.75346
"X36W+H5V, Satiruk, Pulau Hanaut, East Kotawaringin Regency, Central Kalimantan 74362, Indonesia",Satiruk Beach,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110189719893230896891"">A Google User</a>'], 'photo_reference': 'AUGGfZmR_b1U_Jugf06vpdHZk_eViuwy4ZHXtW4fiJphWmXew8rxYTaa1mPZMhgkyQ4FM7mUgZCHFEe4XnHGgD6H0Npda0pVTdOG1FSwc7YDbtdUSpho9uO1YFgtiN5dBjHTVM7e5OT6LCHvx30teU_HrwZKYQp_LCE05ljsxM_TBEihoy0W', 'width': 1836}]",ChIJbY8Sys1D4i0RnKAQeh4wkGs,"['tourist_attraction', 'point_of_interest', 'establishment']",4.6,18.0,-3.038914,113.094845
"5V42+CR, Mukut, Lahei, North Barito Regency, Central Kalimantan, Indonesia",Air Terjun Jantur Doyam,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108613036819818284960"">Kagami Shota</a>'], 'photo_reference': 'AUGGfZntIoVLMVxs1WBOtb2XOnf2iTpmriVzdjlStU7lgROW9cWBPqxOohtMp_vUpT1sJhEycLpuT8IwHZe1--eUAttB1DlkjNB3B_taQfo84s_5JqI7KqEEIsF1ufMD46K7H_g9ijty7rBCY8nL282x2oNLas0_hMk_Hn9QWX264gjKlYMg', 'width': 4160}]",ChIJCTppapR1-S0REPYSicy1tXg,"['tourist_attraction', 'point_of_interest', 'establishment']",3.8,15.0,-0.843892,114.8521032
"H5X2+7H, Bantai Bambure, North Dusun, South Barito Regency, Central Kalimantan, Indonesia",Gunung tringsing,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110825078634000817764"">muhammad wahyudin</a>'], 'photo_reference': 'AUGGfZmhqLlnta7w_W0-_qPAu7lH_D4w_z2kXLeFiKj1emRnXRpW_iZQnKxYwTF5m5WO61aNGb1XZxzRSobDa-q_uExl04P5jwaxQdXKEg9eKuz-EP7h7apr-movGJ6f_lkb81cQLffm6B0jpPuRpcfQmC64nZfgaPoyIeA3cP89kiPxwNki', 'width': 4032}]",ChIJh7YoHepH-i0RL5whq6RwRAo,"['tourist_attraction', 'point_of_interest', 'establishment']",4.5,8.0,-1.4018042,115.1513878
"MQ5R+PF, Tumpung Laung II, Montallat, North Barito Regency, Central Kalimantan, Indonesia",Patok depan sebeah timur,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115180426125618436271"">saupi aulia</a>'], 'photo_reference': 'AUGGfZkHzDmNDnaKeg0VfXjHH4c7mJL7ekGKEkkUq5mQp1UwyLi_mEBIJWNTSFGLVLZAWIEXrhbtVVwoXgXrIDL-fTOMl13wYjAWjprGec38kCe5AJG_9th_G3r9csFB1X2oXTzTFz5YwLI1Qus3kY64cFu-WrWOLoPoPVzrcvV4qHu4RPEk', 'width': 3060}]",ChIJzQi78JDJ-y0RnDMnUPfuPpQ,"['park', 'point_of_interest', 'establishment']",5.0,2.0,-1.3407347,114.7911892
"VRVQ+VP7, Unnamed Road, Butong, Kec. Teweh Tengah, Kabupaten Barito Utara, Kalimantan Tengah 73861, Indonesia",Kawasan Cagar alam Danau Butong,,ChIJlf6fLCjV-y0RbLRDjXwytXs,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,1.0,-1.1053412,114.8393087
"XW5F+PW2, Trinsing, Teweh Selatan, North Barito Regency, Central Kalimantan 73814, Indonesia",Muara Teweh,,ChIJ1dP3YACB-S0Rmz2dA_DWj6E,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,1.0,-1.0407445,114.9247528
"5VWF+2QV, Nihan Hilir, Lahei Barat, North Barito Regency, Central Kalimantan, Indonesia",Air Terjun Jantur Bongkok,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117831418556560226210"">Arbino Han</a>'], 'photo_reference': 'AUGGfZknG9CtsDwefh0HhwM7O-0c8c3N12JJeIHqnm-If2nabGP7sMFy7sKo9kErmTAha6yZsfELPSsZIv9Zl2UEmueqQbSUQBS_LXIFSKZsWoeqwB0Jd0LZfGWP_w-fa4z1zerbTiC6ZiU7zbvSR0_8F5aSnAFPc7A5ho44UauS5C7QCxqE', 'width': 4000}]",ChIJbdEUT9EL-S0RZlAPly-iSDE,"['tourist_attraction', 'point_of_interest', 'establishment']",4.7,3.0,-0.8048833,114.8744141
"RV3M+HQ, Sikan, Montallat, North Barito Regency, Central Kalimantan, Indonesia",Kebun Sawit RAIHAN,"[{'height': 2608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117627550274519053707"">suti suparman</a>'], 'photo_reference': 'AUGGfZnTCimwXLmBlQn5toNpOVk2D0aYvvXkojBHR0QJZOaltBaRXrMgz1eyAYJm1JwwiddMfKkP4w3Vb1jRtuWRqb7ka4zjxeteiIlGal2x3O30bNu2Umn8j2NL_5Bpjbrar0XMBKo9VSgrdwfxxWM8tl4jiiswgjqFB5WIsW5seER5xE7a', 'width': 4624}]",ChIJCdKFEDzT-y0R2CnbLrUdHLY,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,2.0,-1.1960007,114.8844878
