formatted_address,name,place_id,types,rating,user_ratings_total,photos,lat,lng
"88MM+H7V, Mimin, Oksop, Pegunungan Bintang Regency, Papua, Indonesia",Paradise Lagoon,ChIJewWl7duVQGgRcC3IkmZ-x5A,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,2.0,,-4.6660156,140.3331633
"2HMP+5C7, Dabolding, Kolomdol, Pegunungan Bintang Regency, Papua, Indonesia",Kali Biru,ChIJJW7RPNotR2gRe-atyWw4ewc,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,0.0,,-4.967075400000001,140.5860497
"7C96+23J, Mimin, Oksop, Pegunungan Bintang Regency, Papua, Indonesia",Distrik oksop kabupaten pegunungan bintang,ChIJY1yC_r3BQGgRd7wMupLKoZc,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,0.0,,-4.732417799999999,140.4101474
"XRX9+XX, Bias, Murkim, Pegunungan Bintang Regency, Papua, Indonesia",Kampung bias tercinta,ChIJk7JDivjRQWgRqRxjI5yHsNk,"['tourist_attraction', 'point_of_interest', 'establishment']",4.3,6.0,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113807543005959967313"">A Google User</a>'], 'photo_reference': 'AUGGfZmL8fIFoDlckr5FJNfzRDWDo__fsFnV8HTHoPGC0zp59Cp7ZfOV71Ps6qS5DaDR3ARgnC760ZoEj7LSgtQ-FChBiL8yEvQuu_q8AvXaMa2DDPFdhbkWARBaz79ogfVCxB2438Hr032NVv14SjTAkhVAk5rBoZW6Qw-BwghE-0sdzrph', 'width': 960}]",-4.0001084,140.8199953
"QXVQ+QMM, Betem 2, Tarup, Pegunungan Bintang Regency, Papua 99575, Indonesia",Hutan Kwirok,ChIJr_uUmWTBRmgRbgjYgyMU_Ac,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,2.0,,-5.2055304,140.9891763
"PPCF+HV8, Kuken, Ambatkwi, Boven Digoel Regency, Papua, Indonesia",KALI KAO,ChIJu3AJetjhRmgRUVTR57zowtA,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,1.0,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105366332842287974687"">Hendy Prasetya</a>'], 'photo_reference': 'AUGGfZnCnm60wweXEOVHUJ3gG2o9zkca-NCcwbAnCbwT5JNGI2WHQxubf1us4d-lzsSGuA8GnJ_HPo3r_LSXPkptnHFRUEhKlqJ62BHqE_Joh2wu-h9iLHlDla4C2BQXGGIFzYorYoYLMvZn6Z7qG7dKxFQUhiUcVVqFm3o64P7Wd_L8k1gW', 'width': 3840}]",-5.2785845,140.7247053
"CG94+7H9, Omliom, Okbab, Pegunungan Bintang Regency, Papua 99572, Indonesia",Air Terjun La Kampung Maksum,ChIJib4MQrnvQGgR76hxlgicJqQ,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,1.0,"[{'height': 481, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102797652122434849635"">A Google User</a>'], 'photo_reference': 'AUGGfZmY_csYCnWpTAYWkoWm1QsynCBOhWp7x_mxUuhih9RYhBOdJWuAWywGJY6a_0epnGNh3linPLj5sDWJJJXQ872zqR89l09K8ZZ-E5zLbRHy137_YK65cAaJa4uVWOQ4PJ_aM2Pam1k6OOLCBqjylJ4rwgNF53tD_54ksyQ45KOZZzb1', 'width': 712}]",-4.5818274,140.5064705
"X5R2+WP3, Yelobib, Awinbon, Pegunungan Bintang Regency, Papua, Indonesia",Nanum Anaip,ChIJKU6_MCNRR2gRUVz1HHVsi9A,"['tourist_attraction', 'point_of_interest', 'establishment']",4.0,3.0,,-5.0077298,140.1517908
"HR2W+H7, Ikcan, Waropko, Boven Digoel Regency, Papua, Indonesia",Tebing Ican,ChIJO0uUGQD3RmgRId-c5YTb8P8,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,0.0,,-5.4486041,140.8457019
"CVHQ+C5, Bera, Sela, Yahukimo regency, Papua, Indonesia",Pemancingan,ChIJsd9NNwBlP2gR7kJFytao1OY,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,0.0,,-4.571488,139.8879176
"jln.turkop No.002, Iriding, Okbi, Pegunungan Bintang Regency, Papua 99572, Indonesia",tengtelbakon,ChIJe2yQB8HlQGgRMBfKnPk-QfI,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",5.0,1.0,,-4.6139335,140.5394388
"FVW4+8M, Upkim, Waropko, Boven Digoel Regency, Papua, Indonesia",Sungai Komen,ChIJe_R2Jar3RmgRMt1BNDGTRFk,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,1.0,,-5.504127700000001,140.8566543
"WQ4F+MPR, Yaniruma, Boven Digoel Regency, Papua 99571, Indonesia",Nur asma rahim abd,ChIJH72w2tG7OGgRdL6jlZ4HlNg,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,0.0,,-5.093272199999999,139.7742804
"3FQ4+GV, Kapuas Kanan Hilir, Sintang, Sintang Regency, West Kalimantan, Indonesia",Tanah miun,ChIJbWp3hKYZ_jERVpvcaJFWfhY,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,0.0,,0.0887512,111.4571491
