formatted_address,name,place_id,rating,types,user_ratings_total,photos,lat,lng
"Suradita, Cisauk, Tangerang Regency, Banten 15342, Indonesia",Taman Impian Raya Cisauk,ChIJ1b07LFHlaS4RMP145rOBgA8,4.3,"['tourist_attraction', 'point_of_interest', 'establishment']",32.0,"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100047206738912028078"">Haerul Bahri</a>'], 'photo_reference': 'AUGGfZkIFxfxqS9CN86qTKZmK2b-yU4F8kMK7TzvqquOAgECNjVQrHKkw6ZWNy9ssutS82uQKq-iznNUba6jaDnGNsslEkzyFhE33VUjnNoBFmhyzASFUDqkq9_RdLc4j270a_ZjruOopzQK2TjTr5oHqFmBiAxmBmuSsmu9rMGElxS3GiRZ', 'width': 4000}]",-6.344526699999999,106.630058
"Dekat Parkir Pulau Kembang, Jl. Kp. Setu No.Rt 12/05, Dangdang, Kec. Cisauk, Kabupaten Tangerang, Banten 15342, Indonesia",Dermaga Pulau Kembang Cisauk,ChIJjaElDl3jaS4RfsmKOuUArCU,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112898852748326897349"">A Google User</a>'], 'photo_reference': 'AUGGfZlb9oL71wKpgTR4ZtvHtTnvnPaLuMSXkDxdcYKHaHw1jPz0HmpQ7R-oyphsjIIiwLnl-Ddw785uZcsdvOCtOiPeDX9XmbHRoGuHg8S8zhKMg4D0-yQg73KkQ0tnouspD7cvOKvTfmlWNiDnhBxfYxHGP2xXEB-DLY17LkqgbHH4ufsg', 'width': 1952}]",-6.3502317,106.6220073
"MJ7F+GPQ, Cisauk, Tangerang Regency, Banten 15341, Indonesia",Danau Suradita,ChIJwSqUXYjjaS4RyrFLaF9t3hs,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110617417992768735070"">hamzah fauzi</a>'], 'photo_reference': 'AUGGfZmkNmdIMHnpHQRbLaq7X64uez6zlz79jXZ-2XMZ41qyRO1hm-ugjtCQRVB3pjQA7hawvBLPtaexiq6ovGmKGMpnb_rv3_5oJodGfbSFWMqFBFFyReAh13l_Fo3RVL-aScn8C0OfjTOh8T7S3C0jrLjB7n_JNslOlnhPHzueDHWdgAM', 'width': 3264}]",-6.336174400000001,106.6243472
"MJ57+R9R, Jl. H.Upni, Dangdang, Kec. Cisauk, Kabupaten Tangerang, Banten 15342, Indonesia",Kolam Renang Anak,ChIJU6Z4zmbjaS4Rsasm1Km-zKY,3.5,"['tourist_attraction', 'point_of_interest', 'establishment']",4.0,"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109307211708743879850"">A Google User</a>'], 'photo_reference': 'AUGGfZm4BNNAHd27IM6B3AoYM1wWLgFvJkoSL8Rwf7Vc3Ui8_Cwm8gKjYRhinmfPliQaaHWdEPqkttfLnB-W-Qf0YjuKjTncJzU-OLavvvoWXinivJQ4sCGmmzxvg9YI_O-sifKynjtsiOSqJOJ78SQ5lABrm6QNC_1t9bNBjbSPhIZQkqz1', 'width': 2160}]",-6.340384999999999,106.61338
"MH3W+G33, Mekarwangi, Cisauk, Tangerang Regency, Banten, Indonesia",HUTAN LEUWEUNG,ChIJKTC-CT_jaS4RNWJN-WEAI9A,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103341114773604503528"">jajang bukhori</a>'], 'photo_reference': 'AUGGfZkhyjlMmhpAi9ZbrP3YRLxWmNPVINenCpVvXwqT0ZhT-4rWQmD5CvZ2l0QaYFvkit0sUa_anb94s7-NkcDX29Hajy68JRhWiQIwSWefKXVZP5LS2fK3NKmN0ghVHvARJ_wmyvA6mvUEGpIdnV2neFX-CN6qEa73TTtAq-lCaQ4dNL8q', 'width': 3000}]",-6.3462254,106.5951755
"MJ2C+9VJ, Jl. Kp. Setu, Dangdang, Kec. Cisauk, Kabupaten Tangerang, Banten 15342, Indonesia",Danau RD2,ChIJid9RTDrjaS4RiadOUxKXy3U,4.3,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,"[{'height': 2534, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116957672658941215219"">Adrianto Tjia</a>'], 'photo_reference': 'AUGGfZkc3S66jojnDiAHQp91WaXXJv74VPAUUGjvR7xuiea2Nk7dbyxpHwjNyvbuUHgpVxqIpVjsOOU9X3HB_T6RYsNrD4enoJYJTsNT4QzQyAbi8FQF0JyWjcddaerT0T9gnTdrDH5w6QOrPUqjaC-bAvCrTiAezxqaGvmFMO_Reixe46Bz', 'width': 3380}]",-6.3490381,106.6221287
"JJWG+WP9, Jl. Griya Suradita Indah, Suradita, Kec. Cisauk, Kabupaten Tangerang, Banten 15342, Indonesia",Loading Bike Pingdan GSH,ChIJ6Xp-uf3jaS4REmMplS97cqU,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",14.0,"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106648597682796677698"">A Google User</a>'], 'photo_reference': 'AUGGfZnpqkNB707QxYZL-lBFVHRtHXiwp0zkJk6QENtpGd7AXLAyTmNlTC76ksNBugYNlvdoIbGNKGngUVrHBP2C1CF25ztSH2XaRZ3KhdQvLqCZMBjuEqgm7-ejWRF9n5UJx1bfNsjB5U5-tcEmXWtNlOdc0BIixS5HaLbYNbRwb2ql2KV4', 'width': 5120}]",-6.3527045,106.6268595
"Jl. Griya Serpong Asri, Suradita, Kec. Cisauk, Kabupaten Tangerang, Banten 15343, Indonesia",Danau DHX,ChIJ6wm5-0blaS4RT9e1pbboX8Y,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",6.0,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112673165021986815516"">Yudi Rachmansyah</a>'], 'photo_reference': 'AUGGfZnrPlh9y9kpwqX_7h5-MmMZS0lZh5WC4Sf0M90mY32oOtOkKJPbzyWVyQAZwizW58Dtlcb7PWR7fs21WOR63XKhb2ch3kCG1JXRxhzanc0I9R76l5AKX-FKC7z8rQIMwIbCOmW3Kjgw05WCEGp9eohlRsY2SvnQIyjVGq0DL0VwEuKV', 'width': 1920}]",-6.3519298,106.6345467
"Jl. Kp. Cilegong, RT.03/RW.01, Mekarwangi, Kec. Cisauk, Kabupaten Tangerang, Banten 15340, Indonesia",PMC Telaga Mekarwangi,ChIJx1g7-2bjaS4RNNm7_s3oP2Q,4.8,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113627822077446718777"">A Google User</a>'], 'photo_reference': 'AUGGfZnm7cogpyCC4mDEypxqzIEh5RbgqkAbNpOoIIefhhJAcmGtunTwMIi9Xj1TQrcRA-IHhZJ2OE7Vs2t5XLqk-8d-Xt3NyUdRDxD0GWVmoE4kJvuXrLMG6FBMKiVbEBbFK6cCcmBdUWxQ0bnn5wJyATiMUoVkSAPCX6dxN4dRclvdC5wB', 'width': 3120}]",-6.343502699999999,106.6080743
"Bsd, Jl. Kp. Cibelut, RT.02/RW.01, Kec. Cisauk, Kabupaten Tangerang, Banten 15343, Indonesia",Pemancingan Bandar Umar BDR,ChIJI0QrJLzlaS4RyDKMAdSHSlc,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112492895108179513875"">A Google User</a>'], 'photo_reference': 'AUGGfZnsFeHOyw4oIPCYr06sO8p-pbgxlY9aZDQtH2K9qYrzpu12PyLiqSmqRqYv99YRxLNc8T1m4EIkJ8Cfs-PkmZ3TLpSQFyVj8unCamAnxSuWaDzSsRPHuAoPBo6gxy1hVAtMm8hAy-hmiX0-uCjSMSJst3ibvnYV3K1hMA-HalNZWCbF', 'width': 1920}]",-6.324252299999999,106.6435917
