business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,photos,permanently_closed,url
OPERATIONAL,"G93W+24R, Mandala, Merauke, Merauke Regency, Papua, Indonesia","{'location': {'lat': -8.4973832, 'lng': 140.395268}, 'viewport': {'northeast': {'lat': -8.49604482010728, 'lng': 140.3966015798927}, 'southwest': {'lat': -8.498744479892723, 'lng': 140.3939019201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dermaga james,ChIJQ7Gia2Q_tWkRAx3cH30qHR0,0.0,ChIJQ7Gia2Q_tWkRAx3cH30qHR0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJQ7Gia2Q_tWkRAx3cH30qHR0
OPERATIONAL,"FF9V+CFC Bomi Sai kanguru, Wasur, Kec. Merauke, Kabupaten Merauke, Papua 99616, Indonesia","{'location': {'lat': -8.5302388, 'lng': 140.4934759}, 'viewport': {'northeast': {'lat': -8.528883820107279, 'lng': 140.4947320798927}, 'southwest': {'lat': -8.531583479892722, 'lng': 140.4920324201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Penyulingan Kayu Putih,ChIJRUqY7cIXtWkRxLwtjgB6IDc,5.0,ChIJRUqY7cIXtWkRxLwtjgB6IDc,"['tourist_attraction', 'point_of_interest', 'establishment']",3,{'open_now': True},"{'compound_code': 'FF9V+W9 Wasur, Merauke Regency, Papua, Indonesia', 'global_code': '6R32FF9V+W9'}",,,https://www.google.com/maps/place/?q=place_id:ChIJRUqY7cIXtWkRxLwtjgB6IDc
OPERATIONAL,"GC36+C3R, Kelapa Lima, Merauke, Merauke Regency, Papua 99615, Indonesia","{'location': {'lat': -8.4963873, 'lng': 140.4101363}, 'viewport': {'northeast': {'lat': -8.49502447010728, 'lng': 140.4115244298928}, 'southwest': {'lat': -8.497724129892724, 'lng': 140.4088247701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PERIKANAN DARAT,ChIJgThz43I_tWkR_Ba4LnhOAT8,5.0,ChIJgThz43I_tWkR_Ba4LnhOAT8,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJgThz43I_tWkR_Ba4LnhOAT8
OPERATIONAL,"F9FV+F34, Unnamed Road, Samkai, Kec. Merauke, Kabupaten Merauke, Papua 99615, Indonesia","{'location': {'lat': -8.5263571, 'lng': 140.3926885}, 'viewport': {'northeast': {'lat': -8.524422720107278, 'lng': 140.39511205}, 'southwest': {'lat': -8.527122379892722, 'lng': 140.39188065}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Flat Beach Samkai,ChIJVYPl4KwVtWkRmj9bfnFuVpA,4.5,ChIJVYPl4KwVtWkRmj9bfnFuVpA,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103378752612023164195"">AnchA</a>'], 'photo_reference': 'AUGGfZnHC2G-41r3T6WaaEj-8LM3KUCl_PrdqSXubjCHdbZOGmd9BHzbTFNoTux-7bTW-_pXUqiUFWLFX9eFZdL_-D3aNc7omLLwhEfDJw7OD7hD3kkOg1ZUDco8s5cJ2nDNo5nvcfKoK0wluaahJVcNHIOy1H598opR_8Dn1326pBgkhsnG', 'width': 1920}]",,https://www.google.com/maps/place/?q=place_id:ChIJVYPl4KwVtWkRmj9bfnFuVpA
OPERATIONAL,"H97Q+Q4P, kampung sidomulyo, dusun sirapu, Sidomulyo, Kec. Semangga, Kabupaten Merauke, Papua 99613, Indonesia","{'location': {'lat': -8.4356181, 'lng': 140.3878054}, 'viewport': {'northeast': {'lat': -8.434581020107277, 'lng': 140.3890287298927}, 'southwest': {'lat': -8.437280679892721, 'lng': 140.3863290701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,FAMILY HOUSE,ChIJxZB-S0g_tWkRDjNhVZ4-Nkg,5.0,ChIJxZB-S0g_tWkRDjNhVZ4-Nkg,"['tourist_attraction', 'point_of_interest', 'establishment']",1,{'open_now': True},,"[{'height': 961, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101133400787634982265"">Alex Pinibo</a>'], 'photo_reference': 'AUGGfZm7Br9Su0zd9ha5-VIIExNLAkrLSFRUSEILRHhyVbu_mlGJTu-xzZhbhJY7x945EKBPDJzxbn70hBNaXp0L-iCzWjkqR4xB2HwtAodEyH70Ju_uGeGTgy6JmGtcqJJaf8ub9YmjfZK6mxxlUfk5DIBTTdC6EwNw_N4ZubMCQnnxLo7X', 'width': 720}]",,https://www.google.com/maps/place/?q=place_id:ChIJxZB-S0g_tWkRDjNhVZ4-Nkg
OPERATIONAL,"GCRV+WQ7, Kuper, Semangga, Merauke Regency, Papua, Indonesia","{'location': {'lat': -8.4577122, 'lng': 140.4444102}, 'viewport': {'northeast': {'lat': -8.456769900000003, 'lng': 140.4459346798927}, 'southwest': {'lat': -8.4605391, 'lng': 140.4432350201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KOLAM SPBU,ChIJJwnwbgQ9tWkRY_F7fF1rS_o,0.0,ChIJJwnwbgQ9tWkRY_F7fF1rS_o,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJJwnwbgQ9tWkRY_F7fF1rS_o
OPERATIONAL,"Wasur Kampung Km.26 Papua Trans Higway, Klp. Lima, Kec. Merauke, Kabupaten Merauke, Papua 99616, Indonesia","{'location': {'lat': -8.4991117, 'lng': 140.4049814}, 'viewport': {'northeast': {'lat': -8.497741170107277, 'lng': 140.4063407798927}, 'southwest': {'lat': -8.500440829892721, 'lng': 140.4036411201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ekowisata,ChIJI3-OnRQ_tWkR68wyAk1WJWA,1.0,ChIJI3-OnRQ_tWkR68wyAk1WJWA,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,"{'compound_code': 'GC23+9X Kelapa Lima, Merauke Regency, Papua, Indonesia', 'global_code': '6R32GC23+9X'}",,,https://www.google.com/maps/place/?q=place_id:ChIJI3-OnRQ_tWkR68wyAk1WJWA
OPERATIONAL,"Alun-alun, Klp. Lima, Kec. Merauke, Kabupaten Merauke, Papua 99615, Indonesia","{'location': {'lat': -8.5080639, 'lng': 140.4118485}, 'viewport': {'northeast': {'lat': -8.506801120107278, 'lng': 140.4129683298927}, 'southwest': {'lat': -8.509500779892722, 'lng': 140.4102686701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Monumen Kapsul Waktu,ChIJpx-ZmvQVtWkRhO5mbdtRymM,4.4,ChIJpx-ZmvQVtWkRhO5mbdtRymM,"['tourist_attraction', 'point_of_interest', 'establishment']",629,{'open_now': True},"{'compound_code': 'FCR6+QP Kelapa Lima, Merauke Regency, Papua, Indonesia', 'global_code': '6R32FCR6+QP'}","[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109298557918225022492"">A Google User</a>'], 'photo_reference': 'AUGGfZm_lqueUNA3NVo20CYRIbiwkvW959Oqy09SJ-WkbewYYqRJXm_rHvNgZBYoSXIObHhQyQAAfIi8zzfNgH3wsm2yczCzRn6mD_YaKuK6BbYJmMqqz7wmUXdE17z7M4kc0alhJGMcKxK-oVXQCSnFgFbyu1oV8gcf_MxOMv7cCrQw0SD3', 'width': 2268}]",,https://www.google.com/maps/place/?q=place_id:ChIJpx-ZmvQVtWkRhO5mbdtRymM
OPERATIONAL,"Wasur, Merauke, Merauke Regency, Papua 99166, Indonesia","{'location': {'lat': -8.5468844, 'lng': 140.4754777}, 'viewport': {'northeast': {'lat': -8.543588449999998, 'lng': 140.47717435}, 'southwest': {'lat': -8.54798305, 'lng': 140.47038775}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,AGRO WISATA TARAM,ChIJIWaTv-IXtWkREo_ELYp7qr0,3.5,ChIJIWaTv-IXtWkREo_ELYp7qr0,"['tourist_attraction', 'point_of_interest', 'establishment']",2,{'open_now': True},"{'compound_code': 'FF3G+65 Wasur, Merauke Regency, Papua, Indonesia', 'global_code': '6R32FF3G+65'}","[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115955478020458311284"">A Google User</a>'], 'photo_reference': 'AUGGfZlgSilh1sMV8JImu-JUty8urMdkH-nCRYRu9zZQIcoRKGTlPzW9ToG50fI5BGjloociKjrxubBCTAoVNrOQr-CvnzpFi-40bA4uDRD9mXiYmga3S0s-XI7d6itoujyvuOtAJ1weSmBM3WQyFwXjipwgte9B_iBzBwRAUWl2NEG91kvr', 'width': 4160}]",,https://www.google.com/maps/place/?q=place_id:ChIJIWaTv-IXtWkREo_ELYp7qr0
OPERATIONAL,"F9VF+RWG, Jl. Menara Lampu Satu, Samkai, Kec. Merauke, Kabupaten Merauke, Papua 99614, Indonesia","{'location': {'lat': -8.505846, 'lng': 140.37465}, 'viewport': {'northeast': {'lat': -8.504442220107277, 'lng': 140.3759574298927}, 'southwest': {'lat': -8.507141879892721, 'lng': 140.3732577701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jalan Manohara,ChIJmauRP_gVtWkR-6cYKcicmXg,2.0,ChIJmauRP_gVtWkR-6cYKcicmXg,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113813837295103116088"">A Google User</a>'], 'photo_reference': 'AUGGfZnDCEvXurv9lmNxyN_2m03kaDMfFVUsItUJMZtQNHhUsEv2mxUP1dAso9nmvRKXFVBmZ1JpwygSToT21NWhyWCQdx9uvJoMZOZ59-g--xOzR8LSaTLAEUUOr6_9caVy1O5Xkn2qZrG_BZABgq0NACV8Y4zSFgl4-8dvkt_QxcN0uGFm', 'width': 900}]",,https://www.google.com/maps/place/?q=place_id:ChIJmauRP_gVtWkR-6cYKcicmXg
