business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,place_id,rating,reference,types,user_ratings_total,opening_hours,photos,plus_code,url
CLOSED_TEMPORARILY,"CQ6V+265, Kalibening, Sumberejo, Kec. Wadaslintang, Kabupaten Wonosobo, Jawa Tengah 56365, Indonesia","{'location': {'lat': -7.5899827, 'lng': 109.7931177}, 'viewport': {'northeast': {'lat': -7.589105520107279, 'lng': 109.7948852298927}, 'southwest': {'lat': -7.591805179892723, 'lng': 109.7921855701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,DERMAGA TPI 2 SUMBEREJO,True,ChIJY_izWVC5ei4RY5fchxCiD8U,0.0,ChIJY_izWVC5ei4RY5fchxCiD8U,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJY_izWVC5ei4RY5fchxCiD8U
OPERATIONAL,"Jl. Jatijajar, Palamarta, Jatijajar, Kec. Ayah, Kabupaten Kebumen, Jawa Tengah 54473, Indonesia","{'location': {'lat': -7.670562199999999, 'lng': 109.4273529}, 'viewport': {'northeast': {'lat': -7.668805170107276, 'lng': 109.4286354298927}, 'southwest': {'lat': -7.67150482989272, 'lng': 109.4259357701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Goa Jatijajar,,ChIJjdJcQtNJZS4R8WtA2EDiJzg,4.3,ChIJjdJcQtNJZS4R8WtA2EDiJzg,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",9683,{'open_now': False},"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107886381970600032931"">firmanita ayu</a>'], 'photo_reference': 'AUGGfZnh6zLt3KxBbY-4zpXHtEHsKR-If0OWuiufmXyry_-QK18aTUaakY_eCkWZf9z9dZ6sehhGyXAJV5Kp1SA_rCgAxHQKsU9KPWuexE0V4yhGLdAo2C1IV_nxbcQNMf-ieDvRcMBm_ZurNQtbcr99eeRAVEzSE51jOKQMYaUAOk-G9e57', 'width': 4624}]","{'compound_code': '8CHG+QW Jatijajar, Kebumen Regency, Central Java, Indonesia', 'global_code': '6P4F8CHG+QW'}",https://www.google.com/maps/place/?q=place_id:ChIJjdJcQtNJZS4R8WtA2EDiJzg
OPERATIONAL,"Sukadana, Jembangan, Poncowarno, Kebumen Regency, Central Java 54393, Indonesia","{'location': {'lat': -7.6546277, 'lng': 109.7707323}, 'viewport': {'northeast': {'lat': -7.653286470107277, 'lng': 109.7720864798927}, 'southwest': {'lat': -7.655986129892721, 'lng': 109.7693868201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Jembangan Natural Park,,ChIJweNH2we4ei4RRErqEFvhUzE,4.3,ChIJweNH2we4ei4RRErqEFvhUzE,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",1802,{'open_now': False},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104498616396392214824"">Amalia Rizky Zain</a>'], 'photo_reference': 'AUGGfZntsw2YzZ6Z6Ydy6-CYWFMJ4SUtzKdAtuDQTi-_LLD1ZrvdxeJo8EJMGAKFAdN18yiQj8TBEKZcwQpXg6u_6YX9XcDhYEW1SwfU7aq5fSuooJqUZGv7PvR4iWZN54HIlIBtIegNZziuYB-GQElkcLVx8mSrIOA9KD_Auj2jLXqf3h-b', 'width': 3264}]","{'compound_code': '8QWC+47 Jembangan, Kebumen Regency, Central Java, Indonesia', 'global_code': '6P4F8QWC+47'}",https://www.google.com/maps/place/?q=place_id:ChIJweNH2we4ei4RRErqEFvhUzE
OPERATIONAL,"CQ4X+MPX, Kalibening, Sumberejo, Kec. Wadaslintang, Kabupaten Wonosobo, Jawa Tengah 56365, Indonesia","{'location': {'lat': -7.5932627, 'lng': 109.7993501}, 'viewport': {'northeast': {'lat': -7.591570370107277, 'lng': 109.8005580798927}, 'southwest': {'lat': -7.594270029892721, 'lng': 109.7978584201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lapak Kantor TPI 2,,ChIJoZJRLn25ei4RNQPhfCvLilo,0.0,ChIJoZJRLn25ei4RNQPhfCvLilo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJoZJRLn25ei4RNQPhfCvLilo
OPERATIONAL,"CQ5V+JF2, Kalibening, Sumberejo, Kec. Wadaslintang, Kabupaten Wonosobo, Jawa Tengah 56365, Indonesia","{'location': {'lat': -7.590987999999999, 'lng': 109.79364}, 'viewport': {'northeast': {'lat': -7.589609170107277, 'lng': 109.7951520798927}, 'southwest': {'lat': -7.592308829892721, 'lng': 109.7924524201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Minawisata Waduk Wadaslintang,,ChIJubBV9iC5ei4RKYNK37wM5VU,3.8,ChIJubBV9iC5ei4RKYNK37wM5VU,"['tourist_attraction', 'point_of_interest', 'establishment']",5,{'open_now': False},"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106736389118824000816"">Prasetyo Ndaru</a>'], 'photo_reference': 'AUGGfZm6B0L8yO1Hy4wkhZNqL5Dg31ehllIXEKuPd_nr1VP-0tdHfZeDVhXZCyhfUn_ViMp7TDPY0yYsyg24oH4CZAz8B2aBmZZhskh_xEMXkuLFSinelVQyxncvCoIu_65P-Rd9m7K_6iMbJ_VVaQlaKrl89SyBcHkbIVZV5hCh0rXlojrr', 'width': 4128}]",,https://www.google.com/maps/place/?q=place_id:ChIJubBV9iC5ei4RKYNK37wM5VU
CLOSED_TEMPORARILY,"9QVQ+Q3, Bersole, Sumberejo, Kec. Wadaslintang, Kabupaten Wonosobo, Jawa Tengah 56365, Indonesia","{'location': {'lat': -7.605542799999999, 'lng': 109.7876544}, 'viewport': {'northeast': {'lat': -7.603843370107278, 'lng': 109.79013675}, 'southwest': {'lat': -7.606543029892721, 'lng': 109.78682695}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,LAPAK PEMANCINGAN OM RIDHIE TPI 1,True,ChIJ_8kKPdu5ei4RvVjC7Y4CmIw,0.0,ChIJ_8kKPdu5ei4RvVjC7Y4CmIw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ_8kKPdu5ei4RvVjC7Y4CmIw
OPERATIONAL,"CQ2V+C5Q, Jalan Raya, Bersole, Sumberejo, Wadaslintang, Wonosobo Regency, Central Java 56365, Indonesia","{'location': {'lat': -7.5989022, 'lng': 109.7929715}, 'viewport': {'northeast': {'lat': -7.597729720107279, 'lng': 109.7947379798927}, 'southwest': {'lat': -7.600429379892723, 'lng': 109.7920383201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kecobakan fishing spot,,ChIJkbQRg_K5ei4RFUsYxZbV5Bo,4.7,ChIJkbQRg_K5ei4RFUsYxZbV5Bo,"['tourist_attraction', 'point_of_interest', 'establishment']",3,{'open_now': True},"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110462640108893696984"">A Google User</a>'], 'photo_reference': 'AUGGfZlZ2HiVRdvODt9ySq86op0vWTVNWPTSpMVFcwu1i885YKK0MUn8z_4lidoFchy3L2GIbSC9NpuKgJfA0K6nwtIKHDysdyLTT2J-oXCMWk31VH9nt8nisOLIjJmOKUL1hEMRwJT3Vp0rx5dkG_nYgM1Yni-lCt1iutCy2x0TFOzh1zQH', 'width': 2322}]",,https://www.google.com/maps/place/?q=place_id:ChIJkbQRg_K5ei4RFUsYxZbV5Bo
OPERATIONAL,"9QXP+6J3, Unnamed Road, Bersole, Sumberejo, Kec. Wadaslintang, Kabupaten Wonosobo, Jawa Tengah 56365, Indonesia","{'location': {'lat': -7.601988899999999, 'lng': 109.7865593}, 'viewport': {'northeast': {'lat': -7.600656920107276, 'lng': 109.7878107798927}, 'southwest': {'lat': -7.60335657989272, 'lng': 109.7851111201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,TPI 1 Wadaslintang,,ChIJm8D2h525ei4RnnoL81bGWlo,4.3,ChIJm8D2h525ei4RnnoL81bGWlo,"['tourist_attraction', 'point_of_interest', 'establishment']",22,,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110462640108893696984"">A Google User</a>'], 'photo_reference': 'AUGGfZl_ajsP2wblHkyOh1PvwJyoY6vV-B6xFGDLcB_INyBGzFST3cbvOrg7rSe1tsCCH_8NXfFJz-6GJFFhM6aRpDPEWhvaPm5vEdT-wuBr9mm3oy6w6fwiS0Cfa9ydSGqLo79jb63bG3A1Nu4ui68Y0q-Cw6zXqGM4qW84LORLd-57h6uh', 'width': 2322}]",,https://www.google.com/maps/place/?q=place_id:ChIJm8D2h525ei4RnnoL81bGWlo
OPERATIONAL,"CQ4V+QC4, Waduk Wadaslintang, Sumberejo, Kec. Wadaslintang, Kabupaten Wonosobo, Jawa Tengah 56365, Indonesia","{'location': {'lat': -7.593102999999999, 'lng': 109.7935763}, 'viewport': {'northeast': {'lat': -7.589840500000001, 'lng': 109.7951202298927}, 'southwest': {'lat': -7.594190499999997, 'lng': 109.7924205701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lapak Pemancingan Partimin TPI 2,,ChIJ2d7EdwC5ei4RevzsyGNRPHc,0.0,ChIJ2d7EdwC5ei4RevzsyGNRPHc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ2d7EdwC5ei4RevzsyGNRPHc
OPERATIONAL,"9QVW+PC4, Medasih, Sumberejo, Kec. Wadaslintang, Kabupaten Wonosobo, Jawa Tengah 56365, Indonesia","{'location': {'lat': -7.605738599999999, 'lng': 109.7960872}, 'viewport': {'northeast': {'lat': -7.604145320107276, 'lng': 109.7968449298927}, 'southwest': {'lat': -7.60684497989272, 'lng': 109.7941452701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata sibedug,,ChIJ0XqV1fS5ei4RafbLmZfZsmw,5.0,ChIJ0XqV1fS5ei4RafbLmZfZsmw,"['tourist_attraction', 'point_of_interest', 'establishment']",12,,"[{'height': 2272, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104458461625163887566"">Bambang R</a>'], 'photo_reference': 'AUGGfZleMMOey_YdcNuFdjO3n81a6iCCIefM4BtfkMgWjBRaaTHjOvRHPhm5ElYKnqDJSAnShUJersF5AqC5HXQ5d-hxs5hYZJtY578YhhxCfk8zPjoZrkQjRMH59w7XjeWxCNFT9YJBNOXP-BR_Yyts7h7W2s0Sm4CWHzJ_HOm_zWF_uSjK', 'width': 3760}]",,https://www.google.com/maps/place/?q=place_id:ChIJ0XqV1fS5ei4RafbLmZfZsmw
OPERATIONAL,"6CHF+M6, Srati, Kebumen Regency, Central Java, Indonesia","{'location': {'lat': -7.7707713, 'lng': 109.423071}, 'viewport': {'northeast': {'lat': -7.768763020107278, 'lng': 109.42377245}, 'southwest': {'lat': -7.771462679892722, 'lng': 109.42096665}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,east pecaron beach,,ChIJIUgkNk4xZS4REER93P5-smo,5.0,ChIJIUgkNk4xZS4REER93P5-smo,"['point_of_interest', 'establishment']",2,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118216482179643924498"">Raden Bayu</a>'], 'photo_reference': 'AUGGfZn3CPuwbhl3Alk9zjl7nb2DwjcgkYtV1wdqry_tQ-AtjGusIwSK9U-l9MFsVOBkUhS6_NF_h5ymMWdtQxrjWFBhP1kqTCDvt73dWNRMgB9zDmP-pi8x3sJZc2-6yTr_-g53zwY4b7zdGBIuMwQHwDDorToPZpUj0uBKjx0HUYnPqbMH', 'width': 2250}]",,https://www.google.com/maps/place/?q=place_id:ChIJIUgkNk4xZS4REER93P5-smo
