business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,url
OPERATIONAL,"QWVV+F68, Pandere, Gumbasa, Sigi Regency, Central Sulawesi, Indonesia","{'location': {'lat': -1.2063424, 'lng': 119.9430865}, 'viewport': {'northeast': {'lat': -1.204982320107278, 'lng': 119.9443334798927}, 'southwest': {'lat': -1.207681979892722, 'lng': 119.9416338201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Posko kkn untad 105,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110688653746481033111"">A Google User</a>'], 'photo_reference': 'AUGGfZnj5xHUucixXv88IzwVkkq0CMvhqCUb6Ebo2MA39RszSr0qFjVXb5oWLZLdn10kzn0lgDtiHnaRmVS47kCCU-ZgPEMzCreV2O7wpslpKccKhAQcUCRenooHes2l2cebcJbcYNIP60R4sVEDR3QVtSiipJXSVXYTTVZOFeL2JU4tDJgh', 'width': 1080}]",ChIJVRFuUZIRjC0RRn5YjCkjw74,0,ChIJVRFuUZIRjC0RRn5YjCkjw74,"['lodging', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJVRFuUZIRjC0RRn5YjCkjw74
OPERATIONAL,"VW4C+8J3, Sibalaya Utara, Tanambulava, Sigi Regency, Central Sulawesi, Indonesia","{'location': {'lat': -1.1442478, 'lng': 119.9215587}, 'viewport': {'northeast': {'lat': -1.142897970107278, 'lng': 119.9229085298927}, 'southwest': {'lat': -1.145597629892722, 'lng': 119.9202088701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,mess adhikaraya,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118068956001134201816"">A Google User</a>'], 'photo_reference': 'AUGGfZlI8jvXQh8qV-o3E54eDjtekFn9-SEEcZu7G2VEzeZVVXujTpt7V0XJ2vAIgFhAJq9Q5vVucHs9uI134KU_SrKFL-QrETI--qigL3UBkMONV4YnDZp3qdcMqQL2SFwDkQrKqOta1MXKabIzNSjvURt_S2QaeEKsdCM9PZzHTqyjjm8G', 'width': 3456}]",ChIJK__HntEPjC0RZ7xy5vbRq60,5,ChIJK__HntEPjC0RZ7xy5vbRq60,"['lodging', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJK__HntEPjC0RZ7xy5vbRq60
OPERATIONAL,"VW69+473, Sibalaya Utara, Tanambulava, Sigi Regency, Central Sulawesi, Indonesia","{'location': {'lat': -1.1397934, 'lng': 119.9181641}, 'viewport': {'northeast': {'lat': -1.138452170107278, 'lng': 119.9195313298927}, 'southwest': {'lat': -1.141151829892722, 'lng': 119.9168316701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Banua Tuama Ardi Noah,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116838116711490295397"">A Google User</a>'], 'photo_reference': 'AUGGfZkWWbT_zW6sqdn-EGRaJSZp5Mp4JppimHORKg4KrJuHkzqmUtPZkFkm6XNzmqN5MJkUhXfQIqpILSMLJud1U-H8OeWvjKE6jX4a6PEbgYkt2Agb5H706ZJe5MGp9PDo2kzVmLDec8qe6POTE8t1ZfdNADKkiq0Ne-QSLqA-oAhrodgO', 'width': 3120}]",ChIJAz1X_GYPjC0R0gO5pKoA0K8,0,ChIJAz1X_GYPjC0R0gO5pKoA0K8,"['lodging', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJAz1X_GYPjC0R0gO5pKoA0K8
OPERATIONAL,"V377+F5Q, Ampera, Palolo, Sigi Regency, Central Sulawesi 94364, Indonesia","{'location': {'lat': -1.136293, 'lng': 120.0629932}, 'viewport': {'northeast': {'lat': -1.134946620107278, 'lng': 120.0645848798927}, 'southwest': {'lat': -1.137646279892722, 'lng': 120.0618852201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kuburan,,ChIJ8bzxLgAFjC0RBCpp_pdBNUM,0,ChIJ8bzxLgAFjC0RBCpp_pdBNUM,"['lodging', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ8bzxLgAFjC0RBCpp_pdBNUM
OPERATIONAL,"V25V+MRV, Petimbe, Palolo, Sigi Regency, Central Sulawesi 94364, Indonesia","{'location': {'lat': -1.140767, 'lng': 120.0445393}, 'viewport': {'northeast': {'lat': -1.139437270107278, 'lng': 120.0458844298928}, 'southwest': {'lat': -1.142136929892722, 'lng': 120.0431847701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Akbar Lendaka,,ChIJ65OfqMcFjC0REya3kgcbqm4,0,ChIJ65OfqMcFjC0REya3kgcbqm4,"['lodging', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ65OfqMcFjC0REya3kgcbqm4
OPERATIONAL,"RV8M+R84, Rogo, Dolo Selatan, Sigi Regency, Central Sulawesi 94361, Indonesia","{'location': {'lat': -1.1829976, 'lng': 119.8833499}, 'viewport': {'northeast': {'lat': -1.181685070107278, 'lng': 119.8850300798927}, 'southwest': {'lat': -1.184384729892722, 'lng': 119.8823304201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Farid,,ChIJGecce1QPjC0RgQqDouHePbA,0,ChIJGecce1QPjC0RgQqDouHePbA,"['lodging', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJGecce1QPjC0RgQqDouHePbA
OPERATIONAL,"V25W+X83, Makmur, Palolo, Sigi Regency, Central Sulawesi 94364, Indonesia","{'location': {'lat': -1.1401452, 'lng': 120.0458345}, 'viewport': {'northeast': {'lat': -1.138841820107278, 'lng': 120.0472443298927}, 'southwest': {'lat': -1.141541479892722, 'lng': 120.0445446701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Home Kila lendaka,,ChIJAXQx18IFjC0ROd3NlgLlNN4,3,ChIJAXQx18IFjC0ROd3NlgLlNN4,"['lodging', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJAXQx18IFjC0ROd3NlgLlNN4
OPERATIONAL,"WW47+Q7, Sidondo I, Sigi Biromaru, Sigi Regency, Central Sulawesi, Indonesia","{'location': {'lat': -1.093034, 'lng': 119.913154}, 'viewport': {'northeast': {'lat': -1.091874470107278, 'lng': 119.91425885}, 'southwest': {'lat': -1.094574129892722, 'lng': 119.9098394500001}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Rumah cinta,,ChIJxy8pLgIJjC0RCS61LMBNASA,0,ChIJxy8pLgIJjC0RCS61LMBNASA,"['lodging', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJxy8pLgIJjC0RCS61LMBNASA
OPERATIONAL,"VWP7+WX8, Sibowi, Tanambulava, Sigi Regency, Central Sulawesi, Indonesia","{'location': {'lat': -1.1127565, 'lng': 119.9149507}, 'viewport': {'northeast': {'lat': -1.111458270107278, 'lng': 119.9161948298927}, 'southwest': {'lat': -1.114157929892722, 'lng': 119.9134951701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Rumah afdal maulana,,ChIJGcKv55cJjC0R1FmydkqkFRY,0,ChIJGcKv55cJjC0R1FmydkqkFRY,"['lodging', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJGcKv55cJjC0R1FmydkqkFRY
OPERATIONAL,"QW6V+R7V, Pakuli, Gumbasa, Sigi Regency, Central Sulawesi, Indonesia","{'location': {'lat': -1.2392754, 'lng': 119.9430284}, 'viewport': {'northeast': {'lat': -1.237904370107278, 'lng': 119.9443050798927}, 'southwest': {'lat': -1.240604029892722, 'lng': 119.9416054201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,KAFE Gumbasa,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114906836035128845875"">A Google User</a>'], 'photo_reference': 'AUGGfZlfwHiPruf_W9xJ8vEPJXxTYeKzGty-5YzQKiph4k2tR9TjNxXNA1BFKnE5Y09Es3_pZUWOE-Ai0WKCoXSVYNhDBxcHydbkkm4u4iKiDT8YyIrCYfFtVoRyRE5xzrOMEplU9jvjVle4D8eZDDF4Suqal5wsFmTQC_r_PagOf4-j8PAM', 'width': 3000}]",ChIJ2dvHDYwRjC0RMD_BSs4DuJQ,0,ChIJ2dvHDYwRjC0RMD_BSs4DuJQ,"['cafe', 'food', 'point_of_interest', 'establishment']",0,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJ2dvHDYwRjC0RMD_BSs4DuJQ
