business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,rating,reference,types,user_ratings_total,permanently_closed,photos,url
OPERATIONAL,"8QGM+C2Q, Hai, Taliabu Utara, Kabupaten Kepulauan Sula, North Maluku, Indonesia","{'location': {'lat': -1.675048, 'lng': 124.7834008}, 'viewport': {'northeast': {'lat': -1.6733109, 'lng': 124.7847847798927}, 'southwest': {'lat': -1.6802593, 'lng': 124.7820851201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,WISATA PASIRANJING PULAU TALIABU,{'open_now': False},ChIJ0ajHLABpeC0Re6AjAruSg-E,0.0,ChIJ0ajHLABpeC0Re6AjAruSg-E,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJ0ajHLABpeC0Re6AjAruSg-E
CLOSED_TEMPORARILY,"9G35+PR, Tikong, Taliabu Utara, Kepulauan Sula Regency, North Maluku, Indonesia","{'location': {'lat': -1.6456482, 'lng': 124.5096137}, 'viewport': {'northeast': {'lat': -1.644298370107278, 'lng': 124.5109635298927}, 'southwest': {'lat': -1.646998029892722, 'lng': 124.5082638701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai laleo,,ChIJoQSEBdN3eC0R22DIiar4oJ0,0.0,ChIJoQSEBdN3eC0R22DIiar4oJ0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,,https://www.google.com/maps/place/?q=place_id:ChIJoQSEBdN3eC0R22DIiar4oJ0
CLOSED_TEMPORARILY,"8QGM+938, Hai, Taliabu Utara, Kabupaten Kepulauan Sula, North Maluku, Indonesia","{'location': {'lat': -1.6741941, 'lng': 124.782861}, 'viewport': {'northeast': {'lat': -1.6720214, 'lng': 124.7841290298927}, 'southwest': {'lat': -1.6807122, 'lng': 124.7814293701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,DUPA BEACH,,ChIJ-QyQ74dpeC0RLg5gHY2wcAo,5.0,ChIJ-QyQ74dpeC0RLg5gHY2wcAo,"['tourist_attraction', 'point_of_interest', 'establishment']",1,True,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114541018613309551261"">nazar oku</a>'], 'photo_reference': 'AUGGfZkMlw_AZkp-WW432Tr0IxyQ2OSnBY6mEXY8GwINCHY2gMz56aQMKveJH_v-TFMLlAhUQ-RdhfgbF0qpnNVNoacn_pR40TzVioJMmTGxpEbpMqSgeYegQ7-y9w8NEK0c6Nz_DTI955blkk0U4fpu1zQznus7qa0zyP3FoGEk6z1_RDz9', 'width': 3472}]",https://www.google.com/maps/place/?q=place_id:ChIJ-QyQ74dpeC0RLg5gHY2wcAo
OPERATIONAL,"8QGM+C2Q, Hai, Taliabu Utara, Kepulauan Sula Regency, North Maluku, Indonesia","{'location': {'lat': -1.6739095, 'lng': 124.7826213}, 'viewport': {'northeast': {'lat': -1.672559670107278, 'lng': 124.7839711298927}, 'southwest': {'lat': -1.675259329892722, 'lng': 124.7812714701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai dupa,{'open_now': True},ChIJw216A6VpeC0Rjy4iWzICwWM,4.5,ChIJw216A6VpeC0Rjy4iWzICwWM,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103009215599208580339"">Saltiawan M</a>'], 'photo_reference': 'AUGGfZnVtauJORzraHGrtCJ-QFa5pvRPCXJf-Ysv6sFEXSfA53oZaeiCdZDrQgWSfoIj04wXAjygF4axOu3P2C-QTQy9R54Eja6UcnWh3IL-0TVdrXKVq83NJ8luTGADKGJzP1h1t6a0WZKL7tvtRg5uDH52eD4Z06kI3BATPma9R6_EaBa5', 'width': 1440}]",https://www.google.com/maps/place/?q=place_id:ChIJw216A6VpeC0Rjy4iWzICwWM
CLOSED_TEMPORARILY,"6RG2+GPX, Jorjoga, Taliabu Utara, Kabupaten Kepulauan Sula, North Maluku, Indonesia","{'location': {'lat': -1.7736415, 'lng': 124.8018618}, 'viewport': {'northeast': {'lat': -1.772291670107278, 'lng': 124.8032116298927}, 'southwest': {'lat': -1.774991329892722, 'lng': 124.8005119701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PANTAI PASTURI,,ChIJA4QOYjMVeC0R1PjszQFJqxw,0.0,ChIJA4QOYjMVeC0R1PjszQFJqxw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,"[{'height': 2248, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106681870131199835959"">Pribumi Asli</a>'], 'photo_reference': 'AUGGfZk5YNnglm8v-lhar37dfNTYI-5uWkH_ZjpAmkICtTeK_t2WPhL-g_mQ9DVp7GnlyAwKutgHizaPEjk5Q9LOeHY_DvNGaZLNuntzIVPaLmEWEV-Cl1RnCM-Lejj99VSAa5KFurb-nPkto9YGVuUF0cgxc35Qk-2Eqx36awQBRJpsTYKP', 'width': 4000}]",https://www.google.com/maps/place/?q=place_id:ChIJA4QOYjMVeC0R1PjszQFJqxw
OPERATIONAL,"9J65+8G, Nunca, Taliabu Utara, Taliabu Island Regency, North Maluku, Indonesia","{'location': {'lat': -1.6392196, 'lng': 124.6088279}, 'viewport': {'northeast': {'lat': -1.638321670107278, 'lng': 124.6101002298927}, 'southwest': {'lat': -1.641021329892722, 'lng': 124.6074005701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,NUDUNG beach,,ChIJU7JxmgBxeC0RO_WkZDE8DnQ,4.0,ChIJU7JxmgBxeC0RO_WkZDE8DnQ,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,"[{'height': 288, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118043820922451617190"">A Google User</a>'], 'photo_reference': 'AUGGfZl8zvc2dn4EwedkVX5uFjyV5v2Fmm515v0M7uL88KcQfmBaOLakOvkpA1FNuS2EdnZNjWBj5kGaW1I-M0zoMeeFV-IhS7DKiSDpM4kyg76-KR0MeBWOKYutlHHj43B-u3RnuTHqmYjsBxFo8ZfmAAr2Jn2NuvjDy6MQQOFs2DTfdEna', 'width': 512}]",https://www.google.com/maps/place/?q=place_id:ChIJU7JxmgBxeC0RO_WkZDE8DnQ
OPERATIONAL,"9J6F+29, Nunca, Taliabu Utara, Taliabu Island Regency, North Maluku, Indonesia","{'location': {'lat': -1.640158, 'lng': 124.6232421}, 'viewport': {'northeast': {'lat': -1.639309220107278, 'lng': 124.6245954798927}, 'southwest': {'lat': -1.642008879892722, 'lng': 124.6218958201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SUNGAI BUYANG,,ChIJn03gU9ZxeC0RW6_ATioDagM,0.0,ChIJn03gU9ZxeC0RW6_ATioDagM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJn03gU9ZxeC0RW6_ATioDagM
OPERATIONAL,"9G9H+JX5, Tikong, Taliabu Utara, Kepulauan Sula Regency, North Maluku, Indonesia","{'location': {'lat': -1.6309896, 'lng': 124.5299924}, 'viewport': {'northeast': {'lat': -1.629639770107278, 'lng': 124.5313422298927}, 'southwest': {'lat': -1.632339429892723, 'lng': 124.5286425701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanjung Podu,{'open_now': True},ChIJH8ssBzh5eC0RzSfRQ_lBpVM,4.7,ChIJH8ssBzh5eC0RzSfRQ_lBpVM,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105606315022837398609"">A Google User</a>'], 'photo_reference': 'AUGGfZlUFDkbXFsoTdh0SCBNIC1IVBm6KL9Jan3YCHX9lc3JaTikeMqgQ2EyNy0IOT1J3IvL-1p_f3bZkxrs6PeTCzKZC7CPVO_E37sWe09Jg8XTpEonYWnn7IdAAUWGbKuX_FLOcL4oXLlFuA1kSpojn5o_De78r3b-ysA4rfn9DNIz5tk6', 'width': 3120}]",https://www.google.com/maps/place/?q=place_id:ChIJH8ssBzh5eC0RzSfRQ_lBpVM
CLOSED_TEMPORARILY,"8P8M+J8C, Dege, Taliabu Utara, Kepulauan Sula Regency, North Maluku, Indonesia","{'location': {'lat': -1.6834279, 'lng': 124.7332707}, 'viewport': {'northeast': {'lat': -1.682078070107278, 'lng': 124.7346205298927}, 'southwest': {'lat': -1.684777729892722, 'lng': 124.7319208701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dege,,ChIJMxp_0mpveC0RCTe2aq_2PWA,1.0,ChIJMxp_0mpveC0RCTe2aq_2PWA,"['tourist_attraction', 'point_of_interest', 'establishment']",1,True,"[{'height': 2604, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106681870131199835959"">Pribumi Asli</a>'], 'photo_reference': 'AUGGfZkbKtdJAAOdpoKlOsoC36-ZdrWT93eqwdy6kxi-XoOxGDvH1jzpruDG9TNuBPhd7IdsBP53jw_pvs5KUTGEQcTc6MNI_Vgc6q1NeIgnESRMsqgO26KQ1Dm37JBYmTXmW0wNtnsIAogJH5pCrQ76w60yXJsEeVYjzYfoxPR2mNSL54gW', 'width': 4624}]",https://www.google.com/maps/place/?q=place_id:ChIJMxp_0mpveC0RCTe2aq_2PWA
OPERATIONAL,"8Q6V+3PW, Unnamed Road, Air Kalimat, Kec. Taliabu Utara, Pulau Taliabu, Maluku Utara, Indonesia","{'location': {'lat': -1.689771, 'lng': 124.794326}, 'viewport': {'northeast': {'lat': -1.688421170107278, 'lng': 124.7956758298927}, 'southwest': {'lat': -1.691120829892722, 'lng': 124.7929761701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kalimat Waterfall,,ChIJD1W2FcRpeC0Rf5SPBFxkZSU,4.5,ChIJD1W2FcRpeC0Rf5SPBFxkZSU,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113257623634023506914"">Giga Nusantara</a>'], 'photo_reference': 'AUGGfZkkvr7oNIVsVbSpR8PzoJ7fFxiV0gkMVSu5uVJXBTX0Hq6RvqZ7P3FPZ79RUWmS6tQHVyDjaXLa4y0ThYfNNrKP0KRfl8Pp1mJ0Zpy2Jd583usjnOkd5vG9yukO0w6m-IbXvt72oFlg85XKEtjAk2ZQ1onrbxYMB_vHufp2FsMXE1L9', 'width': 3120}]",https://www.google.com/maps/place/?q=place_id:ChIJD1W2FcRpeC0Rf5SPBFxkZSU
