business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,rating,reference,types,user_ratings_total,plus_code,photos,permanently_closed,url
OPERATIONAL,"X8J3+P8F, Talang Batu, Mesuji Timur, Mesuji Regency, Lampung, Indonesia","{'location': {'lat': -4.0181817, 'lng': 105.3032999}, 'viewport': {'northeast': {'lat': -4.016712620107278, 'lng': 105.3046961298927}, 'southwest': {'lat': -4.019412279892721, 'lng': 105.3019964701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PENANCINGAN,{'open_now': True},ChIJT2e_InXFPi4RRYjG4FfaZK4,0.0,ChIJT2e_InXFPi4RRYjG4FfaZK4,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJT2e_InXFPi4RRYjG4FfaZK4
OPERATIONAL,"Simpang mesuji No.rk 07, Simpang Pematang, Kec. Simpang Pematang, Kabupaten Mesuji, Lampung 34698, Indonesia","{'location': {'lat': -3.9971367, 'lng': 105.2573683}, 'viewport': {'northeast': {'lat': -3.995406620107278, 'lng': 105.2587251298927}, 'southwest': {'lat': -3.998106279892722, 'lng': 105.2560254701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mas Heri Purwanto Ternak,,ChIJP5kfaSPHPi4Rx6eHsJQTok4,5.0,ChIJP5kfaSPHPi4Rx6eHsJQTok4,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,"{'compound_code': '2734+4W Simpang Pematang, Mesuji Regency, Lampung, Indonesia', 'global_code': '6P872734+4W'}",,,https://www.google.com/maps/place/?q=place_id:ChIJP5kfaSPHPi4Rx6eHsJQTok4
OPERATIONAL,"2734+7CP, Jl. Jend. Ahmad Yani, Simpang Pematang, Kec. Simpang Pematang, Kabupaten Mesuji, Lampung 34698, Indonesia","{'location': {'lat': -3.9967846, 'lng': 105.256076}, 'viewport': {'northeast': {'lat': -3.995169470107278, 'lng': 105.2574583798927}, 'southwest': {'lat': -3.997869129892722, 'lng': 105.2547587201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam pemancingan ikan mas,,ChIJy3-GXBTHPi4RG0KRBcelgHU,5.0,ChIJy3-GXBTHPi4RG0KRBcelgHU,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112875177594310454227"">didik hariyanto</a>'], 'photo_reference': 'AUGGfZkzYYK6fAfnbSoVmKD7m45mJzMX8no4PzKOmoWaN_GWQduZOvDPV5oOLCo3qcxJncT5yBV_7UlpolvRxE6YXKEMiGkNqITG9Bo-oEm3_ijnEapqFhCM2HbdJ33T8qjkEZ5lWQO-Od4XCXhbEbFA-XTfEOW3YkxgjLZygXTYwI8b5XYv', 'width': 4000}]",,https://www.google.com/maps/place/?q=place_id:ChIJy3-GXBTHPi4RG0KRBcelgHU
OPERATIONAL,"28VG+WCM, Mekar Sari, Tanjung Raya, Mesuji Regency, Lampung 34698, Indonesia","{'location': {'lat': -3.9551589, 'lng': 105.3260488}, 'viewport': {'northeast': {'lat': -3.953794620107278, 'lng': 105.3273660298927}, 'southwest': {'lat': -3.956494279892722, 'lng': 105.3246663701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,BIOLOGICAL PARK TUGU MEKARSARI,,ChIJrfKBttrAPi4Rje0Y7johsDU,4.2,ChIJrfKBttrAPi4Rje0Y7johsDU,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",161.0,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103164365049262614264"">Kadekarmawan 12345</a>'], 'photo_reference': 'AUGGfZnZ1I77_vsCw6CRbQ6Lw5xdF4FM1TXcRPHZ7cNuNZ4MTQWuZrOYX_MYfKVmc-LSACSE2s5_rCxxhIFkFj4kBiTt0eOvvCbIRpF9A4fx47cDj4FuStvwRsjOsocacC8u8KKNfgCpADaLvYtIpHmPE_zVNw1Xq9tO2PKXo2WnfCtwbV4O', 'width': 1920}]",,https://www.google.com/maps/place/?q=place_id:ChIJrfKBttrAPi4Rje0Y7johsDU
OPERATIONAL,"286J+777, Brabasan, Tanjung Raya, Mesuji Regency, Lampung, Indonesia","{'location': {'lat': -3.9893309, 'lng': 105.3306814}, 'viewport': {'northeast': {'lat': -3.987946920107278, 'lng': 105.3319718298927}, 'southwest': {'lat': -3.990646579892722, 'lng': 105.3292721701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,wiralaga,,ChIJC69fusHBPi4Rqa1m9LKwN9U,5.0,ChIJC69fusHBPi4Rqa1m9LKwN9U,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJC69fusHBPi4Rqa1m9LKwN9U
OPERATIONAL,"Mukti jaya, Tanjung Raya, Mesuji Regency, Lampung 34598, Indonesia","{'location': {'lat': -3.9380136, 'lng': 105.373662}, 'viewport': {'northeast': {'lat': -3.936613820107278, 'lng': 105.3750650298927}, 'southwest': {'lat': -3.939313479892722, 'lng': 105.3723653701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BENDUNGAN BNIL MUKTI JAYA,{'open_now': True},ChIJRdaqeXrBPi4R7M7qV6qwh_g,4.5,ChIJRdaqeXrBPi4R7M7qV6qwh_g,"['tourist_attraction', 'point_of_interest', 'establishment']",8.0,"{'compound_code': '396F+QF Gedung Ram, Mesuji Regency, Lampung, Indonesia', 'global_code': '6P87396F+QF'}","[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107160545741007313178"">Muhamad Wahid</a>'], 'photo_reference': 'AUGGfZlOOyso5fsXdVP-we7RDdX6w3L0CU8ucEVMzH0fOEObuhk681LmjJXIq64flLa_LwXMNV6i-yz-1D18xibuDbDVwDaMZ3bf1SggCCwnmCRdTYLbAMxsZ0v6NTL1xrTSI37-T-Q-WNOz9H7yJRiYLrvMjUvk85qelFuWyvL36HVl5H3n', 'width': 4160}]",,https://www.google.com/maps/place/?q=place_id:ChIJRdaqeXrBPi4R7M7qV6qwh_g
OPERATIONAL,"Gedung Ram, Tanjung Raya, Mesuji Regency, Lampung, Indonesia","{'location': {'lat': -3.9616373, 'lng': 105.3646652}, 'viewport': {'northeast': {'lat': -3.960209970107278, 'lng': 105.3659346798927}, 'southwest': {'lat': -3.962909629892722, 'lng': 105.3632350201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Yukika Garden,{'open_now': False},ChIJ27QpbPvBPi4Rv4a1DGc_oOw,0.0,ChIJ27QpbPvBPi4Rv4a1DGc_oOw,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,"{'compound_code': '29Q7+8V Gedung Ram, Mesuji Regency, Lampung, Indonesia', 'global_code': '6P8729Q7+8V'}","[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111271311570366883137"">A Google User</a>'], 'photo_reference': 'AUGGfZkVgKUowIp9vNH17DuzRU5EA0p_b8zao6AFfxuAhQOuIwNAA5XyNdonVv4fooHpe7yKBlkaYBWhqGiXhNfrPX3LT2YvF3VAfzGPdMXz4R9Sngq6pzNLh7OBBN9ftQEkqaDPZTnfh7WDRTI3aKtNuGX_4rZ59Z2e_nRj6PgaDJbzIVMQ', 'width': 1920}]",,https://www.google.com/maps/place/?q=place_id:ChIJ27QpbPvBPi4Rv4a1DGc_oOw
OPERATIONAL,"287P+986, Brabasan, Tanjung Raya, Mesuji Regency, Lampung, Indonesia","{'location': {'lat': -3.986580399999999, 'lng': 105.3357543}, 'viewport': {'northeast': {'lat': -3.985186570107277, 'lng': 105.3372479798927}, 'southwest': {'lat': -3.987886229892721, 'lng': 105.3345483201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bendungan Brabasan,,ChIJVbnDSALBPi4R5vTpSZXG-FE,5.0,ChIJVbnDSALBPi4R5vTpSZXG-FE,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJVbnDSALBPi4R5vTpSZXG-FE
OPERATIONAL,"388X+57Q, Unnamed Road, Bujung Buring, Kec. Tj. Raya, Kabupaten Mesuji, Lampung 34598, Indonesia","{'location': {'lat': -3.9345491, 'lng': 105.3482491}, 'viewport': {'northeast': {'lat': -3.932657170107277, 'lng': 105.3500313298927}, 'southwest': {'lat': -3.935356829892721, 'lng': 105.3473316701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Taman Pemancingan ""Talang Cinta"" Desa Bujung Buring Baru",,ChIJQ0UxfO3BPi4RpJaRmBYJGs8,5.0,ChIJQ0UxfO3BPi4RpJaRmBYJGs8,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112152480062365238140"">Hendri Ekayanto</a>'], 'photo_reference': 'AUGGfZlOAXWGc0Ewol7zZCcTYpg9QKWLou_EI-4tCVS3igdpdPcWtSqZMGpeeiY9H9B-40XT6TgXDxFAxHDl5H6rY-gNTVBjL-xAx_HX9tGd9SccfVgAjjmpDH8oVyPzwkSGxyDxvYgwObi7rBFcdNqPoycUiev4q2RIootk4FKbHZRcBK2s', 'width': 4000}]",,https://www.google.com/maps/place/?q=place_id:ChIJQ0UxfO3BPi4RpJaRmBYJGs8
OPERATIONAL,"W4QJ+3MH, Rejo Mulyo, Way Serdang, Mesuji Regency, Lampung 34698, Indonesia","{'location': {'lat': -4.062317699999999, 'lng': 105.1317409}, 'viewport': {'northeast': {'lat': -4.060968420107278, 'lng': 105.1332089798927}, 'southwest': {'lat': -4.063668079892722, 'lng': 105.1305093201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,AREA BOS SAWIT ANGGI,,ChIJuxWVaQDPPi4RxUM5g5J2NIM,0.0,ChIJuxWVaQDPPi4RxUM5g5J2NIM,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,"[{'height': 4208, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106556921405479339477"">A Google User</a>'], 'photo_reference': 'AUGGfZmDPSDAZac4Vl8FfQN_v9p1RqolYQlHVEtPppJfFZ0GiJeS3Y4-JGQ7aF7BhzmSupVnqCtHV6NXRfzVwCFbcN58dM5HHZSETG5rFr1CXhirhcIZUodBvDbD8v7dLkI1bgatB29Q9GEPLWOSf5k2wQyc32MAJPj3Tv1S6XOZP5XFysxu', 'width': 3120}]",,https://www.google.com/maps/place/?q=place_id:ChIJuxWVaQDPPi4RxUM5g5J2NIM
