formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,opening_hours,rating,user_ratings_total,plus_code,price_level,permanently_closed,url
"Tanjung Balai, Tanjung Balai City, North Sumatra, Indonesia","{'location': {'lat': 2.9659488, 'lng': 99.79835059999999}, 'viewport': {'northeast': {'lat': 3.0044705, 'lng': 99.8203817}, 'southwest': {'lat': 2.9300445, 'lng': 99.755634}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanjung Balai,"[{'height': 356, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107465600297285128034"">A Google User</a>'], 'photo_reference': 'AUGGfZlcjr-6edc_ewUSxGVIPpu6-zze1Un8TYL9bJ1PapV1YeKO6Swq9I3gaWIZJK02R0RHjRZCv3pg-JC0uiYdAePpIDyniL3r11AgtQCMcLA8s705QR8-UowER7obMHZ7LfHvjiyKbEWZFKo3vhn3_I7lyWSkIwh-WUE5aqwfwQWhlNLN', 'width': 475}]",ChIJcTONxFlRMjAR3NW0G_Tb8Ck,ChIJcTONxFlRMjAR3NW0G_Tb8Ck,"['locality', 'political']",,,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJcTONxFlRMjAR3NW0G_Tb8Ck
"Sei Tualang Raso, Tanjung Balai City, North Sumatra, Indonesia","{'location': {'lat': 2.9738696, 'lng': 99.7984374}, 'viewport': {'northeast': {'lat': 3.008976, 'lng': 99.80853599999999}, 'southwest': {'lat': 2.9691959, 'lng': 99.766016}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sei Tualang Raso,,ChIJfVw5eMFTMjARKj4XTCLmeuY,ChIJfVw5eMFTMjARKj4XTCLmeuY,"['administrative_area_level_3', 'political']",,,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJfVw5eMFTMjARKj4XTCLmeuY
"XR95+F44, Indra Sakti, South Tanjungbalai, Tanjung Balai City, North Sumatra, Indonesia","{'location': {'lat': 2.9686306, 'lng': 99.8078433}, 'viewport': {'northeast': {'lat': 2.969965879892722, 'lng': 99.80917057989272}, 'southwest': {'lat': 2.967266220107277, 'lng': 99.80647092010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Tanjungbalai Waterfront City,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110855391926238523211"">nadia rahmania</a>'], 'photo_reference': 'AUGGfZmUvTd-duQZsyQrakt1rWINdTRAieFTkT5fdOVmvY04vLT7ZM3T5Dkvd9yPTqcXpDVfc8EqKK99ntsePoXr15T8oERd11ueHxR6GLCO0JpK8g8jnTwPkMxyl8vOfHaEb6s5nbtKnbVZPMkBfJ3JnTpqwsSyUEJRvil-k6S5v1FlVrw_', 'width': 4000}]",ChIJQzEcXpVRMjARmVY3ReXzcnM,ChIJQzEcXpVRMjARmVY3ReXzcnM,"['park', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},4.2,127.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJQzEcXpVRMjARmVY3ReXzcnM
"Jl. DI Panjaitan, Ps. Baru, Kec. Sei Tualang Raso, Kota Tanjung Balai, Sumatera Utara 21333, Indonesia","{'location': {'lat': 2.979972, 'lng': 99.7860846}, 'viewport': {'northeast': {'lat': 2.981255129892722, 'lng': 99.78739467989274}, 'southwest': {'lat': 2.978555470107278, 'lng': 99.78469502010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Bersejarah Tanjungbalai,"[{'height': 1944, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110173063474728072559"">Rudi Chandra Sambas</a>'], 'photo_reference': 'AUGGfZmmA5T_hNTOJO5OHWFLX3CNJhZg0MPcDmI7cCfpBHZ80UdcnXX-Z6zc1wTTg1PH49VG4pGX_pSPnFdskJbCD-tgZ8kjVJpScuMzyHCvSdexhrnDGH0oMhE21Ff8fwnDoAf0afRZcDP-HJftAGG8FAU4tUagy20DkEnvU7I8nVNeKbdh', 'width': 2592}]",ChIJnTprQNxTMjARKAfe7DpWUik,ChIJnTprQNxTMjARKAfe7DpWUik,"['point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},3.6,72.0,"{'compound_code': 'XQHP+XC Pasar Baru, Tanjung Balai City, North Sumatra, Indonesia', 'global_code': '6MJXXQHP+XC'}",,,https://www.google.com/maps/place/?q=place_id:ChIJnTprQNxTMjARKAfe7DpWUik
"XQ9W+CVC, Tanjung Balai Kota III, North Tanjungbalai, Tanjung Balai City, North Sumatra 21332, Indonesia","{'location': {'lat': 2.9680119, 'lng': 99.7974979}, 'viewport': {'northeast': {'lat': 2.969389729892722, 'lng': 99.79882002989272}, 'southwest': {'lat': 2.966690070107278, 'lng': 99.79612037010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pulau datok,,ChIJ_2SPGu5RMjARtdDGqrFSd7U,ChIJ_2SPGu5RMjARtdDGqrFSd7U,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,4.5,2.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ_2SPGu5RMjARtdDGqrFSd7U
"XQ7X+XXW, Pantai Burung, South Tanjungbalai, Tanjung Balai City, North Sumatra 21332, Indonesia","{'location': {'lat': 2.9649895, 'lng': 99.7999404}, 'viewport': {'northeast': {'lat': 2.966421229892722, 'lng': 99.80130287989273}, 'southwest': {'lat': 2.963721570107277, 'lng': 99.79860322010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Burung,,ChIJQ1n0O-tRMjAR4i9E23MW2q4,ChIJQ1n0O-tRMjAR4i9E23MW2q4,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,5.0,3.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJQ1n0O-tRMjAR4i9E23MW2q4
"Jl. Teuku Umar Gg. Kaleng No.6, Tj. Balai Kota I, Tanjungbalai Selatan, Kota Tanjung Balai, Sumatera Utara 21312, Indonesia","{'location': {'lat': 2.9619948, 'lng': 99.80174819999999}, 'viewport': {'northeast': {'lat': 2.963314379892722, 'lng': 99.80312237989273}, 'southwest': {'lat': 2.960614720107278, 'lng': 99.80042272010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/worship_general-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/worship_christian_pinlet,GBI KOTA KERANG,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108429712816099064774"">Elma Yohanna</a>'], 'photo_reference': 'AUGGfZl1JDIwHK3wuBa5mf7Du-Jv63hkYSIxl4UbfqqW7ao_J7A9haF7WGImZK5bBWWM6zVap0cwJk6_DJB1sv2NWX8NFmb6dVLsUdiPE7ZDQMDd2L_rkv_Ri3TQIS8DKIsruPMTcwgmfhrxoPBbIQFi7xmhJ1C8p0MAO2H2tOwv18WlUMur', 'width': 3264}]",ChIJO3JQh09RMjAR_N1IrAsZJgU,ChIJO3JQh09RMjAR_N1IrAsZJgU,"['church', 'tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': False},4.1,23.0,"{'compound_code': 'XR62+QM Tanjung Balai Kota I, Tanjung Balai City, North Sumatra, Indonesia', 'global_code': '6MJXXR62+QM'}",,,https://www.google.com/maps/place/?q=place_id:ChIJO3JQh09RMjAR_N1IrAsZJgU
"WQQ4+VWF, Jl. Jendral Sudirman, Sijambi, Kec. Datuk Bandar, Kota Tanjung Balai, Sumatera Utara 21369, Indonesia","{'location': {'lat': 2.9396986, 'lng': 99.75729869999999}, 'viewport': {'northeast': {'lat': 2.941046179892723, 'lng': 99.75865477989272}, 'southwest': {'lat': 2.938346520107278, 'lng': 99.75595512010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tugu Kerang Tanjungbalai Sumatera Utara,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107001104719429174631"">Reza Maha</a>'], 'photo_reference': 'AUGGfZm9mF8XFj_hop6_N3weMOCz1zqdQ4KkMoCFmajtqWSE3HXDAD_loPc2XdeGH1dWjkdhQGadJKmo3qvWSDORT2_LOBW9_9tWxtdYxUrskDdwB9LtC9E5_QD03dGJQQ_vb0WuYQ-HMfBYtFEA8aAgensduUNsY1H61ueZVL6No5dZI0Ll', 'width': 4000}]",ChIJOesKaKxRMjARzMNA4jxSHDY,ChIJOesKaKxRMjARzMNA4jxSHDY,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,4.5,2.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJOesKaKxRMjARzMNA4jxSHDY
"XQHW+MMF, Muara Sentosa, Sei Tualang Raso, Tanjung Balai City, North Sumatra, Indonesia","{'location': {'lat': 2.9791943, 'lng': 99.7966853}, 'viewport': {'northeast': {'lat': 2.980553129892722, 'lng': 99.79801302989272}, 'southwest': {'lat': 2.977853470107278, 'lng': 99.79531337010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Titi Gantung,"[{'height': 2538, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105741668519229709490"">A Google User</a>'], 'photo_reference': 'AUGGfZk9WweTuzludiYgjF2YUd7rFlJtknIb6Z3kdO-js90mQKWFFi4ap-hEsBfWryEAQe0KXO-8SfZv__bBm_FXiwh1XDHCHFroSypug0UA5YmoJYbcvb7w3_6x6ZHUAti0FXcbxI7Y5w-F79wAQ9ElJPGYqjcIGG-BJBElE_wB4ikCTOOB', 'width': 1438}]",ChIJgc9-KHxTMjARUlHo6uX4I4U,ChIJgc9-KHxTMjARUlHo6uX4I4U,"['museum', 'point_of_interest', 'establishment']",OPERATIONAL,{},5.0,2.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJgc9-KHxTMjARUlHo6uX4I4U
"Jl. Dakwah, Kwala Silau Bestari, Tanjungbalai Utara, Kota Tanjung Balai, Sumatera Utara, Indonesia","{'location': {'lat': 2.9714261, 'lng': 99.80601329999999}, 'viewport': {'northeast': {'lat': 2.972816329892722, 'lng': 99.80726057989271}, 'southwest': {'lat': 2.970116670107278, 'lng': 99.80456092010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dragon Beach cottage Galau,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116689524216727669352"">A Google User</a>'], 'photo_reference': 'AUGGfZke3It0ESy82_qxsQWnTIrFk7QTwlyiClkUwTBXU0_bNYIgLBpaGx5v7qTwQTk_2mM01bmO6peNOgtTJ9kNSJIL1BmjQREkuaCGN_9tPC9KBX3bo47bK6e0vHNKhorTwB9TvVxpj1J9OCG3oMERhB-sP4qYyotNcUMtMvWqS6L-KDXQ', 'width': 6000}]",ChIJcTYiZFZRMjARmpIieEBke-I,ChIJcTYiZFZRMjARmpIieEBke-I,"['restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,{'open_now': True},3.8,523.0,"{'compound_code': 'XRC4+H9 Kwala Silau Bestari, Tanjung Balai City, North Sumatra, Indonesia', 'global_code': '6MJXXRC4+H9'}",2.0,,https://www.google.com/maps/place/?q=place_id:ChIJcTYiZFZRMjARmpIieEBke-I
