formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,rating,user_ratings_total,opening_hours,plus_code,permanently_closed,url
"Asmat Regency, Papua, Indonesia","{'location': {'lat': -5.0573958, 'lng': 138.3988186}, 'viewport': {'northeast': {'lat': -4.598379, 'lng': 139.6444329}, 'southwest': {'lat': -6.5664001, 'lng': 137.5502008}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Asmat Regency,"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117921901841571369374"">PPK PLTS</a>'], 'photo_reference': 'AUGGfZn8YmpgISXcP-JERBuWArUvQhk4eXg_cpX_mYnHBCJCtTpcodugCwsQQXU0EtVypOi_b0wVdeCcjCkfBKvLKA1LWYUHIHFFSXvhza43O5mhuSWRRVJ9sv3EYACKGnC61Naq_leFw11HBJeSSwK74KAztejWA4lO6kybtaUi8iRPi2rE', 'width': 5312}]",ChIJAeC_tokiOmgRUWVCDzJJyqE,ChIJAeC_tokiOmgRUWVCDzJJyqE,"['administrative_area_level_2', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJAeC_tokiOmgRUWVCDzJJyqE
"56GM+P8, Biwar Laut, Betcbamu, Asmat Regency, Papua, Indonesia","{'location': {'lat': -5.8232387, 'lng': 138.2332759}, 'viewport': {'northeast': {'lat': -5.821888870107279, 'lng': 138.2346257298927}, 'southwest': {'lat': -5.824588529892723, 'lng': 138.2319260701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Muara Biwar Laut,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112495995042728435779"">A Google User</a>'], 'photo_reference': 'AUGGfZm4RJ92r3iIXAlkVHIVtZtcjzpnVXtjz-VVqKTfQWxLeSxtUBArPd0NZgHpwPRjrrk91_cYrj1u0HqMH6nMiMOPi5IG7Rzyd_jEMbbgyWujn9JR6r6xH7nGVoSYVyJI9pph_HJ4KBdFVjCqYN9VTVTj2hzmNjJh0lZOWC0nP9-5DnHx', 'width': 2448}]",ChIJwwlumEmDMGgR-fCa0WTGtg4,ChIJwwlumEmDMGgR-fCa0WTGtg4,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.5,2.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJwwlumEmDMGgR-fCa0WTGtg4
"C4XG+XH3, Bis Agats, Agats, Asmat Regency, Papua 99777, Indonesia","{'location': {'lat': -5.550125, 'lng': 138.126435}, 'viewport': {'northeast': {'lat': -5.548788770107278, 'lng': 138.1277942298927}, 'southwest': {'lat': -5.551488429892721, 'lng': 138.1250945701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dapuk Cem,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117954889938084616650"">Rudolf Orinbao</a>'], 'photo_reference': 'AUGGfZnDC5DltzU7CAXWp7NzpDIqzZ603rAQfCXeDwqtYlL3_rEL6cu6e7_n3Br1tLSB7k0TI3M6_WhExFMHSqZ52bZmK3f0VJ_m1f6qbIeg0FA8H3kQnctLP0gPlf23MniFgXY_izJYcIoz7tnLr8mLll30pOhNPVZ7t5eWNb2lkTCcGkza', 'width': 1280}]",ChIJ1_yGCVpfOmgR3U_SD2AbYP0,ChIJ1_yGCVpfOmgR3U_SD2AbYP0,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,2.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ1_yGCVpfOmgR3U_SD2AbYP0
"MJ8C+9WC, Hahare, Kopay, Asmat Regency, Papua 99773, Indonesia","{'location': {'lat': -6.334054399999999, 'lng': 138.6222757}, 'viewport': {'northeast': {'lat': -6.332704570107277, 'lng': 138.6236255298927}, 'southwest': {'lat': -6.33540422989272, 'lng': 138.6209258701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata pemandangan,,ChIJ52NKrZ_XMGgRK8mPVGZc7TQ,ChIJ52NKrZ_XMGgRK8mPVGZc7TQ,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ52NKrZ_XMGgRK8mPVGZc7TQ
"J32X+R4H, Smith, Agats, Asmat Regency, Papua, Indonesia","{'location': {'lat': -5.3979412, 'lng': 138.097861}, 'viewport': {'northeast': {'lat': -5.396591370107278, 'lng': 138.0992108298927}, 'southwest': {'lat': -5.399291029892722, 'lng': 138.0965111701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Agats Asmat,"[{'height': 2560, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116277339203464916738"">Steve Peleshok</a>'], 'photo_reference': 'AUGGfZkq_UHvOXUfI3mLI82z_Gtv4nBCFZIKk1pC2mBJ15eIeUPe0RyoQneNDIpH1VKrPALlAwDlPFKOZ8rzBs046dBFpl53bf8FSTr85aS-U7vmx1dDhhYAuVIStyLGlrajGQE6kUmsFIbefUmjCs9BOUPYosxZHkjJO5revF813UjKgqMa', 'width': 1440}]",ChIJBerNeoZXOmgRSLImYkAtqdo,ChIJBerNeoZXOmgRSLImYkAtqdo,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJBerNeoZXOmgRSLImYkAtqdo
"F46P+865, Bis Agats, Agats, Asmat Regency, Papua 99777, Indonesia","{'location': {'lat': -5.539238699999999, 'lng': 138.1355996}, 'viewport': {'northeast': {'lat': -5.537910170107278, 'lng': 138.1369252798928}, 'southwest': {'lat': -5.540609829892722, 'lng': 138.1342256201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tugu Patung Mbis,"[{'height': 480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107967312218468690777"">A Google User</a>'], 'photo_reference': 'AUGGfZlxpsAN35lAJM2XilBlqEC3AWKxUTl_5_fPI3W3cSgY509pfGQzro6XDxDJzR5RboXRhZsKR6sHgHEhUP36j41GKcSmnJ6iyinOdbEc5glh61bU-0FW5tCAyVaq1fqHy6laJnQos5pIjjSllHUqwKvBK2YL0lAu18ENiry8IC69r9P8', 'width': 480}]",ChIJ8cUBC_ZfOmgRi6yJWM9Ijeg,ChIJ8cUBC_ZfOmgRi6yJWM9Ijeg,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,2.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ8cUBC_ZfOmgRi6yJWM9Ijeg
"XFXJ+PX8, Waras, Fayit, Asmat Regency, Papua 99782, Indonesia","{'location': {'lat': -6.0007099, 'lng': 138.4824642}, 'viewport': {'northeast': {'lat': -5.999360070107278, 'lng': 138.4838140298927}, 'southwest': {'lat': -6.002059729892722, 'lng': 138.4811143701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ocenep,"[{'height': 3464, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107988935456872526545"">Max Pegan</a>'], 'photo_reference': 'AUGGfZlkEzpJ-98DderPnQmHyVdcZpTqWWA5yaBCtzt6sgM2RMbLlfAxqjFm5GDeCCLuFM4C2NlE61A88wwlp3PQWSwO_iPFBr2mTtcyKGZ1ANNzFP2zvTH4lTFZxUlcSFzFNGxL8AYk58umruTHQ0Z2YVfWfQalcoyrtGyt3CHQRXjMwuPl', 'width': 4618}]",ChIJqckX76q7MGgRsiFN-uKPvEE,ChIJqckX76q7MGgRsiFN-uKPvEE,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJqckX76q7MGgRsiFN-uKPvEE
"C4XG+XJW Kampung Pelangi-Kaye, Bis Agats, Distrik Agats, Kabupaten Asmat, Papua, Indonesia","{'location': {'lat': -5.5500167, 'lng': 138.1265917}, 'viewport': {'northeast': {'lat': -5.548681570107278, 'lng': 138.1279516298927}, 'southwest': {'lat': -5.551381229892722, 'lng': 138.1252519701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Check Point Trip Bakau Famborep,"[{'height': 2256, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105517461609563844694"">A Google User</a>'], 'photo_reference': 'AUGGfZmtHsikpITvYMh8Wltc3tfG3eBASX3f1FTLIHJzvp7GAs2yne0GWSrUKK9jH-WU4gZoM6j8JpZs8k6t-E55C0py_BJRVdTxhDnR81SxNXtNZ83HS8K4dbsR8L_btiI270T_2-y6HNOcZkx5VfvMLYT8WNV2Q-yN8drlzl9jSQlliVe8', 'width': 4000}]",ChIJPQCNtGZfOmgR-OC4IHs3ipM,ChIJPQCNtGZfOmgR-OC4IHs3ipM,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,2.8,4.0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJPQCNtGZfOmgR-OC4IHs3ipM
"Kampung Amanamkai, Agats, Asmat Regency, Papua 99777, Indonesia","{'location': {'lat': -5.543671900000001, 'lng': 138.137924}, 'viewport': {'northeast': {'lat': -5.542299820107278, 'lng': 138.1392986798927}, 'southwest': {'lat': -5.544999479892722, 'lng': 138.1365990201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pokman Hand,"[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113727701974010354235"">A Google User</a>'], 'photo_reference': 'AUGGfZlNdQFIC6PtSUuJREw1mItmlfSYqwxnJeN6z1CoCqgQepQV9SWw2_J0ppbfxSI_JMWZ56F_vBqROgA8kmYUdYtsBtkge96RF5DJCI5sOV9H0xviAwVP03WY1aVsVNugXQ_UMj8rEv_NalQZaZrVMnR6DAHV53RYFIBldu3XY5hvMUNa', 'width': 800}]",ChIJlXlWt-5fOmgR1yCg0REd6b0,ChIJlXlWt-5fOmgR1yCg0REd6b0,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,{'open_now': False},"{'compound_code': 'F44Q+G5 Bis Agats, Asmat Regency, Papua, Indonesia', 'global_code': '6Q6WF44Q+G5'}",,https://www.google.com/maps/place/?q=place_id:ChIJlXlWt-5fOmgR1yCg0REd6b0
"Pomako, Mimika Timur, Mimika Regency, Papua 99971, Indonesia","{'location': {'lat': -4.7977436, 'lng': 136.7696897}, 'viewport': {'northeast': {'lat': -4.796235920107278, 'lng': 136.7712015298927}, 'southwest': {'lat': -4.798935579892722, 'lng': 136.7685018701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ekowisata Hutan Mangrove Pomako,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112460304300776380569"">A Google User</a>'], 'photo_reference': 'AUGGfZnxUPFUxeLVJqarWR4u6qat4pURnvWnsGTg0giITUB0Xf_qj8B3HHVuhOtxkyrN6aYXvpjXYa7Oodf5iVzeQ-NziTRAiSLtPaAktXNfyb-Laz0kEGz5JHYDOWnGG8iDc5SMMIyoT_QiTstoWwU4Tb20HD8P9gEoJNRaPe-I8Ox9Fmx8', 'width': 4160}]",ChIJW5e4-7B9JGgRqVJKxKoU1yg,ChIJW5e4-7B9JGgRqVJKxKoU1yg,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.3,129.0,{},"{'compound_code': '6Q29+WV Pomako, Mimika Regency, Papua, Indonesia', 'global_code': '6Q7R6Q29+WV'}",,https://www.google.com/maps/place/?q=place_id:ChIJW5e4-7B9JGgRqVJKxKoU1yg
