business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,permanently_closed,plus_code,opening_hours,price_level,url
OPERATIONAL,"CJ2F+QQM Danau Sentani, Kp. Waena, Kec. Heram, Kota Jayapura, Papua 99351, Indonesia","{'location': {'lat': -2.5980313, 'lng': 140.6244361}, 'viewport': {'northeast': {'lat': -2.596585370107278, 'lng': 140.6264236298927}, 'southwest': {'lat': -2.599285029892722, 'lng': 140.6237239701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dermaga Danau Sentani,"[{'height': 2400, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103336004448611647606"">A Google User</a>'], 'photo_reference': 'AUGGfZmZVczTd51qL1slPb6du6YbJhadla90NsWZjrqZr8oT2_L98gJQboKA2-eAUSsnKK2L-4zFKmir3Gmvxibckd17kcY-3iiY5ORLI0fRfWp9jPeElxCsRZdtni1lS_4harpP_8mXTqkfXqVesdnYR11Bzcsa3U5iKxFRcwOpqfkR0z42', 'width': 6272}]",ChIJhWm_cqX1bGgREVQUkSZ-DA4,5.0,ChIJhWm_cqX1bGgREVQUkSZ-DA4,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,,https://www.google.com/maps/place/?q=place_id:ChIJhWm_cqX1bGgREVQUkSZ-DA4
CLOSED_TEMPORARILY,"9JWH+J6Q, Lake, Sentani, Jayapura City, Papua, Indonesia","{'location': {'lat': -2.6034149, 'lng': 140.6280948}, 'viewport': {'northeast': {'lat': -2.601681270107278, 'lng': 140.6294501298927}, 'southwest': {'lat': -2.604380929892722, 'lng': 140.6267504701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dermaga Warna Warni Yoka,,ChIJm969P5H1bGgRx21BGUlqavc,0.0,ChIJm969P5H1bGgRx21BGUlqavc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,,,,https://www.google.com/maps/place/?q=place_id:ChIJm969P5H1bGgRx21BGUlqavc
CLOSED_TEMPORARILY,"Jl. Raya Abepura - Sentani No.20, Kp. Waena, Kec. Heram, Kota Jayapura, Papua 99351, Indonesia","{'location': {'lat': -2.5970008, 'lng': 140.6350611}, 'viewport': {'northeast': {'lat': -2.595630470107278, 'lng': 140.6364348798927}, 'southwest': {'lat': -2.598330129892723, 'lng': 140.6337352201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Papua Adventure Tours & Travel,,ChIJS3VZD4r1bGgRYkj5mU8FPwg,0.0,ChIJS3VZD4r1bGgRYkj5mU8FPwg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,"{'compound_code': 'CJ3P+52 Kampung Waena, Jayapura City, Papua, Indonesia', 'global_code': '6R92CJ3P+52'}",,,https://www.google.com/maps/place/?q=place_id:ChIJS3VZD4r1bGgRYkj5mU8FPwg
OPERATIONAL,"FP25+2QM, Ardipura, Jayapura Selatan, Jayapura City, Papua, Indonesia","{'location': {'lat': -2.5499131, 'lng': 140.7094229}, 'viewport': {'northeast': {'lat': -2.548608320107278, 'lng': 140.7106546798927}, 'southwest': {'lat': -2.551307979892723, 'lng': 140.7079550201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jayapura City Tower,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107497747507086814275"">Masduki Makhrus</a>'], 'photo_reference': 'AUGGfZlB50vCQAOFuFkIImceCPUCO3fEVLPBnNI6IKkGj-MoWQgbwgCq5dyhQXCGCSse9XeJpLtWMtNYNOO3T2IGiFMCmWI5TFRi_kEk_yQZYSah5OfQx0ZsVN5I7pvsOZ_whqgKvgN6gPWqeK9Aqdv0pt7f5K054-xnhZQ84Ff7dvDPzpkW', 'width': 4032}]",ChIJlxBo8FlYbGgRJxrR6qrFbEs,4.5,ChIJlxBo8FlYbGgRJxrR6qrFbEs,"['tourist_attraction', 'point_of_interest', 'establishment']",1184,,,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJlxBo8FlYbGgRJxrR6qrFbEs
OPERATIONAL,"CM6Q+JCJ Skyland, Entrop, Distrik Jayapura Selatan, Kota Jayapura, Papua, Indonesia","{'location': {'lat': -2.5884097, 'lng': 140.6885197}, 'viewport': {'northeast': {'lat': -2.586946920107278, 'lng': 140.6898163298927}, 'southwest': {'lat': -2.589646579892722, 'lng': 140.6871166701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Jokowi,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112871899255037544116"">Asrudin Asrudin</a>'], 'photo_reference': 'AUGGfZnaM2nHkeEch_fk6duuJFT4TcomtfIWTDez4y38j_v0fRen6HIqjJgrj_qdrolJp3yCH3OMvBdJhOswBRv6HskbuTTYy_7OY4WTQIhIbyJtAInrJM9NM7e1VQaSfJeRe9UJSYX067eVEdBIXHEgpA6_wm6dFCR9tQiDIuWh2U2ZFGQZ', 'width': 4160}]",ChIJH13hH1JfbGgRf7ii_H7rHOA,4.5,ChIJH13hH1JfbGgRf7ii_H7rHOA,"['tourist_attraction', 'point_of_interest', 'establishment']",1221,,,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJH13hH1JfbGgRf7ii_H7rHOA
OPERATIONAL,"Pantai Jl. Kalkhote, Asei Besar, Kec. Sentani Tim., Kabupaten Jayapura, Papua 99365, Indonesia","{'location': {'lat': -2.5998619, 'lng': 140.5769392}, 'viewport': {'northeast': {'lat': -2.598517370107278, 'lng': 140.5782461298928}, 'southwest': {'lat': -2.601217029892723, 'lng': 140.5755464701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Trip Wisata Danau Sentani,"[{'height': 1840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116320472120580038084"">Adang Arusliar</a>'], 'photo_reference': 'AUGGfZkdASUaZv9wpMRgnQFm8Iv8_44VwxRY1lN6PajlQdYNwIgqmIeRNVOkA7KeWgnBQMbr4n1GJZLOlSnI2XojK1xTOCefVEJrq5Plu_8-EzCJIII6HVfyEu6MfisGDRAZkz0US8mAOyR3E8X3KwoN9BBQtfpV9ShVO5jPV_94bYEgt2P9', 'width': 3264}]",ChIJ0bri6JXzbGgR7FRL5DVm164,4.4,ChIJ0bri6JXzbGgR7FRL5DVm164,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",470,,"{'compound_code': 'CH2G+3Q Asei Besar, Jayapura Regency, Papua, Indonesia', 'global_code': '6R92CH2G+3Q'}",{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJ0bri6JXzbGgR7FRL5DVm164
OPERATIONAL,"CGPV+MC5, Hinekombe, Sentani, Sentani Kota, Jayapura, Kabupaten Jayapura, Papua 99352, Indonesia","{'location': {'lat': -2.5633567, 'lng': 140.5436127}, 'viewport': {'northeast': {'lat': -2.561938720107277, 'lng': 140.5449992298927}, 'southwest': {'lat': -2.564638379892722, 'lng': 140.5422995701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Monumen Douglas Mac Arthur,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110768794487847337081"">Arif Pamungkas</a>'], 'photo_reference': 'AUGGfZmwMqvBxrG1Hw0vzWl3Efu3EyI_DyCDiOYvNLYCNRc5l20uvSFK5-x9oC_37GdVYrwIsyjMJL3mBbsAlGdlwIZFTKN2meGVelc5jvk2DAD4BC41quO9tegTPvN6WXOCdG_aZVZ91FivE-4qGGvFWaBc_MZb4qKSeMgnX3kZcVPGLE78', 'width': 4128}]",ChIJgal_-1PubGgRT3i-SU0lfuA,4.5,ChIJgal_-1PubGgRT3i-SU0lfuA,"['tourist_attraction', 'point_of_interest', 'establishment']",569,,,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJgal_-1PubGgRT3i-SU0lfuA
OPERATIONAL,"CJ84+Q8, Asei Kecil, Sentani Timur, Jayapura Regency, Papua 99351, Indonesia","{'location': {'lat': -2.5830169, 'lng': 140.6058162}, 'viewport': {'northeast': {'lat': -2.581226570107277, 'lng': 140.60959665}, 'southwest': {'lat': -2.583926229892722, 'lng': 140.60455605}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Buper,"[{'height': 1980, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103125655262008153072"">A Google User</a>'], 'photo_reference': 'AUGGfZkaHwPXP99xiMGZR62m-cxQ9gpq4A-PTy1N3HztG5LPfZTXjX0gnL8TgvP_qUJc6Q6ARHF4GPee5FrlGtaP74PaNigixLAGi5Ys0NoyDva3ocGwuHdR6M4ZSBjX17h_gAzz37xeAQNIKmCjKh2RH5Om6CkmqpauaWUMEEktBT_aQZaR', 'width': 3520}]",ChIJXxQNqg31bGgRmWclwXXT1Ps,4.2,ChIJXxQNqg31bGgRmWclwXXT1Ps,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,,{},,https://www.google.com/maps/place/?q=place_id:ChIJXxQNqg31bGgRmWclwXXT1Ps
OPERATIONAL,"CHPG+569, Harapan, Kec. Sentani, Kabupaten Jayapura, Papua 99359, Indonesia","{'location': {'lat': -2.5645823, 'lng': 140.5756034}, 'viewport': {'northeast': {'lat': -2.563600720107278, 'lng': 140.5770430798927}, 'southwest': {'lat': -2.566300379892723, 'lng': 140.5743434201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"KALI BAK, Kampung Harapan","[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109019375821207474103"">Abe Yomo</a>'], 'photo_reference': 'AUGGfZnXfQS-ktGgy8tqDJqebQnzRzIGV5EHnsUGMnVOoU7IsBmXG4OhvLCbIne7gLMMAdf81ZLi6Rtdjq15SUMRpuIZ8M4tQcPzMU17SNyFvbYQBzlJGUhi0hq-lU4SYpv2Vj1z6gt5hdFu3L0p8CiSgi-8L-ebncafqcH-xBD9c_GyZD06', 'width': 4032}]",ChIJk3E67hvvbGgRA1Ce_KDqJjg,4.4,ChIJk3E67hvvbGgRA1Ce_KDqJjg,"['tourist_attraction', 'point_of_interest', 'establishment']",64,,,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJk3E67hvvbGgRA1Ce_KDqJjg
OPERATIONAL,"9JJ8+QV, Itakiwa, Sentani Timur, Jayapura Regency, Papua, Indonesia","{'location': {'lat': -2.6180339, 'lng': 140.6172477}, 'viewport': {'northeast': {'lat': -2.616684970107278, 'lng': 140.6186022798927}, 'southwest': {'lat': -2.619384629892723, 'lng': 140.6159026201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"MELLEY, Kampung Yoka Heram","[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111529201370517477929"">A Google User</a>'], 'photo_reference': 'AUGGfZlY3ypEtSLH2ATKJQdyBPnPS9_DCp2-XJsmZN8MwKhiriilI-SOVfpGTiqGaYg5oxLJ2Er1Xp6rcGys4bKmcaskPQOBvW9iNXRJ1hStFtuCy4RmhyVLoepGlfqhcRkw1Pgux61CFIagO4ZN_VemUWs3BBErhr43B3lRRpHrJ5LiXE_N', 'width': 4160}]",ChIJUxZInjr1bGgRd8Vt5pn3hgI,5.0,ChIJUxZInjr1bGgRd8Vt5pn3hgI,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJUxZInjr1bGgRd8Vt5pn3hgI
