formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,rating,user_ratings_total,opening_hours,plus_code,permanently_closed,url
"Orong Telu, Sumbawa Regency, West Nusa Tenggara, Indonesia","{'location': {'lat': -8.7588562, 'lng': 117.1847123}, 'viewport': {'northeast': {'lat': -8.699076999999999, 'lng': 117.3028151}, 'southwest': {'lat': -8.864286, 'lng': 117.04052}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Orong Telu,"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111808833311051437651"">Didit Aja</a>'], 'photo_reference': 'AUGGfZl5B2OlS5jCQNd_UkFMUNmAw8a-etNIDOYhnMo0RhW4rgCZJseXsSV53TC0HNoM8Q7Ao-m5nXXU_R3sBlbKQKVxChs92TxEX1CI8QJhtxzeg9eWdRXNm3Wjy0jSmKp-gMgB8elpSLeLeb4j8RstXXb7f9KjKv6lfKws3iyY70E2zpnF', 'width': 720}]",ChIJP9iuxH1_zC0RpY4pChsEd20,ChIJP9iuxH1_zC0RpY4pChsEd20,"['administrative_area_level_3', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJP9iuxH1_zC0RpY4pChsEd20
"65V8+FQ, Kelawis, Orong Telu, Sumbawa Regency, West Nusa Tenggara, Indonesia","{'location': {'lat': -8.756347, 'lng': 117.166879}, 'viewport': {'northeast': {'lat': -8.75512327010728, 'lng': 117.1676787298927}, 'southwest': {'lat': -8.757822929892724, 'lng': 117.1649790701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,orong unter buku,,ChIJsUvVHQB_zC0Rz_u-w77FmvM,ChIJsUvVHQB_zC0Rz_u-w77FmvM,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJsUvVHQB_zC0Rz_u-w77FmvM
"44F9+PVF, Jamu, Lunyuk, Sumbawa Regency, West Nusa Tenggara 84373, Indonesia","{'location': {'lat': -8.8756941, 'lng': 117.1196752}, 'viewport': {'northeast': {'lat': -8.874344270107276, 'lng': 117.1210250298927}, 'southwest': {'lat': -8.87704392989272, 'lng': 117.1183253701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,TAMPAR URUNG,"[{'height': 4632, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108325258710122834871"">Muhammad Jamil</a>'], 'photo_reference': 'AUGGfZmLs9fbAA8PNweG_qphePfVrn_odOemq9FQQ_ixu3JScNYCU5gyCj0PbOn9h8TOaGrNk44vd63oKXmbz1ioBo-qFV1YO9nym9WWFwV6zlEEtiUIFR2toaPFv7wrbsVrxfqy58sAgdSHZoCD_K_3nuX_qWeUnpg7McglQfMV-dtmb98g', 'width': 2608}]",ChIJpbHK7wOBzC0RmL_fLQguvA0,ChIJpbHK7wOBzC0RmL_fLQguvA0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,5.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJpbHK7wOBzC0RmL_fLQguvA0
"8954+FM2, Sempe, Moyo Hulu, Sumbawa Regency, West Nusa Tenggara 84371, Indonesia","{'location': {'lat': -8.6913541, 'lng': 117.3566452}, 'viewport': {'northeast': {'lat': -8.69000427010728, 'lng': 117.3579950298927}, 'southwest': {'lat': -8.692703929892724, 'lng': 117.3552953701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ai Beling Waterfall,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104593251666993889997"">risydah amani</a>'], 'photo_reference': 'AUGGfZkxA5WQlNXWwY2PVYnBrN-hPwfpYdax6kY-_mDErjBYwADX9iLvgN0PvdO3mEsqyu1nH4X0uy0qL_GMViHDGO3LxbpIeWHdSDVu_w_keuoGrUlRJTTiT8HDe9efr8gmCDAOgNGRVnn2zWsQ9esn7pJMS5YM8W4_zB8HGzUHrO8KRV02', 'width': 2560}]",ChIJAQAAAJCPyy0RFF8x5o7JoJQ,ChIJAQAAAJCPyy0RFF8x5o7JoJQ,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.7,55.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJAQAAAJCPyy0RFF8x5o7JoJQ
"84JW+HMQ, Baturotok, Batulanteh, Sumbawa Regency, West Nusa Tenggara 84361, Indonesia","{'location': {'lat': -8.668535799999999, 'lng': 117.146742}, 'viewport': {'northeast': {'lat': -8.666790620107276, 'lng': 117.1479831798927}, 'southwest': {'lat': -8.66949027989272, 'lng': 117.1452835201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Pangkat Pnasar,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102273159684047173247"">A Google User</a>'], 'photo_reference': 'AUGGfZkjHmrNs6G56mgtDxBkfYOVo_xj1UDIFy5LuKL6xzOeA4N2w4hIUjHFfT8vuyG4XcsO_yiXJuGPEn3TWqIz1Vy3QHkPS6Fwe0aivbMP7yYbYKS-_3JYhq66CfjwjTrhogiUi_FumoqwIgI-pt40mXmRbSvs6PGXDpwV-GuKRhsmHMFW', 'width': 3120}]",ChIJEaeUPNV3zC0R93Sg_qiqvkI,ChIJEaeUPNV3zC0R93Sg_qiqvkI,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,3.0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJEaeUPNV3zC0R93Sg_qiqvkI
"84C9+G87, Baturotok, Batulanteh, Sumbawa Regency, West Nusa Tenggara 84361, Indonesia","{'location': {'lat': -8.6787071, 'lng': 117.1183106}, 'viewport': {'northeast': {'lat': -8.672374399999997, 'lng': 117.1195296798927}, 'southwest': {'lat': -8.680818000000004, 'lng': 117.1168300201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Stebal Kaduk,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102366800941001084274"">Koko Lucky</a>'], 'photo_reference': 'AUGGfZl_FCYoHi9VzpB3FdkxR8gDU8g9CaEtyeQi8iWRnI4Eh3_5s3JbXK6otJjOha6Ixfkfwe6y2lwFzrs9-dEU287_EWr24RLasPtMw2CEw8GChIdL_KF92nwDZiR4rk5mFjlr2VdwZeQyt-V7gsc5fcM_8PnDS2YgXvuK7guGoEyEVmyD', 'width': 2448}]",ChIJaxTpBdF5zC0RQYnKDVDn-5I,ChIJaxTpBdF5zC0RQYnKDVDn-5I,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,7.0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJaxTpBdF5zC0RQYnKDVDn-5I
"Unnamed Road, Nusa Tenggara Bar. 84361, Baturotok, Kec. Batulanteh, Kabupaten Sumbawa, Nusa Tenggara Bar. 84361, Indonesia","{'location': {'lat': -8.6792036, 'lng': 117.1559571}, 'viewport': {'northeast': {'lat': -8.677853770107278, 'lng': 117.1573069298927}, 'southwest': {'lat': -8.680553429892722, 'lng': 117.1546072701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Samparkuangrea,,ChIJdYQ8rRB4zC0RLIQnS6BrBLA,ChIJdYQ8rRB4zC0RLIQnS6BrBLA,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,2.0,,"{'compound_code': '85C4+89 Baturotok, Sumbawa Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3V85C4+89'}",,https://www.google.com/maps/place/?q=place_id:ChIJdYQ8rRB4zC0RLIQnS6BrBLA
"25FV+863, Jamu, Lunyuk, Jamu, Sumbawa, Kabupaten Sumbawa, Nusa Tenggara Bar. 84373, Indonesia","{'location': {'lat': -8.9767294, 'lng': 117.193046}, 'viewport': {'northeast': {'lat': -8.975306120107279, 'lng': 117.1949203798927}, 'southwest': {'lat': -8.978005779892722, 'lng': 117.1922207201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Baturomong,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111336953616112642486"">A Google User</a>'], 'photo_reference': 'AUGGfZm8Aor1v3iPipvITT5ky4ClNlef8D5XHJyPyIylXInKsmyLKgNeadk1m1HE_xn97ronjw4ABl1HE0QDR_BQoZtrCWGZEdSLJF8YB7MwozzC2Ms-uOIGmfduTLx-VQgIuPCqFHCt73VC47MLbX62Jiqc37gizUKcsBzpTLRf_ZpGfruc', 'width': 2048}]",ChIJwaj9k0h9yy0R-_xnfC6OfHc,ChIJwaj9k0h9yy0R-_xnfC6OfHc,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.0,31.0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJwaj9k0h9yy0R-_xnfC6OfHc
"F332+C3W, Marenteh, Alas, Sumbawa Regency, West Nusa Tenggara 84353, Indonesia","{'location': {'lat': -8.5463899, 'lng': 117.0502087}, 'viewport': {'northeast': {'lat': -8.545040070107277, 'lng': 117.0515585298927}, 'southwest': {'lat': -8.54773972989272, 'lng': 117.0488588701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Agal Waterfall,"[{'height': 3501, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104853828874197725896"">Denis Romanov</a>'], 'photo_reference': 'AUGGfZlRHhM-i50_RanGZO2Ae4ico42ALgM3V7MGcb0nJOU4nEsWwHsYXQQp653M01pX18NpSaNez5W7hchjYUUtYTuiN1IXRUODEwLutILjrEBRdkVXTQRYpL_iaByF6ZDHvAJhLfoIRncrKGBxO9BAn78I9WKX3tHqldiyWJmwrRf8k-vr', 'width': 2100}]",ChIJjWHbHBJzzC0RsPxGwLf30NY,ChIJjWHbHBJzzC0RsPxGwLf30NY,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.5,57.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJjWHbHBJzzC0RsPxGwLf30NY
"Mungkin, Orong Telu, Sumbawa Regency, West Nusa Tenggara, Indonesia","{'location': {'lat': -8.7817434, 'lng': 117.1147095}, 'viewport': {'northeast': {'lat': -8.699076999999999, 'lng': 117.165083}, 'southwest': {'lat': -8.860246, 'lng': 117.04052}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mungkin,,ChIJAzkFLZN-zC0Rwkp3VWn27ig,ChIJAzkFLZN-zC0Rwkp3VWn27ig,"['administrative_area_level_4', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJAzkFLZN-zC0Rwkp3VWn27ig
