business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,plus_code,rating,reference,types,user_ratings_total,photos,permanently_closed,url
OPERATIONAL,"Jl. Cangkuang Kulon No.355, Cangkuang Kulon, Kec. Dayeuhkolot, Kabupaten Bandung, Jawa Barat 40239, Indonesia","{'location': {'lat': -6.972769, 'lng': 107.5908232}, 'viewport': {'northeast': {'lat': -6.971449420107278, 'lng': 107.5921683798927}, 'southwest': {'lat': -6.974149079892721, 'lng': 107.5894687201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Pertigaan Cangkuang Sayuran,{'open_now': True},ChIJk2uLPADpaC4Rh_laYE-td1c,"{'compound_code': '2HGR+V8 Cangkuang Kulon, Bandung Regency, West Java, Indonesia', 'global_code': '6P592HGR+V8'}",5.0,ChIJk2uLPADpaC4Rh_laYE-td1c,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJk2uLPADpaC4Rh_laYE-td1c
OPERATIONAL,"2JF2+7RG, Cangkuang Wetan, Dayeuhkolot, Bandung Regency, West Java 40238, Indonesia","{'location': {'lat': -6.9768184, 'lng': 107.6020954}, 'viewport': {'northeast': {'lat': -6.975466070107278, 'lng': 107.6034298298927}, 'southwest': {'lat': -6.978165729892722, 'lng': 107.6007301701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,gaga inn,{'open_now': True},ChIJP7b_CgDpaC4RY28rGB2EMuo,,4.5,ChIJP7b_CgDpaC4RY28rGB2EMuo,"['tourist_attraction', 'point_of_interest', 'establishment']",6,,,https://www.google.com/maps/place/?q=place_id:ChIJP7b_CgDpaC4RY28rGB2EMuo
OPERATIONAL,"B.B.K Nugraha No.1, Cangkuang Kulon, Kec. Dayeuhkolot, Kabupaten Bandung, Jawa Barat 40239, Indonesia","{'location': {'lat': -6.970902, 'lng': 107.5965501}, 'viewport': {'northeast': {'lat': -6.969304170107278, 'lng': 107.5978309798927}, 'southwest': {'lat': -6.972003829892722, 'lng': 107.5951313201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tempat judi sabung ayam cilebak,,ChIJG2mYdADpaC4RmbXTlsSERyw,"{'compound_code': '2HHW+JJ Cangkuang Kulon, Bandung Regency, West Java, Indonesia', 'global_code': '6P592HHW+JJ'}",0.0,ChIJG2mYdADpaC4RmbXTlsSERyw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJG2mYdADpaC4RmbXTlsSERyw
OPERATIONAL,"2J92+PCC, Jl. Paneresan, Cangkuang Wetan, Kec. Dayeuhkolot, Kabupaten Bandung, Jawa Barat, Indonesia","{'location': {'lat': -6.9806819, 'lng': 107.6010146}, 'viewport': {'northeast': {'lat': -6.979329170107277, 'lng': 107.6022939798927}, 'southwest': {'lat': -6.982028829892721, 'lng': 107.5995943201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,pemancingan bu lilis paneresan,{'open_now': True},ChIJxee4IADpaC4Rmtq0ItH8pmM,,0.0,ChIJxee4IADpaC4Rmtq0ItH8pmM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJxee4IADpaC4Rmtq0ItH8pmM
OPERATIONAL,"No., Jl. Raya Dayeuhkolot No.337, Dayeuhkolot, Kec. Dayeuhkolot, Kabupaten Bandung, Jawa Barat 40257, Indonesia","{'location': {'lat': -6.9865637, 'lng': 107.6256462}, 'viewport': {'northeast': {'lat': -6.985205570107278, 'lng': 107.6269075798927}, 'southwest': {'lat': -6.987905229892722, 'lng': 107.6242079201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Balong Toha,{'open_now': False},ChIJTYH6C6HpaC4RDcdVJZ2WgGo,"{'compound_code': '2J7G+97 Dayeuhkolot, Bandung Regency, West Java, Indonesia', 'global_code': '6P592J7G+97'}",4.3,ChIJTYH6C6HpaC4RDcdVJZ2WgGo,"['tourist_attraction', 'point_of_interest', 'establishment']",105,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111960611120786631630"">111960611120786631630</a>'], 'photo_reference': 'AUGGfZkU8bH9FochjLsbsoB4uCUVxGizgMDWYiDr8Ez9lDOJVulP_beOCZXIheszMKMEQ1DX6VTc5pWB5Ja73jUlFskHZX0xfxOLWnx40gz107mE7zEJB7SFbeUcn8_yykUl_eXYlnvgvfQtt7kP1Ee52NC7SEk2f4_QzoVoipQmavwlURiK', 'width': 4000}]",,https://www.google.com/maps/place/?q=place_id:ChIJTYH6C6HpaC4RDcdVJZ2WgGo
OPERATIONAL,"2HPV+W9H, Cangkuang Kulon, Dayeuhkolot, Bandung Regency, West Java 40239, Indonesia","{'location': {'lat': -6.9626958, 'lng': 107.593482}, 'viewport': {'northeast': {'lat': -6.961337170107278, 'lng': 107.5948147798927}, 'southwest': {'lat': -6.964036829892722, 'lng': 107.5921151201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Petigaan TCI dan Terowongan Cibaduyut,,ChIJOfs-GQDpaC4RRUOcCikgxJs,,0.0,ChIJOfs-GQDpaC4RRUOcCikgxJs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJOfs-GQDpaC4RRUOcCikgxJs
OPERATIONAL,"2HGQ+XWM, 2HGQ+XWMCangkuang, KulonKec, Kec. Dayeuhkolot, Kabupaten Bandung, Jawa Barat, Indonesia","{'location': {'lat': -6.9724948, 'lng': 107.5898094}, 'viewport': {'northeast': {'lat': -6.971154670107279, 'lng': 107.5911885298927}, 'southwest': {'lat': -6.973854329892723, 'lng': 107.5884888701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Pertigaan Cibaduyut Sukamenak,{'open_now': True},ChIJhzqoJgDpaC4RqfvgAc-spaE,,5.0,ChIJhzqoJgDpaC4RqfvgAc-spaE,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJhzqoJgDpaC4RqfvgAc-spaE
CLOSED_TEMPORARILY,"2JP4+JGQ, Unnamed Road, Cangkuang Wetan, Kec. Dayeuhkolot, Kabupaten Bandung, Jawa Barat 40238, Indonesia","{'location': {'lat': -6.9634177, 'lng': 107.6063482}, 'viewport': {'northeast': {'lat': -6.962144020107279, 'lng': 107.6076938798927}, 'southwest': {'lat': -6.964843679892723, 'lng': 107.6049942201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,khaira,,ChIJXxuPgsLpaC4RwvL1_ag2Iw8,,0.0,ChIJXxuPgsLpaC4RwvL1_ag2Iw8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,True,https://www.google.com/maps/place/?q=place_id:ChIJXxuPgsLpaC4RwvL1_ag2Iw8
CLOSED_TEMPORARILY,"2JC6+VM8, Pasawahan, Dayeuhkolot, Bandung Regency, West Java 40256, Indonesia","{'location': {'lat': -6.9777088, 'lng': 107.6121576}, 'viewport': {'northeast': {'lat': -6.976452020107277, 'lng': 107.6135304798927}, 'southwest': {'lat': -6.979151679892722, 'lng': 107.6108308201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Pompa Citepus,,ChIJubmHRYfpaC4R2tqfkGWbI4E,,0.0,ChIJubmHRYfpaC4R2tqfkGWbI4E,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,True,https://www.google.com/maps/place/?q=place_id:ChIJubmHRYfpaC4R2tqfkGWbI4E
OPERATIONAL,"2JCP+4FM, Lengkong, Bojongsoang, Bandung Regency, West Java, Indonesia","{'location': {'lat': -6.9755848, 'lng': 107.6480817}, 'viewport': {'northeast': {'lat': -6.974222020107278, 'lng': 107.6494452798927}, 'southwest': {'lat': -6.976921679892722, 'lng': 107.6467456201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,DE CLOWNELY,,ChIJzYk2EADpaC4Rp983IHOH3ls,,5.0,ChIJzYk2EADpaC4Rp983IHOH3ls,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJzYk2EADpaC4Rp983IHOH3ls
