business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,opening_hours,plus_code,price_level,permanently_closed,url
OPERATIONAL,"VQJG+MX6, Laksana, Ibun, Bandung Regency, West Java 40384, Indonesia","{'location': {'lat': -7.1183406, 'lng': 107.7774037}, 'viewport': {'northeast': {'lat': -7.117074270107278, 'lng': 107.7786853798927}, 'southwest': {'lat': -7.119773929892722, 'lng': 107.7759857201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Wisata Ibun,ChIJpRsLasG5aC4ReiaT2jznmd4,5.0,ChIJpRsLasG5aC4ReiaT2jznmd4,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJpRsLasG5aC4ReiaT2jznmd4
OPERATIONAL,"VQ3P+W2V, Laksana, Ibun, Bandung Regency, West Java 40384, Indonesia","{'location': {'lat': -7.145127599999999, 'lng': 107.7850323}, 'viewport': {'northeast': {'lat': -7.143790370107279, 'lng': 107.7863980798927}, 'southwest': {'lat': -7.146490029892723, 'lng': 107.7836984201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kawasan Wisata Tirta Anyar,ChIJw4D1_Vu5aC4RdiQGsvWb6ms,3.5,ChIJw4D1_Vu5aC4RdiQGsvWb6ms,"['tourist_attraction', 'point_of_interest', 'establishment']",13,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105475230107294570346"">H. Yadi Supriadi</a>'], 'photo_reference': 'AUGGfZlJTthFgqNYkTRk9732dV9ROlW3vLUum2ACexFWFhcNkcWBcbaQTsuPTT4w4rUfv1pI5ESAhLmX3mWSzofSyEN0MhjSf0DTA3aL7CU1WPZQTDzdrcee_3hywpCuJGpnUQdd7QeEWMavEAnTINZu2_QlqENH-lVBJPQ1KzbM5Wfzkhce', 'width': 3264}]",,,,,https://www.google.com/maps/place/?q=place_id:ChIJw4D1_Vu5aC4RdiQGsvWb6ms
OPERATIONAL,"Karyalaksana, Ibun, Bandung Regency, West Java 40384, Indonesia","{'location': {'lat': -7.0738856, 'lng': 107.7490307}, 'viewport': {'northeast': {'lat': -7.072600070107279, 'lng': 107.7504065298927}, 'southwest': {'lat': -7.075299729892722, 'lng': 107.7477068701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Radug Adventure,ChIJO03CvRbBaC4RZ_Fsa5faC6A,4.9,ChIJO03CvRbBaC4RZ_Fsa5faC6A,"['tourist_attraction', 'point_of_interest', 'establishment']",7,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103318347489861483704"">Mbe Dodet</a>'], 'photo_reference': 'AUGGfZmKnSCYnTBSF0-Jol2JJbc9g406vu5hp81_K5cW3edioAZ0UTv2tm8Pv2AVamdWNmoWyORgWGG9L0-jfpCME-KlyVSWsbMPKREUWyv7J5Ytn4mapc6cvZUA7dtQiZPufcH-YcWBc_wnHkxHnj0xTfTRHwI2VU4GrL6m1nlRVfR8zXyp', 'width': 1600}]",{'open_now': False},"{'compound_code': 'WPGX+CJ Karyalaksana, Bandung Regency, West Java, Indonesia', 'global_code': '6P49WPGX+CJ'}",,,https://www.google.com/maps/place/?q=place_id:ChIJO03CvRbBaC4RZ_Fsa5faC6A
OPERATIONAL,"VR62+R5C, Mekarwangi, Ibun, Bandung Regency, West Java 40384, Indonesia","{'location': {'lat': -7.1379342, 'lng': 107.8003792}, 'viewport': {'northeast': {'lat': -7.136622170107278, 'lng': 107.8017105298927}, 'southwest': {'lat': -7.139321829892721, 'lng': 107.7990108701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kawah Manuk,ChIJ3-HE3ja5aC4RnFoTiW5Q7GI,4.6,ChIJ3-HE3ja5aC4RnFoTiW5Q7GI,"['tourist_attraction', 'point_of_interest', 'establishment']",91,"[{'height': 2998, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114018282696881517858"">Gani Amanda</a>'], 'photo_reference': 'AUGGfZnjZnqrruG3sSxuO57ITxeoHUxcFixXl6foTCgS4KFLRv8D5UnYva-7qo_ScweO4w0YyNPS6HLS7R3ciFkmghpx1P59BZqO_2Nrcdct817_AmxPnQyjltmmZfUEwGhmAY6nc7KJ7KTR5_z9M0iq5BbRThLeLl51vEsCsee5NP9liamW', 'width': 3998}]",{'open_now': True},,,,https://www.google.com/maps/place/?q=place_id:ChIJ3-HE3ja5aC4RnFoTiW5Q7GI
OPERATIONAL,"WQG2+Q72, Jl. Radug, radugKec, Kec. Ibun, Kabupaten Bandung, Jawa Barat 40384, Indonesia","{'location': {'lat': -7.073144, 'lng': 107.7506398}, 'viewport': {'northeast': {'lat': -7.071919070107278, 'lng': 107.7520270298927}, 'southwest': {'lat': -7.074618729892722, 'lng': 107.7493273701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Camping ground Sagalakawani,ChIJaYhboPi5aC4RMTFG9iLyoHk,5.0,ChIJaYhboPi5aC4RMTFG9iLyoHk,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105827596631776833874"">darajat Rollings</a>'], 'photo_reference': 'AUGGfZkbTNLILmlRm6gpJKeLSqrhq7FkBs62CQ3x0KXOwOgONWVBSEsDR8XjDLF9vK0dzPt3yrvOYCxDOZQiJDDIZVajsjTjLKg9PRVduKV_5Z4gG1Q5n8l4W6s5YQrWtvbVC1McA8G2s6ekf1zwgemjHxsHyISvMDzQRJfx5P4Tb6dSsV21', 'width': 1920}]",{'open_now': True},,,,https://www.google.com/maps/place/?q=place_id:ChIJaYhboPi5aC4RMTFG9iLyoHk
OPERATIONAL,"WQ2M+45M, Mekarwangi, Ibun, Bandung Regency, West Java 40384, Indonesia","{'location': {'lat': -7.0997014, 'lng': 107.7828993}, 'viewport': {'northeast': {'lat': -7.098482670107279, 'lng': 107.7842149798927}, 'southwest': {'lat': -7.101182329892723, 'lng': 107.7815153201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pak juddin,ChIJhQnCvXC5aC4RMwqDCtZ0wpk,0.0,ChIJhQnCvXC5aC4RMwqDCtZ0wpk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJhQnCvXC5aC4RMwqDCtZ0wpk
OPERATIONAL,"VQJ7+46C, Kp. Bongkok, RT.2/RW.11, Dukuh, Kec. Ibun, Kabupaten Bandung, Jawa Barat, Indonesia","{'location': {'lat': -7.119680799999999, 'lng': 107.7630102}, 'viewport': {'northeast': {'lat': -7.118326870107277, 'lng': 107.7643319298927}, 'southwest': {'lat': -7.121026529892721, 'lng': 107.7616322701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sekolah Wisata,ChIJnRaVCwC_aC4RFvmBANViAj8,0.0,ChIJnRaVCwC_aC4RFvmBANViAj8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJnRaVCwC_aC4RFvmBANViAj8
OPERATIONAL,"VQQ5+QWG, Kp. Ciandong, desa, Dukuh, Kabupaten Bandung, Jawa Barat 40384, Indonesia","{'location': {'lat': -7.1105625, 'lng': 107.7598125}, 'viewport': {'northeast': {'lat': -7.109221670107277, 'lng': 107.7611950298927}, 'southwest': {'lat': -7.111921329892721, 'lng': 107.7584953701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Cigoong,ChIJ1YHnfme_aC4RGBgtEtuZ7bc,4.3,ChIJ1YHnfme_aC4RGBgtEtuZ7bc,"['tourist_attraction', 'point_of_interest', 'establishment']",6,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100347217618300284437"">A Google User</a>'], 'photo_reference': 'AUGGfZnloagFbGMlcAOJbiMS7FPOhw4krn8Qg3RAtfWbE0pasCMWDE4BCIpOR5utc8vu094lo7_dvQkk_Rue6iMJIV5aU62vzQ4AQFMl4-LxF311jOohiV0gF8ihExptbx9d8oqILhr7OAI9RHaUoCy4t6RqlBtgryOG_aw4IliJaNY77PEx', 'width': 4000}]",{'open_now': True},,,,https://www.google.com/maps/place/?q=place_id:ChIJ1YHnfme_aC4RGBgtEtuZ7bc
OPERATIONAL,"WPGX+GX9, Karyalaksana, Ibun, Bandung Regency, West Java 40384, Indonesia","{'location': {'lat': -7.0743187, 'lng': 107.749001}, 'viewport': {'northeast': {'lat': -7.072819920107278, 'lng': 107.7503952298927}, 'southwest': {'lat': -7.075519579892722, 'lng': 107.7476955701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Camping ground Bacikok,ChIJr93um7nBaC4Rf-AiJOoLHxI,0.0,ChIJr93um7nBaC4Rf-AiJOoLHxI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJr93um7nBaC4Rf-AiJOoLHxI
OPERATIONAL,"VQJG+F9R, Jl. Patrol, Laksana, Kec. Ibun, Kabupaten Bandung, Jawa Barat 40384, Indonesia","{'location': {'lat': -7.118759, 'lng': 107.7758842}, 'viewport': {'northeast': {'lat': -7.117409170107279, 'lng': 107.7772340298927}, 'southwest': {'lat': -7.120108829892723, 'lng': 107.7745343701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jembatan Kuning Kamojang,ChIJJ3ka-uS5aC4RyHX_hbATVdk,4.6,ChIJJ3ka-uS5aC4RyHX_hbATVdk,"['tourist_attraction', 'point_of_interest', 'establishment']",858,"[{'height': 3030, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116332329520737883390"">A Google User</a>'], 'photo_reference': 'AUGGfZkapoG-10AJ_v0xCSogosDVXdriqMWyMcb5bnwZm4uBnyx09401NTeAbrQ3GiUF-4Ni-dU8bXbEePkrd70TmN8mUKNEs6FRjAGqVLA0-qo4FUh4O1OHHb1aIaQnIN5uq3syb32UCsxDz8xQm3CKC5TPLwdPAPU3Tb58fuyB4uySgPzv', 'width': 3000}]",{'open_now': True},,,,https://www.google.com/maps/place/?q=place_id:ChIJJ3ka-uS5aC4RyHX_hbATVdk
