business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,permanently_closed,opening_hours,photos,plus_code,url
OPERATIONAL,"2QWV+X4, Suak Air Hitam, Pekaitan, Rokan Hilir Regency, Riau, Indonesia","{'location': {'lat': 2.0474836, 'lng': 100.7928386}, 'viewport': {'northeast': {'lat': 2.0498935, 'lng': 100.7953559}, 'southwest': {'lat': 2.046680300000001, 'lng': 100.7919995}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau Suak Air Hitam,ChIJX-4lfADJ0jERfAmQrn1cefU,0.0,ChIJX-4lfADJ0jERfAmQrn1cefU,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJX-4lfADJ0jERfAmQrn1cefU
CLOSED_TEMPORARILY,"3P3Q+Q5Q, Sungai Besar, Pekaitan, Rokan Hilir Regency, Riau, Indonesia","{'location': {'lat': 2.0544543, 'lng': 100.7379706}, 'viewport': {'northeast': {'lat': 2.055804129892722, 'lng': 100.7393204298927}, 'southwest': {'lat': 2.053104470107277, 'lng': 100.7366207701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sei sirih,ChIJP_LcAPPJ0jER6KuL7E22fhw,0.0,ChIJP_LcAPPJ0jER6KuL7E22fhw,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,True,,,,https://www.google.com/maps/place/?q=place_id:ChIJP_LcAPPJ0jER6KuL7E22fhw
OPERATIONAL,"4R4H+VC9, Jl. Lintas Bagansiapiapi - Ujung Tj., Bagan Punak Pesisir, Kec. Bangko, Kabupaten Rokan Hilir, Riau 28913, Indonesia","{'location': {'lat': 2.1071634, 'lng': 100.8285961}, 'viewport': {'northeast': {'lat': 2.108572929892722, 'lng': 100.8298670798927}, 'southwest': {'lat': 2.105873270107277, 'lng': 100.8271674201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tugu ikan,ChIJu6L4A3a40jERmBnGCVwtr4w,4.4,ChIJu6L4A3a40jERmBnGCVwtr4w,"['tourist_attraction', 'point_of_interest', 'establishment']",100.0,,{},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110875812922934567482"">A Google User</a>'], 'photo_reference': 'AUGGfZlqybhZam63PWVN-GeUg-dWXV6OcAxvunhPYlEGwvq2FxJYuBBhqLkuaRIpywU6kKtElul61-2X1S5xkkafTvSyAf1A04fWWMlDnKnJXHW8_MxbckPIfUwrVYyQf8N26JZZYCKn5T_M4mGaD9CVu41coWQuTdaSjolykUcCZgwJhvjH', 'width': 4000}]",,https://www.google.com/maps/place/?q=place_id:ChIJu6L4A3a40jERmBnGCVwtr4w
OPERATIONAL,"Unnamed Rd, Bangko, Kabupaten Rokan Hilir, Riau 28913, Pedamaran, Kec. Pekaitan, Kabupaten Rokan Hilir, Riau 28913, Indonesia","{'location': {'lat': 2.0998031, 'lng': 100.815978}, 'viewport': {'northeast': {'lat': 2.101183429892723, 'lng': 100.8172271298927}, 'southwest': {'lat': 2.098483770107278, 'lng': 100.8145274701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/camping-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/camping_pinlet,Bundaran Elang,ChIJpSFBdvHH0jERCxj6qK1AIbU,4.2,ChIJpSFBdvHH0jERCxj6qK1AIbU,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']",43.0,,,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117941037138637847138"">mardi yanto</a>'], 'photo_reference': 'AUGGfZn_hPh5krD69FlpjHEW2dX7TobyHOEeS1PipYAF9oxi-x-hwPfAbXbvg2juDB-k5-yrNeiftW1K2c_xIB9b43HhIzJYBVb8cqWHvWurqw3YuXmwYg43GNKtctHTQtPKFxhq2NuzzZRREJb6a0lD8XMJtl5A23fmlxtkavV7KqKNDoqd', 'width': 3264}]","{'compound_code': '3RX8+W9 Pedamaran, Rokan Hilir Regency, Riau, Indonesia', 'global_code': '6PJ23RX8+W9'}",https://www.google.com/maps/place/?q=place_id:ChIJpSFBdvHH0jERCxj6qK1AIbU
OPERATIONAL,"VWR7+V4, Teluk Bano I, Bangko Pusako, Rokan Hilir Regency, Riau, Indonesia","{'location': {'lat': 1.8922206, 'lng': 100.9128074}, 'viewport': {'northeast': {'lat': 1.893570429892723, 'lng': 100.9141572298927}, 'southwest': {'lat': 1.890870770107278, 'lng': 100.9114575701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gapoktan Beting jaya,ChIJn5HGNQDd0jERp8nusS7Fx00,0.0,ChIJn5HGNQDd0jERp8nusS7Fx00,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJn5HGNQDd0jERp8nusS7Fx00
OPERATIONAL,"VRCR+48, Teluk Bano I, Bangko Pusako, Rokan Hilir Regency, Riau, Indonesia","{'location': {'lat': 1.8703211, 'lng': 100.8408045}, 'viewport': {'northeast': {'lat': 1.871338779892722, 'lng': 100.8417284798927}, 'southwest': {'lat': 1.868639120107278, 'lng': 100.8390288201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun Durian Paikbabak II,ChIJYY3BrEnZ0jERNB58thTcROk,0.0,ChIJYY3BrEnZ0jERNB58thTcROk,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJYY3BrEnZ0jERNB58thTcROk
CLOSED_TEMPORARILY,"4R4F+5QM, Bagan Punak Pesisir, Bangko, Rokan Hilir Regency, Riau 28913, Indonesia","{'location': {'lat': 2.1054681, 'lng': 100.8244075}, 'viewport': {'northeast': {'lat': 2.106533579892722, 'lng': 100.8259238298927}, 'southwest': {'lat': 2.103833920107278, 'lng': 100.8232241701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Museum Ikan Rohil,ChIJqW1r7IrH0jER2FONre3foEo,3.4,ChIJqW1r7IrH0jER2FONre3foEo,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",14.0,True,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110875812922934567482"">A Google User</a>'], 'photo_reference': 'AUGGfZm0TqZHE1dsho1YDBYoRfJ-dWCRttpyMffm02g5G2xZOKZbHC1iun3fhX4SGlvGau5i1O5A4D70Z1Qm_E_emeWYUBct6LfKpdmqgIRqMKjlSXgfCilKd1Oa_9_iTOVymxAZmG8BsRUSRJmD8TUWPrIsmJy6A2Fpr0s7FXhaKcN49KW3', 'width': 4000}]",,https://www.google.com/maps/place/?q=place_id:ChIJqW1r7IrH0jER2FONre3foEo
OPERATIONAL,"3MQ2+3HX, Teluk Merbau, Kubu, Rokan Hilir Regency, Riau, Indonesia","{'location': {'lat': 2.0877281, 'lng': 100.6514691}, 'viewport': {'northeast': {'lat': 2.089167779892722, 'lng': 100.6528503798927}, 'southwest': {'lat': 2.086468120107277, 'lng': 100.6501507201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kubu rohil,ChIJ6X7dyY_L0jERwbKP4qkLH70,0.0,ChIJ6X7dyY_L0jERwbKP4qkLH70,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114671871003400376806"">A Google User</a>'], 'photo_reference': 'AUGGfZl9CRE_h9srRZHNz17e-CMOF-nfhbmb0sU8NO3B4ixTj5NtTd0biW2y1AxoibmGgn0mVOfJrd64A21tyRxTTd7_6wiT5Bs6WF2C-3-BlfUUk_4NdYspdJByYoUCbkZV8ABrjwAB3xasHh3HeNuS_djbgf5I9LAaTGAsJBtnIY0B247d', 'width': 720}]",,https://www.google.com/maps/place/?q=place_id:ChIJ6X7dyY_L0jERwbKP4qkLH70
CLOSED_TEMPORARILY,"VVGJ+57F, Poros Road, Tlk. Bano I, Kec. Bangko Pusako, Kabupaten Rokan Hilir, Riau 28912, Indonesia","{'location': {'lat': 1.8754404, 'lng': 100.8806833}, 'viewport': {'northeast': {'lat': 1.876795279892722, 'lng': 100.8820293298927}, 'southwest': {'lat': 1.874095620107277, 'lng': 100.8793296701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Teluk Bano I,ChIJA3Vt3JjZ0jERQiSa260DBec,0.0,ChIJA3Vt3JjZ0jERQiSa260DBec,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,True,,,,https://www.google.com/maps/place/?q=place_id:ChIJA3Vt3JjZ0jERQiSa260DBec
OPERATIONAL,"5R58+3FP, Bagan Timur, Bangko, Rokan Hilir Regency, Riau, Indonesia","{'location': {'lat': 2.157713, 'lng': 100.8162}, 'viewport': {'northeast': {'lat': 2.159072779892723, 'lng': 100.8175046798927}, 'southwest': {'lat': 2.156373120107278, 'lng': 100.8148050201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nelayan,ChIJi5K6GZi50jER5GLBBF8Ntoo,0.0,ChIJi5K6GZi50jER5GLBBF8Ntoo,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJi5K6GZi50jER5GLBBF8Ntoo
